District,Poll Number,Poll Name,Tim Bloedow,Don Boudria,Martin Cauvier,Roy Fjarlie,Alain Lalonde,Rejected Ballots,Total Vote,Electors
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,1A,Cumberland,3,165,26,22,170,0,386,490
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,1B,Cumberland,0,99,19,8,76,1,203,365
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,2,Cumberland,1,92,15,16,122,0,246,408
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,3,Cumberland,2,132,12,10,137,5,298,448
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,4,Cumberland,6,156,35,13,146,2,358,558
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,5A,Cumberland,0,62,13,10,83,0,168,274
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,5B,Cumberland,0,81,23,8,90,1,203,344
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,6,Cumberland,2,136,23,13,123,3,300,450
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,7,Cumberland,6,125,24,13,109,0,277,497
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,8,Cumberland,1,81,16,2,75,4,179,267
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,9,Cumberland,4,180,25,16,113,4,342,515
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,10,Cumberland,3,121,32,18,160,0,334,495
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,11,Cumberland,0,95,19,14,92,3,223,344
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,12,Cumberland,1,136,12,17,140,0,306,401
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,13,Cumberland,0,165,22,18,196,0,401,620
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,14,Cumberland,3,182,32,28,103,3,351,503
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,15,Cumberland,3,129,12,20,136,1,301,501
