District,Poll Number,Poll Name,Lyne Boisvert,Blake Evans,Roger Gougeon,Louis Lacroix,Pauline Picard,Rejected Ballots,Total Vote,Electors
Drummond/Drummond,31,Saint-Eugène,45,6,39,6,148,8,252,408
Drummond/Drummond,32,Saint-Eugène,37,7,35,4,164,13,260,445
Drummond/Drummond,33,Saint-Germain-de-Grantham,37,4,40,4,156,5,246,433
Drummond/Drummond,34,Saint-Germain-de-Grantham,43,1,50,5,183,5,287,483
Drummond/Drummond,35,Saint-Germain-de-Grantham,35,7,47,8,179,10,286,410
Drummond/Drummond,36,Saint-Germain-de-Grantham,62,5,69,8,243,15,402,609
Drummond/Drummond,37,Saint-Germain-de-Grantham,52,9,52,1,171,9,294,473
Drummond/Drummond,38,Saint-Germain-de-Grantham,28,2,27,5,85,4,151,296
Drummond/Drummond,39,Drummondville,44,4,56,3,140,7,254,456
Drummond/Drummond,40,Drummondville,38,3,55,3,195,4,298,530
Drummond/Drummond,41,Drummondville,39,1,37,4,157,9,247,552
Drummond/Drummond,42,Drummondville,45,3,49,8,130,3,238,462
Drummond/Drummond,43,Drummondville,75,9,44,12,229,5,374,644
Drummond/Drummond,44,Drummondville,9,1,21,8,92,5,136,319
Drummond/Drummond,45,Drummondville,33,4,19,8,139,4,207,488
Drummond/Drummond,46,Drummondville,49,5,90,5,175,9,333,599
Drummond/Drummond,47,Drummondville,31,2,43,4,102,2,184,401
Drummond/Drummond,48,Drummondville,45,5,73,5,128,5,261,389
Drummond/Drummond,49,Drummondville,68,7,104,9,196,11,395,626
Drummond/Drummond,50,Drummondville,40,7,43,7,163,4,264,629
Drummond/Drummond,51,Drummondville,53,5,77,5,173,8,321,642
Drummond/Drummond,52,Drummondville,56,9,111,10,194,7,387,546
Drummond/Drummond,53,Drummondville,28,5,81,7,104,7,232,374
Drummond/Drummond,54,Drummondville,37,3,92,3,86,7,228,443
Drummond/Drummond,55,Drummondville,38,4,69,3,82,4,200,301
Drummond/Drummond,56,Drummondville,24,5,38,6,101,6,180,305
Drummond/Drummond,57,Drummondville,29,3,77,7,63,6,185,256
Drummond/Drummond,58,Drummondville,39,7,81,3,123,5,258,533
Drummond/Drummond,59,Drummondville,40,5,84,6,141,4,280,473
Drummond/Drummond,60,Drummondville,23,1,53,1,84,3,165,361
Drummond/Drummond,61,Drummondville,43,3,56,1,105,5,213,353
Drummond/Drummond,62,Drummondville,17,6,59,0,68,8,158,300
Drummond/Drummond,63,Drummondville,18,3,49,3,86,1,160,321
Drummond/Drummond,64,Drummondville,44,2,70,2,136,6,260,432
Drummond/Drummond,65,Saint-Charles-de-Drummond,40,7,45,8,112,6,218,306
Drummond/Drummond,66A,Saint-Charles-de-Drummond,46,4,61,7,166,16,300,487
Drummond/Drummond,66B,Saint-Charles-de-Drummond,62,3,52,9,172,3,301,471
Drummond/Drummond,67,Saint-Charles-de-Drummond,43,2,29,5,127,6,212,357
Drummond/Drummond,68,Saint-Charles-de-Drummond,73,7,48,6,187,15,336,573
Drummond/Drummond,69,Saint-Charles-de-Drummond,21,1,37,2,95,8,164,270
Drummond/Drummond,70,Saint-Charles-de-Drummond,54,1,28,2,138,4,227,355
Drummond/Drummond,71,Saint-Charles-de-Drummond,45,4,69,10,143,14,285,444
Drummond/Drummond,72A,Drummondville,31,3,45,3,98,4,184,416
Drummond/Drummond,72B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,68
Drummond/Drummond,73,Saint-Charles-de-Drummond,34,1,43,5,133,4,220,345
Drummond/Drummond,74,Saint-Charles-de-Drummond,72,4,79,8,195,20,378,690
Drummond/Drummond,75,Saint-Charles-de-Drummond,50,6,42,9,143,5,255,445
Drummond/Drummond,76,Drummondville,25,0,32,2,80,5,144,269
Drummond/Drummond,77,Drummondville,10,0,28,1,54,2,95,252
Drummond/Drummond,78,Drummondville,32,7,50,3,93,1,186,377
Drummond/Drummond,79,Drummondville,22,4,34,8,120,4,192,453
Drummond/Drummond,80,Drummondville,11,3,40,3,81,4,142,334
Drummond/Drummond,81,Drummondville,22,3,44,0,49,3,121,275
Drummond/Drummond,82,Drummondville,18,1,41,4,75,3,142,289
Drummond/Drummond,83,Drummondville,21,6,25,5,75,6,138,307
Drummond/Drummond,84,Drummondville,12,2,41,3,88,4,150,339
Drummond/Drummond,85,Drummondville,21,2,30,4,97,8,162,427
Drummond/Drummond,86,Drummondville,30,3,24,0,100,4,161,335
Drummond/Drummond,87,Drummondville,29,2,68,6,118,9,232,386
Drummond/Drummond,88,Drummondville,27,5,34,3,84,3,156,318
Drummond/Drummond,89,Drummondville,17,4,39,4,120,7,191,381
Drummond/Drummond,90,Drummondville,46,2,121,1,94,16,280,411
Drummond/Drummond,91,Drummondville,38,2,37,5,110,3,195,396
Drummond/Drummond,92,Drummondville,34,1,81,6,112,5,239,408
Drummond/Drummond,93,Drummondville,36,10,73,8,120,7,254,477
Drummond/Drummond,94,Drummondville,22,1,30,4,90,4,151,328
Drummond/Drummond,95,Drummondville,44,1,55,9,139,6,254,403
Drummond/Drummond,96,Drummondville,26,2,89,2,120,4,243,378
Drummond/Drummond,97,Drummondville,39,4,87,5,126,2,263,372
Drummond/Drummond,98,Drummondville,35,4,67,2,99,8,215,382
Drummond/Drummond,99,Drummondville,28,3,55,8,130,7,231,409
Drummond/Drummond,100,Drummondville,24,9,60,8,128,8,237,387
Drummond/Drummond,101,Drummondville,25,5,54,6,132,3,225,532
Drummond/Drummond,102,Drummondville,28,1,32,5,99,0,165,330
Drummond/Drummond,103,Drummondville,30,4,34,4,103,0,175,326
Drummond/Drummond,104,Drummondville,62,7,53,5,203,13,343,604
Drummond/Drummond,105,Drummondville,39,2,69,6,125,6,247,381
Drummond/Drummond,106,Drummondville,33,6,59,2,167,16,283,539
Drummond/Drummond,107,Drummondville,64,4,60,10,200,9,347,619
Drummond/Drummond,108,Drummondville,46,3,46,9,188,6,298,561
Drummond/Drummond,109,Drummondville,44,9,63,4,198,11,329,571
Drummond/Drummond,110,Drummondville,24,5,43,4,146,0,222,412
Drummond/Drummond,111,Drummondville,41,2,37,5,174,7,266,460
Drummond/Drummond,112,Drummondville,20,0,37,4,80,6,147,337
Drummond/Drummond,113,Drummondville,33,1,52,1,85,2,174,390
Drummond/Drummond,114,Drummondville,22,1,28,2,64,10,127,418
Drummond/Drummond,115,Drummondville,33,2,37,2,122,7,203,405
Drummond/Drummond,116,Drummondville,30,2,35,5,129,11,212,407
Drummond/Drummond,117,Drummondville,33,4,30,8,117,5,197,411
Drummond/Drummond,118,Drummondville,28,3,35,0,109,6,181,353
Drummond/Drummond,119,Drummondville,29,0,61,2,91,4,187,312
Drummond/Drummond,120,Drummondville,28,9,61,7,110,5,220,360
Drummond/Drummond,121,Drummondville,46,5,62,4,121,6,244,408
Drummond/Drummond,122,Drummondville,32,3,30,5,97,7,174,316
Drummond/Drummond,123,Drummondville,31,6,36,6,103,4,186,316
Drummond/Drummond,124,Drummondville,24,3,20,1,73,9,130,346
Drummond/Drummond,125,Drummondville,14,0,13,4,58,2,91,251
Drummond/Drummond,126,Drummondville,30,2,70,1,140,3,246,370
Drummond/Drummond,127,Drummondville,31,6,55,4,122,13,231,394
Drummond/Drummond,128,Drummondville,31,4,46,4,116,1,202,350
Drummond/Drummond,129,Drummondville,39,9,42,4,125,8,227,380
Drummond/Drummond,130,Drummondville,20,8,64,6,160,10,268,561
Drummond/Drummond,131,Drummondville,17,2,37,2,120,2,180,445
Drummond/Drummond,132,Drummondville,44,3,69,4,132,4,256,390
Drummond/Drummond,133,Drummondville,35,4,62,3,118,2,224,386
Drummond/Drummond,134,Drummondville,23,2,39,4,90,6,164,258
Drummond/Drummond,135,Drummondville,32,6,53,0,136,7,234,429
Drummond/Drummond,136,Drummondville,42,4,76,7,111,5,245,373
Drummond/Drummond,137,Drummondville,32,2,61,1,139,4,239,453
Drummond/Drummond,138,Drummondville,28,3,51,9,131,7,229,479
Drummond/Drummond,139,Drummondville,21,3,37,0,84,7,152,267
Drummond/Drummond,140,Drummondville,15,5,41,3,152,7,223,383
Drummond/Drummond,141,Saint-Nicéphore,17,2,24,5,72,4,124,212
Drummond/Drummond,142,Saint-Nicéphore,17,4,52,5,103,4,185,345
Drummond/Drummond,143,Saint-Nicéphore,55,11,31,10,194,7,308,492
Drummond/Drummond,144,Saint-Nicéphore,54,3,37,9,207,13,323,601
Drummond/Drummond,145,Saint-Nicéphore,32,4,22,4,200,3,265,506
Drummond/Drummond,146,Drummondville,43,5,34,7,185,4,278,495
Drummond/Drummond,147,Saint-Nicéphore,48,6,42,4,184,10,294,528
Drummond/Drummond,148,Saint-Nicéphore,38,1,17,2,111,5,174,323
Drummond/Drummond,149,Saint-Nicéphore,62,5,25,4,155,7,258,478
Drummond/Drummond,150,Saint-Nicéphore,38,3,41,6,159,9,256,495
Drummond/Drummond,151,Saint-Nicéphore,63,9,41,6,203,12,334,629
Drummond/Drummond,152,Saint-Nicéphore,21,2,40,5,89,2,159,320
Drummond/Drummond,153,Saint-Nicéphore,60,7,35,4,134,10,250,519
Drummond/Drummond,154,Saint-Nicéphore,28,5,40,3,144,5,225,466
Drummond/Drummond,155,Saint-Nicéphore,39,1,18,3,96,3,160,306
Drummond/Drummond,156,Saint-Nicéphore,26,1,22,1,132,7,189,394
Drummond/Drummond,157,Saint-Nicéphore,45,7,30,5,138,6,231,469
Drummond/Drummond,158,Saint-Nicéphore,38,7,13,1,90,2,151,309
Drummond/Drummond,159,Wickham,54,8,59,7,205,10,343,574
Drummond/Drummond,160,Wickham,53,4,38,3,125,11,234,485
Drummond/Drummond,161,Wickham,57,2,33,6,161,3,262,429
Drummond/Drummond,162,Wickham,19,3,32,4,97,3,158,323
Drummond/Drummond,163,Lefebvre,52,4,32,8,104,5,205,322
Drummond/Drummond,164,Lefebvre,28,2,26,3,71,6,136,238
Drummond/Drummond,165,Durham-Sud,42,5,68,7,107,9,238,388
Drummond/Drummond,166,Durham-Sud,45,11,75,20,106,10,267,423
Drummond/Drummond,167,L'Avenir,68,16,86,18,185,3,376,594
Drummond/Drummond,168,L'Avenir,47,5,42,11,149,13,267,436
Drummond/Drummond,500,Mobile poll/Bureau itinérant,31,4,52,1,50,2,140,127
Drummond/Drummond,501,Mobile poll/Bureau itinérant,36,2,69,4,42,6,159,226
Drummond/Drummond,502,Mobile poll/Bureau itinérant,32,0,73,4,54,10,173,251
Drummond/Drummond,503,Mobile poll/Bureau itinérant,31,1,48,2,21,8,111,184
Drummond/Drummond,600,Saint-Cyrille-de-Wendover,22,2,21,7,74,3,129,
Drummond/Drummond,601,Saint-Germain-de-Grantham,18,2,32,3,49,3,107,
Drummond/Drummond,602,Drummondville,23,3,42,4,107,3,182,
Drummond/Drummond,603,Drummondville,32,3,96,4,121,3,259,
Drummond/Drummond,604,Saint-Charles-de-Drummond,14,2,51,1,117,2,187,
Drummond/Drummond,605,Drummondville,41,3,88,9,96,5,242,
Drummond/Drummond,606,Drummondville,74,11,116,9,200,5,415,
Drummond/Drummond,607,Drummondville,69,6,141,8,247,13,484,
Drummond/Drummond,608,Saint-Nicéphore,52,6,56,7,167,5,293,
Drummond/Drummond,609,Wickham,5,1,10,1,24,3,44,
Drummond/Drummond,,Group 1/Groupe 1,32,2,15,2,28,1,80,143
Drummond/Drummond,,Group 2/Groupe 2,141,14,538,18,656,21,1388,
