District,Poll Number,Poll Name,Otto Casanova,Peter Gibson Creighton,Wajid Khan,Manjinder Rai,Nina Tangri,Rejected Ballots,Total Vote,Electors
Mississauga--Streetsville/Mississauga--Streetsville,1A,Mississauga,20,4,134,21,83,4,266,577
Mississauga--Streetsville/Mississauga--Streetsville,1B,Mississauga,13,9,117,29,61,0,229,540
Mississauga--Streetsville/Mississauga--Streetsville,2,Mississauga,13,0,132,23,74,2,244,502
Mississauga--Streetsville/Mississauga--Streetsville,3,Mississauga,12,4,78,15,45,2,156,362
Mississauga--Streetsville/Mississauga--Streetsville,4,Mississauga,10,3,114,25,81,2,235,484
Mississauga--Streetsville/Mississauga--Streetsville,5,Mississauga,12,9,118,25,79,2,245,428
Mississauga--Streetsville/Mississauga--Streetsville,6,Mississauga,23,3,160,24,95,0,305,577
Mississauga--Streetsville/Mississauga--Streetsville,7,Mississauga,8,8,170,18,90,0,294,469
Mississauga--Streetsville/Mississauga--Streetsville,8,Mississauga,13,10,136,20,51,2,232,397
Mississauga--Streetsville/Mississauga--Streetsville,9,Mississauga,12,10,124,30,95,3,274,473
Mississauga--Streetsville/Mississauga--Streetsville,10,Mississauga,2,6,128,19,65,0,220,401
Mississauga--Streetsville/Mississauga--Streetsville,11,Mississauga,8,5,80,17,35,1,146,284
Mississauga--Streetsville/Mississauga--Streetsville,12,Mississauga,2,5,110,5,102,0,224,343
Mississauga--Streetsville/Mississauga--Streetsville,13,Mississauga,6,1,117,17,71,1,213,460
Mississauga--Streetsville/Mississauga--Streetsville,14A,Mississauga,6,7,95,11,45,3,167,328
Mississauga--Streetsville/Mississauga--Streetsville,14B,Mississauga,7,0,87,12,37,1,144,312
Mississauga--Streetsville/Mississauga--Streetsville,15,Mississauga,9,5,116,29,83,1,243,555
Mississauga--Streetsville/Mississauga--Streetsville,16A,Mississauga,12,5,155,17,60,0,249,460
Mississauga--Streetsville/Mississauga--Streetsville,16B,Mississauga,6,5,131,22,79,3,246,402
Mississauga--Streetsville/Mississauga--Streetsville,17,Mississauga,12,4,113,9,53,0,191,315
Mississauga--Streetsville/Mississauga--Streetsville,18,Mississauga,21,3,142,16,105,3,290,553
Mississauga--Streetsville/Mississauga--Streetsville,19A,Mississauga,9,3,89,18,53,1,173,271
Mississauga--Streetsville/Mississauga--Streetsville,19B,Mississauga,5,2,90,16,49,0,162,309
Mississauga--Streetsville/Mississauga--Streetsville,20,Mississauga,7,5,97,28,55,0,192,398
Mississauga--Streetsville/Mississauga--Streetsville,21,Mississauga,6,7,114,15,62,2,206,414
Mississauga--Streetsville/Mississauga--Streetsville,22A,Mississauga,2,1,99,25,34,0,161,284
Mississauga--Streetsville/Mississauga--Streetsville,22B,Mississauga,2,5,109,15,44,1,176,313
Mississauga--Streetsville/Mississauga--Streetsville,23,Mississauga,2,4,108,10,58,0,182,328
Mississauga--Streetsville/Mississauga--Streetsville,24,Mississauga,10,12,114,13,85,1,235,393
Mississauga--Streetsville/Mississauga--Streetsville,25,Mississauga,14,7,103,14,66,0,204,380
Mississauga--Streetsville/Mississauga--Streetsville,26,Mississauga,16,7,118,22,70,0,233,374
Mississauga--Streetsville/Mississauga--Streetsville,27,Mississauga,15,14,137,26,83,0,275,497
Mississauga--Streetsville/Mississauga--Streetsville,28,Mississauga,24,10,130,27,80,0,271,457
Mississauga--Streetsville/Mississauga--Streetsville,29,Mississauga,7,2,97,16,67,3,192,346
Mississauga--Streetsville/Mississauga--Streetsville,30A,Mississauga,4,10,114,17,96,0,241,471
