District,Poll Number,Poll Name,Siobhan Coady,Loyola Hearn,Peg Norman,Stephen Daniel Willcott,Rejected Ballots,Total Vote,Electors
St. John's South/St. John's-Sud,1,St. John's,35,48,53,0,0,136,264
St. John's South/St. John's-Sud,2A,St. John's,47,33,44,1,0,125,244
St. John's South/St. John's-Sud,2B,St. John's,49,43,51,2,0,145,278
St. John's South/St. John's-Sud,3,St. John's,32,28,85,4,2,151,294
St. John's South/St. John's-Sud,4,St. John's,83,64,60,6,0,213,397
St. John's South/St. John's-Sud,5,St. John's,59,28,88,4,0,179,214
St. John's South/St. John's-Sud,6,St. John's,Merged with No. 5,,,,,,160
St. John's South/St. John's-Sud,7,St. John's,57,39,98,4,0,198,382
St. John's South/St. John's-Sud,8,St. John's,32,56,47,0,0,135,321
St. John's South/St. John's-Sud,9A,St. John's,38,26,70,9,0,143,357
St. John's South/St. John's-Sud,9B,St. John's,35,58,46,8,2,149,355
St. John's South/St. John's-Sud,10,St. John's,20,31,34,1,1,87,216
St. John's South/St. John's-Sud,11,St. John's,75,31,87,6,0,199,452
St. John's South/St. John's-Sud,12,St. John's,32,43,59,2,1,137,398
St. John's South/St. John's-Sud,13,St. John's,50,54,65,8,2,179,354
St. John's South/St. John's-Sud,14,St. John's,56,82,80,2,1,221,421
St. John's South/St. John's-Sud,15,St. John's,58,51,65,5,0,179,408
St. John's South/St. John's-Sud,16,St. John's,46,49,78,3,0,176,372
St. John's South/St. John's-Sud,17,St. John's,47,47,55,5,1,155,325
St. John's South/St. John's-Sud,18,St. John's,22,45,41,3,0,111,336
St. John's South/St. John's-Sud,19,St. John's,49,73,72,5,2,201,341
St. John's South/St. John's-Sud,20A,St. John's,52,47,53,2,0,154,220
St. John's South/St. John's-Sud,20B,St. John's,54,48,19,1,6,128,218
St. John's South/St. John's-Sud,21,St. John's,68,59,55,4,0,186,304
St. John's South/St. John's-Sud,22,St. John's,79,61,51,1,1,193,336
St. John's South/St. John's-Sud,23,St. John's,39,45,32,2,1,119,206
St. John's South/St. John's-Sud,24,St. John's,52,47,29,1,1,130,355
St. John's South/St. John's-Sud,25,St. John's,69,73,55,4,2,203,395
St. John's South/St. John's-Sud,26,St. John's,52,74,55,1,2,184,379
St. John's South/St. John's-Sud,27,St. John's,95,68,54,5,2,224,459
St. John's South/St. John's-Sud,28,St. John's,44,62,32,1,0,139,286
St. John's South/St. John's-Sud,29,St. John's,56,38,24,3,1,122,240
St. John's South/St. John's-Sud,30,St. John's,60,74,24,0,0,158,337
St. John's South/St. John's-Sud,31,St. John's,48,57,20,1,0,126,304
St. John's South/St. John's-Sud,32,St. John's,41,52,35,2,1,131,312
St. John's South/St. John's-Sud,33,St. John's,30,28,41,3,0,102,231
St. John's South/St. John's-Sud,34A,St. John's,66,77,87,4,1,235,591
St. John's South/St. John's-Sud,34B,Mobile poll/Bureau itinérant,Merged with No. 95B,,,,,,9
St. John's South/St. John's-Sud,35,St. John's,37,28,38,3,1,107,361
St. John's South/St. John's-Sud,36,St. John's,54,35,35,2,1,127,331
St. John's South/St. John's-Sud,37,St. John's,54,42,49,3,0,148,304
St. John's South/St. John's-Sud,38,St. John's,62,37,55,4,0,158,319
St. John's South/St. John's-Sud,39,St. John's,30,60,58,8,2,158,317
St. John's South/St. John's-Sud,40,St. John's,38,42,67,1,0,148,322
St. John's South/St. John's-Sud,41,St. John's,76,49,50,1,0,176,453
St. John's South/St. John's-Sud,42A,St. John's,64,61,51,2,0,178,259
St. John's South/St. John's-Sud,42B,St. John's,46,63,8,0,0,117,274
St. John's South/St. John's-Sud,43,St. John's,46,71,66,2,0,185,352
St. John's South/St. John's-Sud,44,St. John's,89,66,37,3,1,196,437
St. John's South/St. John's-Sud,45A,St. John's,65,51,32,1,0,149,290
St. John's South/St. John's-Sud,45B,St. John's,26,17,17,1,0,61,269
St. John's South/St. John's-Sud,46,St. John's,Void,,,,,,
St. John's South/St. John's-Sud,47A,St. John's,46,57,61,2,0,166,288
St. John's South/St. John's-Sud,47B,St. John's,54,61,48,2,1,166,296
St. John's South/St. John's-Sud,48,St. John's,40,53,38,2,1,134,415
St. John's South/St. John's-Sud,49,St. John's,62,65,52,0,1,180,442
St. John's South/St. John's-Sud,50,St. John's,41,24,30,0,0,95,238
St. John's South/St. John's-Sud,51,St. John's,37,50,21,2,0,110,241
St. John's South/St. John's-Sud,52,St. John's,39,25,15,0,1,80,210
St. John's South/St. John's-Sud,53,St. John's,31,23,16,0,0,70,194
St. John's South/St. John's-Sud,54,St. John's,53,43,45,2,0,143,377
St. John's South/St. John's-Sud,55,St. John's,41,54,36,2,0,133,455
St. John's South/St. John's-Sud,56,St. John's,73,99,40,3,0,215,464
St. John's South/St. John's-Sud,57A,St. John's,35,42,30,0,1,108,277
St. John's South/St. John's-Sud,57B,St. John's,31,45,21,1,0,98,256
St. John's South/St. John's-Sud,58,St. John's,91,101,22,0,2,216,362
St. John's South/St. John's-Sud,59,St. John's,88,76,22,2,0,188,384
St. John's South/St. John's-Sud,60A,St. John's,53,55,26,1,1,136,278
St. John's South/St. John's-Sud,60B,St. John's,38,46,29,0,0,113,250
St. John's South/St. John's-Sud,61,St. John's,25,40,23,3,1,92,301
St. John's South/St. John's-Sud,62,St. John's,54,51,51,1,0,157,401
St. John's South/St. John's-Sud,63,St. John's,68,57,43,6,3,177,353
St. John's South/St. John's-Sud,64,St. John's,66,67,32,1,0,166,397
St. John's South/St. John's-Sud,65,St. John's,85,97,42,4,0,228,364
St. John's South/St. John's-Sud,66,St. John's,111,83,37,2,1,234,397
St. John's South/St. John's-Sud,67,St. John's,105,93,32,0,2,232,360
St. John's South/St. John's-Sud,68,St. John's,51,64,53,4,0,172,404
