District,Poll Number,Poll Name,Almaz Aladass,Fernand Deschamps,Stéphane Dion,William Fayad,Ken Fernandez,Zaid Mahayni,Alex Neron,Marc Rahmé,Nilda Vargas,Rejected Ballots,Total Vote,Electors
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,54,Saint-Laurent,1,1,82,26,1,3,1,7,0,2,124,204
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,55,Saint-Laurent,4,0,76,16,0,20,0,8,1,1,126,273
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,56,Saint-Laurent,5,1,114,26,0,10,0,25,0,1,182,444
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,57,Saint-Laurent,2,0,85,18,0,7,1,17,0,1,131,405
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,58,Saint-Laurent,3,0,134,58,2,10,0,15,1,2,225,472
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,59,Saint-Laurent,10,0,120,25,0,17,3,9,0,3,187,307
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,60,Saint-Laurent,2,1,173,41,1,18,1,8,0,3,248,460
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,61,Saint-Laurent,4,0,197,19,0,26,3,11,0,1,261,501
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,62,Saint-Laurent,8,0,166,48,1,12,1,12,0,3,251,458
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,63,Saint-Laurent,1,0,132,53,1,16,1,14,1,6,225,410
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,64,Saint-Laurent,1,2,171,34,1,11,0,22,0,0,242,474
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,65,Saint-Laurent,2,0,149,32,0,1,0,14,0,1,199,354
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,66,Saint-Laurent,5,2,190,38,0,11,1,9,3,10,269,361
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,67A,Saint-Laurent,2,1,120,25,0,15,0,7,0,2,172,338
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,67B,Saint-Laurent,4,0,122,32,0,17,1,8,0,2,186,332
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,68,Saint-Laurent,0,0,88,14,1,4,0,9,0,1,117,247
