District,Poll Number,Poll Name,Jean-Paul Bédard,Rebecca Blaikie,Douglas Jack,Thierry Larrivée,Paul Martin,Nicole Roy-Arcelin,Marc-Boris St-Maurice,Rejected Ballots,Total Vote,Electors
LaSalle--Émard/LaSalle--Émard,62,Montréal,1,8,3,87,93,10,2,8,212,393
LaSalle--Émard/LaSalle--Émard,63,Montréal,1,17,7,83,106,10,1,5,230,392
LaSalle--Émard/LaSalle--Émard,64,Montréal,1,9,2,96,86,9,1,3,207,374
LaSalle--Émard/LaSalle--Émard,65,Montréal,1,6,5,73,86,16,1,9,197,355
LaSalle--Émard/LaSalle--Émard,66,Montréal,2,16,10,119,103,6,4,9,269,413
LaSalle--Émard/LaSalle--Émard,67,Montréal,0,14,6,136,107,3,2,8,276,432
LaSalle--Émard/LaSalle--Émard,68,Montréal,1,11,0,82,81,18,1,3,197,331
LaSalle--Émard/LaSalle--Émard,69,Montréal,0,11,3,82,66,6,3,9,180,328
LaSalle--Émard/LaSalle--Émard,70,Montréal,2,9,2,89,76,8,5,6,197,364
LaSalle--Émard/LaSalle--Émard,71,Montréal,0,11,2,56,99,5,2,4,179,426
LaSalle--Émard/LaSalle--Émard,72,Montréal,1,7,2,88,71,9,1,1,180,320
LaSalle--Émard/LaSalle--Émard,73,Montréal,1,3,7,73,82,11,2,2,181,344
LaSalle--Émard/LaSalle--Émard,74,Montréal,1,10,3,64,98,10,0,4,190,365
LaSalle--Émard/LaSalle--Émard,75,Montréal,1,15,3,84,128,12,0,5,248,519
LaSalle--Émard/LaSalle--Émard,76,LaSalle,5,12,7,48,196,10,4,3,285,479
LaSalle--Émard/LaSalle--Émard,77,LaSalle,1,13,2,37,140,7,3,2,205,423
LaSalle--Émard/LaSalle--Émard,78,LaSalle,1,11,1,43,170,10,0,3,239,436
LaSalle--Émard/LaSalle--Émard,79,LaSalle,3,12,4,46,182,12,2,2,263,497
LaSalle--Émard/LaSalle--Émard,80,LaSalle,0,9,2,84,146,15,2,5,263,422
LaSalle--Émard/LaSalle--Émard,81,LaSalle,0,8,5,54,77,8,0,1,153,336
LaSalle--Émard/LaSalle--Émard,82,LaSalle,2,18,9,72,148,5,0,6,260,379
LaSalle--Émard/LaSalle--Émard,83,LaSalle,0,11,3,53,154,11,1,2,235,455
LaSalle--Émard/LaSalle--Émard,84,LaSalle,3,6,4,47,174,9,1,0,244,442
LaSalle--Émard/LaSalle--Émard,85,LaSalle,1,2,0,31,171,10,1,6,222,362
LaSalle--Émard/LaSalle--Émard,86,LaSalle,2,7,3,31,157,7,0,0,207,377
LaSalle--Émard/LaSalle--Émard,87,LaSalle,0,8,10,38,144,9,0,0,209,411
LaSalle--Émard/LaSalle--Émard,88,LaSalle,3,10,2,44,149,8,4,4,224,449
LaSalle--Émard/LaSalle--Émard,89,LaSalle,2,12,2,37,179,6,2,1,241,435
LaSalle--Émard/LaSalle--Émard,90,LaSalle,0,13,5,41,197,11,1,2,270,441
LaSalle--Émard/LaSalle--Émard,91,LaSalle,0,19,4,46,174,11,4,3,261,417
LaSalle--Émard/LaSalle--Émard,92,LaSalle,1,15,9,98,189,10,4,10,336,555
LaSalle--Émard/LaSalle--Émard,93,LaSalle,2,13,6,67,145,18,2,2,255,442
LaSalle--Émard/LaSalle--Émard,94,LaSalle,3,7,6,26,167,3,0,2,214,354
LaSalle--Émard/LaSalle--Émard,95,LaSalle,0,20,1,20,249,8,2,3,303,533
LaSalle--Émard/LaSalle--Émard,96,LaSalle,0,8,12,26,155,15,0,1,217,415
LaSalle--Émard/LaSalle--Émard,97,LaSalle,0,9,4,40,94,9,1,4,161,343
LaSalle--Émard/LaSalle--Émard,98,LaSalle,4,8,2,60,99,9,1,5,188,396
LaSalle--Émard/LaSalle--Émard,99,LaSalle,2,8,11,138,166,12,2,2,341,581
LaSalle--Émard/LaSalle--Émard,100,LaSalle,1,7,9,29,62,20,0,1,129,350
LaSalle--Émard/LaSalle--Émard,101,LaSalle,4,4,7,30,88,13,1,2,149,309
LaSalle--Émard/LaSalle--Émard,102,LaSalle,0,3,6,36,76,13,0,3,137,359
LaSalle--Émard/LaSalle--Émard,103,LaSalle,3,5,6,82,131,13,1,2,243,470
LaSalle--Émard/LaSalle--Émard,104,LaSalle,0,14,2,78,94,11,3,4,206,442
LaSalle--Émard/LaSalle--Émard,105,LaSalle,0,10,10,107,109,11,2,2,251,436
LaSalle--Émard/LaSalle--Émard,106,LaSalle,2,13,2,87,97,11,2,8,222,438
LaSalle--Émard/LaSalle--Émard,107,LaSalle,0,5,1,82,98,16,1,4,207,454
LaSalle--Émard/LaSalle--Émard,108,LaSalle,1,7,4,47,117,8,2,1,187,335
LaSalle--Émard/LaSalle--Émard,109,LaSalle,1,15,7,28,128,9,3,3,194,394
LaSalle--Émard/LaSalle--Émard,110,LaSalle,1,10,8,62,172,10,2,1,266,447
LaSalle--Émard/LaSalle--Émard,111,LaSalle,0,10,3,109,96,6,0,5,229,417
LaSalle--Émard/LaSalle--Émard,112,LaSalle,1,16,6,29,178,5,2,0,237,452
LaSalle--Émard/LaSalle--Émard,113,LaSalle,0,5,5,38,146,8,1,5,208,453
LaSalle--Émard/LaSalle--Émard,114,LaSalle,0,5,1,36,131,9,1,5,188,400
LaSalle--Émard/LaSalle--Émard,115,LaSalle,0,1,3,31,117,9,0,1,162,356
LaSalle--Émard/LaSalle--Émard,116,LaSalle,1,4,2,39,198,15,3,4,266,456
LaSalle--Émard/LaSalle--Émard,117,LaSalle,1,9,3,30,150,9,2,3,207,404
LaSalle--Émard/LaSalle--Émard,118,LaSalle,0,12,3,106,99,5,0,5,230,464
LaSalle--Émard/LaSalle--Émard,119,LaSalle,0,5,5,47,88,13,2,2,162,292
LaSalle--Émard/LaSalle--Émard,120,LaSalle,1,13,6,64,73,8,1,6,172,331
LaSalle--Émard/LaSalle--Émard,121,LaSalle,0,8,6,90,101,13,5,3,226,429
LaSalle--Émard/LaSalle--Émard,122,LaSalle,0,5,14,79,72,9,3,2,184,372
LaSalle--Émard/LaSalle--Émard,123,LaSalle,1,6,11,36,86,9,5,2,156,373
LaSalle--Émard/LaSalle--Émard,124,LaSalle,0,4,7,127,89,10,1,5,243,400
LaSalle--Émard/LaSalle--Émard,125,LaSalle,1,9,4,121,93,11,6,3,248,437
LaSalle--Émard/LaSalle--Émard,126,LaSalle,2,10,4,108,95,21,4,3,247,429
LaSalle--Émard/LaSalle--Émard,127,LaSalle,2,7,8,73,112,9,0,1,212,508
LaSalle--Émard/LaSalle--Émard,128,LaSalle,1,11,1,42,153,8,2,1,219,506
LaSalle--Émard/LaSalle--Émard,129,LaSalle,2,7,6,22,139,11,2,3,192,349
LaSalle--Émard/LaSalle--Émard,130,LaSalle,3,14,5,30,154,9,0,5,220,386
LaSalle--Émard/LaSalle--Émard,131,LaSalle,0,4,7,30,162,10,2,4,219,385
LaSalle--Émard/LaSalle--Émard,132,LaSalle,1,11,5,40,148,5,0,6,216,362
LaSalle--Émard/LaSalle--Émard,133,LaSalle,1,0,5,21,96,5,1,0,129,262
LaSalle--Émard/LaSalle--Émard,134,LaSalle,3,7,7,44,119,14,0,1,195,391
LaSalle--Émard/LaSalle--Émard,135,LaSalle,0,3,5,58,135,19,2,1,223,399
LaSalle--Émard/LaSalle--Émard,136,LaSalle,2,4,2,58,150,14,2,4,236,438
LaSalle--Émard/LaSalle--Émard,137,LaSalle,0,7,13,40,149,7,2,4,222,431
LaSalle--Émard/LaSalle--Émard,138,LaSalle,1,6,2,66,131,6,1,4,217,361
LaSalle--Émard/LaSalle--Émard,139,LaSalle,1,10,4,29,151,14,1,1,211,399
LaSalle--Émard/LaSalle--Émard,140,LaSalle,0,7,5,70,112,5,1,3,203,381
LaSalle--Émard/LaSalle--Émard,141,LaSalle,2,15,7,61,131,10,1,0,227,480
LaSalle--Émard/LaSalle--Émard,142,LaSalle,2,7,7,69,133,17,0,2,237,367
LaSalle--Émard/LaSalle--Émard,143,LaSalle,0,12,3,45,77,12,1,3,153,394
LaSalle--Émard/LaSalle--Émard,144,LaSalle,0,12,3,53,120,10,2,0,200,394
LaSalle--Émard/LaSalle--Émard,145,LaSalle,0,16,3,63,125,7,3,5,222,441
LaSalle--Émard/LaSalle--Émard,146,LaSalle,1,7,1,69,98,12,2,3,193,348
LaSalle--Émard/LaSalle--Émard,147,LaSalle,0,9,7,79,119,7,1,0,222,379
LaSalle--Émard/LaSalle--Émard,148,LaSalle,0,2,2,48,93,5,3,0,153,264
LaSalle--Émard/LaSalle--Émard,149,LaSalle,0,10,6,95,114,17,1,2,245,416
LaSalle--Émard/LaSalle--Émard,150,LaSalle,1,19,8,97,112,11,2,2,252,459
LaSalle--Émard/LaSalle--Émard,151,LaSalle,1,8,5,63,106,13,1,4,201,349
LaSalle--Émard/LaSalle--Émard,152,LaSalle,1,6,10,90,60,11,1,0,179,288
LaSalle--Émard/LaSalle--Émard,153,LaSalle,2,15,8,83,129,18,2,0,257,452
LaSalle--Émard/LaSalle--Émard,154,LaSalle,0,16,9,89,101,8,4,4,231,431
LaSalle--Émard/LaSalle--Émard,155,LaSalle,0,6,2,125,97,10,3,10,253,438
LaSalle--Émard/LaSalle--Émard,156,LaSalle,0,6,6,77,76,8,4,2,179,361
LaSalle--Émard/LaSalle--Émard,157,LaSalle,1,18,7,101,65,8,1,1,202,383
LaSalle--Émard/LaSalle--Émard,158,LaSalle,0,16,4,78,103,13,3,4,221,421
LaSalle--Émard/LaSalle--Émard,159,LaSalle,0,10,7,97,90,8,2,2,216,359
LaSalle--Émard/LaSalle--Émard,160,LaSalle,1,13,5,94,95,16,1,2,227,372
LaSalle--Émard/LaSalle--Émard,161,LaSalle,0,14,8,47,138,11,1,2,221,440
LaSalle--Émard/LaSalle--Émard,162,LaSalle,1,9,7,56,116,10,0,3,202,392
LaSalle--Émard/LaSalle--Émard,163,LaSalle,1,4,4,10,68,5,1,2,95,194
LaSalle--Émard/LaSalle--Émard,164,LaSalle,0,6,3,49,232,29,0,2,321,577
LaSalle--Émard/LaSalle--Émard,165,LaSalle,0,11,6,61,125,9,1,1,214,380
LaSalle--Émard/LaSalle--Émard,166,LaSalle,2,9,2,53,131,17,2,5,221,394
