District,Poll Number,Poll Name,Pierre Albert,Ginette Boutet,Gilles Duceppe,François Gregoire,Dylan Perceval-Maxwell,Nicky Tanguay,Jean-François Thibault,Rejected Ballots,Total Vote,Electors
Laurier/Laurier,1,Montréal,5,1,175,31,14,1,18,1,246,468
Laurier/Laurier,2,Montréal,3,1,119,14,16,1,16,3,173,288
Laurier/Laurier,3,Montréal,4,0,137,28,11,3,13,0,196,333
Laurier/Laurier,4,Montréal,1,0,108,21,11,2,14,1,158,276
Laurier/Laurier,5,Montréal,3,0,163,31,11,3,25,3,239,426
Laurier/Laurier,6,Montréal,3,0,159,31,21,2,14,1,231,404
Laurier/Laurier,7,Montréal,2,0,164,20,15,1,24,2,228,392
Laurier/Laurier,8,Montréal,5,1,172,27,13,3,26,3,250,450
Laurier/Laurier,9,Montréal,6,2,168,13,11,2,18,2,222,372
Laurier/Laurier,10,Montréal,5,1,145,24,12,0,21,1,209,382
Laurier/Laurier,11,Montréal,3,2,144,28,9,1,36,3,226,407
Laurier/Laurier,12,Montréal,4,2,149,17,14,6,56,2,250,456
Laurier/Laurier,13,Montréal,0,1,119,19,11,4,19,3,176,329
Laurier/Laurier,14,Montréal,4,0,154,25,12,2,24,1,222,411
Laurier/Laurier,15,Montréal,1,2,144,28,18,5,18,1,217,405
Laurier/Laurier,16,Montréal,2,1,133,28,7,3,15,1,190,378
Laurier/Laurier,17,Montréal,1,1,116,19,10,8,13,2,170,279
Laurier/Laurier,18,Montréal,4,1,120,23,7,1,16,5,177,295
Laurier/Laurier,19,Montréal,8,0,183,19,11,2,28,4,255,418
Laurier/Laurier,20,Montréal,1,1,125,27,11,2,33,3,203,364
Laurier/Laurier,21,Montréal,2,1,142,29,12,3,25,2,216,344
Laurier/Laurier,22,Montréal,6,0,176,18,18,6,15,0,239,516
Laurier/Laurier,23,Montréal,10,2,130,17,8,3,23,2,195,420
Laurier/Laurier,24,Montréal,5,0,155,23,11,3,11,3,211,365
Laurier/Laurier,25,Montréal,2,0,152,22,16,2,26,2,222,394
Laurier/Laurier,26,Montréal,5,1,103,16,6,4,45,7,187,354
Laurier/Laurier,27,Montréal,4,0,148,24,7,2,36,9,230,394
Laurier/Laurier,28,Montréal,5,0,164,20,12,1,44,11,257,443
Laurier/Laurier,29,Montréal,2,1,185,33,16,3,25,3,268,479
Laurier/Laurier,30,Montréal,5,1,182,28,14,2,23,0,255,395
Laurier/Laurier,31,Montréal,3,0,152,27,18,7,13,7,227,376
Laurier/Laurier,32,Montréal,7,0,103,13,1,5,29,2,160,366
Laurier/Laurier,33,Montréal,1,1,165,22,15,4,29,0,237,377
Laurier/Laurier,34,Montréal,5,2,160,32,10,2,32,3,246,469
Laurier/Laurier,35,Montréal,4,0,135,20,13,2,25,6,205,394
Laurier/Laurier,36,Montréal,4,0,145,24,9,4,16,0,202,336
Laurier/Laurier,37,Montréal,1,0,195,32,10,3,33,0,274,465
Laurier/Laurier,38,Montréal,7,2,112,12,10,0,32,2,177,351
Laurier/Laurier,39,Montréal,5,1,167,26,8,5,23,3,238,408
Laurier/Laurier,40,Montréal,3,0,133,27,14,0,22,4,203,349
Laurier/Laurier,41,Montréal,2,0,125,37,7,3,25,2,201,359
Laurier/Laurier,42,Montréal,2,3,125,30,20,6,29,6,221,380
Laurier/Laurier,43,Montréal,5,0,146,21,1,2,75,5,255,484
Laurier/Laurier,44,Montréal,4,0,111,33,13,6,54,7,228,443
Laurier/Laurier,45,Montréal,2,0,124,27,12,7,18,2,192,349
Laurier/Laurier,46,Montréal,4,1,132,28,18,2,42,7,234,418
Laurier/Laurier,47,Montréal,2,2,183,35,22,1,27,4,276,478
