District,Poll Number,Poll Name,Jen Fisher-Bradley,Randall Garrison,Shawn  W. Giles,John Koury,Keith Martin,Jane Sterk,Rejected Ballots,Total Vote,Electors
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,1,Port Renfrew,1,36,0,19,24,11,0,91,167
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,2,Shirley,0,55,1,37,67,31,0,191,303
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,3,Sooke,1,46,0,23,25,10,1,106,216
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,4,Otter Point,0,107,3,76,109,49,1,345,600
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,5,Otter Point,0,111,1,60,71,33,1,277,463
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,6,East Sooke,0,104,0,92,128,48,1,373,576
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,7,East Sooke,1,87,1,91,90,38,1,309,483
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,8,Sooke,0,103,1,83,143,26,0,356,617
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,9,Sooke,3,100,0,115,112,31,0,361,599
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,10,Sooke,0,82,0,51,66,30,0,229,400
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,11,Sooke,0,81,0,66,112,31,0,290,484
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,12,Sooke,0,91,1,108,163,38,2,403,789
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,13,Sooke,4,108,1,66,99,27,0,305,544
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,14,Sooke,1,67,1,47,83,34,0,233,456
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,15,Sooke,0,44,0,26,41,11,0,122,214
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,16,Sooke,0,88,0,83,121,25,0,317,571
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,17,Sooke,0,76,1,75,91,27,0,270,420
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,18,Sooke,0,67,0,41,89,24,0,221,444
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,19,Sooke,1,78,3,79,107,24,1,293,489
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,20,Sooke,1,99,0,70,124,37,0,331,542
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,21,Sooke 1,0,10,0,0,6,0,0,16,35
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,22,Langford,1,80,0,60,109,26,0,276,435
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,23,Langford,0,72,2,63,105,29,1,272,403
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,24,Langford,0,58,0,22,53,29,0,162,255
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,25,Langford,0,45,1,42,59,21,0,168,244
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,26,Langford,0,65,0,42,62,17,0,186,383
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,27,Langford,0,67,2,84,132,29,0,314,527
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,28,Langford,4,86,0,69,87,33,1,280,404
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,29,Langford,1,91,1,95,142,18,0,348,566
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,30,Langford,0,74,1,74,92,35,1,277,415
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,31,Langford,1,72,1,51,67,34,0,226,339
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,32,Langford,0,53,0,44,61,16,0,174,283
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,33,Langford,2,90,2,84,125,24,1,328,514
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,34,Langford,2,56,1,67,65,10,0,201,355
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,35,Langford,1,76,1,63,51,20,0,212,366
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,36,Langford,0,76,1,125,130,46,0,378,622
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,37,Langford,2,91,1,92,150,42,1,379,584
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,38,Langford,2,85,2,61,72,25,0,247,444
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,39,Langford,2,72,0,27,52,21,0,174,312
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,40,Langford,1,44,0,50,60,19,0,174,283
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,41,Langford,0,87,1,103,157,38,0,386,622
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,42,Langford,0,76,0,61,92,23,2,254,400
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,43,Langford,0,81,1,52,54,25,0,213,394
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,44,Langford,1,114,3,54,54,19,0,245,436
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,45,Langford,0,59,0,33,49,17,1,159,332
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,46,Langford,0,104,0,71,108,14,0,297,518
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,47,Langford,3,50,0,47,47,20,0,167,293
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,48,Langford,1,75,2,43,65,20,1,207,401
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,49,Langford,2,76,0,34,78,21,1,212,430
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,50,Langford,0,106,1,57,97,18,1,280,475
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,51,Langford,2,78,0,60,87,16,0,243,397
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,52,Langford,1,73,0,54,115,13,0,256,420
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,53,Langford,2,91,0,41,81,32,0,247,443
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,54,Langford,1,56,0,23,29,9,0,118,217
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,55,Langford,2,56,1,55,82,24,1,221,374
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,56,Langford,3,85,0,76,105,41,0,310,487
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,57,Langford,0,51,0,66,72,18,0,207,357
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,58,Langford,0,45,0,45,51,10,0,151,234
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,59,Willis Point,2,53,0,72,92,31,0,250,334
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,60,Saanich,0,70,1,63,125,38,2,299,441
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,61,Elk Lake,1,76,1,96,116,28,1,319,583
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,62,Prospect Lake,0,73,0,110,138,38,0,359,558
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,63,Prospect Lake,1,59,0,104,139,49,0,352,551
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,64,Elk Lake,0,64,0,106,106,34,1,311,451
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,65,Beaver Lake,0,57,0,83,102,38,0,280,451
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,66,Prospect Lake,1,87,0,94,120,36,0,338,549
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,67,Prospect Lake,1,59,0,59,78,12,0,209,354
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,68,Glyn,0,78,1,88,95,43,1,306,454
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,69,Glyn,0,77,0,58,97,19,1,252,384
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,70,Saanich,3,58,0,101,112,30,1,305,453
