District,Poll Number,Poll Name,Mauril Bélanger,Ric Dagenais,Kevin Friday,Françoise Roy,Carol Taylor,Raphaël Thierrin,Rejected Ballots,Total Vote,Electors
Ottawa--Vanier/Ottawa--Vanier,1,Gloucester,113,34,90,0,3,15,2,257,363
Ottawa--Vanier/Ottawa--Vanier,2,Gloucester,111,50,107,0,1,9,1,279,412
Ottawa--Vanier/Ottawa--Vanier,3,Gloucester,175,30,109,0,2,13,3,332,467
Ottawa--Vanier/Ottawa--Vanier,4,Gloucester,136,34,83,0,0,15,1,269,384
Ottawa--Vanier/Ottawa--Vanier,5,Gloucester,112,35,80,0,3,11,4,245,379
Ottawa--Vanier/Ottawa--Vanier,6,Gloucester,120,39,87,0,3,19,5,273,386
Ottawa--Vanier/Ottawa--Vanier,7,Gloucester,71,19,74,0,1,17,0,182,253
Ottawa--Vanier/Ottawa--Vanier,8,Gloucester,80,31,74,0,2,7,4,198,276
Ottawa--Vanier/Ottawa--Vanier,9,Gloucester,158,29,100,0,2,18,1,308,403
Ottawa--Vanier/Ottawa--Vanier,10,Gloucester,136,38,88,0,2,27,3,294,432
Ottawa--Vanier/Ottawa--Vanier,11,Gloucester,143,35,76,0,0,9,1,264,416
Ottawa--Vanier/Ottawa--Vanier,12,Gloucester,117,21,117,0,0,27,9,291,460
Ottawa--Vanier/Ottawa--Vanier,13,Gloucester,119,40,86,0,3,23,2,273,402
Ottawa--Vanier/Ottawa--Vanier,14A,Gloucester,79,32,49,0,1,7,4,172,315
Ottawa--Vanier/Ottawa--Vanier,14B,Gloucester,47,16,40,1,0,6,0,110,276
Ottawa--Vanier/Ottawa--Vanier,15A,Gloucester,58,38,47,0,2,7,4,156,267
Ottawa--Vanier/Ottawa--Vanier,15B,Gloucester,60,18,65,0,3,18,1,165,311
Ottawa--Vanier/Ottawa--Vanier,16,Gloucester,34,16,36,0,1,6,0,93,143
Ottawa--Vanier/Ottawa--Vanier,17,Gloucester,120,36,68,1,1,14,2,242,412
Ottawa--Vanier/Ottawa--Vanier,18,Gloucester,52,26,66,0,0,10,2,156,271
Ottawa--Vanier/Ottawa--Vanier,19,Gloucester,72,23,39,1,1,11,1,148,326
Ottawa--Vanier/Ottawa--Vanier,20,Gloucester,44,7,23,0,0,2,0,76,150
Ottawa--Vanier/Ottawa--Vanier,21,Gloucester,152,46,82,0,2,16,0,298,511
Ottawa--Vanier/Ottawa--Vanier,22,Gloucester,47,7,21,0,1,4,2,82,140
Ottawa--Vanier/Ottawa--Vanier,23,Gloucester,121,18,73,0,1,10,3,226,345
Ottawa--Vanier/Ottawa--Vanier,24,Ottawa,118,33,68,0,6,23,3,251,500
Ottawa--Vanier/Ottawa--Vanier,25A,Ottawa,79,45,49,0,3,12,1,189,297
Ottawa--Vanier/Ottawa--Vanier,25B,Ottawa,60,32,21,1,4,8,0,126,317
Ottawa--Vanier/Ottawa--Vanier,26,Ottawa,74,44,32,0,1,24,0,175,356
Ottawa--Vanier/Ottawa--Vanier,27,Ottawa,30,11,28,0,0,3,0,72,205
Ottawa--Vanier/Ottawa--Vanier,28,Ottawa,46,23,61,0,0,5,0,135,369
Ottawa--Vanier/Ottawa--Vanier,29,Ottawa,Void,,,,,,,,
Ottawa--Vanier/Ottawa--Vanier,30,Ottawa,108,57,76,1,7,8,8,265,494
Ottawa--Vanier/Ottawa--Vanier,31,Ottawa,108,38,35,0,1,5,0,187,324
Ottawa--Vanier/Ottawa--Vanier,32,Ottawa,134,46,48,0,6,12,0,246,440
Ottawa--Vanier/Ottawa--Vanier,33A,Ottawa,67,21,25,1,7,9,0,130,343
Ottawa--Vanier/Ottawa--Vanier,33B,Ottawa,67,22,36,0,4,9,0,138,275
Ottawa--Vanier/Ottawa--Vanier,33-1,Ottawa,161,25,43,0,3,9,0,241,341
Ottawa--Vanier/Ottawa--Vanier,34,Ottawa,83,34,49,1,2,14,1,184,322
Ottawa--Vanier/Ottawa--Vanier,35,Ottawa,Void,,,,,,,,
Ottawa--Vanier/Ottawa--Vanier,36,Ottawa,34,15,9,0,0,4,0,62,145
Ottawa--Vanier/Ottawa--Vanier,37,Ottawa,131,30,57,1,1,23,3,246,438
Ottawa--Vanier/Ottawa--Vanier,38,Ottawa,89,48,59,2,3,13,2,216,396
Ottawa--Vanier/Ottawa--Vanier,39,Ottawa,Void,,,,,,,,
Ottawa--Vanier/Ottawa--Vanier,40,Ottawa,132,22,31,1,1,3,3,193,289
Ottawa--Vanier/Ottawa--Vanier,41,Ottawa,269,59,106,3,1,10,2,450,712
Ottawa--Vanier/Ottawa--Vanier,42,Ottawa,73,39,58,0,1,14,5,190,311
Ottawa--Vanier/Ottawa--Vanier,43,Ottawa,88,21,59,1,1,11,1,182,381
Ottawa--Vanier/Ottawa--Vanier,44,Ottawa,48,21,19,1,5,3,2,99,218
Ottawa--Vanier/Ottawa--Vanier,45,Ottawa,85,27,52,0,4,12,0,180,316
Ottawa--Vanier/Ottawa--Vanier,46,Ottawa,56,26,25,1,1,8,0,117,248
Ottawa--Vanier/Ottawa--Vanier,47A,Ottawa,119,40,60,0,2,7,0,228,349
Ottawa--Vanier/Ottawa--Vanier,47B,Ottawa,109,15,54,1,3,16,0,198,287
Ottawa--Vanier/Ottawa--Vanier,48,Ottawa,109,31,68,0,3,27,2,240,353
Ottawa--Vanier/Ottawa--Vanier,49,Rockcliffe Park,139,18,102,0,1,21,0,281,497
Ottawa--Vanier/Ottawa--Vanier,50,Rockcliffe Park,103,7,83,0,1,11,2,207,356
Ottawa--Vanier/Ottawa--Vanier,51,Ottawa,125,55,76,0,4,21,3,284,420
Ottawa--Vanier/Ottawa--Vanier,52,Ottawa,139,32,68,0,0,25,1,265,401
Ottawa--Vanier/Ottawa--Vanier,53,Ottawa,51,48,55,0,3,16,0,173,339
Ottawa--Vanier/Ottawa--Vanier,54,Rockcliffe Park,76,22,61,0,4,10,0,173,287
Ottawa--Vanier/Ottawa--Vanier,55,Rockcliffe Park,92,11,75,2,0,11,0,191,316
Ottawa--Vanier/Ottawa--Vanier,56,Ottawa,105,51,64,1,1,22,0,244,410
Ottawa--Vanier/Ottawa--Vanier,57,Ottawa,114,26,35,0,3,20,0,198,346
Ottawa--Vanier/Ottawa--Vanier,58,Ottawa,107,46,50,0,1,39,0,243,337
Ottawa--Vanier/Ottawa--Vanier,59A,Ottawa,Merged with No. 58,,,,,,,,45
Ottawa--Vanier/Ottawa--Vanier,59B,Ottawa,96,44,31,0,0,23,1,195,293
Ottawa--Vanier/Ottawa--Vanier,60,Ottawa,100,53,43,0,1,36,2,235,416
Ottawa--Vanier/Ottawa--Vanier,61,Ottawa,97,54,24,0,3,17,1,196,305
Ottawa--Vanier/Ottawa--Vanier,62,Ottawa,69,29,30,1,2,6,2,139,239
Ottawa--Vanier/Ottawa--Vanier,63,Ottawa,107,30,61,0,1,17,0,216,359
Ottawa--Vanier/Ottawa--Vanier,64,Ottawa,98,75,32,0,1,32,0,238,363
Ottawa--Vanier/Ottawa--Vanier,65,Ottawa,118,47,53,0,4,31,0,253,400
Ottawa--Vanier/Ottawa--Vanier,66,Ottawa,161,55,59,0,1,40,0,316,534
Ottawa--Vanier/Ottawa--Vanier,67,Vanier,81,22,27,0,6,5,5,146,314
Ottawa--Vanier/Ottawa--Vanier,68,Vanier,78,32,47,0,2,13,1,173,299
Ottawa--Vanier/Ottawa--Vanier,69,Vanier,80,19,28,0,2,14,0,143,239
Ottawa--Vanier/Ottawa--Vanier,70,Vanier,150,45,62,0,2,21,2,282,446
Ottawa--Vanier/Ottawa--Vanier,71,Ottawa,156,33,48,0,1,13,3,254,391
Ottawa--Vanier/Ottawa--Vanier,72,Ottawa,118,28,26,1,1,8,7,189,364
Ottawa--Vanier/Ottawa--Vanier,73,Vanier,69,19,22,0,3,7,1,121,222
Ottawa--Vanier/Ottawa--Vanier,74,Vanier,99,37,43,0,1,19,0,199,358
Ottawa--Vanier/Ottawa--Vanier,75,Vanier,77,43,39,0,5,11,1,176,413
Ottawa--Vanier/Ottawa--Vanier,76,Vanier,72,35,38,0,3,3,1,152,354
Ottawa--Vanier/Ottawa--Vanier,77,Vanier,62,34,20,1,2,8,0,127,298
Ottawa--Vanier/Ottawa--Vanier,78,Vanier,57,29,24,0,1,9,1,121,283
Ottawa--Vanier/Ottawa--Vanier,79,Vanier,70,49,42,2,4,13,4,184,414
Ottawa--Vanier/Ottawa--Vanier,80,Vanier,106,36,52,2,3,11,1,211,420
Ottawa--Vanier/Ottawa--Vanier,81A,Vanier,70,28,26,0,1,9,4,138,197
Ottawa--Vanier/Ottawa--Vanier,81B,Vanier,109,14,29,0,0,2,2,156,218
Ottawa--Vanier/Ottawa--Vanier,82,Vanier,133,52,48,1,6,8,2,250,373
Ottawa--Vanier/Ottawa--Vanier,83,Vanier,92,43,41,0,1,7,2,186,395
Ottawa--Vanier/Ottawa--Vanier,84,Vanier,69,30,26,0,2,16,1,144,378
Ottawa--Vanier/Ottawa--Vanier,85,Vanier,Merged with No. 81A,,,,,,,,144
Ottawa--Vanier/Ottawa--Vanier,86,Vanier,66,37,22,0,4,11,0,140,306
Ottawa--Vanier/Ottawa--Vanier,87,Vanier,54,41,21,0,3,9,0,128,281
Ottawa--Vanier/Ottawa--Vanier,88,Vanier,65,26,41,0,6,7,0,145,319
Ottawa--Vanier/Ottawa--Vanier,89,Vanier,98,37,38,1,2,19,2,197,397
Ottawa--Vanier/Ottawa--Vanier,90,Vanier,110,60,39,0,9,18,1,237,451
Ottawa--Vanier/Ottawa--Vanier,91,Vanier,119,55,58,0,4,24,3,263,475
Ottawa--Vanier/Ottawa--Vanier,92,Vanier,149,25,49,1,5,22,0,251,424
Ottawa--Vanier/Ottawa--Vanier,93,Vanier,100,55,46,0,3,27,0,231,414
Ottawa--Vanier/Ottawa--Vanier,94,Vanier,88,40,49,0,3,19,2,201,446
