District,Poll Number,Poll Name,Rick Barsky,Dennis Gruending,Myron Luczka,Carol Skelton,Rejected Ballots,Total Vote,Electors
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,1,Glenside,1,24,13,85,0,123,205
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,2,Eagle Creek,2,18,18,90,0,128,237
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,3,Biggar,1,26,8,111,0,146,297
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,4,Springwater,4,27,15,158,0,204,364
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,5,Biggar,4,42,22,133,0,201,547
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,6,Biggar,2,40,21,77,1,141,257
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,7,Biggar,1,30,8,43,0,82,159
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,8,Biggar,2,29,16,44,0,91,189
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,9,Biggar,4,27,11,66,0,108,237
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,10,Biggar,1,48,7,104,0,160,312
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,11,Herschel,7,30,19,121,0,177,240
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,12,Marriott,0,25,12,107,0,144,228
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,13,Rosetown,3,20,12,155,1,191,345
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,14,Rosetown,2,41,9,170,0,222,356
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,15,Rosetown,1,37,15,122,0,175,374
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,16,Rosetown,1,30,17,102,0,150,242
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,17,Rosetown,1,41,13,100,0,155,237
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,18,Rosetown,4,21,22,104,0,151,254
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,19,Rosetown,1,30,26,129,0,186,294
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,20,Rosetown,8,50,21,157,0,236,424
