District,Poll Number,Poll Name,Durk Bruinsma,Virginia Ervin,Tim Lang,Bev Oda,Bruce Rogers,Rejected Ballots,Total Vote,Electors
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,59,Scugog,6,11,72,125,26,2,242,512
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,60,Scugog,2,15,79,122,65,2,285,503
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,61,Scugog,2,13,81,79,51,3,229,413
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,62,Scugog,4,14,107,116,58,3,302,486
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,63,Scugog,7,17,91,127,47,0,289,450
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,64,Scugog,9,12,90,93,48,0,252,390
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,65,Scugog,3,4,60,103,33,0,203,330
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,66,Scugog,2,9,76,99,38,0,224,387
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,67,Scugog,5,11,101,126,58,2,303,501
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,68,Clarington,5,11,110,139,49,1,315,477
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,69,Clarington,4,15,98,116,30,1,264,450
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,70,Clarington,4,13,72,99,23,2,213,319
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,71,Clarington,9,15,129,104,37,1,295,467
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,72,Clarington,7,5,121,137,29,1,300,480
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,73,Clarington,6,11,104,146,49,4,320,493
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,74,Clarington,3,9,64,82,39,2,199,294
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,75,Clarington,3,12,71,88,48,0,222,373
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,76,Clarington,15,15,98,103,48,4,283,442
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,77,Clarington,18,13,67,58,16,0,172,344
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,78,Clarington,13,12,93,113,30,4,265,424
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,79,Clarington,6,8,47,89,35,1,186,365
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,80,Clarington,3,6,53,65,28,0,155,323
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,81,Clarington,5,7,57,71,27,1,168,307
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,82,Clarington,1,7,106,121,59,2,296,465
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,83,Clarington,4,14,103,95,27,1,244,420
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,84,Clarington,3,16,130,95,55,1,300,537
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,85,Clarington,0,8,63,68,45,2,186,377
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,86,Clarington,3,6,84,98,44,2,237,383
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,87,Clarington,2,11,144,120,43,1,321,555
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,88,Clarington,1,16,132,101,47,0,297,454
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,89,Clarington,4,9,94,120,56,1,284,491
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,90,Clarington,0,12,79,64,64,2,221,480
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,91,Clarington,2,10,121,93,43,0,269,474
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,92A,Clarington,0,4,57,61,37,2,161,330
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,92B,Clarington,6,1,69,82,41,1,200,363
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,93,Clarington,2,12,89,106,56,1,266,469
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,94,Clarington,2,6,53,27,12,1,101,161
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,95,Clarington,3,7,98,93,63,0,264,548
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,96,Clarington,1,0,98,114,42,1,256,445
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,97,Clarington,2,10,69,67,25,0,173,342
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,98,Clarington,1,8,78,70,18,0,175,366
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,99,Clarington,0,5,94,112,20,2,233,423
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,100,Clarington,2,9,100,60,50,0,221,425
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,101,Clarington,2,7,85,71,45,0,210,372
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,102,Clarington,5,15,153,119,38,0,330,559
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,103,Clarington,1,7,93,96,24,0,221,367
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,104,Clarington,0,8,72,125,38,2,245,394
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,105,Clarington,3,7,64,77,39,0,190,348
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,106,Clarington,2,10,127,119,62,0,320,563
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,107,Clarington,6,5,85,93,37,0,226,440
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,108,Clarington,4,5,62,82,34,1,188,359
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,109,Clarington,2,2,67,72,22,1,166,285
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,110,Clarington,1,12,141,142,43,0,339,594
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,111,Clarington,1,7,96,66,24,0,194,293
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,112,Clarington,3,22,105,109,49,0,288,450
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,113,Clarington,2,5,92,95,36,0,230,484
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,114,Clarington,4,6,83,89,40,2,224,348
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,115,Clarington,5,11,119,121,46,1,303,610
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,116A,Clarington,6,4,81,104,52,0,247,405
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,116B,Clarington,10,5,52,91,38,1,197,422
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,117,Clarington,9,13,101,106,49,2,280,516
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,118,Clarington,12,6,48,54,24,0,144,260
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,119,Clarington,2,3,73,79,31,1,189,332
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,120,Clarington,1,7,121,129,45,1,304,464
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,121,Clarington,5,9,94,90,34,0,232,466
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,122,Clarington,2,7,66,41,37,1,154,300
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,123,Clarington,13,10,108,64,34,0,229,428
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,124,Clarington,4,7,48,35,29,0,123,196
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,125,Clarington,11,7,71,70,55,1,215,383
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,126,Clarington,8,6,112,90,38,1,255,411
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,127,Clarington,0,3,48,47,24,1,123,201
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,128,Clarington,5,4,100,110,51,1,271,522
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,129,Clarington,10,6,99,115,58,0,288,498
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,130,Clarington,5,7,89,77,50,2,230,449
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,131,Clarington,7,7,80,86,29,3,212,410
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,132,Clarington,6,11,116,98,65,1,297,569
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,133,Clarington,6,5,39,76,42,0,168,418
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,134,Clarington,2,6,76,99,37,2,222,423
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,135,Clarington,7,7,96,86,22,1,219,398
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,136,Clarington,10,11,69,78,32,1,201,357
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,137,Clarington,4,4,65,78,44,1,196,379
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,138,Clarington,4,24,83,114,42,2,269,458
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,139,Clarington,5,10,72,79,53,3,222,457
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,140,Clarington,9,11,85,89,40,1,235,531
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,141,Clarington,5,8,95,123,70,3,304,657
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,142,Clarington,3,14,105,148,55,3,328,552
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,143,Clarington,6,7,68,98,36,0,215,416
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,144,Clarington,1,5,69,85,47,2,209,403
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,145,Clarington,7,13,113,108,42,2,285,476
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,146,Clarington,3,8,75,68,48,1,203,431
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,147,Clarington,8,14,92,91,28,3,236,382
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,148,Clarington,3,11,144,119,38,0,315,623
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,149,Clarington,3,3,57,75,28,0,166,313
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,150,Clarington,1,9,93,101,54,2,260,581
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,151,Clarington,2,13,91,62,34,3,205,372
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,152,Clarington,11,10,106,60,43,1,231,453
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,153,Clarington,4,8,56,67,48,0,183,460
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,154,Clarington,3,7,41,64,48,1,164,313
