District,Poll Number,Poll Name,Kimball Cariou,John Clarke,Alexander Frei,Hedy Fry,Robbie Mattu,Gary Mitchell,Joe Pal,Kennedy Stewart,Rejected Ballots,Total Vote,Electors
Vancouver Centre/Vancouver-Centre,1,Vancouver,1,1,0,51,9,32,1,52,0,147,302
Vancouver Centre/Vancouver-Centre,2,Vancouver,0,1,0,74,19,55,1,66,0,216,373
Vancouver Centre/Vancouver-Centre,3,Vancouver,0,0,0,104,18,50,2,96,2,272,468
Vancouver Centre/Vancouver-Centre,4,Vancouver,0,0,0,104,17,46,0,81,0,248,445
Vancouver Centre/Vancouver-Centre,5,Vancouver,0,0,0,97,20,45,2,90,1,255,422
Vancouver Centre/Vancouver-Centre,6,Vancouver,0,2,0,69,13,34,1,51,0,170,306
Vancouver Centre/Vancouver-Centre,7,Vancouver,0,1,0,69,12,14,0,83,1,180,352
Vancouver Centre/Vancouver-Centre,8,Vancouver,0,2,0,69,13,32,0,88,0,204,378
Vancouver Centre/Vancouver-Centre,9,Vancouver,2,0,0,81,14,23,0,96,2,218,374
Vancouver Centre/Vancouver-Centre,10,Vancouver,0,0,0,86,14,31,0,76,0,207,350
Vancouver Centre/Vancouver-Centre,11,Vancouver,0,1,0,100,20,59,0,94,0,274,449
Vancouver Centre/Vancouver-Centre,12,Vancouver,0,1,0,100,13,44,0,64,1,223,366
Vancouver Centre/Vancouver-Centre,13,Vancouver,1,0,0,110,9,42,1,68,1,232,398
Vancouver Centre/Vancouver-Centre,14,Vancouver,0,0,0,73,17,30,0,102,0,222,374
Vancouver Centre/Vancouver-Centre,15,Vancouver,0,0,0,81,21,20,0,94,0,216,328
Vancouver Centre/Vancouver-Centre,16,Vancouver,1,0,1,100,10,45,0,99,2,258,435
Vancouver Centre/Vancouver-Centre,17,Vancouver,0,0,1,111,15,59,2,61,1,250,480
Vancouver Centre/Vancouver-Centre,18,Vancouver,1,1,1,108,11,34,1,50,0,207,456
Vancouver Centre/Vancouver-Centre,19,Vancouver,0,2,1,86,17,38,1,65,0,210,400
Vancouver Centre/Vancouver-Centre,20,Vancouver,0,1,0,108,12,39,2,139,0,301,527
Vancouver Centre/Vancouver-Centre,21,Vancouver,0,0,0,85,10,30,0,79,1,205,382
Vancouver Centre/Vancouver-Centre,22,Vancouver,0,0,1,71,14,13,1,48,0,148,284
Vancouver Centre/Vancouver-Centre,23,Vancouver,0,0,0,74,17,30,1,92,0,214,394
Vancouver Centre/Vancouver-Centre,24,Vancouver,0,1,1,82,14,29,2,86,2,217,452
Vancouver Centre/Vancouver-Centre,25,Vancouver,0,0,1,39,5,19,1,71,1,137,320
Vancouver Centre/Vancouver-Centre,26,Vancouver,2,0,1,53,6,19,0,63,0,144,304
Vancouver Centre/Vancouver-Centre,27,Vancouver,1,0,0,102,12,39,0,87,0,241,451
Vancouver Centre/Vancouver-Centre,28A,Vancouver,0,0,0,81,9,55,1,22,2,170,380
Vancouver Centre/Vancouver-Centre,28B,Vancouver,0,1,0,64,6,67,1,26,1,166,367
Vancouver Centre/Vancouver-Centre,29,Vancouver,0,1,1,128,11,93,1,62,1,298,562
Vancouver Centre/Vancouver-Centre,30A,Vancouver,0,1,1,76,7,34,0,36,0,155,331
Vancouver Centre/Vancouver-Centre,30B,Vancouver,1,4,0,65,4,33,2,23,1,133,268
Vancouver Centre/Vancouver-Centre,31,Vancouver,0,0,0,90,13,25,0,82,1,211,357
Vancouver Centre/Vancouver-Centre,32,Vancouver,0,1,0,82,11,35,1,82,3,215,434
Vancouver Centre/Vancouver-Centre,33,Vancouver,1,0,1,110,17,28,4,106,0,267,546
Vancouver Centre/Vancouver-Centre,34,Vancouver,1,2,1,69,1,22,0,42,0,138,349
Vancouver Centre/Vancouver-Centre,35A,Vancouver,0,0,1,79,3,43,0,42,1,169,364
Vancouver Centre/Vancouver-Centre,35B,Vancouver,0,1,0,90,11,38,0,31,5,176,371
Vancouver Centre/Vancouver-Centre,36A,Vancouver,0,1,0,88,9,41,0,29,4,172,300
Vancouver Centre/Vancouver-Centre,36B,Vancouver,0,2,0,83,9,47,0,29,1,171,338
Vancouver Centre/Vancouver-Centre,37,Vancouver,1,2,0,98,7,68,0,29,0,205,389
Vancouver Centre/Vancouver-Centre,38A,Vancouver,1,5,0,90,13,41,0,47,0,197,382
Vancouver Centre/Vancouver-Centre,38B,Vancouver,0,1,0,100,18,53,3,53,1,229,435
Vancouver Centre/Vancouver-Centre,39,Vancouver,0,0,0,68,18,57,3,57,1,204,394
Vancouver Centre/Vancouver-Centre,40,Vancouver,0,0,0,59,13,40,1,63,0,176,331
Vancouver Centre/Vancouver-Centre,41,Vancouver,0,0,1,92,13,23,2,71,0,202,361
Vancouver Centre/Vancouver-Centre,42,Vancouver,0,1,0,62,5,12,2,58,0,140,262
Vancouver Centre/Vancouver-Centre,43,Vancouver,0,1,0,82,27,53,2,106,1,272,433
Vancouver Centre/Vancouver-Centre,44,Vancouver,1,2,1,87,13,26,0,111,0,241,508
Vancouver Centre/Vancouver-Centre,45,Vancouver,0,0,0,85,9,26,0,64,0,184,322
Vancouver Centre/Vancouver-Centre,46,Vancouver,0,1,2,73,13,16,0,89,2,196,408
Vancouver Centre/Vancouver-Centre,47,Vancouver,1,1,1,118,13,33,0,80,0,247,443
Vancouver Centre/Vancouver-Centre,48,Vancouver,0,0,0,125,12,47,1,111,0,296,483
Vancouver Centre/Vancouver-Centre,49,Vancouver,0,2,0,91,8,46,0,55,0,202,520
Vancouver Centre/Vancouver-Centre,50,Vancouver,1,2,0,90,13,42,2,108,1,259,516
Vancouver Centre/Vancouver-Centre,51,Vancouver,1,3,1,82,15,27,0,84,0,213,346
Vancouver Centre/Vancouver-Centre,52,Vancouver,3,3,0,87,19,22,0,104,0,238,439
Vancouver Centre/Vancouver-Centre,53,Vancouver,1,2,0,86,23,30,0,98,0,240,437
Vancouver Centre/Vancouver-Centre,54,Vancouver,0,1,0,83,9,25,0,109,1,228,371
