District,Poll Number,Poll Name,Martin Baller,France Bonsant,Laurier Busque,Gary Caldwell,David Price,Rejected Ballots,Total Vote,Electors
Compton--Stanstead/Compton--Stanstead,1,Weedon (Saint-Gérard),6,113,10,28,74,3,234,424
Compton--Stanstead/Compton--Stanstead,2,Weedon,8,124,7,23,87,6,255,523
Compton--Stanstead/Compton--Stanstead,3,Weedon,11,106,6,24,60,3,210,385
Compton--Stanstead/Compton--Stanstead,4,Weedon,7,101,2,22,50,0,182,357
Compton--Stanstead/Compton--Stanstead,5,Weedon,12,101,5,31,55,7,211,416
Compton--Stanstead/Compton--Stanstead,6,Gould,13,80,9,29,66,4,201,352
Compton--Stanstead/Compton--Stanstead,7,Hampden,6,80,9,18,46,2,161,308
Compton--Stanstead/Compton--Stanstead,8,Hampden,1,85,0,22,55,4,167,327
Compton--Stanstead/Compton--Stanstead,9,Ditton,5,109,10,22,49,4,199,362
Compton--Stanstead/Compton--Stanstead,10,La Patrie,3,64,7,21,40,8,143,234
Compton--Stanstead/Compton--Stanstead,11,Chartierville,3,87,2,17,53,2,164,281
Compton--Stanstead/Compton--Stanstead,12,Dudswell,3,55,10,9,25,3,105,200
Compton--Stanstead/Compton--Stanstead,13,Dudswell,2,144,9,26,75,8,264,441
Compton--Stanstead/Compton--Stanstead,14,Dudswell,6,86,14,16,64,6,192,313
Compton--Stanstead/Compton--Stanstead,15,Dudswell,13,83,8,13,67,7,191,365
Compton--Stanstead/Compton--Stanstead,16,Bury,10,113,13,19,105,5,265,467
Compton--Stanstead/Compton--Stanstead,17,Bury,9,66,5,50,155,2,287,461
Compton--Stanstead/Compton--Stanstead,18,Westbury,7,83,3,24,64,0,181,356
Compton--Stanstead/Compton--Stanstead,19,Westbury,3,84,6,8,38,2,141,335
Compton--Stanstead/Compton--Stanstead,20,East Angus,6,109,10,21,54,5,205,418
Compton--Stanstead/Compton--Stanstead,21,East Angus,2,105,2,18,69,4,200,311
Compton--Stanstead/Compton--Stanstead,22,East Angus,1,84,2,16,44,3,150,331
Compton--Stanstead/Compton--Stanstead,23,East Angus,9,96,7,10,34,3,159,326
Compton--Stanstead/Compton--Stanstead,24,East Angus,4,101,5,13,63,2,188,400
Compton--Stanstead/Compton--Stanstead,25,East Angus,5,80,4,11,45,0,145,380
Compton--Stanstead/Compton--Stanstead,26,East Angus,2,68,1,12,50,3,136,313
Compton--Stanstead/Compton--Stanstead,27,East Angus,0,68,5,9,42,0,124,247
Compton--Stanstead/Compton--Stanstead,28,Ascot Corner,11,136,9,20,33,3,212,408
Compton--Stanstead/Compton--Stanstead,29,Ascot Corner,4,163,6,25,51,10,259,507
Compton--Stanstead/Compton--Stanstead,30,Ascot Corner,12,169,5,28,70,6,290,490
Compton--Stanstead/Compton--Stanstead,31,Ascot Corner,8,130,10,20,57,7,232,450
Compton--Stanstead/Compton--Stanstead,32,Stoke,12,152,14,21,57,7,263,456
Compton--Stanstead/Compton--Stanstead,33,Stoke,14,159,18,26,57,11,285,420
Compton--Stanstead/Compton--Stanstead,34,Stoke,Merged with No. 35,,,,,,,107
Compton--Stanstead/Compton--Stanstead,35,Stoke,7,88,8,20,22,5,150,177
Compton--Stanstead/Compton--Stanstead,36,Stoke,7,131,11,12,34,6,201,348
Compton--Stanstead/Compton--Stanstead,37,Stoke,4,169,13,11,65,6,268,454
Compton--Stanstead/Compton--Stanstead,38,Eaton,5,57,4,16,81,2,165,322
Compton--Stanstead/Compton--Stanstead,39,Eaton,7,129,9,30,63,6,244,455
Compton--Stanstead/Compton--Stanstead,40,Eaton,6,47,1,9,48,0,111,225
Compton--Stanstead/Compton--Stanstead,41,Eaton Corner,9,82,12,31,94,0,228,430
Compton--Stanstead/Compton--Stanstead,42,Sawyerville,12,56,5,23,96,1,193,345
Compton--Stanstead/Compton--Stanstead,43,Sawyerville,7,41,6,34,78,2,168,299
Compton--Stanstead/Compton--Stanstead,44,Eaton,11,125,8,30,56,3,233,429
Compton--Stanstead/Compton--Stanstead,45,Cookshire,9,111,4,40,76,2,242,395
Compton--Stanstead/Compton--Stanstead,46,Cookshire,5,84,6,17,55,12,179,372
Compton--Stanstead/Compton--Stanstead,47,Cookshire,7,97,5,21,69,5,204,432
Compton--Stanstead/Compton--Stanstead,48,Newport,7,40,9,43,93,1,193,232
Compton--Stanstead/Compton--Stanstead,49,Newport,4,42,6,22,46,0,120,256
Compton--Stanstead/Compton--Stanstead,50,Saint-Isidore-d'Auckland,5,86,11,48,87,6,243,446
Compton--Stanstead/Compton--Stanstead,51,Clifton-Partie-Est,2,11,3,10,33,0,59,129
Compton--Stanstead/Compton--Stanstead,52,Waterville,5,75,11,33,110,5,239,482
Compton--Stanstead/Compton--Stanstead,53,Waterville,8,82,8,15,94,2,209,385
Compton--Stanstead/Compton--Stanstead,54,Waterville,10,87,20,23,89,3,232,382
Compton--Stanstead/Compton--Stanstead,55,Waterville,3,76,7,15,77,4,182,303
Compton--Stanstead/Compton--Stanstead,56,Compton,8,70,8,14,53,1,154,268
Compton--Stanstead/Compton--Stanstead,57,Compton,8,97,11,23,70,6,215,333
Compton--Stanstead/Compton--Stanstead,58,Compton,8,98,5,28,50,6,195,328
Compton--Stanstead/Compton--Stanstead,59,Compton,7,98,8,37,61,3,214,390
Compton--Stanstead/Compton--Stanstead,60,Compton,1,102,5,48,96,3,255,464
Compton--Stanstead/Compton--Stanstead,61,Compton,4,104,14,32,53,2,209,400
Compton--Stanstead/Compton--Stanstead,62,Martinville,7,96,5,48,47,3,206,413
Compton--Stanstead/Compton--Stanstead,63,Sainte-Edwidge-de-Clifton,2,74,4,97,27,1,205,340
Compton--Stanstead/Compton--Stanstead,64,Lennoxville,3,32,5,32,38,3,113,299
Compton--Stanstead/Compton--Stanstead,65,Lennoxville,7,34,8,20,85,1,155,353
Compton--Stanstead/Compton--Stanstead,66,Lennoxville,11,30,7,25,125,1,199,457
Compton--Stanstead/Compton--Stanstead,67,Lennoxville,17,22,5,19,90,2,155,425
Compton--Stanstead/Compton--Stanstead,68,Lennoxville,3,17,3,9,52,0,84,270
Compton--Stanstead/Compton--Stanstead,69,Lennoxville,14,35,6,9,91,2,157,320
Compton--Stanstead/Compton--Stanstead,70,Lennoxville,11,11,9,14,82,2,129,302
Compton--Stanstead/Compton--Stanstead,71,Lennoxville,10,33,9,23,150,5,230,454
Compton--Stanstead/Compton--Stanstead,72,Lennoxville,6,9,7,5,34,0,61,199
Compton--Stanstead/Compton--Stanstead,73,Lennoxville,9,64,9,22,132,2,238,512
Compton--Stanstead/Compton--Stanstead,74,Lennoxville,4,27,3,17,74,0,125,273
Compton--Stanstead/Compton--Stanstead,75,Lennoxville,5,50,4,55,146,4,264,406
Compton--Stanstead/Compton--Stanstead,76,Ascot,6,151,20,15,91,3,286,505
Compton--Stanstead/Compton--Stanstead,77,Ascot,10,123,8,14,55,5,215,525
Compton--Stanstead/Compton--Stanstead,78,Ascot,3,75,2,16,39,7,142,257
Compton--Stanstead/Compton--Stanstead,79,Ascot,3,62,5,5,24,7,106,346
Compton--Stanstead/Compton--Stanstead,80,Ascot,6,59,9,11,33,2,120,395
Compton--Stanstead/Compton--Stanstead,81,Ascot,8,73,3,13,28,5,130,379
Compton--Stanstead/Compton--Stanstead,82,Ascot,8,63,2,3,23,2,101,363
Compton--Stanstead/Compton--Stanstead,83,Ascot,6,73,9,14,35,4,141,323
Compton--Stanstead/Compton--Stanstead,84,Ascot,6,79,3,3,42,2,135,285
Compton--Stanstead/Compton--Stanstead,85,Ascot,10,135,9,15,61,6,236,468
Compton--Stanstead/Compton--Stanstead,86,Ascot,9,114,7,14,70,12,226,344
Compton--Stanstead/Compton--Stanstead,87,Ascot,8,148,7,22,53,10,248,422
Compton--Stanstead/Compton--Stanstead,88,Ascot,12,127,6,19,94,10,268,474
Compton--Stanstead/Compton--Stanstead,89,Saint-Élie-d'Orford,7,195,12,28,97,5,344,649
Compton--Stanstead/Compton--Stanstead,90,Rock Forest,5,156,5,27,50,5,248,420
Compton--Stanstead/Compton--Stanstead,91,Rock Forest,6,117,1,8,26,4,162,247
Compton--Stanstead/Compton--Stanstead,92,Rock Forest,5,83,5,7,31,3,134,237
Compton--Stanstead/Compton--Stanstead,93,Rock Forest,2,74,3,9,51,5,144,341
Compton--Stanstead/Compton--Stanstead,94,Rock Forest,6,130,10,19,41,6,212,405
Compton--Stanstead/Compton--Stanstead,95,Rock Forest,3,95,3,10,54,4,169,367
Compton--Stanstead/Compton--Stanstead,96,Rock Forest,9,130,9,14,72,13,247,417
Compton--Stanstead/Compton--Stanstead,97,Rock Forest,3,139,7,23,54,1,227,401
Compton--Stanstead/Compton--Stanstead,98,Rock Forest,5,135,7,5,31,10,193,455
Compton--Stanstead/Compton--Stanstead,99,Rock Forest,4,166,8,32,92,5,307,543
Compton--Stanstead/Compton--Stanstead,100,Rock Forest,7,142,10,14,68,7,248,376
Compton--Stanstead/Compton--Stanstead,101,Rock Forest,10,133,14,18,76,9,260,481
Compton--Stanstead/Compton--Stanstead,102,Rock Forest,2,94,3,9,40,4,152,250
Compton--Stanstead/Compton--Stanstead,103,Rock Forest,4,104,8,22,44,3,185,395
Compton--Stanstead/Compton--Stanstead,104,Rock Forest,1,81,5,12,36,4,139,231
Compton--Stanstead/Compton--Stanstead,105,Rock Forest,4,102,9,3,34,2,154,246
Compton--Stanstead/Compton--Stanstead,106,Rock Forest,15,175,15,13,63,3,284,461
Compton--Stanstead/Compton--Stanstead,107,Rock Forest,16,154,10,23,67,4,274,481
Compton--Stanstead/Compton--Stanstead,108,Saint-Élie-d'Orford,12,147,11,17,54,7,248,425
Compton--Stanstead/Compton--Stanstead,109,Saint-Élie-d'Orford,4,136,7,20,73,3,243,515
Compton--Stanstead/Compton--Stanstead,110,Saint-Élie-d'Orford,5,111,4,10,58,6,194,334
Compton--Stanstead/Compton--Stanstead,111,Saint-Élie-d'Orford,5,135,10,18,60,6,234,468
Compton--Stanstead/Compton--Stanstead,112,Saint-Élie-d'Orford,6,108,3,12,72,2,203,356
Compton--Stanstead/Compton--Stanstead,113,Saint-Élie-d'Orford,9,148,9,22,67,6,261,434
Compton--Stanstead/Compton--Stanstead,114,Saint-Élie-d'Orford,12,195,11,27,79,7,331,587
Compton--Stanstead/Compton--Stanstead,115,Saint-Élie-d'Orford,7,117,8,14,40,4,190,392
Compton--Stanstead/Compton--Stanstead,116,Saint-Élie-d'Orford,9,137,8,13,95,3,265,510
Compton--Stanstead/Compton--Stanstead,117,Saint-Élie-d'Orford,16,179,12,27,55,7,296,376
Compton--Stanstead/Compton--Stanstead,118,Saint-Élie-d'Orford,Merged with No. 117,,,,,,,138
Compton--Stanstead/Compton--Stanstead,119,Saint-Élie-d'Orford,5,192,10,17,62,6,292,560
Compton--Stanstead/Compton--Stanstead,120,Saint-Élie-d'Orford,3,115,2,21,36,6,183,310
Compton--Stanstead/Compton--Stanstead,121,Saint-Élie-d'Orford,9,102,7,22,34,0,174,353
Compton--Stanstead/Compton--Stanstead,122,Deauville,4,84,9,17,25,0,139,339
Compton--Stanstead/Compton--Stanstead,123,Deauville,5,103,6,10,46,1,171,300
Compton--Stanstead/Compton--Stanstead,124,Deauville,2,91,4,5,44,4,150,280
Compton--Stanstead/Compton--Stanstead,125,Deauville,4,76,4,16,30,0,130,240
Compton--Stanstead/Compton--Stanstead,126,Deauville,2,80,0,8,29,3,122,252
Compton--Stanstead/Compton--Stanstead,127,Deauville,5,90,7,6,24,5,137,240
Compton--Stanstead/Compton--Stanstead,128,Deauville,6,76,5,9,52,4,152,283
Compton--Stanstead/Compton--Stanstead,129,Deauville,7,152,3,18,74,3,257,486
Compton--Stanstead/Compton--Stanstead,130,Rock Forest,4,119,4,11,57,3,198,377
Compton--Stanstead/Compton--Stanstead,131,Rock Forest,6,103,4,16,39,9,177,383
Compton--Stanstead/Compton--Stanstead,132A,Rock Forest,4,107,2,8,54,1,176,381
Compton--Stanstead/Compton--Stanstead,132B,Rock Forest,6,105,6,9,52,5,183,365
Compton--Stanstead/Compton--Stanstead,133,Rock Forest,5,131,8,9,62,0,215,378
Compton--Stanstead/Compton--Stanstead,134,Rock Forest,1,76,3,8,23,1,112,225
Compton--Stanstead/Compton--Stanstead,135,Rock Forest,7,44,4,7,30,1,93,216
Compton--Stanstead/Compton--Stanstead,136,Rock Forest,7,104,3,12,76,6,208,359
Compton--Stanstead/Compton--Stanstead,137,Rock Forest,4,101,8,5,52,5,175,329
Compton--Stanstead/Compton--Stanstead,138,Rock Forest,2,117,7,10,30,5,171,360
Compton--Stanstead/Compton--Stanstead,139,Rock Forest,6,209,12,26,72,3,328,514
Compton--Stanstead/Compton--Stanstead,140,Rock Forest,5,187,10,17,74,5,298,485
Compton--Stanstead/Compton--Stanstead,141,Rock Forest,4,132,11,11,43,4,205,477
Compton--Stanstead/Compton--Stanstead,142,Rock Forest,9,99,7,6,37,4,162,259
Compton--Stanstead/Compton--Stanstead,143,Rock Forest,5,91,11,10,34,2,153,231
Compton--Stanstead/Compton--Stanstead,144,Rock Forest,4,94,3,18,32,5,156,295
Compton--Stanstead/Compton--Stanstead,145,Rock Forest,10,124,8,22,52,4,220,389
Compton--Stanstead/Compton--Stanstead,146,Rock Forest,6,156,10,24,52,4,252,440
Compton--Stanstead/Compton--Stanstead,147,Rock Forest,11,158,10,26,59,5,269,463
Compton--Stanstead/Compton--Stanstead,148,Rock Forest,10,128,9,18,67,6,238,398
Compton--Stanstead/Compton--Stanstead,149,Hatley,15,158,13,26,91,2,305,481
