ED Code,Electoral district,Bloc Québécois/Bloc Québécois,Canadian Action/Action canadienne,"Christian Heritage Party/Parti de l'Héritage 
 Chrétien",Communist/Communiste,Conservative/conservateur,Green Party/Parti Vert,Liberal/Libéral,Libertarian/Libertarien,Marijuana Party/Parti Marijuana,Marxist-Leninist/Marxiste-Léniniste,N.D.P./N.P.D.,PC Party/Parti PC,Independent/Indépendant,No Affiliation/Aucune appartenance,Rejected ballots
10004,Labrador,,,,,4,2,15,,,,6,,3,,1
10005,Random—Burin—St. George's,,,,,18,1,52,,,,22,,,,12
10006,St. John’s North/St. John's-Nord,,,,,39,3,37,,,,25,,,,10
11001,Cardigan ,,,,,22,3,39,,,,8,,,,1
12011,West Nova/Nova-Ouest,,,,,18,3,18,,,,15,,,,3
13007,Moncton—Riverview—Dieppe,,,,,13,6,34,,,,12,,,,0
13008,St. Croix—Belleisle,,0,,,32,3,23,,,,8,,,,14
24005,Beauce,14,,,,2,3,6,,,,3,,,,1
24007,Beauport,19,,,,3,1,15,,1,,4,,,,35
24008,Berthier—Maskinongé,49,,,,8,2,21,,,,3,,,,2
24014,Charlevoix—Montmorency,39,,,,3,3,16,,,,1,,,,7
24016,Chicoutimi—Le Fjord,41,,,,3,0,12,,,,11,,,,3
24018,Drummond,22,,,,6,0,5,,,,1,,,,1
24023,Hull—Aylmer,27,,,,11,3,37,,,0,8,,,,4
24029,LaSalle—Émard,15,,,,4,4,35,,0,1,2,,,,8
24035,Longueuil,37,,,,1,2,12,,0,,3,,,,5
24038,Louis-Saint-Laurent,26,,,0,17,1,16,,,,10,,2,,4
24039,Manicouagan,29,,,,4,1,4,,,,8,,,,3
24040,Marc-Aurèle-Fortin,32,,,,5,4,37,,,,7,,,,12
24041,Matapédia—Matane,41,,,,2,7,19,,,,6,,,,4
24042,Mégantic—L'Érable,32,,,,5,2,15,,,,5,,,,4
24043,Montcalm,35,,,,5,3,14,,,,2,,,,4
24050,Pontiac,23,,,,17,3,34,,,0,8,,,,3
24052,Québec,57,,,,8,10,28,,1,0,13,,,,4
24053,Repentigny,63,,,,11,1,24,,2,,2,,,,6
24054,Richelieu,32,,,,3,0,6,,0,,4,,,,3
24056,Rimouski—Témiscouata,47,,,,5,2,11,,,,5,,,,2
24057,Rivière-des-Mille-Îles,19,,,,4,3,11,,,,1,,,,9
24061,Rosemont—La Petite-Patrie,57,,,0,3,9,20,,,,15,,,,8
24067,Saint-Léonard—Saint-Michel,18,,,,2,3,37,,,0,6,,,,2
24068,Saint-Maurice—Champlain,20,,,,4,3,13,,0,,1,,,,3
24071,Terrebonne—Blainville,21,,,,2,0,6,,,,0,,,,3
24072,Trois-Rivières,31,,,,4,2,7,,,,5,,,,8
24073,Vaudreuil-Soulanges,16,,,,3,1,21,,0,,6,,,,2
24074,Verchères—Les Patriotes,34,,,,4,3,13,,1,,4,,,,5
35004,Barrie  ,,,,,15,4,19,,,,7,,,,0
35006,Bramalea—Gore—Malton  ,,,,,10,2,17,,,0,8,,,,0
35007,Brampton—Springdale ,,,,1,9,1,8,,,,7,,,,0
35008,Brampton West/Brampton-Ouest,,,,,11,4,10,,,,7,,1,,2
35009,Brant ,,,0,,8,4,17,,,,13,,0,,3
35010,Burlington  ,,,1,,17,6,41,,,,12,,,,8
35013,Chatham-Kent—Essex  ,,,,,12,8,22,,,0,7,,,,1
35014,Clarington—Scugog—Uxbridge  ,,,0,,23,5,27,,,,15,,,,1
35015,Davenport ,,0,,0,0,5,21,,0,0,32,,,,3
35017,"Don Valley West/
Don Valley-Ouest ",,,,,23,11,64,,,,18,,,,6
35020,Elgin—Middlesex—London  ,,0,1,,16,3,18,,,,6,,,,5
35021,Essex ,,,,,18,4,19,,,1,10,,,,3
35027,Guelph  ,,,0,,21,18,34,,0,0,24,,,,2
35029,Haliburton—Kawartha Lakes—Brock ,,,0,,48,5,35,,,,12,,1,,3
35031,Hamilton Centre/Hamilton-Centre,,,0,,9,5,19,,,2,36,,1,,6
35033,Hamilton Mountain ,,,,,13,2,17,,,0,8,,,,1
35036,"Kingston and the Islands/
Kingston et les Îles",,0,1,,9,17,52,,,,23,,0,,3
35037,Kitchener Centre/Kitchener-Centre ,,,,,21,3,25,,,,15,,0,,2
35039,Kitchener—Waterloo  ,,,2,,30,10,42,,,,24,,0,,4
35044,London West/London-Ouest ,,,,,35,3,62,,,0,38,0,,,5
35045,Markham—Unionville  ,,,,,8,3,20,,,,9,,,,5
