District,Poll Number,Poll Name,Marie Martine Bédard,Nicolas Du Cap,Érick Gauthier,Gilles-A. Perron,Yolaine Savignac,Rejected Ballots,Total Vote,Electors
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,113B,Saint-Eustache,4,5,11,78,37,7,142,327
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,114,Saint-Eustache,9,3,17,91,65,7,192,395
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,115,Saint-Eustache,10,8,11,161,48,6,244,451
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,116,Saint-Eustache,15,10,24,100,68,4,221,415
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,117,Deux-Montagnes,10,6,5,141,35,6,203,428
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,118,Deux-Montagnes,13,5,15,160,47,7,247,484
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,119,Deux-Montagnes,17,8,19,208,81,6,339,572
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,120,Deux-Montagnes,7,6,17,130,84,7,251,448
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,121,Deux-Montagnes,12,15,26,122,81,5,261,488
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,122,Deux-Montagnes,12,19,17,157,100,6,311,531
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,123,Deux-Montagnes,13,5,11,122,68,10,229,415
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,124,Deux-Montagnes,12,9,11,80,25,1,138,312
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,125,Deux-Montagnes,13,12,12,139,83,9,268,527
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,126,Deux-Montagnes,16,10,13,91,68,5,203,371
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,127,Deux-Montagnes,12,8,19,112,56,12,219,446
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,128,Deux-Montagnes,17,10,17,70,94,3,211,435
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,129,Deux-Montagnes,15,16,19,94,86,4,234,411
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,130,Deux-Montagnes,11,11,21,111,36,8,198,354
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,131,Deux-Montagnes,11,10,19,167,78,7,292,476
