District,Poll Number,Poll Name,Benjamin Kasapoglu,Jean-Marie Laliberté,Richard Marceau,Marilou Moisan-Domm,Bertrand Proulx,François Villeneuve,Rejected Ballots,Total Vote,Electors
Charlesbourg/Charlesbourg,1,Lac-Saint-Charles,3,47,120,13,28,5,5,221,449
Charlesbourg/Charlesbourg,2,Lac-Saint-Charles,5,62,134,6,44,9,8,268,489
Charlesbourg/Charlesbourg,3,Charlesbourg,2,33,119,5,44,8,3,214,515
Charlesbourg/Charlesbourg,4,Charlesbourg,6,38,147,8,50,8,10,267,517
Charlesbourg/Charlesbourg,5,Charlesbourg,2,38,71,3,16,7,2,139,373
Charlesbourg/Charlesbourg,6,Charlesbourg,2,52,161,5,45,9,7,281,491
Charlesbourg/Charlesbourg,7,Lac-Saint-Charles,7,51,132,8,53,17,11,279,513
Charlesbourg/Charlesbourg,8,Lac-Saint-Charles,3,74,89,6,40,10,3,225,419
Charlesbourg/Charlesbourg,9,Lac-Saint-Charles,2,42,101,3,48,9,7,212,401
Charlesbourg/Charlesbourg,10,Lac-Saint-Charles,2,74,126,2,40,7,6,257,426
Charlesbourg/Charlesbourg,11,Lac-Saint-Charles,5,36,111,5,29,11,9,206,441
Charlesbourg/Charlesbourg,12,Lac-Saint-Charles,4,51,103,7,36,6,5,212,448
Charlesbourg/Charlesbourg,13,Lac-Saint-Charles,3,56,149,3,64,9,5,289,560
Charlesbourg/Charlesbourg,14,Lac-Saint-Charles,9,34,128,3,39,5,1,219,439
Charlesbourg/Charlesbourg,15,Lac-Saint-Charles,4,41,75,4,29,4,3,160,391
Charlesbourg/Charlesbourg,16,Lac-Saint-Charles,2,19,76,6,41,6,3,153,342
Charlesbourg/Charlesbourg,17,Lac-Saint-Charles,0,27,62,6,29,4,5,133,308
Charlesbourg/Charlesbourg,18,Lac-Saint-Charles,2,29,108,1,51,3,8,202,475
Charlesbourg/Charlesbourg,19,Lac-Saint-Charles,4,43,101,1,53,12,0,214,456
Charlesbourg/Charlesbourg,20,Lac-Saint-Charles,4,25,67,8,22,4,4,134,350
Charlesbourg/Charlesbourg,21,Charlesbourg,1,48,103,2,41,12,8,215,466
Charlesbourg/Charlesbourg,22,Charlesbourg,0,68,170,6,61,11,7,323,517
Charlesbourg/Charlesbourg,23,Charlesbourg,0,55,101,11,35,12,8,222,437
Charlesbourg/Charlesbourg,24,Charlesbourg,1,48,145,5,34,14,8,255,454
Charlesbourg/Charlesbourg,25,Charlesbourg,2,52,127,8,30,10,8,237,470
Charlesbourg/Charlesbourg,26,Charlesbourg,3,59,141,7,21,5,7,243,462
Charlesbourg/Charlesbourg,27,Charlesbourg,0,30,132,5,34,6,5,212,479
Charlesbourg/Charlesbourg,28,Saint-Émile,0,47,138,2,71,10,3,271,577
Charlesbourg/Charlesbourg,29,Saint-Émile,1,23,94,4,47,8,7,184,385
Charlesbourg/Charlesbourg,30,Saint-Émile,0,22,107,2,35,4,8,178,315
Charlesbourg/Charlesbourg,31,Saint-Émile,1,41,98,5,30,9,14,198,395
Charlesbourg/Charlesbourg,32,Saint-Émile,2,54,124,4,50,7,10,251,460
Charlesbourg/Charlesbourg,33,Saint-Émile,2,36,121,9,35,3,7,213,386
Charlesbourg/Charlesbourg,34,Saint-Émile,2,53,183,10,102,11,9,370,664
Charlesbourg/Charlesbourg,35,Saint-Émile,2,26,145,2,59,8,4,246,450
Charlesbourg/Charlesbourg,36,Saint-Émile,3,55,166,7,75,9,7,322,546
Charlesbourg/Charlesbourg,37,Saint-Émile,5,39,94,0,40,5,6,189,368
Charlesbourg/Charlesbourg,38,Saint-Émile,4,39,152,4,44,8,4,255,421
Charlesbourg/Charlesbourg,39,Saint-Émile,0,31,115,9,59,6,8,228,448
Charlesbourg/Charlesbourg,40,Saint-Émile,0,33,109,9,46,4,5,206,381
Charlesbourg/Charlesbourg,41,Saint-Émile,3,38,126,5,48,9,3,232,439
Charlesbourg/Charlesbourg,42,Saint-Émile,0,21,47,0,48,7,3,126,227
Charlesbourg/Charlesbourg,43,Saint-Émile,1,31,88,4,31,4,4,163,355
Charlesbourg/Charlesbourg,44,Saint-Émile,1,30,123,7,46,5,8,220,436
Charlesbourg/Charlesbourg,45,Saint-Émile,0,51,146,7,74,12,8,298,576
Charlesbourg/Charlesbourg,46,Saint-Émile,2,35,115,3,33,6,5,199,434
Charlesbourg/Charlesbourg,47,Saint-Émile,0,33,99,5,32,8,9,186,382
Charlesbourg/Charlesbourg,48,Charlesbourg,3,59,116,13,41,10,6,248,435
Charlesbourg/Charlesbourg,49,Charlesbourg,3,30,139,4,39,9,6,230,426
Charlesbourg/Charlesbourg,50,Charlesbourg,3,28,102,14,18,6,10,181,332
Charlesbourg/Charlesbourg,51,Charlesbourg,1,27,116,2,53,3,11,213,362
Charlesbourg/Charlesbourg,52,Charlesbourg,2,46,119,8,54,17,4,250,458
Charlesbourg/Charlesbourg,53,Charlesbourg,3,32,142,6,35,12,0,230,456
Charlesbourg/Charlesbourg,54,Charlesbourg,3,57,220,14,42,10,15,361,576
Charlesbourg/Charlesbourg,55,Charlesbourg,0,51,161,10,32,10,2,266,429
Charlesbourg/Charlesbourg,56,Charlesbourg,2,34,98,2,21,8,1,166,382
Charlesbourg/Charlesbourg,57,Charlesbourg,0,23,62,3,13,6,3,110,258
Charlesbourg/Charlesbourg,58,Charlesbourg,0,62,107,5,41,14,6,235,402
Charlesbourg/Charlesbourg,59,Charlesbourg,2,80,91,7,23,13,8,224,405
Charlesbourg/Charlesbourg,60,Charlesbourg,4,59,95,2,21,3,4,188,331
Charlesbourg/Charlesbourg,61,Charlesbourg,2,50,103,6,28,18,12,219,348
Charlesbourg/Charlesbourg,62,Charlesbourg,3,53,164,8,39,18,1,286,449
Charlesbourg/Charlesbourg,63,Charlesbourg,2,56,156,13,42,21,10,300,451
Charlesbourg/Charlesbourg,64,Charlesbourg,1,40,123,7,27,8,2,208,334
Charlesbourg/Charlesbourg,65,Charlesbourg,2,51,119,5,23,6,2,208,393
Charlesbourg/Charlesbourg,66,Charlesbourg,4,59,89,4,29,4,7,196,404
Charlesbourg/Charlesbourg,67,Charlesbourg,1,55,102,4,35,2,4,203,380
Charlesbourg/Charlesbourg,68,Charlesbourg,0,58,110,6,19,5,6,204,361
Charlesbourg/Charlesbourg,69,Charlesbourg,1,60,125,5,33,6,6,236,424
Charlesbourg/Charlesbourg,70,Charlesbourg,1,43,95,8,23,11,7,188,370
Charlesbourg/Charlesbourg,71,Charlesbourg,4,48,157,14,40,9,10,282,494
Charlesbourg/Charlesbourg,72,Charlesbourg,1,65,225,10,40,12,7,360,540
Charlesbourg/Charlesbourg,73,Charlesbourg,1,31,136,12,55,14,9,258,419
Charlesbourg/Charlesbourg,74,Charlesbourg,1,25,132,12,36,12,6,224,456
Charlesbourg/Charlesbourg,75,Charlesbourg,5,52,175,11,42,16,6,307,581
Charlesbourg/Charlesbourg,76,Charlesbourg,1,27,91,7,34,7,0,167,376
Charlesbourg/Charlesbourg,77,Charlesbourg,0,38,130,5,31,4,3,211,374
Charlesbourg/Charlesbourg,78,Charlesbourg,1,55,115,9,35,9,5,229,389
Charlesbourg/Charlesbourg,79,Charlesbourg,4,48,89,3,23,2,9,178,374
Charlesbourg/Charlesbourg,80,Charlesbourg,2,38,65,4,11,8,1,129,292
Charlesbourg/Charlesbourg,81,Charlesbourg,7,55,96,3,31,7,2,201,331
Charlesbourg/Charlesbourg,82,Charlesbourg,2,50,107,3,20,3,2,187,327
Charlesbourg/Charlesbourg,83,Charlesbourg,2,73,114,4,36,3,4,236,415
Charlesbourg/Charlesbourg,84,Charlesbourg,1,52,108,6,25,3,4,199,338
Charlesbourg/Charlesbourg,85,Charlesbourg,6,70,107,5,40,14,5,247,357
Charlesbourg/Charlesbourg,86,Charlesbourg,5,40,112,9,26,9,9,210,328
Charlesbourg/Charlesbourg,87,Charlesbourg,2,47,83,7,24,6,4,173,396
Charlesbourg/Charlesbourg,88,Charlesbourg,2,62,86,4,32,6,4,196,333
Charlesbourg/Charlesbourg,89,Charlesbourg,1,39,81,4,18,2,0,145,362
Charlesbourg/Charlesbourg,90,Charlesbourg,0,59,84,4,17,2,0,166,292
Charlesbourg/Charlesbourg,91,Charlesbourg,1,109,127,7,29,4,7,284,478
Charlesbourg/Charlesbourg,92,Charlesbourg,0,30,96,11,39,6,5,187,388
Charlesbourg/Charlesbourg,93,Charlesbourg,1,69,134,6,38,4,6,258,528
Charlesbourg/Charlesbourg,94,Charlesbourg,0,42,126,8,32,2,0,210,359
Charlesbourg/Charlesbourg,95,Charlesbourg,2,52,113,13,32,15,2,229,390
Charlesbourg/Charlesbourg,96,Charlesbourg,0,51,142,10,29,9,11,252,423
Charlesbourg/Charlesbourg,97,Charlesbourg,2,37,153,8,33,11,1,245,396
Charlesbourg/Charlesbourg,98,Charlesbourg,0,49,118,6,40,6,7,226,441
Charlesbourg/Charlesbourg,99,Charlesbourg,0,41,94,6,24,10,0,175,304
Charlesbourg/Charlesbourg,100,Charlesbourg,0,64,124,3,56,12,2,261,428
Charlesbourg/Charlesbourg,101,Charlesbourg,3,48,130,10,44,8,9,252,444
Charlesbourg/Charlesbourg,102,Charlesbourg,3,53,153,6,74,11,8,308,537
Charlesbourg/Charlesbourg,103,Charlesbourg,0,61,110,4,32,6,1,214,422
