District,Poll Number,Poll Name,David Fullerton,Greg Moors,Dale Stevens,Peter Stoffer,Steve Streatch,Rejected Ballots,Total Vote,Electors
Sackville--Eastern Shore/Sackville--Eastern Shore,1,Beaverbank,0,0,0,1,1,0,2,42
Sackville--Eastern Shore/Sackville--Eastern Shore,2,Beaverbank,14,1,50,92,47,0,204,372
Sackville--Eastern Shore/Sackville--Eastern Shore,3,Beaverbank,0,2,63,115,45,0,225,360
Sackville--Eastern Shore/Sackville--Eastern Shore,4,Kinsac,9,5,60,150,34,0,258,454
Sackville--Eastern Shore/Sackville--Eastern Shore,5,Middle Beaverbank,5,4,39,80,43,1,172,334
Sackville--Eastern Shore/Sackville--Eastern Shore,6,Halifax,5,3,73,128,68,0,277,454
Sackville--Eastern Shore/Sackville--Eastern Shore,7,Halifax,4,1,49,98,34,2,188,336
Sackville--Eastern Shore/Sackville--Eastern Shore,8,Halifax,4,1,56,60,38,1,160,259
Sackville--Eastern Shore/Sackville--Eastern Shore,9,Halifax,7,4,95,98,67,0,271,467
Sackville--Eastern Shore/Sackville--Eastern Shore,10,Halifax,6,3,26,98,27,0,160,380
Sackville--Eastern Shore/Sackville--Eastern Shore,11,Halifax,2,0,14,106,20,1,143,353
Sackville--Eastern Shore/Sackville--Eastern Shore,12,Halifax,1,1,22,102,23,2,151,322
Sackville--Eastern Shore/Sackville--Eastern Shore,13,Halifax,6,4,72,84,53,0,219,379
Sackville--Eastern Shore/Sackville--Eastern Shore,14,Upper Sackville,5,5,51,78,39,1,179,340
Sackville--Eastern Shore/Sackville--Eastern Shore,15,Middle Sackville,11,9,82,124,55,1,282,512
Sackville--Eastern Shore/Sackville--Eastern Shore,16A,Middle Sackville,5,2,51,56,49,0,163,284
Sackville--Eastern Shore/Sackville--Eastern Shore,16B,Middle Sackville,9,2,62,72,41,1,187,314
Sackville--Eastern Shore/Sackville--Eastern Shore,17,Middle Sackville,1,10,82,66,35,1,195,348
Sackville--Eastern Shore/Sackville--Eastern Shore,18,Middle Sackville,8,4,39,68,20,2,141,279
Sackville--Eastern Shore/Sackville--Eastern Shore,19,Middle Sackville,6,3,55,88,26,0,178,415
