District,Poll Number,Poll Name,Barb Fisher,Dave Joslin,Grant Robertson,Glen Smith,Paul Steckle,Dave Vasey,Rejected Ballots,Total Vote,Electors
Huron--Bruce/Huron--Bruce,1,Port Elgin--Saugeen--Southampton,58,0,36,2,93,7,0,196,341
Huron--Bruce/Huron--Bruce,2,Port Elgin--Saugeen--Southampton,43,0,20,0,63,2,0,128,184
Huron--Bruce/Huron--Bruce,3,Port Elgin--Saugeen--Southampton,60,2,42,0,116,10,3,233,417
Huron--Bruce/Huron--Bruce,4,Port Elgin--Saugeen--Southampton,85,3,43,1,138,16,2,288,396
Huron--Bruce/Huron--Bruce,5,Port Elgin--Saugeen--Southampton,100,3,41,7,130,8,1,290,465
Huron--Bruce/Huron--Bruce,6,Port Elgin--Saugeen--Southampton,38,0,11,0,38,3,0,90,181
Huron--Bruce/Huron--Bruce,7,Port Elgin--Saugeen--Southampton,90,0,36,3,146,16,1,292,490
Huron--Bruce/Huron--Bruce,8,Port Elgin--Saugeen--Southampton,120,3,44,6,159,10,1,343,517
Huron--Bruce/Huron--Bruce,9,Port Elgin--Saugeen--Southampton,61,0,24,4,134,6,0,229,435
Huron--Bruce/Huron--Bruce,10,Port Elgin--Saugeen--Southampton,68,1,33,3,209,10,1,325,490
Huron--Bruce/Huron--Bruce,11,Port Elgin--Saugeen--Southampton,61,1,40,1,130,3,0,236,553
Huron--Bruce/Huron--Bruce,12,Port Elgin--Saugeen--Southampton,49,2,21,2,138,6,0,218,369
Huron--Bruce/Huron--Bruce,13,Port Elgin--Saugeen--Southampton,53,0,39,4,110,2,1,209,387
Huron--Bruce/Huron--Bruce,14,Port Elgin--Saugeen--Southampton,32,4,41,5,101,6,0,189,341
Huron--Bruce/Huron--Bruce,15,Port Elgin--Saugeen--Southampton,71,4,33,6,140,8,0,262,439
Huron--Bruce/Huron--Bruce,16,Port Elgin--Saugeen--Southampton,45,3,34,5,113,13,1,214,395
Huron--Bruce/Huron--Bruce,17,Port Elgin--Saugeen--Southampton,50,3,32,6,109,10,1,211,401
Huron--Bruce/Huron--Bruce,18,Port Elgin--Saugeen--Southampton,53,8,45,4,124,6,3,243,429
Huron--Bruce/Huron--Bruce,19,Port Elgin--Saugeen--Southampton,71,4,42,2,160,1,1,281,503
Huron--Bruce/Huron--Bruce,20,Port Elgin--Saugeen--Southampton,64,1,33,2,95,4,1,200,365
Huron--Bruce/Huron--Bruce,21,Port Elgin--Saugeen--Southampton,39,0,34,5,180,8,0,266,445
Huron--Bruce/Huron--Bruce,22,Port Elgin--Saugeen--Southampton,66,1,18,3,73,7,0,168,260
Huron--Bruce/Huron--Bruce,23,Port Elgin--Saugeen--Southampton,81,2,27,2,110,11,0,233,358
Huron--Bruce/Huron--Bruce,24,Underwood,81,9,36,2,103,9,0,240,418
Huron--Bruce/Huron--Bruce,25,Underwood,69,2,39,2,76,4,0,192,286
Huron--Bruce/Huron--Bruce,26,Cargill,61,7,32,0,50,4,0,154,272
Huron--Bruce/Huron--Bruce,27,Underwood,46,0,32,7,100,6,1,192,298
Huron--Bruce/Huron--Bruce,28,Kincardine,79,4,44,6,155,8,2,298,485
Huron--Bruce/Huron--Bruce,29,Tiverton,34,4,31,6,63,6,1,145,236
Huron--Bruce/Huron--Bruce,30,Tiverton,56,2,39,8,93,5,0,203,321
Huron--Bruce/Huron--Bruce,31,Kincardine,30,7,36,3,95,10,0,181,277
Huron--Bruce/Huron--Bruce,32,Kincardine,63,8,27,1,121,3,0,223,395
Huron--Bruce/Huron--Bruce,33,Kincardine,71,15,20,3,84,9,0,202,251
Huron--Bruce/Huron--Bruce,34,Kincardine,56,5,19,2,110,7,0,199,316
Huron--Bruce/Huron--Bruce,35,Kincardine,79,1,29,7,110,8,0,234,380
Huron--Bruce/Huron--Bruce,36,Kincardine,48,5,28,3,109,11,0,204,406
Huron--Bruce/Huron--Bruce,37,Kincardine,59,0,27,1,78,2,0,167,296
Huron--Bruce/Huron--Bruce,38,Kincardine,55,1,41,1,98,6,1,203,367
Huron--Bruce/Huron--Bruce,39,Kincardine,84,2,31,5,124,12,0,258,423
Huron--Bruce/Huron--Bruce,40,Kincardine,42,3,25,4,87,8,1,170,321
Huron--Bruce/Huron--Bruce,41,Kincardine,39,6,34,1,79,7,1,167,290
Huron--Bruce/Huron--Bruce,42,Kincardine,55,7,47,1,91,21,0,222,384
Huron--Bruce/Huron--Bruce,43,Kincardine,58,0,35,3,104,5,0,205,394
Huron--Bruce/Huron--Bruce,44,Kincardine,32,7,31,1,111,2,2,186,303
Huron--Bruce/Huron--Bruce,45,Kincardine,84,1,47,2,131,15,1,281,563
Huron--Bruce/Huron--Bruce,46,Kincardine,62,6,22,1,95,8,0,194,350
Huron--Bruce/Huron--Bruce,47,Kincardine,60,4,37,2,135,10,0,248,433
Huron--Bruce/Huron--Bruce,48,Millarton,60,7,12,3,60,7,0,149,197
Huron--Bruce/Huron--Bruce,49,Huron,41,3,24,1,111,8,0,188,404
Huron--Bruce/Huron--Bruce,50,Huron,44,2,27,3,108,8,0,192,321
Huron--Bruce/Huron--Bruce,51,Pine River,46,3,15,1,115,2,1,183,280
Huron--Bruce/Huron--Bruce,52,Huron,59,4,33,5,117,7,0,225,341
Huron--Bruce/Huron--Bruce,53,Point Clark,117,0,36,7,163,11,0,334,467
Huron--Bruce/Huron--Bruce,54,Chepstow,68,6,17,1,163,14,1,270,444
Huron--Bruce/Huron--Bruce,55,Riversdale,57,10,18,0,75,2,0,162,252
Huron--Bruce/Huron--Bruce,56,Eden Grove,143,12,43,3,107,5,0,313,487
Huron--Bruce/Huron--Bruce,57,Cargill Siding,41,4,10,4,78,9,0,146,245
Huron--Bruce/Huron--Bruce,58,Dunkeld,63,6,15,1,102,13,1,201,296
Huron--Bruce/Huron--Bruce,59,Walkerton,44,3,32,3,131,8,0,221,432
Huron--Bruce/Huron--Bruce,60,Walkerton,62,4,24,2,72,17,1,182,410
Huron--Bruce/Huron--Bruce,61,Walkerton,43,3,20,2,76,9,0,153,299
Huron--Bruce/Huron--Bruce,62,Walkerton,53,7,30,0,93,8,1,192,337
Huron--Bruce/Huron--Bruce,63,Walkerton,67,10,31,2,130,10,1,251,465
Huron--Bruce/Huron--Bruce,64,Walkerton,60,5,26,0,120,5,3,219,414
Huron--Bruce/Huron--Bruce,65,Walkerton,56,8,31,5,124,7,1,232,366
Huron--Bruce/Huron--Bruce,66,Walkerton,60,3,17,0,85,2,2,169,408
Huron--Bruce/Huron--Bruce,67,Walkerton,81,7,21,2,173,25,1,310,531
Huron--Bruce/Huron--Bruce,68,Maple Hill,101,5,25,1,137,9,1,279,523
Huron--Bruce/Huron--Bruce,69,Lake Rosalind,77,3,18,2,70,3,0,173,281
Huron--Bruce/Huron--Bruce,70,Brant,76,7,34,3,90,4,0,214,488
Huron--Bruce/Huron--Bruce,71,Ambleside,39,4,18,3,84,6,0,154,286
Huron--Bruce/Huron--Bruce,72,Otter Creek,67,3,15,1,76,3,1,166,240
Huron--Bruce/Huron--Bruce,73,Carlsruhe,52,12,14,1,65,5,1,150,290
Huron--Bruce/Huron--Bruce,74,Mildmay,47,8,17,1,83,8,0,164,259
Huron--Bruce/Huron--Bruce,75,Mildmay,63,5,23,2,89,4,1,187,339
Huron--Bruce/Huron--Bruce,76,Mildmay,48,2,26,0,66,3,0,145,249
Huron--Bruce/Huron--Bruce,77,Ambleside,4,1,5,0,22,1,0,33,72
Huron--Bruce/Huron--Bruce,78,Ambleside,78,3,39,0,154,8,1,283,456
Huron--Bruce/Huron--Bruce,79,Deemerton,33,4,17,3,111,5,0,173,272
Huron--Bruce/Huron--Bruce,80,Huron,52,11,30,2,110,6,2,213,255
Huron--Bruce/Huron--Bruce,81,Ripley,75,2,56,6,176,8,0,323,573
Huron--Bruce/Huron--Bruce,82,Kinlough,65,3,23,0,59,4,0,154,308
Huron--Bruce/Huron--Bruce,83,Holyrood,21,3,13,0,43,1,0,81,163
Huron--Bruce/Huron--Bruce,84,Langside,59,9,29,3,107,3,0,210,304
Huron--Bruce/Huron--Bruce,85,Lucknow,51,3,47,8,103,2,1,215,438
Huron--Bruce/Huron--Bruce,86,Lucknow,46,3,20,1,83,11,0,164,260
Huron--Bruce/Huron--Bruce,87,Lucknow,67,1,24,3,112,3,0,210,314
Huron--Bruce/Huron--Bruce,88,Kintail,101,9,30,8,173,5,1,327,526
Huron--Bruce/Huron--Bruce,89,St. Helens,30,2,13,0,55,3,0,103,261
Huron--Bruce/Huron--Bruce,90,Dungannon,85,4,25,3,90,2,0,209,361
Huron--Bruce/Huron--Bruce,91,St. Augustine,44,2,19,4,58,3,1,131,260
Huron--Bruce/Huron--Bruce,92,Salem,41,2,17,3,75,1,1,140,172
Huron--Bruce/Huron--Bruce,93,Formosa,41,0,17,3,97,5,3,166,267
Huron--Bruce/Huron--Bruce,94,Culross,69,14,18,3,150,3,1,258,362
Huron--Bruce/Huron--Bruce,95,Teeswater,60,5,36,1,133,7,2,244,390
Huron--Bruce/Huron--Bruce,96,Teeswater,90,2,26,4,84,3,0,209,417
Huron--Bruce/Huron--Bruce,97,Lower Wingham,48,5,16,3,61,5,0,138,289
Huron--Bruce/Huron--Bruce,98,Turnberry,40,9,8,0,90,2,0,149,258
Huron--Bruce/Huron--Bruce,99,Lakelet,62,9,10,1,86,2,0,170,319
Huron--Bruce/Huron--Bruce,100,Wingham,68,5,20,2,100,7,0,202,377
Huron--Bruce/Huron--Bruce,101,Wingham,92,6,22,3,159,6,0,288,485
Huron--Bruce/Huron--Bruce,102,Wingham,27,1,8,1,38,3,0,78,154
Huron--Bruce/Huron--Bruce,103,Wingham,29,2,14,2,59,4,0,110,214
Huron--Bruce/Huron--Bruce,104,Wingham,49,3,11,0,105,3,0,171,317
Huron--Bruce/Huron--Bruce,105,Wingham,45,2,17,3,96,3,0,166,295
Huron--Bruce/Huron--Bruce,106,Wingham,61,6,23,1,103,12,1,207,367
Huron--Bruce/Huron--Bruce,107,Turnberry,83,8,37,8,83,7,2,228,445
Huron--Bruce/Huron--Bruce,108,Wroxeter,103,9,44,4,141,5,0,306,574
Huron--Bruce/Huron--Bruce,109,Gorrie,84,9,31,7,108,3,0,242,394
Huron--Bruce/Huron--Bruce,110,Howick,80,27,22,0,107,8,0,244,458
Huron--Bruce/Huron--Bruce,111,Howick,117,20,52,3,160,12,2,366,634
Huron--Bruce/Huron--Bruce,112,East Wawanosh,84,2,7,0,177,6,0,276,438
Huron--Bruce/Huron--Bruce,113,Morris,61,4,14,3,87,2,0,171,293
Huron--Bruce/Huron--Bruce,114,Westfield,71,13,29,1,120,5,1,240,352
Huron--Bruce/Huron--Bruce,115,Blyth,100,10,29,5,114,8,2,268,458
Huron--Bruce/Huron--Bruce,116,Blyth,88,12,29,3,126,3,3,264,380
Huron--Bruce/Huron--Bruce,117,Belgrave,72,2,27,3,121,5,2,232,404
Huron--Bruce/Huron--Bruce,118,Morris,70,19,26,2,139,8,1,265,358
Huron--Bruce/Huron--Bruce,119,Brussels,72,2,45,4,107,18,0,248,406
Huron--Bruce/Huron--Bruce,120,Brussels,106,2,33,3,135,4,0,283,436
Huron--Bruce/Huron--Bruce,121,Grey,49,2,9,2,62,6,1,131,252
Huron--Bruce/Huron--Bruce,122,Grey,69,6,37,1,98,8,0,219,385
Huron--Bruce/Huron--Bruce,123,Port Albert,60,7,26,8,78,4,0,183,288
Huron--Bruce/Huron--Bruce,124,Ashfield,44,1,24,0,56,1,0,126,221
Huron--Bruce/Huron--Bruce,125,Carlow,83,1,38,3,106,9,2,242,359
Huron--Bruce/Huron--Bruce,126,Colborne,151,5,55,3,200,13,2,429,647
Huron--Bruce/Huron--Bruce,127,Meneset,126,3,43,3,135,11,1,322,491
Huron--Bruce/Huron--Bruce,128,Goderich,38,3,30,4,89,2,1,167,352
Huron--Bruce/Huron--Bruce,129,Goderich,38,2,28,2,137,8,0,215,326
Huron--Bruce/Huron--Bruce,130,Goderich,35,2,42,4,79,7,2,171,376
Huron--Bruce/Huron--Bruce,131,Goderich,34,3,38,3,90,8,0,176,354
Huron--Bruce/Huron--Bruce,132,Goderich,29,2,34,4,87,12,0,168,342
Huron--Bruce/Huron--Bruce,133,Goderich,41,1,41,4,78,7,1,173,387
Huron--Bruce/Huron--Bruce,134,Goderich,44,3,61,2,60,6,0,176,339
Huron--Bruce/Huron--Bruce,135,Goderich,58,8,47,2,121,10,0,246,398
Huron--Bruce/Huron--Bruce,136,Goderich,41,2,49,3,90,7,0,192,350
Huron--Bruce/Huron--Bruce,137,Goderich,45,1,33,7,70,4,0,160,319
Huron--Bruce/Huron--Bruce,138,Goderich,47,0,33,4,70,1,0,155,310
Huron--Bruce/Huron--Bruce,139,Goderich,75,2,46,3,151,5,0,282,459
Huron--Bruce/Huron--Bruce,140,Goderich,41,3,39,8,67,5,1,164,321
Huron--Bruce/Huron--Bruce,141,Goderich,76,0,44,1,141,4,1,267,428
Huron--Bruce/Huron--Bruce,142,Goderich,55,2,41,4,129,9,0,240,404
Huron--Bruce/Huron--Bruce,143A,Goderich,55,2,35,5,67,0,1,165,300
Huron--Bruce/Huron--Bruce,143B,Goderich,48,1,21,1,91,2,1,165,305
Huron--Bruce/Huron--Bruce,144,Goderich,76,1,46,3,102,11,1,240,451
Huron--Bruce/Huron--Bruce,145,Holmesville,72,15,31,3,143,11,0,275,422
Huron--Bruce/Huron--Bruce,146,Goderich,15,0,4,2,33,2,0,56,85
Huron--Bruce/Huron--Bruce,147,Holmesville,69,4,34,3,92,7,0,209,278
Huron--Bruce/Huron--Bruce,148,Summerhill,75,8,25,0,86,5,0,199,252
Huron--Bruce/Huron--Bruce,149,Londesborough,100,18,21,3,126,8,0,276,412
Huron--Bruce/Huron--Bruce,150,Kinburn,65,9,19,2,104,8,0,207,289
Huron--Bruce/Huron--Bruce,151,Goderich,105,3,49,3,153,9,0,322,491
Huron--Bruce/Huron--Bruce,152,Goderich,111,7,43,3,177,7,2,350,549
Huron--Bruce/Huron--Bruce,153,Clinton,57,9,24,7,142,3,0,242,416
Huron--Bruce/Huron--Bruce,154,Kinburn,35,1,11,0,72,4,0,123,216
Huron--Bruce/Huron--Bruce,155,Clinton,60,1,31,2,80,0,1,175,343
Huron--Bruce/Huron--Bruce,156A,Clinton,79,0,30,5,84,5,0,203,386
Huron--Bruce/Huron--Bruce,156B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,,12
Huron--Bruce/Huron--Bruce,157,Clinton,68,5,28,0,107,8,0,216,364
Huron--Bruce/Huron--Bruce,158A,Clinton,46,0,15,3,61,6,1,132,209
Huron--Bruce/Huron--Bruce,158B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,,4
Huron--Bruce/Huron--Bruce,159,Clinton,42,10,13,0,79,1,1,146,208
Huron--Bruce/Huron--Bruce,160,Clinton,87,8,18,3,84,9,0,209,348
Huron--Bruce/Huron--Bruce,161,Bayfield,91,0,28,4,156,12,0,291,432
Huron--Bruce/Huron--Bruce,162,Bayfield,127,0,59,3,224,16,1,430,573
Huron--Bruce/Huron--Bruce,163,Stanley,88,3,38,4,167,5,0,305,535
Huron--Bruce/Huron--Bruce,164,Stanley,84,0,17,0,113,4,2,220,363
Huron--Bruce/Huron--Bruce,165,Stanley,76,6,14,1,85,3,4,189,426
Huron--Bruce/Huron--Bruce,166,Tuckersmith,60,8,72,10,111,9,2,272,463
Huron--Bruce/Huron--Bruce,167,Tuckersmith,50,0,10,2,88,5,0,155,294
Huron--Bruce/Huron--Bruce,168,Grey,65,4,25,0,110,5,2,211,341
Huron--Bruce/Huron--Bruce,169,Grey,46,6,19,3,82,0,0,156,263
Huron--Bruce/Huron--Bruce,170,McKillop,48,5,21,2,88,5,0,169,300
Huron--Bruce/Huron--Bruce,171,McKillop,41,9,13,2,85,6,1,157,265
Huron--Bruce/Huron--Bruce,172,McKillop,39,9,16,2,99,7,0,172,322
Huron--Bruce/Huron--Bruce,173,Seaforth,44,2,35,3,78,6,1,169,272
Huron--Bruce/Huron--Bruce,174,Seaforth,32,2,22,5,64,2,0,127,255
Huron--Bruce/Huron--Bruce,175,Seaforth,67,1,30,5,132,5,1,241,381
Huron--Bruce/Huron--Bruce,176,Seaforth,54,3,20,4,96,4,0,181,319
Huron--Bruce/Huron--Bruce,177,Seaforth,41,6,37,11,120,12,3,230,495
Huron--Bruce/Huron--Bruce,178,Tuckersmith,79,3,33,5,158,11,1,290,478
Huron--Bruce/Huron--Bruce,179,Tuckersmith,56,0,39,3,113,3,1,215,344
Huron--Bruce/Huron--Bruce,180,Tuckersmith,59,2,10,3,82,5,0,161,277
Huron--Bruce/Huron--Bruce,181A,Hay,49,1,14,1,108,7,0,180,301
Huron--Bruce/Huron--Bruce,181B,Hay,57,4,12,0,106,4,0,183,362
