District,Poll Number,Poll Name,Dave Fluri,Ross MacLean,Al McDonald,Anthony Rota,Les Wilcox,Rejected Ballots,Total Vote,Electors
Nipissing--Timiskaming/Nipissing--Timiskaming,1,Hillview,67,1,87,69,13,1,238,527
Nipissing--Timiskaming/Nipissing--Timiskaming,2,Dymond,67,0,53,92,0,1,213,362
Nipissing--Timiskaming/Nipissing--Timiskaming,3,Dymond ,40,0,77,154,5,2,278,428
Nipissing--Timiskaming/Nipissing--Timiskaming,4,Sutton Bay,29,0,77,115,5,0,226,418
Nipissing--Timiskaming/Nipissing--Timiskaming,5,New Liskeard,31,1,44,92,16,2,186,376
Nipissing--Timiskaming/Nipissing--Timiskaming,6,New Liskeard,27,2,38,102,1,1,171,344
Nipissing--Timiskaming/Nipissing--Timiskaming,7,New Liskeard,43,2,43,77,6,1,172,311
Nipissing--Timiskaming/Nipissing--Timiskaming,8,New Liskeard,27,0,33,78,3,3,144,245
Nipissing--Timiskaming/Nipissing--Timiskaming,9,New Liskeard,34,0,40,127,4,6,211,362
Nipissing--Timiskaming/Nipissing--Timiskaming,10,New Liskeard,33,0,36,73,6,0,148,296
Nipissing--Timiskaming/Nipissing--Timiskaming,11,New Liskeard,44,1,62,105,11,1,224,360
Nipissing--Timiskaming/Nipissing--Timiskaming,12,New Liskeard,43,2,37,66,8,2,158,299
Nipissing--Timiskaming/Nipissing--Timiskaming,13,New Liskeard,42,1,75,104,6,2,230,404
Nipissing--Timiskaming/Nipissing--Timiskaming,14,New Liskeard,33,0,53,94,3,2,185,343
Nipissing--Timiskaming/Nipissing--Timiskaming,15A,New Liskeard,30,1,32,80,4,1,148,281
Nipissing--Timiskaming/Nipissing--Timiskaming,15B,New Liskeard,3,1,9,8,0,1,22,32
Nipissing--Timiskaming/Nipissing--Timiskaming,16,Haileybury,52,0,43,69,16,0,180,325
Nipissing--Timiskaming/Nipissing--Timiskaming,17,Haileybury,34,3,49,106,7,2,201,399
Nipissing--Timiskaming/Nipissing--Timiskaming,18,Haileybury,31,1,25,68,7,1,133,281
Nipissing--Timiskaming/Nipissing--Timiskaming,19,Haileybury,26,2,36,71,4,1,140,249
Nipissing--Timiskaming/Nipissing--Timiskaming,20,Haileybury,43,1,39,55,6,0,144,285
Nipissing--Timiskaming/Nipissing--Timiskaming,21,Haileybury,49,2,63,96,11,3,224,467
Nipissing--Timiskaming/Nipissing--Timiskaming,22,Haileybury,32,0,24,60,3,2,121,277
Nipissing--Timiskaming/Nipissing--Timiskaming,23,Haileybury,62,1,73,100,3,2,241,416
Nipissing--Timiskaming/Nipissing--Timiskaming,24,North Cobalt,40,1,27,49,2,1,120,218
Nipissing--Timiskaming/Nipissing--Timiskaming,25,Haileybury,60,1,50,88,13,3,215,397
Nipissing--Timiskaming/Nipissing--Timiskaming,26,Coleman,60,0,39,58,5,0,162,293
Nipissing--Timiskaming/Nipissing--Timiskaming,27,Cobalt,47,1,41,83,8,1,181,296
Nipissing--Timiskaming/Nipissing--Timiskaming,28,Cobalt,65,3,43,47,11,1,170,382
Nipissing--Timiskaming/Nipissing--Timiskaming,29,Cobalt,78,1,44,95,8,1,227,395
Nipissing--Timiskaming/Nipissing--Timiskaming,30,Latchford,54,0,59,56,6,1,176,286
Nipissing--Timiskaming/Nipissing--Timiskaming,31,Bear Island,22,0,4,37,6,0,69,100
Nipissing--Timiskaming/Nipissing--Timiskaming,32,Temagami,78,0,108,111,13,3,313,629
Nipissing--Timiskaming/Nipissing--Timiskaming,33,Marten River,2,0,28,20,2,0,52,103
Nipissing--Timiskaming/Nipissing--Timiskaming,34,Tilden Lake,21,3,34,41,6,0,105,154
Nipissing--Timiskaming/Nipissing--Timiskaming,35,Thorne,51,4,57,84,7,4,207,383
Nipissing--Timiskaming/Nipissing--Timiskaming,36,Balsam Creek,33,0,35,48,5,2,123,227
Nipissing--Timiskaming/Nipissing--Timiskaming,37,Songis,104,6,123,95,8,0,336,624
Nipissing--Timiskaming/Nipissing--Timiskaming,38,Nipissing 10,14,0,22,46,1,1,84,179
Nipissing--Timiskaming/Nipissing--Timiskaming,39,North Bay,23,0,40,74,9,1,147,269
Nipissing--Timiskaming/Nipissing--Timiskaming,40A,North Bay,22,0,35,42,6,2,107,300
Nipissing--Timiskaming/Nipissing--Timiskaming,40B,North Bay,18,1,32,65,2,0,118,330
Nipissing--Timiskaming/Nipissing--Timiskaming,41,North Bay,Void,,,,,,,
Nipissing--Timiskaming/Nipissing--Timiskaming,42,North Bay,37,1,42,41,9,0,130,358
Nipissing--Timiskaming/Nipissing--Timiskaming,43,North Bay,39,1,102,94,5,1,242,364
Nipissing--Timiskaming/Nipissing--Timiskaming,44,North Bay,32,0,57,87,2,1,179,331
Nipissing--Timiskaming/Nipissing--Timiskaming,45,North Bay,40,0,37,41,3,1,122,314
Nipissing--Timiskaming/Nipissing--Timiskaming,46,North Bay,31,0,49,60,2,1,143,296
Nipissing--Timiskaming/Nipissing--Timiskaming,47,North Bay,34,0,67,99,5,0,205,383
Nipissing--Timiskaming/Nipissing--Timiskaming,48,North Bay,30,1,47,74,7,0,159,325
Nipissing--Timiskaming/Nipissing--Timiskaming,49,North Bay,24,0,87,120,6,1,238,389
Nipissing--Timiskaming/Nipissing--Timiskaming,50,North Bay,19,0,61,101,6,0,187,344
Nipissing--Timiskaming/Nipissing--Timiskaming,51,North Bay,23,0,34,52,1,2,112,239
Nipissing--Timiskaming/Nipissing--Timiskaming,52,North Bay,20,0,41,71,3,0,135,286
Nipissing--Timiskaming/Nipissing--Timiskaming,53,North Bay,27,1,56,77,7,1,169,391
Nipissing--Timiskaming/Nipissing--Timiskaming,54,North Bay,8,1,71,121,4,1,206,355
Nipissing--Timiskaming/Nipissing--Timiskaming,55,North Bay,30,1,51,73,1,2,158,301
Nipissing--Timiskaming/Nipissing--Timiskaming,56,North Bay,29,2,61,109,9,0,210,378
Nipissing--Timiskaming/Nipissing--Timiskaming,57,North Bay,34,2,79,75,6,1,197,371
Nipissing--Timiskaming/Nipissing--Timiskaming,58,North Bay,25,0,78,88,14,0,205,305
Nipissing--Timiskaming/Nipissing--Timiskaming,59,North Bay,31,0,66,49,9,1,156,327
Nipissing--Timiskaming/Nipissing--Timiskaming,60,North Bay,37,1,67,86,7,0,198,422
Nipissing--Timiskaming/Nipissing--Timiskaming,61,North Bay,10,0,33,37,5,0,85,168
Nipissing--Timiskaming/Nipissing--Timiskaming,62,North Bay,16,0,30,28,3,0,77,139
Nipissing--Timiskaming/Nipissing--Timiskaming,63,North Bay,28,0,85,43,1,0,157,400
Nipissing--Timiskaming/Nipissing--Timiskaming,64,North Bay,30,1,83,59,5,1,179,311
Nipissing--Timiskaming/Nipissing--Timiskaming,65,North Bay,42,2,155,156,12,3,370,620
Nipissing--Timiskaming/Nipissing--Timiskaming,66,North Bay,24,1,108,81,8,0,222,354
Nipissing--Timiskaming/Nipissing--Timiskaming,67,North Bay,31,2,126,97,6,0,262,415
Nipissing--Timiskaming/Nipissing--Timiskaming,68,North Bay,26,0,83,76,6,0,191,347
Nipissing--Timiskaming/Nipissing--Timiskaming,69A,North Bay,33,0,63,112,4,0,212,396
Nipissing--Timiskaming/Nipissing--Timiskaming,69B,North Bay,23,0,87,115,3,0,228,386
Nipissing--Timiskaming/Nipissing--Timiskaming,70,North Bay,31,0,85,140,6,2,264,396
Nipissing--Timiskaming/Nipissing--Timiskaming,71,North Bay,21,0,89,106,3,0,219,316
Nipissing--Timiskaming/Nipissing--Timiskaming,72,North Bay,10,1,80,149,7,0,247,371
Nipissing--Timiskaming/Nipissing--Timiskaming,73,North Bay,14,0,79,93,2,3,191,279
Nipissing--Timiskaming/Nipissing--Timiskaming,74,North Bay,28,1,88,112,7,0,236,367
Nipissing--Timiskaming/Nipissing--Timiskaming,75,North Bay,30,0,71,60,7,1,169,333
Nipissing--Timiskaming/Nipissing--Timiskaming,76,North Bay,25,3,50,55,2,1,136,316
Nipissing--Timiskaming/Nipissing--Timiskaming,77,North Bay,42,0,81,83,3,1,210,357
Nipissing--Timiskaming/Nipissing--Timiskaming,78,North Bay,53,1,72,86,5,0,217,381
Nipissing--Timiskaming/Nipissing--Timiskaming,79,North Bay,46,1,83,82,6,0,218,428
Nipissing--Timiskaming/Nipissing--Timiskaming,80,North Bay,17,1,27,38,1,0,84,162
Nipissing--Timiskaming/Nipissing--Timiskaming,81A,North Bay,10,1,26,42,0,0,79,256
Nipissing--Timiskaming/Nipissing--Timiskaming,81B,North Bay,6,1,35,35,1,2,80,215
Nipissing--Timiskaming/Nipissing--Timiskaming,82,North Bay,34,1,60,83,3,4,185,323
Nipissing--Timiskaming/Nipissing--Timiskaming,83,North Bay,36,0,52,53,3,1,145,317
Nipissing--Timiskaming/Nipissing--Timiskaming,84,North Bay,50,0,48,73,6,0,177,327
Nipissing--Timiskaming/Nipissing--Timiskaming,85,North Bay,29,0,56,87,5,0,177,351
Nipissing--Timiskaming/Nipissing--Timiskaming,86,North Bay,35,2,48,80,7,0,172,342
