District,Poll Number,Poll Name,Shel Goldstein,Corrinne Prévost,Max Silverman,Bernie Tanz,Joseph Volpe,Rejected Ballots,Total Vote,Electors
Eglinton--Lawrence/Eglinton--Lawrence,1,North York,6,0,8,64,167,0,245,399
Eglinton--Lawrence/Eglinton--Lawrence,2,North York,10,1,21,57,129,2,220,412
Eglinton--Lawrence/Eglinton--Lawrence,3,North York,7,0,12,44,85,0,148,289
Eglinton--Lawrence/Eglinton--Lawrence,4,North York,12,0,21,117,208,2,360,706
Eglinton--Lawrence/Eglinton--Lawrence,5,North York,14,0,19,42,105,1,181,374
Eglinton--Lawrence/Eglinton--Lawrence,6,North York,9,0,24,76,109,0,218,429
Eglinton--Lawrence/Eglinton--Lawrence,7,North York,14,0,9,67,171,0,261,310
Eglinton--Lawrence/Eglinton--Lawrence,8,North York,14,0,20,77,200,0,311,557
Eglinton--Lawrence/Eglinton--Lawrence,9,North York,4,1,4,116,160,1,286,420
Eglinton--Lawrence/Eglinton--Lawrence,10,North York,14,0,17,100,132,2,265,433
Eglinton--Lawrence/Eglinton--Lawrence,11,North York,10,0,5,72,147,0,234,376
Eglinton--Lawrence/Eglinton--Lawrence,12,North York,7,0,5,70,121,0,203,338
Eglinton--Lawrence/Eglinton--Lawrence,13,North York,11,0,13,72,139,1,236,472
Eglinton--Lawrence/Eglinton--Lawrence,14,North York,6,1,31,65,131,2,236,411
Eglinton--Lawrence/Eglinton--Lawrence,15,North York,3,0,18,55,153,1,230,470
Eglinton--Lawrence/Eglinton--Lawrence,16,North York,10,0,7,56,138,0,211,341
Eglinton--Lawrence/Eglinton--Lawrence,17,North York,8,0,17,59,156,1,241,401
Eglinton--Lawrence/Eglinton--Lawrence,18,North York,4,0,7,55,73,3,142,324
Eglinton--Lawrence/Eglinton--Lawrence,19,North York,6,0,15,90,85,1,197,388
Eglinton--Lawrence/Eglinton--Lawrence,20,North York,17,0,8,98,100,2,225,362
Eglinton--Lawrence/Eglinton--Lawrence,21,North York,7,0,25,90,178,0,300,446
Eglinton--Lawrence/Eglinton--Lawrence,22,North York,10,0,12,60,121,0,203,330
Eglinton--Lawrence/Eglinton--Lawrence,23,North York,6,0,7,64,119,0,196,298
