District,Poll Number,Poll Name,Russ Christianson,Doug Galt,Steven Haylestrom,Paul Macklin,Rejected Ballots,Total Vote,Electors
Northumberland--Quinte West/Northumberland--Quinte West,1,Port Hope,43,119,20,123,1,306,460
Northumberland--Quinte West/Northumberland--Quinte West,2,Port Hope,19,64,19,53,1,156,262
Northumberland--Quinte West/Northumberland--Quinte West,3,Port Hope,52,102,20,153,2,329,505
Northumberland--Quinte West/Northumberland--Quinte West,4,Port Hope,50,123,22,121,1,317,531
Northumberland--Quinte West/Northumberland--Quinte West,5,Port Hope,32,93,25,118,1,269,410
Northumberland--Quinte West/Northumberland--Quinte West,6,Port Hope,48,102,14,76,4,244,457
Northumberland--Quinte West/Northumberland--Quinte West,7,Port Hope,26,50,10,76,1,163,266
Northumberland--Quinte West/Northumberland--Quinte West,8,Port Hope,44,78,8,151,1,282,459
Northumberland--Quinte West/Northumberland--Quinte West,9,Port Hope,44,116,11,159,1,331,504
Northumberland--Quinte West/Northumberland--Quinte West,10,Port Hope,35,76,10,97,1,219,350
Northumberland--Quinte West/Northumberland--Quinte West,11,Port Hope,25,51,7,114,0,197,318
Northumberland--Quinte West/Northumberland--Quinte West,12,Port Hope,43,53,11,80,1,188,359
Northumberland--Quinte West/Northumberland--Quinte West,13,Port Hope,33,49,7,83,0,172,350
Northumberland--Quinte West/Northumberland--Quinte West,14A,Port Hope,33,59,11,76,1,180,496
Northumberland--Quinte West/Northumberland--Quinte West,14B,Mobile poll/Bureau itinérant,9,21,2,34,3,69,106
Northumberland--Quinte West/Northumberland--Quinte West,15,Port Hope,49,56,11,53,0,169,317
Northumberland--Quinte West/Northumberland--Quinte West,16,Port Hope,34,64,6,61,2,167,334
Northumberland--Quinte West/Northumberland--Quinte West,17,Port Hope,73,78,18,66,1,236,461
Northumberland--Quinte West/Northumberland--Quinte West,18A,Port Hope,62,67,19,81,2,231,480
Northumberland--Quinte West/Northumberland--Quinte West,18B,Mobile poll/Bureau itinérant,Merged with No. 14B,,,,,,27
Northumberland--Quinte West/Northumberland--Quinte West,19,Port Hope,34,38,16,105,1,194,371
Northumberland--Quinte West/Northumberland--Quinte West,20,Port Hope,51,64,11,94,1,221,442
Northumberland--Quinte West/Northumberland--Quinte West,21A,Port Hope,55,39,12,89,2,197,389
