District,Poll Number,Poll Name,Leslie Bartley,James Bender,Murray Coulter,Alex Kreider,Zoé Dorcas Kunschner,Dave Mackenzie,Kaye Sargent,Irene Tietz,Rejected Ballots,Total Vote,Electors
Oxford/Oxford,1,Uniondale,6,3,68,1,21,97,1,16,3,216,304
Oxford/Oxford,2,Lakeside,2,3,80,0,27,89,1,11,0,213,317
Oxford/Oxford,3,Harrington,7,3,107,0,39,93,0,18,0,267,397
Oxford/Oxford,4,Maplewood,9,4,113,0,11,97,0,6,0,240,320
Oxford/Oxford,5,Cody's Corners,12,1,58,1,18,86,0,8,0,184,258
Oxford/Oxford,6,Embro,3,5,61,6,22,78,0,7,1,183,262
Oxford/Oxford,7,Embro,9,4,57,4,26,99,0,9,2,210,304
Oxford/Oxford,8,Bennington,2,5,97,0,13,116,1,11,0,245,325
Oxford/Oxford,9,Kintore,7,2,95,1,33,92,1,15,3,249,365
Oxford/Oxford,10,Zorra,3,1,40,0,21,77,0,13,3,158,227
Oxford/Oxford,11,Thamesford,4,4,51,0,21,49,1,12,0,142,220
Oxford/Oxford,12,Thamesford,5,2,72,0,26,77,1,26,2,211,347
Oxford/Oxford,13,Zorra,1,0,85,0,15,66,1,20,2,190,276
Oxford/Oxford,14,Thamesford,10,3,66,0,32,98,0,17,0,226,441
Oxford/Oxford,15,Thamesford,3,2,83,0,18,93,1,19,0,219,316
Oxford/Oxford,16,Dicksons Corners,7,9,83,0,36,153,1,19,0,308,457
Oxford/Oxford,17,Rayside,3,3,51,0,18,89,0,15,1,180,319
Oxford/Oxford,18,Tavistock,4,5,66,0,16,73,1,7,0,172,334
Oxford/Oxford,19,Tavistock,5,3,63,0,21,89,0,14,0,195,346
Oxford/Oxford,20,Tavistock,8,2,55,0,20,105,2,14,2,208,407
Oxford/Oxford,21,Tavistock,4,1,56,0,2,56,1,7,0,127,212
Oxford/Oxford,22,Tavistock,2,1,71,0,22,80,0,14,1,191,304
Oxford/Oxford,23,Tavistock,3,1,45,0,26,59,0,4,3,141,246
Oxford/Oxford,24,Tavistock,3,1,61,0,5,51,1,3,0,125,192
Oxford/Oxford,25,Cassel,7,0,61,0,18,75,0,15,0,176,304
Oxford/Oxford,26,Hickson,7,5,53,0,13,103,0,8,0,189,278
Oxford/Oxford,27,Huntingford,0,1,34,0,11,51,0,1,0,98,157
Oxford/Oxford,28,Hickson,0,0,36,0,33,61,0,2,0,132,195
Oxford/Oxford,29,Hickson,3,2,71,0,20,88,0,7,1,192,288
Oxford/Oxford,30,Willow Lake,6,2,54,1,30,97,1,6,0,197,278
Oxford/Oxford,31,East Zorra-Tavistock,17,3,107,0,45,154,0,7,2,335,506
Oxford/Oxford,32,East Zorra-Tavistock,15,2,68,0,13,90,0,5,0,193,299
Oxford/Oxford,33,Innerkip,13,3,100,0,32,136,3,8,0,295,505
Oxford/Oxford,34,Innerkip,6,2,55,0,33,145,7,7,0,255,389
Oxford/Oxford,35,Ratho,8,5,97,0,37,125,0,8,0,280,486
Oxford/Oxford,36,Plattsville,5,7,117,0,57,154,2,18,1,361,582
Oxford/Oxford,37,Plattsville,5,1,82,0,52,147,1,14,2,304,483
Oxford/Oxford,38,Washington,4,2,70,0,14,81,0,10,0,181,321
Oxford/Oxford,39,Bright,4,4,66,1,31,95,0,5,2,208,357
Oxford/Oxford,40,Maple Lake Park,1,1,31,0,14,70,0,3,1,121,188
Oxford/Oxford,41,Drumbo,1,4,87,0,46,121,0,19,1,279,491
Oxford/Oxford,42,Wolverton,1,1,99,1,36,101,1,19,2,261,399
Oxford/Oxford,43,Richwood,1,1,86,1,35,80,0,11,0,215,314
Oxford/Oxford,44,Blandford-Blenheim,1,2,53,1,25,94,1,9,0,186,307
Oxford/Oxford,45,Princeton,3,0,46,0,28,75,3,8,2,165,266
Oxford/Oxford,46,Princeton,1,4,81,0,36,116,1,17,1,257,504
Oxford/Oxford,47,Forest Estates,9,5,42,0,42,97,0,9,1,205,303
Oxford/Oxford,48,Bond's Corners,10,11,97,1,36,196,2,15,3,371,559
Oxford/Oxford,49,Eastwood,17,1,67,0,27,83,1,9,0,205,339
Oxford/Oxford,50,Woodstock,14,2,63,0,32,77,0,12,1,201,391
Oxford/Oxford,51,Woodstock,2,3,31,0,13,42,2,3,3,99,273
Oxford/Oxford,52,Woodstock,6,1,94,0,19,81,1,7,0,209,308
Oxford/Oxford,53,Woodstock,2,3,69,0,27,85,1,6,0,193,329
Oxford/Oxford,54,Woodstock,8,8,52,1,47,71,1,8,1,197,361
Oxford/Oxford,55,Woodstock,7,1,88,0,25,87,1,2,1,212,359
Oxford/Oxford,56,Woodstock,9,2,69,1,17,91,1,4,2,196,301
