District,Poll Number,Poll Name,Stuart Langstaff,Gordon O'Connor,Rick Prashaw,Dan Wicklum,Rejected Ballots,Total Vote,Electors
Carleton--Lanark/Carleton--Lanark,1,West Carleton,26,184,39,86,2,337,504
Carleton--Lanark/Carleton--Lanark,2,West Carleton,23,173,50,77,2,325,514
Carleton--Lanark/Carleton--Lanark,3,West Carleton,25,182,35,70,2,314,507
Carleton--Lanark/Carleton--Lanark,4,West Carleton,17,110,36,55,0,218,353
Carleton--Lanark/Carleton--Lanark,5,West Carleton,12,103,26,44,0,185,303
Carleton--Lanark/Carleton--Lanark,6,West Carleton,21,150,31,105,0,307,445
Carleton--Lanark/Carleton--Lanark,7,West Carleton,21,130,22,76,3,252,394
Carleton--Lanark/Carleton--Lanark,8,West Carleton,21,196,36,66,0,319,463
Carleton--Lanark/Carleton--Lanark,9,West Carleton,13,220,58,75,0,366,526
Carleton--Lanark/Carleton--Lanark,10,West Carleton,16,125,38,46,0,225,358
Carleton--Lanark/Carleton--Lanark,11,West Carleton,19,130,42,56,0,247,405
Carleton--Lanark/Carleton--Lanark,12,West Carleton,7,115,12,18,0,152,266
Carleton--Lanark/Carleton--Lanark,13,West Carleton,13,123,21,56,0,213,346
Carleton--Lanark/Carleton--Lanark,14,West Carleton,22,163,30,93,0,308,508
Carleton--Lanark/Carleton--Lanark,15,West Carleton,20,131,12,41,0,204,333
Carleton--Lanark/Carleton--Lanark,16,West Carleton,37,189,36,84,0,346,523
Carleton--Lanark/Carleton--Lanark,17,West Carleton,24,163,38,84,0,309,418
Carleton--Lanark/Carleton--Lanark,18,West Carleton,26,123,26,66,2,243,329
Carleton--Lanark/Carleton--Lanark,19,West Carleton,14,114,25,79,2,234,354
Carleton--Lanark/Carleton--Lanark,20,Kanata,16,147,32,105,0,300,441
Carleton--Lanark/Carleton--Lanark,21,Kanata,18,141,16,90,0,265,400
Carleton--Lanark/Carleton--Lanark,21-1,Kanata,19,142,59,126,1,347,543
Carleton--Lanark/Carleton--Lanark,22,Kanata,16,114,24,72,2,228,344
Carleton--Lanark/Carleton--Lanark,23,Kanata,11,99,15,32,1,158,232
Carleton--Lanark/Carleton--Lanark,24,Kanata,18,146,17,116,0,297,411
Carleton--Lanark/Carleton--Lanark,25,West Carleton,32,183,37,87,2,341,586
Carleton--Lanark/Carleton--Lanark,26,West Carleton,29,194,35,140,2,400,597
Carleton--Lanark/Carleton--Lanark,27,West Carleton,24,168,34,98,2,326,520
Carleton--Lanark/Carleton--Lanark,28,West Carleton,23,210,36,73,1,343,520
Carleton--Lanark/Carleton--Lanark,29,West Carleton,7,119,23,51,5,205,321
Carleton--Lanark/Carleton--Lanark,30,West Carleton,37,203,46,124,0,410,578
Carleton--Lanark/Carleton--Lanark,31,West Carleton,18,218,27,98,3,364,565
Carleton--Lanark/Carleton--Lanark,32,West Carleton,21,213,31,141,2,408,593
Carleton--Lanark/Carleton--Lanark,33,West Carleton,16,141,23,106,1,287,472
Carleton--Lanark/Carleton--Lanark,34,West Carleton,17,188,13,59,0,277,472
Carleton--Lanark/Carleton--Lanark,35,Kanata,17,99,12,108,0,236,335
Carleton--Lanark/Carleton--Lanark,36A,Kanata,13,110,10,121,0,254,366
Carleton--Lanark/Carleton--Lanark,36B,Kanata,3,74,16,111,0,204,314
Carleton--Lanark/Carleton--Lanark,37,Kanata,14,97,7,97,0,215,349
Carleton--Lanark/Carleton--Lanark,38A,Kanata,15,119,25,130,1,290,425
Carleton--Lanark/Carleton--Lanark,38B,Kanata,19,118,22,114,1,274,399
Carleton--Lanark/Carleton--Lanark,39,Kanata,12,89,19,101,0,221,367
Carleton--Lanark/Carleton--Lanark,40,Kanata,18,138,27,100,1,284,429
Carleton--Lanark/Carleton--Lanark,41,Kanata,16,136,45,150,0,347,554
Carleton--Lanark/Carleton--Lanark,42,Kanata,12,60,13,93,0,178,275
Carleton--Lanark/Carleton--Lanark,43,Kanata,8,117,30,136,1,292,535
Carleton--Lanark/Carleton--Lanark,44,Kanata,7,74,16,93,0,190,302
Carleton--Lanark/Carleton--Lanark,45,Kanata,10,80,26,86,1,203,395
Carleton--Lanark/Carleton--Lanark,46,Kanata,19,148,30,165,1,363,562
Carleton--Lanark/Carleton--Lanark,47,Kanata,20,100,49,105,5,279,484
Carleton--Lanark/Carleton--Lanark,48,Kanata,27,114,16,121,1,279,427
Carleton--Lanark/Carleton--Lanark,49,Kanata,19,77,28,113,1,238,342
Carleton--Lanark/Carleton--Lanark,50,Kanata,19,141,20,159,0,339,556
Carleton--Lanark/Carleton--Lanark,51,Kanata,4,63,6,62,0,135,249
Carleton--Lanark/Carleton--Lanark,52A,Kanata,10,88,29,117,0,244,382
Carleton--Lanark/Carleton--Lanark,52B,Kanata,7,106,19,96,0,228,380
Carleton--Lanark/Carleton--Lanark,53A,Kanata,15,83,24,88,1,211,324
Carleton--Lanark/Carleton--Lanark,53B,Kanata,15,77,24,88,0,204,320
Carleton--Lanark/Carleton--Lanark,54,Kanata,31,122,23,115,2,293,473
Carleton--Lanark/Carleton--Lanark,55,Kanata,16,159,24,175,4,378,595
Carleton--Lanark/Carleton--Lanark,56,Kanata,14,138,10,137,0,299,475
Carleton--Lanark/Carleton--Lanark,57,Kanata,10,106,24,129,1,270,454
Carleton--Lanark/Carleton--Lanark,58,Kanata,25,102,21,124,1,273,401
Carleton--Lanark/Carleton--Lanark,59,Kanata,18,51,38,54,0,161,348
Carleton--Lanark/Carleton--Lanark,60,Kanata,12,102,38,99,0,251,410
Carleton--Lanark/Carleton--Lanark,61,Kanata,12,106,30,132,0,280,406
Carleton--Lanark/Carleton--Lanark,62,Kanata,12,81,19,107,2,221,440
Carleton--Lanark/Carleton--Lanark,63,Kanata,22,78,56,52,0,208,362
Carleton--Lanark/Carleton--Lanark,64,Kanata,28,93,45,120,1,287,434
Carleton--Lanark/Carleton--Lanark,65,Kanata,15,153,27,179,1,375,600
Carleton--Lanark/Carleton--Lanark,66A,Kanata,18,125,37,134,0,314,555
Carleton--Lanark/Carleton--Lanark,66B,Kanata,20,132,41,172,1,366,571
Carleton--Lanark/Carleton--Lanark,67,Kanata,10,102,42,79,3,236,382
