District,Poll Number,Poll Name,Walter Aolari,Octavia Beckles,Maurizio Bevilacqua,Paolo Fabrizio,Russell Korus,Joe Spina,Rejected Ballots,Total Vote,Electors
Vaughan/Vaughan,1,Vaughan,0,10,107,1,16,112,0,246,486
Vaughan/Vaughan,2A,Vaughan,1,10,118,0,8,58,1,196,384
Vaughan/Vaughan,2B,Vaughan,1,12,138,1,10,60,1,223,367
Vaughan/Vaughan,3,Vaughan,0,9,94,2,11,50,2,168,317
Vaughan/Vaughan,4,Vaughan,0,13,195,0,12,85,2,307,492
Vaughan/Vaughan,5,Vaughan,0,15,110,1,13,62,0,201,308
Vaughan/Vaughan,6,Vaughan,0,5,116,2,8,69,0,200,349
Vaughan/Vaughan,7,Vaughan,0,8,83,0,10,69,1,171,287
Vaughan/Vaughan,8,Vaughan,0,7,63,0,2,56,0,128,298
Vaughan/Vaughan,9A,Vaughan,0,15,77,2,4,43,0,141,335
Vaughan/Vaughan,9B,Vaughan,0,21,103,0,10,54,2,190,393
Vaughan/Vaughan,9C,Vaughan,0,21,86,1,4,38,1,151,370
Vaughan/Vaughan,10,Vaughan,2,17,163,1,10,90,2,285,537
Vaughan/Vaughan,11,Vaughan,0,8,99,2,8,73,0,190,423
Vaughan/Vaughan,12A,Vaughan,1,13,65,2,7,41,3,132,283
Vaughan/Vaughan,12B,Vaughan,0,23,61,0,15,29,3,131,321
Vaughan/Vaughan,13,Vaughan,0,30,104,0,4,61,2,201,334
Vaughan/Vaughan,14,Vaughan,0,17,115,1,13,54,0,200,396
Vaughan/Vaughan,15,Vaughan,0,29,114,1,14,52,2,212,340
Vaughan/Vaughan,16A,Vaughan,0,43,120,0,11,55,3,232,468
Vaughan/Vaughan,16B,Vaughan,1,28,99,1,3,59,3,194,412
Vaughan/Vaughan,17,Vaughan,1,25,133,3,13,70,5,250,479
Vaughan/Vaughan,18,Vaughan,1,17,110,0,2,61,0,191,353
Vaughan/Vaughan,19,Vaughan,2,26,195,3,9,65,2,302,551
Vaughan/Vaughan,20,Vaughan,0,15,151,0,19,71,3,259,481
Vaughan/Vaughan,21,Vaughan,0,21,104,2,6,46,1,180,416
Vaughan/Vaughan,22A,Vaughan,0,4,184,2,3,6,1,200,361
Vaughan/Vaughan,22B,Vaughan,0,4,159,0,1,9,0,173,310
Vaughan/Vaughan,23,Vaughan,0,18,89,2,0,50,2,161,334
Vaughan/Vaughan,24,Vaughan,0,25,94,2,6,46,3,176,380
Vaughan/Vaughan,25,Vaughan,0,21,129,4,8,34,0,196,387
Vaughan/Vaughan,26,Vaughan,3,21,179,0,5,60,7,275,487
Vaughan/Vaughan,27,Vaughan,0,14,129,0,8,58,3,212,354
Vaughan/Vaughan,28A,Vaughan,1,14,81,0,5,30,1,132,261
Vaughan/Vaughan,28B,Vaughan,2,23,74,2,4,65,0,170,308
Vaughan/Vaughan,29,Vaughan,1,21,135,6,3,68,3,237,442
Vaughan/Vaughan,30,Vaughan,1,18,92,1,7,47,3,169,315
