District,Poll Number,Poll Name,Dominique Boyer,Johanne Deschamps,Guillaume Desjardins,Jacques Léger,Brendan Naef,Rejected Ballots,Total Vote,Electors
Laurentides--Labelle/Laurentides--Labelle,1A,Sainte-Anne-du-Lac,42,71,9,4,5,4,135,266
Laurentides--Labelle/Laurentides--Labelle,1B,Sainte-Anne-du-Lac,36,103,10,1,2,2,154,286
Laurentides--Labelle/Laurentides--Labelle,2,Sainte-Anne-des-Lacs,Void,,,,,,,
Laurentides--Labelle/Laurentides--Labelle,3,Lac-Rapide,29,138,17,1,7,4,196,362
Laurentides--Labelle/Laurentides--Labelle,4,Ferme-Neuve,40,61,3,1,0,0,105,244
Laurentides--Labelle/Laurentides--Labelle,5,Ferme-Neuve,41,105,7,3,7,3,166,315
Laurentides--Labelle/Laurentides--Labelle,6,Ferme-Neuve,50,111,6,2,3,4,176,333
Laurentides--Labelle/Laurentides--Labelle,7,Ferme-Neuve,41,127,10,1,1,6,186,389
Laurentides--Labelle/Laurentides--Labelle,8,Ferme-Neuve,36,80,7,2,2,5,132,326
Laurentides--Labelle/Laurentides--Labelle,9A,Mont-Saint-Michel,23,74,3,2,2,1,105,220
Laurentides--Labelle/Laurentides--Labelle,9B,Mont-Saint-Michel,21,85,8,1,3,2,120,290
Laurentides--Labelle/Laurentides--Labelle,10,Lac-Saint-Paul,46,134,6,7,6,6,205,374
Laurentides--Labelle/Laurentides--Labelle,11,Ferme-Neuve,22,112,7,2,0,1,144,271
Laurentides--Labelle/Laurentides--Labelle,12,Chute-Saint-Philippe,41,116,9,4,5,2,177,295
Laurentides--Labelle/Laurentides--Labelle,13,Chute-Saint-Philippe,68,157,11,2,1,5,244,427
Laurentides--Labelle/Laurentides--Labelle,14,Des Ruisseaux,29,105,5,5,4,0,148,398
Laurentides--Labelle/Laurentides--Labelle,15A,Des Ruisseaux,18,61,4,5,1,0,89,224
Laurentides--Labelle/Laurentides--Labelle,15B,Des Ruisseaux,26,54,4,0,0,4,88,232
Laurentides--Labelle/Laurentides--Labelle,16,Des Ruisseaux,22,138,5,1,6,0,172,420
Laurentides--Labelle/Laurentides--Labelle,17A,Des Ruisseaux,20,82,5,1,1,0,109,247
Laurentides--Labelle/Laurentides--Labelle,17B,Des Ruisseaux,21,96,4,2,3,1,127,282
Laurentides--Labelle/Laurentides--Labelle,18,Des Ruisseaux,30,100,11,2,1,3,147,330
Laurentides--Labelle/Laurentides--Labelle,19,Des Ruisseaux,19,61,6,4,1,0,91,215
Laurentides--Labelle/Laurentides--Labelle,20,Des Ruisseaux,22,115,13,6,5,2,163,376
Laurentides--Labelle/Laurentides--Labelle,21,Des Ruisseaux,29,141,5,3,2,3,183,365
Laurentides--Labelle/Laurentides--Labelle,22A,Des Ruisseaux,23,121,9,2,3,3,161,337
Laurentides--Labelle/Laurentides--Labelle,22B,Des Ruisseaux,32,104,5,4,7,5,157,364
Laurentides--Labelle/Laurentides--Labelle,22C,Des Ruisseaux,21,107,8,4,4,3,147,307
Laurentides--Labelle/Laurentides--Labelle,23,Des Ruisseaux,26,122,6,3,5,2,164,327
Laurentides--Labelle/Laurentides--Labelle,24A,Mont-Laurier,13,60,4,2,4,3,86,234
Laurentides--Labelle/Laurentides--Labelle,24B,Mont-Laurier,20,71,9,4,0,2,106,243
Laurentides--Labelle/Laurentides--Labelle,25,Mont-Laurier,33,151,4,7,3,4,202,389
Laurentides--Labelle/Laurentides--Labelle,26,Mont-Laurier,38,152,9,3,5,0,207,404
Laurentides--Labelle/Laurentides--Labelle,27,Mont-Laurier,19,96,1,0,1,4,121,299
Laurentides--Labelle/Laurentides--Labelle,28A,Mont-Laurier,21,68,4,2,3,5,103,238
Laurentides--Labelle/Laurentides--Labelle,28B,Mont-Laurier,28,70,3,1,3,0,105,261
Laurentides--Labelle/Laurentides--Labelle,29A,Mont-Laurier,27,69,1,3,1,2,103,224
Laurentides--Labelle/Laurentides--Labelle,29B,Mont-Laurier,29,66,6,5,4,1,111,235
Laurentides--Labelle/Laurentides--Labelle,30,Mont-Laurier,25,98,3,2,0,2,130,237
Laurentides--Labelle/Laurentides--Labelle,31A,Mont-Laurier,14,62,3,1,1,0,81,209
Laurentides--Labelle/Laurentides--Labelle,31B,Mont-Laurier,25,58,1,2,0,2,88,244
