District,Poll Number,Poll Name,David C. Andres,Lindy Clubb,Don Dewar,Walter Kolisnyk,Inky Mark,Rejected Ballots,Total Vote,Electors
Dauphin--Swan River/Dauphin--Swan River,71,Dauphin,2,7,52,49,66,0,176,424
Dauphin--Swan River/Dauphin--Swan River,72,Dauphin,3,4,37,50,53,2,149,331
Dauphin--Swan River/Dauphin--Swan River,73,Dauphin,3,3,63,54,105,0,228,393
Dauphin--Swan River/Dauphin--Swan River,74,Dauphin,1,4,49,53,74,4,185,339
Dauphin--Swan River/Dauphin--Swan River,75,Dauphin,2,6,70,38,142,4,262,453
Dauphin--Swan River/Dauphin--Swan River,76,Dauphin,2,4,41,52,81,1,181,371
Dauphin--Swan River/Dauphin--Swan River,77,Dauphin,2,2,53,70,82,0,209,379
Dauphin--Swan River/Dauphin--Swan River,78,Dauphin,1,4,66,46,142,2,261,417
Dauphin--Swan River/Dauphin--Swan River,79,Waterhen 45,0,0,26,25,0,0,51,256
Dauphin--Swan River/Dauphin--Swan River,80,Waterhen 45,1,1,17,45,45,0,109,225
Dauphin--Swan River/Dauphin--Swan River,81,Toutes Aides,4,0,18,39,35,0,96,150
Dauphin--Swan River/Dauphin--Swan River,82,Rorketon,4,4,38,67,70,2,185,325
Dauphin--Swan River/Dauphin--Swan River,83,Crane River 51,1,2,36,101,5,0,145,369
Dauphin--Swan River/Dauphin--Swan River,84,Ste. Rose du Lac,10,2,55,41,117,2,227,357
Dauphin--Swan River/Dauphin--Swan River,85,Ste. Rose du Lac,0,0,16,22,27,0,65,141
Dauphin--Swan River/Dauphin--Swan River,86,Ste. Rose du Lac,6,2,39,28,65,0,140,333
Dauphin--Swan River/Dauphin--Swan River,87,Ste. Rose du Lac,17,5,83,43,105,0,253,397
Dauphin--Swan River/Dauphin--Swan River,88,Eddystone,0,1,38,18,47,0,104,143
Dauphin--Swan River/Dauphin--Swan River,89,Makinak,10,3,11,18,66,0,108,194
Dauphin--Swan River/Dauphin--Swan River,90,Laurier,3,4,55,51,105,1,219,393
Dauphin--Swan River/Dauphin--Swan River,91,Endcliffe,8,6,47,20,230,0,311,512
Dauphin--Swan River/Dauphin--Swan River,92,Harrowby,9,2,23,9,128,1,172,258
Dauphin--Swan River/Dauphin--Swan River,93,Russell,5,4,37,19,118,1,184,320
Dauphin--Swan River/Dauphin--Swan River,94,Russell,1,8,48,36,185,0,278,534
Dauphin--Swan River/Dauphin--Swan River,95,Russell,3,5,40,29,183,0,260,380
Dauphin--Swan River/Dauphin--Swan River,96,Gambler 63,0,1,14,12,81,1,109,195
Dauphin--Swan River/Dauphin--Swan River,97,Binscarth,3,2,28,27,158,0,218,373
Dauphin--Swan River/Dauphin--Swan River,98,Angusville,1,7,21,47,181,3,260,470
Dauphin--Swan River/Dauphin--Swan River,99A,Lizard Point 62,0,1,42,39,12,0,94,273
Dauphin--Swan River/Dauphin--Swan River,99B,Lizard Point 62,3,3,18,23,4,0,51,201
Dauphin--Swan River/Dauphin--Swan River,99C,Lizard Point 62,0,4,25,43,11,0,83,260
Dauphin--Swan River/Dauphin--Swan River,100,Rossburn,3,5,16,25,101,0,150,237
Dauphin--Swan River/Dauphin--Swan River,101,Rossburn,2,5,43,51,160,1,262,438
Dauphin--Swan River/Dauphin--Swan River,102,Oakburn,1,2,23,27,90,0,143,209
Dauphin--Swan River/Dauphin--Swan River,103,Horod,1,3,11,15,38,2,70,136
Dauphin--Swan River/Dauphin--Swan River,104A,Keeseekoowenin--Elphinstone,0,3,29,27,5,0,64,196
Dauphin--Swan River/Dauphin--Swan River,104B,Keeseekoowenin--Elphinstone,0,0,12,20,54,0,86,197
Dauphin--Swan River/Dauphin--Swan River,105,Sandy Lake,0,2,31,39,177,0,249,387
Dauphin--Swan River/Dauphin--Swan River,106,Onanole,0,1,30,12,83,0,126,211
Dauphin--Swan River/Dauphin--Swan River,107,Onanole,2,16,50,69,174,1,312,491
Dauphin--Swan River/Dauphin--Swan River,108A,Ebb and Flow 52,0,4,84,18,2,2,110,226
Dauphin--Swan River/Dauphin--Swan River,108B,Ebb and Flow 52,0,3,88,11,1,1,104,230
Dauphin--Swan River/Dauphin--Swan River,109,Alonsa,1,1,40,12,33,0,87,336
Dauphin--Swan River/Dauphin--Swan River,110,McCreary,0,0,19,14,64,0,97,137
Dauphin--Swan River/Dauphin--Swan River,111,McCreary,2,1,30,46,133,0,212,396
Dauphin--Swan River/Dauphin--Swan River,112,McCreary,1,0,22,31,83,1,138,266
Dauphin--Swan River/Dauphin--Swan River,113,Alonsa,7,4,47,51,94,0,203,356
Dauphin--Swan River/Dauphin--Swan River,114,Amaranth,2,3,29,17,69,0,120,212
Dauphin--Swan River/Dauphin--Swan River,115A,Sandy Bay 5,3,0,35,29,2,2,71,202
Dauphin--Swan River/Dauphin--Swan River,115B,Sandy Bay 5,0,1,23,32,5,0,61,210
Dauphin--Swan River/Dauphin--Swan River,115C,Sandy Bay 5,1,2,30,28,2,0,63,215
Dauphin--Swan River/Dauphin--Swan River,115D,Sandy Bay 5,0,1,27,25,3,0,56,269
Dauphin--Swan River/Dauphin--Swan River,115E,Sandy Bay 5,2,0,11,15,1,1,30,155
Dauphin--Swan River/Dauphin--Swan River,116A,Sandy Bay 5,1,0,18,20,1,0,40,122
Dauphin--Swan River/Dauphin--Swan River,116B,Sandy Bay 5,1,1,24,35,5,0,66,166
Dauphin--Swan River/Dauphin--Swan River,116C,Sandy Bay 5,1,1,3,11,1,0,17,47
Dauphin--Swan River/Dauphin--Swan River,117,Saint-Lazare,7,3,108,37,103,0,258,419
Dauphin--Swan River/Dauphin--Swan River,118,Foxwarren,3,7,20,15,139,1,185,320
Dauphin--Swan River/Dauphin--Swan River,119,Solsgirth,2,7,27,27,126,0,189,339
Dauphin--Swan River/Dauphin--Swan River,120,Birtle,1,3,27,25,82,1,139,228
Dauphin--Swan River/Dauphin--Swan River,121,Birtle,2,4,24,26,117,2,175,325
Dauphin--Swan River/Dauphin--Swan River,122,McAuley,1,4,36,23,116,0,180,256
