District,Poll Number,Poll Name,Stephen L. Butcher,Diane Marleau,Gerry McIntaggart,Luke Norton,Dave Starbuck,Rejected Ballots,Total Vote,Electors
Sudbury/Sudbury,61,Sudbury,16,48,41,4,0,3,112,315
Sudbury/Sudbury,62,Sudbury,8,39,31,3,0,0,81,250
Sudbury/Sudbury,63,Sudbury,28,107,48,13,1,0,197,378
Sudbury/Sudbury,64,Sudbury,19,51,53,7,0,2,132,314
Sudbury/Sudbury,65,Sudbury,25,86,69,14,0,2,196,362
Sudbury/Sudbury,66,Sudbury,23,158,71,6,1,0,259,371
Sudbury/Sudbury,67,Sudbury,17,114,41,7,1,4,184,299
Sudbury/Sudbury,68,Sudbury,49,114,37,5,0,1,206,368
Sudbury/Sudbury,69,Sudbury,51,91,52,11,0,1,206,372
Sudbury/Sudbury,70,Sudbury,104,124,48,8,0,2,286,465
Sudbury/Sudbury,71A,Sudbury,27,65,29,5,0,0,126,226
Sudbury/Sudbury,71B,Sudbury,26,89,45,9,1,0,170,273
Sudbury/Sudbury,72,Sudbury,37,112,54,7,1,4,215,428
Sudbury/Sudbury,73,Sudbury,48,95,52,20,0,1,216,365
Sudbury/Sudbury,74,Sudbury,38,103,57,5,0,1,204,337
Sudbury/Sudbury,75,Sudbury,30,100,42,6,0,0,178,319
Sudbury/Sudbury,76,Sudbury,14,75,47,6,0,2,144,309
Sudbury/Sudbury,77,Sudbury,22,85,70,15,1,0,193,407
Sudbury/Sudbury,78,Sudbury,31,104,39,7,0,4,185,383
Sudbury/Sudbury,79,Sudbury,28,85,64,11,0,1,189,352
Sudbury/Sudbury,80,Sudbury,37,92,66,15,0,0,210,394
Sudbury/Sudbury,81,Sudbury,35,85,72,5,0,0,197,435
Sudbury/Sudbury,82,Sudbury,7,61,62,4,0,0,134,344
Sudbury/Sudbury,83,Sudbury,14,75,62,3,0,0,154,398
Sudbury/Sudbury,84,Sudbury,18,99,40,9,2,1,169,319
Sudbury/Sudbury,85,Sudbury,21,73,77,9,1,1,182,419
Sudbury/Sudbury,86,Sudbury,51,105,58,12,0,1,227,358
Sudbury/Sudbury,87,Sudbury,54,111,48,17,1,0,231,410
Sudbury/Sudbury,88A,Sudbury,32,60,49,4,1,0,146,262
Sudbury/Sudbury,88B,Sudbury,32,80,29,4,0,2,147,243
Sudbury/Sudbury,89,Sudbury,38,102,57,10,0,0,207,374
Sudbury/Sudbury,90,Sudbury,14,68,53,9,1,1,146,328
Sudbury/Sudbury,91,Sudbury,41,99,31,12,0,0,183,317
Sudbury/Sudbury,92,Sudbury,59,128,48,9,0,1,245,418
Sudbury/Sudbury,93,Sudbury,28,79,51,9,0,0,167,311
Sudbury/Sudbury,94,Sudbury,30,91,64,2,0,0,187,390
Sudbury/Sudbury,95,Sudbury,38,70,38,3,0,0,149,282
Sudbury/Sudbury,96,Sudbury,35,91,47,7,2,3,185,372
Sudbury/Sudbury,97,Sudbury,75,124,52,8,0,2,261,428
Sudbury/Sudbury,98,Sudbury,35,48,47,7,1,2,140,265
Sudbury/Sudbury,99,Sudbury,42,116,37,10,0,3,208,330
Sudbury/Sudbury,100,Sudbury,45,116,84,5,0,4,254,441
Sudbury/Sudbury,101,Sudbury,37,131,54,15,0,1,238,384
Sudbury/Sudbury,102,Sudbury,77,98,42,8,0,2,227,356
Sudbury/Sudbury,103,Sudbury,44,116,58,10,1,3,232,360
Sudbury/Sudbury,104,Sudbury,32,77,69,11,0,1,190,345
Sudbury/Sudbury,105,Sudbury,54,105,49,4,0,2,214,345
Sudbury/Sudbury,106,Sudbury,54,129,44,14,0,0,241,373
Sudbury/Sudbury,107,Sudbury,58,117,65,12,0,3,255,382
Sudbury/Sudbury,108,Sudbury,44,93,42,14,1,0,194,330
Sudbury/Sudbury,109,Sudbury,29,69,46,5,0,0,149,264
Sudbury/Sudbury,110,Sudbury,36,105,55,9,0,0,205,426
Sudbury/Sudbury,111,Sudbury,75,113,43,13,0,0,244,377
Sudbury/Sudbury,112A,Sudbury,31,72,43,8,0,0,154,288
Sudbury/Sudbury,112B,Sudbury,22,64,49,9,0,2,146,300
Sudbury/Sudbury,113,Sudbury,38,70,69,7,1,0,185,379
Sudbury/Sudbury,114,Sudbury,40,120,81,13,0,3,257,400
Sudbury/Sudbury,115,Sudbury,36,67,51,4,0,1,159,290
Sudbury/Sudbury,116,Sudbury,18,45,42,5,0,0,110,205
Sudbury/Sudbury,117,Sudbury,38,102,76,8,1,0,225,480
Sudbury/Sudbury,118,Sudbury,18,70,61,8,0,0,157,345
Sudbury/Sudbury,119,Sudbury,24,66,69,5,0,0,164,358
Sudbury/Sudbury,120,Sudbury,19,84,85,9,1,3,201,404
Sudbury/Sudbury,121,Sudbury,46,113,62,14,0,2,237,401
Sudbury/Sudbury,122,Sudbury,22,75,50,5,1,1,154,397
Sudbury/Sudbury,123,Sudbury,39,73,58,11,0,0,181,331
Sudbury/Sudbury,124,Sudbury,19,62,85,2,1,1,170,369
Sudbury/Sudbury,125,Sudbury,26,82,68,8,0,0,184,385
Sudbury/Sudbury,126,Sudbury,45,126,63,7,2,0,243,443
Sudbury/Sudbury,127,Sudbury,34,94,83,7,0,0,218,400
Sudbury/Sudbury,128,Sudbury,28,72,69,7,1,2,179,339
Sudbury/Sudbury,129,Sudbury,28,74,65,8,1,3,179,362
Sudbury/Sudbury,130,Sudbury,59,93,68,12,0,0,232,434
Sudbury/Sudbury,131,Sudbury,54,107,84,13,2,0,260,475
Sudbury/Sudbury,132,Sudbury,33,111,76,6,0,1,227,398
Sudbury/Sudbury,133,Sudbury,30,89,90,8,0,2,219,410
Sudbury/Sudbury,134,Sudbury,70,137,84,9,0,1,301,474
Sudbury/Sudbury,135,Sudbury,50,94,87,5,0,0,236,405
Sudbury/Sudbury,136,Sudbury,39,75,92,4,1,1,212,381
Sudbury/Sudbury,137,Sudbury,8,46,37,2,1,1,95,217
Sudbury/Sudbury,138,Sudbury,14,48,45,8,1,1,117,326
Sudbury/Sudbury,139,Sudbury,25,36,48,3,1,1,114,264
Sudbury/Sudbury,140,Sudbury,24,60,67,3,1,0,155,320
Sudbury/Sudbury,141,Sudbury,34,65,80,9,0,0,188,364
Sudbury/Sudbury,142,Sudbury,47,79,78,11,1,1,217,414
Sudbury/Sudbury,143,Sudbury,29,87,62,13,0,2,193,392
Sudbury/Sudbury,144,Sudbury,18,76,50,8,2,1,155,295
Sudbury/Sudbury,145,Sudbury,30,63,36,6,1,1,137,290
Sudbury/Sudbury,146,Sudbury,47,81,63,11,0,1,203,453
Sudbury/Sudbury,147,Sudbury,36,73,68,7,0,0,184,340
Sudbury/Sudbury,148,Sudbury,33,73,66,16,1,2,191,335
Sudbury/Sudbury,149,Sudbury,44,80,36,16,2,0,178,335
Sudbury/Sudbury,150,Sudbury,33,86,78,22,1,4,224,394
Sudbury/Sudbury,151,Sudbury,48,107,59,23,0,0,237,384
Sudbury/Sudbury,152,Sudbury,70,111,58,11,1,0,251,368
Sudbury/Sudbury,153,Sudbury,25,42,53,15,1,0,136,293
Sudbury/Sudbury,154,Sudbury,29,68,60,18,0,0,175,346
Sudbury/Sudbury,155,Sudbury,39,79,35,16,1,2,172,296
Sudbury/Sudbury,156,Sudbury,29,77,56,10,0,1,173,322
Sudbury/Sudbury,157,Sudbury,29,76,46,7,0,0,158,287
Sudbury/Sudbury,158,Sudbury,25,58,73,8,1,2,167,354
Sudbury/Sudbury,159,Sudbury,33,49,60,9,1,0,152,251
Sudbury/Sudbury,160,Sudbury,74,85,51,10,0,0,220,389
Sudbury/Sudbury,161,Sudbury,39,57,48,13,0,0,157,340
Sudbury/Sudbury,162,Sudbury,64,112,36,13,0,1,226,381
Sudbury/Sudbury,163,Sudbury,46,75,63,4,1,2,191,348
Sudbury/Sudbury,164,Sudbury,37,88,54,7,0,3,189,322
Sudbury/Sudbury,165,Sudbury,27,82,58,5,0,2,174,341
Sudbury/Sudbury,166A,Sudbury,21,35,38,4,1,0,99,252
Sudbury/Sudbury,166B,Sudbury,14,46,43,8,0,0,111,242
Sudbury/Sudbury,167,Sudbury,32,111,95,10,0,3,251,486
Sudbury/Sudbury,168A,Sudbury,52,90,54,13,1,0,210,339
Sudbury/Sudbury,168B,Sudbury,36,86,55,8,0,1,186,314
Sudbury/Sudbury,169,Sudbury,24,86,44,8,0,1,163,249
Sudbury/Sudbury,170,Sudbury,33,47,28,3,2,2,115,199
Sudbury/Sudbury,171,Sudbury,34,77,54,16,0,0,181,414
Sudbury/Sudbury,172,Sudbury,30,75,38,11,0,1,155,277
Sudbury/Sudbury,173,Sudbury,42,87,42,7,3,0,181,334
Sudbury/Sudbury,174,Sudbury,44,140,50,11,0,1,246,373
Sudbury/Sudbury,175,Sudbury,49,106,58,14,1,4,232,349
Sudbury/Sudbury,176,Sudbury,52,124,42,4,1,2,225,376
Sudbury/Sudbury,177,Sudbury,67,76,27,3,0,1,174,262
Sudbury/Sudbury,178,Sudbury,47,99,15,9,0,2,172,278
Sudbury/Sudbury,179,Sudbury,36,90,35,7,0,2,170,258
Sudbury/Sudbury,180,Sudbury,51,116,67,10,2,0,246,396
Sudbury/Sudbury,181,Sudbury,41,99,62,8,0,0,210,387
Sudbury/Sudbury,182A,Sudbury,35,83,48,5,0,0,171,361
Sudbury/Sudbury,182B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,18
Sudbury/Sudbury,183,Sudbury,97,96,22,16,1,2,234,387
Sudbury/Sudbury,184A,Sudbury,73,127,35,12,0,2,249,524
Sudbury/Sudbury,184B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,89
Sudbury/Sudbury,185,Sudbury,64,102,61,18,0,2,247,423
Sudbury/Sudbury,186,Sudbury,27,64,28,6,0,0,125,272
Sudbury/Sudbury,187,Sudbury,61,119,33,13,0,0,226,398
Sudbury/Sudbury,188,Sudbury,99,131,44,27,1,2,304,435
Sudbury/Sudbury,189,Sudbury,15,37,28,4,0,0,84,191
Sudbury/Sudbury,190,Sudbury,52,98,28,2,0,0,180,329
Sudbury/Sudbury,191,Sudbury,69,121,49,11,1,1,252,372
Sudbury/Sudbury,192,Sudbury,62,145,55,14,3,0,279,416
Sudbury/Sudbury,193,Sudbury,83,154,62,14,0,0,313,483
Sudbury/Sudbury,194,Sudbury,14,45,34,12,0,1,106,250
Sudbury/Sudbury,195,Sudbury,14,51,39,3,0,0,107,214
Sudbury/Sudbury,400,Sudbury,21,88,31,2,0,2,144,288
Sudbury/Sudbury,401,Sudbury,13,34,90,7,1,3,148,398
Sudbury/Sudbury,402,Sudbury,11,30,16,1,1,1,60,240
Sudbury/Sudbury,403,Sudbury,16,52,71,4,0,0,143,353
Sudbury/Sudbury,500,Mobile poll/Bureau itinérant,5,37,30,2,0,0,74,124
Sudbury/Sudbury,501,Mobile poll/Bureau itinérant,46,93,33,5,1,4,182,137
Sudbury/Sudbury,502,Mobile poll/Bureau itinérant,5,44,26,0,0,5,80,177
Sudbury/Sudbury,600,Sudbury,66,66,72,7,0,0,211,
Sudbury/Sudbury,601,Sudbury,186,191,145,21,0,2,545,
Sudbury/Sudbury,602,Sudbury,80,145,85,14,0,3,327,
Sudbury/Sudbury,603,Sudbury,47,146,116,6,0,1,316,
Sudbury/Sudbury,604,Sudbury,102,310,131,20,1,0,564,
Sudbury/Sudbury,605,Sudbury,153,248,93,17,1,1,513,
Sudbury/Sudbury,606,Sudbury,87,237,160,9,0,0,493,
Sudbury/Sudbury,607,Sudbury,65,139,81,15,4,1,305,
Sudbury/Sudbury,608,Sudbury,118,246,112,23,0,1,500,
Sudbury/Sudbury,609,Sudbury,169,276,115,25,1,2,588,
Sudbury/Sudbury,,Group 1/Groupe 1,42,47,34,8,0,9,140,301
Sudbury/Sudbury,,Group 2/Groupe 2,131,315,183,18,2,4,653,
