District,Poll Number,Poll Name,David Carter Laird,Angela Reid,Paddy Torsney,Mike Wallace,John Herman Wubs,Rejected Ballots,Total Vote,Electors
Burlington/Burlington,1A,Burlington,16,14,98,54,1,0,183,366
Burlington/Burlington,1B,Burlington,20,12,74,73,1,2,182,369
Burlington/Burlington,2,Burlington,18,18,71,79,1,1,188,338
Burlington/Burlington,3,Burlington,24,7,84,75,2,3,195,362
Burlington/Burlington,4,Burlington,16,6,77,41,0,2,142,259
Burlington/Burlington,5,Burlington,18,8,106,96,2,2,232,330
Burlington/Burlington,6,Burlington,18,10,88,84,1,1,202,287
Burlington/Burlington,7,Burlington,32,12,88,121,0,3,256,411
Burlington/Burlington,8,Burlington,44,10,104,55,4,0,217,327
Burlington/Burlington,9,Burlington,18,6,103,77,1,1,206,315
Burlington/Burlington,10,Burlington,24,10,75,68,4,2,183,288
Burlington/Burlington,11,Burlington,26,10,88,70,2,1,197,350
Burlington/Burlington,12,Burlington,24,13,92,94,4,2,229,363
Burlington/Burlington,13,Burlington,24,14,93,85,1,4,221,432
Burlington/Burlington,14,Burlington,16,9,62,50,2,3,142,298
Burlington/Burlington,15,Burlington,21,13,91,84,1,0,210,383
Burlington/Burlington,16,Burlington,50,12,105,85,3,1,256,401
Burlington/Burlington,17,Burlington,26,10,113,92,3,0,244,374
Burlington/Burlington,18,Burlington,24,10,91,87,1,1,214,328
Burlington/Burlington,19,Burlington,32,13,73,87,2,2,209,266
Burlington/Burlington,20,Burlington,29,1,60,64,0,0,154,232
Burlington/Burlington,21,Burlington,23,8,94,113,1,0,239,349
Burlington/Burlington,22,Burlington,27,14,137,91,1,2,272,368
Burlington/Burlington,23,Burlington,22,8,114,96,1,0,241,348
Burlington/Burlington,24,Burlington,17,5,118,99,2,1,242,358
Burlington/Burlington,25,Burlington,26,22,95,103,0,0,246,347
Burlington/Burlington,26,Burlington,43,14,138,83,0,0,278,434
Burlington/Burlington,27,Burlington,28,11,37,58,1,0,135,306
Burlington/Burlington,28,Burlington,16,11,146,127,1,0,301,467
Burlington/Burlington,29,Burlington,22,6,72,83,2,1,186,306
Burlington/Burlington,30,Burlington,19,5,117,107,1,0,249,361
Burlington/Burlington,31,Burlington,13,9,89,97,0,0,208,318
Burlington/Burlington,32,Burlington,20,12,107,64,4,1,208,323
Burlington/Burlington,33,Burlington,13,6,44,36,0,1,100,200
Burlington/Burlington,34,Burlington,26,10,117,92,0,0,245,442
Burlington/Burlington,35,Burlington,20,2,68,63,0,1,154,266
Burlington/Burlington,36,Burlington,29,15,129,95,1,3,272,445
Burlington/Burlington,37,Burlington,35,16,142,106,2,1,302,520
Burlington/Burlington,38,Burlington,30,10,103,104,3,0,250,388
Burlington/Burlington,39,Burlington,21,10,94,64,0,0,189,270
Burlington/Burlington,40,Burlington,34,7,78,99,1,0,219,320
Burlington/Burlington,41,Burlington,12,5,90,86,2,0,195,293
Burlington/Burlington,42,Burlington,8,6,90,87,3,0,194,272
Burlington/Burlington,43,Burlington,33,17,123,74,2,2,251,382
Burlington/Burlington,44,Burlington,16,6,116,97,0,1,236,358
Burlington/Burlington,45,Burlington,16,9,65,66,0,1,157,234
Burlington/Burlington,46A,Burlington,20,14,64,55,5,0,158,314
