District,Poll Number,Poll Name,Roger Colin Benham,Andy Burton,Nathan Cullen,Frank Martin,Miles Richardson,Rod Taylor,Rejected Ballots,Total Vote,Electors
Skeena--Bulkley Valley/Skeena--Bulkley Valley,1,Pleasant Camp,Merged with No. 4,,,,,,,,11
Skeena--Bulkley Valley/Skeena--Bulkley Valley,2,Atlin,8,107,53,3,40,4,1,216,374
Skeena--Bulkley Valley/Skeena--Bulkley Valley,3A,Good Hope Lake,1,14,11,0,12,0,0,38,45
Skeena--Bulkley Valley/Skeena--Bulkley Valley,3B,Lower Post,1,3,9,0,21,1,0,35,107
Skeena--Bulkley Valley/Skeena--Bulkley Valley,4,Dease Lake,3,52,46,1,27,9,0,138,314
Skeena--Bulkley Valley/Skeena--Bulkley Valley,5,Telegraph Creek,3,19,43,0,36,3,0,104,171
Skeena--Bulkley Valley/Skeena--Bulkley Valley,6,Iskut,0,13,26,1,26,2,0,68,215
Skeena--Bulkley Valley/Skeena--Bulkley Valley,7,Stewart,3,42,15,0,23,2,0,85,191
Skeena--Bulkley Valley/Skeena--Bulkley Valley,8,Stewart,1,42,13,0,36,4,0,96,186
Skeena--Bulkley Valley/Skeena--Bulkley Valley,9,Meziadin Junction,0,4,2,0,0,0,0,6,22
Skeena--Bulkley Valley/Skeena--Bulkley Valley,10,Babine 16,1,5,6,0,24,3,0,39,41
Skeena--Bulkley Valley/Skeena--Bulkley Valley,11,Tacla Lake (Ferry Landing) 9,1,6,44,0,5,0,1,57,62
Skeena--Bulkley Valley/Skeena--Bulkley Valley,12,Germansen Landing,1,10,1,0,5,0,0,17,43
Skeena--Bulkley Valley/Skeena--Bulkley Valley,13,Gingolx,0,9,40,0,50,2,0,101,230
Skeena--Bulkley Valley/Skeena--Bulkley Valley,14,Greenville,1,8,82,0,69,2,0,162,329
Skeena--Bulkley Valley/Skeena--Bulkley Valley,15,Gitwinshlkw,0,5,59,0,44,0,0,108,160
Skeena--Bulkley Valley/Skeena--Bulkley Valley,16,Aiyansh,3,12,126,1,96,1,0,239,511
Skeena--Bulkley Valley/Skeena--Bulkley Valley,17,Nass Camp,6,13,10,0,2,2,0,33,52
Skeena--Bulkley Valley/Skeena--Bulkley Valley,18,Gitanyow 1,2,13,47,0,20,2,0,84,165
Skeena--Bulkley Valley/Skeena--Bulkley Valley,19,Kitwanga,Merged with No. 31,,,,,,,,1
Skeena--Bulkley Valley/Skeena--Bulkley Valley,20,Kispiox Valley,4,37,49,0,9,0,1,100,142
Skeena--Bulkley Valley/Skeena--Bulkley Valley,21,Kispiox 1,4,7,131,2,42,1,1,188,239
Skeena--Bulkley Valley/Skeena--Bulkley Valley,22,Glen Vowell,4,2,38,0,14,2,0,60,73
Skeena--Bulkley Valley/Skeena--Bulkley Valley,23,Hazelton,4,20,122,0,41,2,0,189,303
Skeena--Bulkley Valley/Skeena--Bulkley Valley,24A,Hazelton,2,18,64,0,24,3,0,111,176
Skeena--Bulkley Valley/Skeena--Bulkley Valley,24B,Hazelton,5,14,77,0,13,6,1,116,260
Skeena--Bulkley Valley/Skeena--Bulkley Valley,25A,New Hazelton,3,40,56,0,26,1,1,127,278
Skeena--Bulkley Valley/Skeena--Bulkley Valley,25B,New Hazelton,4,42,60,0,25,6,0,137,254
Skeena--Bulkley Valley/Skeena--Bulkley Valley,26,New Hazelton,2,44,33,0,28,3,0,110,191
