District,Poll Number,Poll Name,Ligy Alakkattussery,Dominique Bellemare,Alain Boire,Félix Malboeuf,Serge Marcil,Rémi Pelletier,Rejected Ballots,Total Vote,Electors
Beauharnois--Salaberry/Beauharnois--Salaberry,1,Akwesasne (Partie),0,0,0,0,0,0,0,0,364
Beauharnois--Salaberry/Beauharnois--Salaberry,2,Dundee,0,7,27,0,25,0,2,61,120
Beauharnois--Salaberry/Beauharnois--Salaberry,3,Dundee,2,8,26,4,70,10,1,121,190
Beauharnois--Salaberry/Beauharnois--Salaberry,4,Cazaville,3,29,93,1,73,4,8,211,438
Beauharnois--Salaberry/Beauharnois--Salaberry,5,Cazaville,8,28,96,0,108,6,4,250,436
Beauharnois--Salaberry/Beauharnois--Salaberry,6,Saint-Anicet,8,23,162,2,131,9,7,342,587
Beauharnois--Salaberry/Beauharnois--Salaberry,7,Saint-Anicet,5,6,58,3,50,2,2,126,234
Beauharnois--Salaberry/Beauharnois--Salaberry,8,Saint-Anicet,6,33,114,4,106,9,4,276,501
Beauharnois--Salaberry/Beauharnois--Salaberry,9A,Sainte-Barbe,Merged with No. 10,,,,,,,,216
Beauharnois--Salaberry/Beauharnois--Salaberry,9B,Sainte-Barbe,4,21,168,6,114,8,4,325,531
Beauharnois--Salaberry/Beauharnois--Salaberry,10,Sainte-Barbe,10,19,202,3,121,7,7,369,329
Beauharnois--Salaberry/Beauharnois--Salaberry,11,Godmanchester,12,32,42,2,137,5,0,230,404
Beauharnois--Salaberry/Beauharnois--Salaberry,12,Godmanchester,9,20,68,4,97,4,1,203,356
Beauharnois--Salaberry/Beauharnois--Salaberry,13,Godmanchester,10,42,22,1,91,4,1,171,310
Beauharnois--Salaberry/Beauharnois--Salaberry,14,Elgin,12,26,38,2,97,13,1,189,290
Beauharnois--Salaberry/Beauharnois--Salaberry,15,Elgin,5,21,35,5,130,7,2,205,418
Beauharnois--Salaberry/Beauharnois--Salaberry,16,Huntingdon,4,25,45,2,166,5,4,251,495
Beauharnois--Salaberry/Beauharnois--Salaberry,17,Huntingdon,5,11,37,1,72,6,2,134,321
Beauharnois--Salaberry/Beauharnois--Salaberry,18,Huntingdon,7,22,42,0,68,1,7,147,320
Beauharnois--Salaberry/Beauharnois--Salaberry,19,Huntingdon,2,28,43,1,99,4,2,179,382
Beauharnois--Salaberry/Beauharnois--Salaberry,20,Huntingdon,5,22,39,0,70,1,1,138,313
Beauharnois--Salaberry/Beauharnois--Salaberry,21,Huntingdon,6,31,39,0,112,2,1,191,460
Beauharnois--Salaberry/Beauharnois--Salaberry,22,Hinchinbrooke,5,19,24,2,138,9,1,198,403
Beauharnois--Salaberry/Beauharnois--Salaberry,23,Hinchinbrooke,10,31,96,2,113,10,2,264,528
Beauharnois--Salaberry/Beauharnois--Salaberry,24,Hinchinbrooke,11,36,18,2,180,11,3,261,398
Beauharnois--Salaberry/Beauharnois--Salaberry,25,Saint-Stanislas-de-Kostka,7,31,179,3,81,5,11,317,505
Beauharnois--Salaberry/Beauharnois--Salaberry,26,Saint-Stanislas-de-Kostka,3,24,97,9,93,6,7,239,404
Beauharnois--Salaberry/Beauharnois--Salaberry,27,Saint-Stanislas-de-Kostka,1,13,123,3,66,4,6,216,347
Beauharnois--Salaberry/Beauharnois--Salaberry,28,Saint-Louis-de-Gonzague,2,24,119,3,45,6,10,209,318
Beauharnois--Salaberry/Beauharnois--Salaberry,29,Saint-Louis-de-Gonzague,8,13,131,0,77,8,3,240,384
Beauharnois--Salaberry/Beauharnois--Salaberry,30,Saint-Louis-de-Gonzague,9,15,115,3,90,4,4,240,332
Beauharnois--Salaberry/Beauharnois--Salaberry,31,Saint-Étienne-de-Beauharnois,6,23,118,1,47,6,0,201,278
Beauharnois--Salaberry/Beauharnois--Salaberry,32,Saint-Étienne-de-Beauharnois,3,20,146,1,39,5,1,215,301
Beauharnois--Salaberry/Beauharnois--Salaberry,33,Salaberry-de-Valleyfield,2,20,171,2,110,8,5,318,484
Beauharnois--Salaberry/Beauharnois--Salaberry,34,Salaberry-de-Valleyfield,1,17,169,2,104,10,12,315,501
Beauharnois--Salaberry/Beauharnois--Salaberry,35,Salaberry-de-Valleyfield,4,11,108,3,77,3,4,210,461
Beauharnois--Salaberry/Beauharnois--Salaberry,36,Salaberry-de-Valleyfield,3,13,116,4,46,4,5,191,442
Beauharnois--Salaberry/Beauharnois--Salaberry,37,Salaberry-de-Valleyfield,6,16,114,3,48,7,4,198,398
Beauharnois--Salaberry/Beauharnois--Salaberry,38,Salaberry-de-Valleyfield,1,17,105,2,85,7,3,220,429
Beauharnois--Salaberry/Beauharnois--Salaberry,39,Salaberry-de-Valleyfield,1,31,207,3,93,4,4,343,526
Beauharnois--Salaberry/Beauharnois--Salaberry,40,Salaberry-de-Valleyfield,1,11,144,5,64,2,5,232,442
Beauharnois--Salaberry/Beauharnois--Salaberry,41,Salaberry-de-Valleyfield,6,15,127,8,59,3,10,228,449
Beauharnois--Salaberry/Beauharnois--Salaberry,42,Salaberry-de-Valleyfield,4,11,104,1,54,4,8,186,438
Beauharnois--Salaberry/Beauharnois--Salaberry,43,Salaberry-de-Valleyfield,4,18,100,2,68,8,3,203,366
Beauharnois--Salaberry/Beauharnois--Salaberry,44,Salaberry-de-Valleyfield,0,7,145,3,63,4,3,225,366
Beauharnois--Salaberry/Beauharnois--Salaberry,45,Salaberry-de-Valleyfield,1,23,182,1,76,12,7,302,447
Beauharnois--Salaberry/Beauharnois--Salaberry,46,Salaberry-de-Valleyfield,0,24,96,1,39,6,6,172,302
Beauharnois--Salaberry/Beauharnois--Salaberry,47,Salaberry-de-Valleyfield,5,19,101,2,57,6,5,195,435
Beauharnois--Salaberry/Beauharnois--Salaberry,48,Salaberry-de-Valleyfield,7,20,146,2,97,10,8,290,519
Beauharnois--Salaberry/Beauharnois--Salaberry,49,Salaberry-de-Valleyfield,7,29,105,0,83,7,4,235,372
Beauharnois--Salaberry/Beauharnois--Salaberry,50,Grande-Île,1,25,132,2,75,4,5,244,435
Beauharnois--Salaberry/Beauharnois--Salaberry,51,Grande-Île,4,24,144,1,75,4,7,259,445
Beauharnois--Salaberry/Beauharnois--Salaberry,52,Grande-Île,3,23,197,5,82,9,12,331,511
Beauharnois--Salaberry/Beauharnois--Salaberry,53,Grande-Île,3,15,124,3,95,7,9,256,425
Beauharnois--Salaberry/Beauharnois--Salaberry,54,Grande-Île,0,16,145,1,56,2,2,222,408
Beauharnois--Salaberry/Beauharnois--Salaberry,55,Grande-Île,3,21,159,4,82,6,14,289,458
Beauharnois--Salaberry/Beauharnois--Salaberry,56,Grande-Île,6,30,167,5,71,8,7,294,443
Beauharnois--Salaberry/Beauharnois--Salaberry,57,Grande-Île,2,34,135,1,58,5,12,247,465
Beauharnois--Salaberry/Beauharnois--Salaberry,58,Salaberry-de-Valleyfield,3,10,119,0,61,4,4,201,396
Beauharnois--Salaberry/Beauharnois--Salaberry,59,Salaberry-de-Valleyfield,1,10,118,4,41,0,2,176,334
Beauharnois--Salaberry/Beauharnois--Salaberry,60,Salaberry-de-Valleyfield,0,13,140,2,54,2,6,217,401
Beauharnois--Salaberry/Beauharnois--Salaberry,61,Salaberry-de-Valleyfield,4,11,134,1,77,5,4,236,404
Beauharnois--Salaberry/Beauharnois--Salaberry,62,Salaberry-de-Valleyfield,1,17,96,1,62,7,7,191,348
Beauharnois--Salaberry/Beauharnois--Salaberry,63,Salaberry-de-Valleyfield,4,9,86,1,47,5,3,155,316
Beauharnois--Salaberry/Beauharnois--Salaberry,64,Salaberry-de-Valleyfield,4,18,90,4,53,7,5,181,545
Beauharnois--Salaberry/Beauharnois--Salaberry,65,Salaberry-de-Valleyfield,2,14,73,0,41,2,8,140,306
Beauharnois--Salaberry/Beauharnois--Salaberry,66,Salaberry-de-Valleyfield,3,18,98,0,45,2,1,167,419
Beauharnois--Salaberry/Beauharnois--Salaberry,67,Salaberry-de-Valleyfield,2,16,104,2,80,2,1,207,365
Beauharnois--Salaberry/Beauharnois--Salaberry,68,Salaberry-de-Valleyfield,5,10,123,1,78,4,9,230,371
Beauharnois--Salaberry/Beauharnois--Salaberry,69,Salaberry-de-Valleyfield,1,17,101,0,97,6,15,237,436
Beauharnois--Salaberry/Beauharnois--Salaberry,70,Salaberry-de-Valleyfield,3,11,57,0,66,2,5,144,348
Beauharnois--Salaberry/Beauharnois--Salaberry,71,Salaberry-de-Valleyfield,3,22,132,1,107,3,9,277,521
Beauharnois--Salaberry/Beauharnois--Salaberry,72,Salaberry-de-Valleyfield,4,11,136,0,57,7,1,216,422
Beauharnois--Salaberry/Beauharnois--Salaberry,73,Salaberry-de-Valleyfield,3,12,102,1,61,4,4,187,369
Beauharnois--Salaberry/Beauharnois--Salaberry,74,Salaberry-de-Valleyfield,1,13,96,2,53,7,3,175,353
Beauharnois--Salaberry/Beauharnois--Salaberry,75,Salaberry-de-Valleyfield,3,12,75,3,46,5,5,149,388
Beauharnois--Salaberry/Beauharnois--Salaberry,76,Salaberry-de-Valleyfield,2,6,85,3,55,5,3,159,368
Beauharnois--Salaberry/Beauharnois--Salaberry,77,Salaberry-de-Valleyfield,3,21,73,1,90,1,3,192,386
Beauharnois--Salaberry/Beauharnois--Salaberry,78,Salaberry-de-Valleyfield,2,11,90,2,45,2,5,157,370
Beauharnois--Salaberry/Beauharnois--Salaberry,79,Salaberry-de-Valleyfield,0,16,92,1,61,1,5,176,336
Beauharnois--Salaberry/Beauharnois--Salaberry,80,Salaberry-de-Valleyfield,2,7,74,1,49,8,5,146,377
Beauharnois--Salaberry/Beauharnois--Salaberry,81,Salaberry-de-Valleyfield,2,8,80,1,43,3,3,140,300
Beauharnois--Salaberry/Beauharnois--Salaberry,82,Salaberry-de-Valleyfield,1,13,111,5,60,3,7,200,355
Beauharnois--Salaberry/Beauharnois--Salaberry,83,Salaberry-de-Valleyfield,2,12,124,2,60,9,6,215,380
Beauharnois--Salaberry/Beauharnois--Salaberry,84,Salaberry-de-Valleyfield,4,13,110,1,76,5,4,213,360
Beauharnois--Salaberry/Beauharnois--Salaberry,85,Salaberry-de-Valleyfield,1,18,115,1,66,7,4,212,392
Beauharnois--Salaberry/Beauharnois--Salaberry,86,Salaberry-de-Valleyfield,3,9,120,3,46,1,3,185,382
Beauharnois--Salaberry/Beauharnois--Salaberry,87,Salaberry-de-Valleyfield,3,8,116,2,50,7,5,191,421
Beauharnois--Salaberry/Beauharnois--Salaberry,88,Salaberry-de-Valleyfield,4,10,88,1,71,5,4,183,404
Beauharnois--Salaberry/Beauharnois--Salaberry,89,Salaberry-de-Valleyfield,1,8,39,0,35,2,5,90,275
Beauharnois--Salaberry/Beauharnois--Salaberry,90,Salaberry-de-Valleyfield,1,13,98,1,70,6,9,198,359
Beauharnois--Salaberry/Beauharnois--Salaberry,91,Salaberry-de-Valleyfield,3,8,97,0,61,3,4,176,312
