District,Poll Number,Poll Name,Rey D. Pagtakhan,Darrell Rankin,Kris Stevenson,Eric Truijen,Judy Wasylycia-Leis,Alon Weinberg,Rejected Ballots,Total Vote,Electors
Winnipeg North/Winnipeg-Nord,1A,Winnipeg,85,0,23,1,64,2,0,175,369
Winnipeg North/Winnipeg-Nord,1B,Winnipeg,62,0,16,0,51,3,0,132,285
Winnipeg North/Winnipeg-Nord,2,Winnipeg,64,1,25,2,74,0,0,166,358
Winnipeg North/Winnipeg-Nord,3,Winnipeg,95,0,22,0,111,6,0,234,407
Winnipeg North/Winnipeg-Nord,4,Winnipeg,105,2,39,0,94,5,0,245,451
Winnipeg North/Winnipeg-Nord,5,Winnipeg,98,0,29,0,79,5,0,211,377
Winnipeg North/Winnipeg-Nord,6,Winnipeg,104,0,30,1,111,5,0,251,400
Winnipeg North/Winnipeg-Nord,7,Winnipeg,102,1,15,3,97,4,2,224,467
Winnipeg North/Winnipeg-Nord,8,Winnipeg,135,0,22,2,85,2,0,246,466
Winnipeg North/Winnipeg-Nord,9,Winnipeg,71,0,18,0,55,3,0,147,427
Winnipeg North/Winnipeg-Nord,10,Winnipeg,94,2,30,0,110,6,0,242,492
Winnipeg North/Winnipeg-Nord,11,Winnipeg,105,1,44,1,106,4,0,261,471
Winnipeg North/Winnipeg-Nord,12,Winnipeg,112,1,13,1,109,5,1,242,454
Winnipeg North/Winnipeg-Nord,13,Winnipeg,132,1,29,0,71,1,2,236,459
Winnipeg North/Winnipeg-Nord,14,Winnipeg,124,0,24,4,87,4,2,245,450
Winnipeg North/Winnipeg-Nord,15,Winnipeg,92,1,12,1,62,6,0,174,438
Winnipeg North/Winnipeg-Nord,16A,Winnipeg,58,0,15,0,71,2,0,146,276
Winnipeg North/Winnipeg-Nord,16B,Winnipeg,58,0,24,2,47,2,0,133,253
Winnipeg North/Winnipeg-Nord,17,Winnipeg,89,0,25,1,93,5,1,214,394
Winnipeg North/Winnipeg-Nord,18,Winnipeg,96,0,22,0,85,2,1,206,463
Winnipeg North/Winnipeg-Nord,19,Winnipeg,102,1,11,2,122,6,1,245,437
Winnipeg North/Winnipeg-Nord,20,Winnipeg,91,1,18,3,83,3,21,220,403
Winnipeg North/Winnipeg-Nord,21,Winnipeg,66,0,22,0,84,0,0,172,417
Winnipeg North/Winnipeg-Nord,22,Winnipeg,99,0,18,2,112,3,0,234,465
Winnipeg North/Winnipeg-Nord,23,Winnipeg,49,0,12,0,45,2,1,109,302
Winnipeg North/Winnipeg-Nord,24,Winnipeg,115,0,25,1,112,2,1,256,487
Winnipeg North/Winnipeg-Nord,25,Winnipeg,92,1,23,0,93,0,1,210,415
Winnipeg North/Winnipeg-Nord,26,Winnipeg,51,1,19,0,47,2,0,120,277
Winnipeg North/Winnipeg-Nord,27,Winnipeg,63,3,26,1,98,2,0,193,438
Winnipeg North/Winnipeg-Nord,28,Winnipeg,44,0,17,0,106,4,0,171,379
Winnipeg North/Winnipeg-Nord,29,Winnipeg,33,0,18,0,117,2,0,170,393
Winnipeg North/Winnipeg-Nord,30,Winnipeg,19,0,4,0,40,1,0,64,401
Winnipeg North/Winnipeg-Nord,31,Winnipeg,52,0,17,0,100,1,0,170,380
Winnipeg North/Winnipeg-Nord,32,Winnipeg,75,1,12,1,84,4,0,177,388
Winnipeg North/Winnipeg-Nord,33,Winnipeg,33,0,13,0,80,3,0,129,322
Winnipeg North/Winnipeg-Nord,34,Winnipeg,53,1,32,0,85,3,2,176,370
Winnipeg North/Winnipeg-Nord,35,Winnipeg,64,3,18,1,102,0,0,188,384
Winnipeg North/Winnipeg-Nord,36,Winnipeg,54,0,14,1,86,1,1,157,423
Winnipeg North/Winnipeg-Nord,37,Winnipeg,63,2,17,1,109,4,0,196,396
Winnipeg North/Winnipeg-Nord,38,Winnipeg,40,1,19,0,73,2,1,136,373
Winnipeg North/Winnipeg-Nord,39,Winnipeg,49,1,11,0,102,1,1,165,321
Winnipeg North/Winnipeg-Nord,40,Winnipeg,50,0,25,1,101,1,0,178,335
Winnipeg North/Winnipeg-Nord,41,Winnipeg,85,0,39,3,112,3,1,243,452
Winnipeg North/Winnipeg-Nord,42,Winnipeg,39,1,17,0,108,1,0,166,339
Winnipeg North/Winnipeg-Nord,43A,Winnipeg,62,1,9,0,70,1,0,143,280
Winnipeg North/Winnipeg-Nord,43B,Winnipeg,58,0,20,0,53,2,0,133,262
Winnipeg North/Winnipeg-Nord,44,Winnipeg,136,1,25,2,130,3,0,297,489
Winnipeg North/Winnipeg-Nord,45,Winnipeg,95,0,32,2,82,5,0,216,427
Winnipeg North/Winnipeg-Nord,46,Winnipeg,75,0,35,1,85,4,0,200,356
Winnipeg North/Winnipeg-Nord,47A,Winnipeg,32,0,9,0,35,0,0,76,176
Winnipeg North/Winnipeg-Nord,47B,Winnipeg,21,3,7,1,29,1,2,64,206
Winnipeg North/Winnipeg-Nord,48,Winnipeg,119,0,42,0,84,2,0,247,478
Winnipeg North/Winnipeg-Nord,49,Winnipeg,94,3,27,1,99,0,2,226,430
Winnipeg North/Winnipeg-Nord,50,Winnipeg,115,0,25,2,93,1,1,237,438
Winnipeg North/Winnipeg-Nord,51,Winnipeg,113,0,16,0,82,5,0,216,484
Winnipeg North/Winnipeg-Nord,52,Winnipeg,57,0,30,0,65,1,0,153,418
Winnipeg North/Winnipeg-Nord,53,Winnipeg,86,0,26,1,127,4,0,244,452
Winnipeg North/Winnipeg-Nord,54,Winnipeg,91,0,28,2,82,0,0,203,474
Winnipeg North/Winnipeg-Nord,55,Winnipeg,73,0,27,0,95,7,0,202,428
Winnipeg North/Winnipeg-Nord,56,Winnipeg,83,0,21,0,82,0,4,190,457
Winnipeg North/Winnipeg-Nord,57,Winnipeg,59,0,17,0,61,0,1,138,377
Winnipeg North/Winnipeg-Nord,58,Winnipeg,71,1,24,2,69,3,1,171,473
Winnipeg North/Winnipeg-Nord,59,Winnipeg,73,0,31,1,84,1,0,190,421
Winnipeg North/Winnipeg-Nord,60,Winnipeg,67,0,22,1,70,3,0,163,459
Winnipeg North/Winnipeg-Nord,61,Winnipeg,79,0,41,0,84,3,2,209,435
Winnipeg North/Winnipeg-Nord,62A,Winnipeg,55,0,20,0,47,3,1,126,238
Winnipeg North/Winnipeg-Nord,62B,Winnipeg,72,0,20,1,74,4,0,171,293
Winnipeg North/Winnipeg-Nord,63,Winnipeg,94,1,31,2,119,2,1,250,446
Winnipeg North/Winnipeg-Nord,64,Winnipeg,108,0,28,2,76,8,2,224,471
Winnipeg North/Winnipeg-Nord,65,Winnipeg,78,0,26,1,78,3,2,188,419
Winnipeg North/Winnipeg-Nord,66,Winnipeg,55,1,25,0,72,3,3,159,440
Winnipeg North/Winnipeg-Nord,67,Winnipeg,101,1,30,0,73,7,0,212,463
Winnipeg North/Winnipeg-Nord,68,Winnipeg,87,0,12,0,46,1,1,147,296
Winnipeg North/Winnipeg-Nord,69,Winnipeg,41,0,26,0,48,4,1,120,278
Winnipeg North/Winnipeg-Nord,70,Winnipeg,112,2,22,2,68,0,0,206,392
Winnipeg North/Winnipeg-Nord,71,Winnipeg,74,1,28,1,60,4,0,168,312
Winnipeg North/Winnipeg-Nord,72,Winnipeg,97,0,33,1,80,4,2,217,395
Winnipeg North/Winnipeg-Nord,73A,Winnipeg,103,0,22,1,53,1,0,180,278
