District,Poll Number,Poll Name,Serge Bellemare,Daniel Brazeau,Roger Gaudet,Michel Paulette,François Rivest,Rejected Ballots,Total Vote,Electors
Montcalm/Montcalm,1,Saint-Calixte,11,31,122,9,6,4,183,342
Montcalm/Montcalm,2,Saint-Calixte,8,31,135,6,1,5,186,397
Montcalm/Montcalm,3,Saint-Calixte,8,32,155,6,10,7,218,454
Montcalm/Montcalm,4,Saint-Calixte,4,30,142,10,5,6,197,449
Montcalm/Montcalm,5,Sainte-Julienne,6,31,161,10,7,1,216,475
Montcalm/Montcalm,6,Sainte-Julienne,11,38,175,11,10,4,249,558
Montcalm/Montcalm,7,Sainte-Julienne,12,26,106,14,4,8,170,341
Montcalm/Montcalm,8,Sainte-Julienne,8,46,98,5,8,4,169,327
Montcalm/Montcalm,9,Sainte-Julienne,7,38,192,5,8,5,255,544
Montcalm/Montcalm,10,Sainte-Julienne,1,45,181,8,5,13,253,595
Montcalm/Montcalm,11,Sainte-Julienne,4,30,180,4,11,9,238,510
Montcalm/Montcalm,12,Sainte-Julienne,8,31,157,9,6,10,221,430
Montcalm/Montcalm,13,Sainte-Julienne,1,28,81,7,4,7,128,322
Montcalm/Montcalm,14,Sainte-Julienne,4,30,133,13,9,6,195,487
Montcalm/Montcalm,15,Sainte-Julienne,5,32,139,6,8,5,195,414
Montcalm/Montcalm,16,Sainte-Julienne,11,28,166,6,3,6,220,399
Montcalm/Montcalm,17,Saint-Calixte,7,29,165,6,2,13,222,503
Montcalm/Montcalm,18,Saint-Calixte,5,30,142,11,7,3,198,428
Montcalm/Montcalm,19,Saint-Calixte,4,25,140,9,5,5,188,419
Montcalm/Montcalm,20,Saint-Calixte,6,35,114,11,1,0,167,349
Montcalm/Montcalm,21,Saint-Calixte,9,23,101,8,9,5,155,357
Montcalm/Montcalm,22,Saint-Calixte,8,42,170,18,12,5,255,561
Montcalm/Montcalm,23,Sainte-Julienne,Void,,,,,,,
Montcalm/Montcalm,24,Sainte-Julienne,3,44,140,13,4,5,209,524
Montcalm/Montcalm,25,Saint-Liguori,10,45,234,14,5,9,317,495
Montcalm/Montcalm,26,Saint-Liguori,8,26,195,9,9,3,250,398
Montcalm/Montcalm,27,Saint-Liguori,9,48,240,7,8,9,321,492
Montcalm/Montcalm,28,Saint-Jacques,12,40,162,10,9,4,237,361
Montcalm/Montcalm,29,Sainte-Marie-Salomé,9,30,141,10,4,6,200,294
Montcalm/Montcalm,30,Sainte-Marie-Salomé,16,38,184,16,3,13,270,392
Montcalm/Montcalm,31,Sainte-Marie-Salomé,8,24,86,8,4,7,137,245
Montcalm/Montcalm,32,Saint-Jacques,10,38,166,12,7,5,238,402
Montcalm/Montcalm,33,Saint-Jacques,14,64,179,24,8,5,294,489
Montcalm/Montcalm,34,Saint-Jacques,Void,,,,,,,
Montcalm/Montcalm,35,Saint-Jacques,5,54,135,7,7,9,217,433
Montcalm/Montcalm,36,Saint-Jacques,5,40,156,25,7,9,242,404
Montcalm/Montcalm,37,Saint-Jacques,13,35,125,6,4,11,194,375
Montcalm/Montcalm,38,Saint-Jacques,10,36,169,15,9,9,248,400
Montcalm/Montcalm,39,Saint-Alexis,13,48,220,20,18,11,330,490
Montcalm/Montcalm,40,Saint-Alexis,11,28,187,10,17,4,257,441
Montcalm/Montcalm,41,Saint-Esprit,6,62,126,23,8,6,231,430
Montcalm/Montcalm,42,Saint-Esprit,7,53,129,5,5,4,203,409
Montcalm/Montcalm,43,Saint-Esprit,10,37,132,22,5,7,213,332
Montcalm/Montcalm,44,Saint-Esprit,2,40,144,24,2,10,222,345
Montcalm/Montcalm,45,Saint-Lin,5,20,114,9,4,2,154,367
Montcalm/Montcalm,46,Saint-Lin,10,28,184,10,8,5,245,492
Montcalm/Montcalm,47,Saint-Lin,3,27,97,3,2,9,141,272
