District,Poll Number,Poll Name,Greg Agar,Marcel Beaubien,Dave Core,Anthony Cramer,Gary De Boer,John Elliott,Roger Gallaway,Rejected Ballots,Total Vote,Electors
Sarnia--Lambton/Sarnia--Lambton,1A,Sarnia,18,66,0,5,2,0,138,1,230,320
Sarnia--Lambton/Sarnia--Lambton,1B,Sarnia,14,55,2,5,2,0,80,0,158,288
Sarnia--Lambton/Sarnia--Lambton,2,Sarnia,21,65,3,19,2,4,147,3,264,408
Sarnia--Lambton/Sarnia--Lambton,3,Sarnia,22,103,0,19,2,3,136,2,287,457
Sarnia--Lambton/Sarnia--Lambton,4,Sarnia,17,64,1,26,9,0,122,0,239,365
Sarnia--Lambton/Sarnia--Lambton,5,Sarnia,20,88,0,16,1,1,117,0,243,378
Sarnia--Lambton/Sarnia--Lambton,6,Sarnia,20,88,2,27,10,2,118,0,267,414
Sarnia--Lambton/Sarnia--Lambton,7,Sarnia,52,85,3,18,9,2,111,1,281,434
Sarnia--Lambton/Sarnia--Lambton,8,Sarnia,50,66,0,16,7,1,131,1,272,470
Sarnia--Lambton/Sarnia--Lambton,9,Sarnia,30,37,7,11,5,1,107,0,198,353
Sarnia--Lambton/Sarnia--Lambton,10,Sarnia,33,62,0,23,6,0,115,0,239,396
Sarnia--Lambton/Sarnia--Lambton,11,Sarnia,49,38,4,10,3,0,112,1,217,377
Sarnia--Lambton/Sarnia--Lambton,12,Sarnia,46,40,6,17,2,0,123,2,236,392
Sarnia--Lambton/Sarnia--Lambton,13,Sarnia,27,70,2,14,9,2,145,2,271,391
Sarnia--Lambton/Sarnia--Lambton,14,Sarnia,21,65,1,10,0,0,98,0,195,323
Sarnia--Lambton/Sarnia--Lambton,15,Sarnia,38,65,3,13,11,0,127,0,257,412
Sarnia--Lambton/Sarnia--Lambton,16,Sarnia,30,56,1,7,5,1,99,0,199,334
Sarnia--Lambton/Sarnia--Lambton,17,Sarnia,22,48,1,7,3,1,117,0,199,279
Sarnia--Lambton/Sarnia--Lambton,18,Sarnia,21,67,0,6,2,1,141,0,238,383
Sarnia--Lambton/Sarnia--Lambton,19,Sarnia,20,81,2,21,11,0,162,2,299,470
Sarnia--Lambton/Sarnia--Lambton,20,Sarnia,27,68,4,18,13,3,141,2,276,418
Sarnia--Lambton/Sarnia--Lambton,21,Sarnia,34,56,1,19,6,1,120,0,237,429
Sarnia--Lambton/Sarnia--Lambton,22,Sarnia,37,55,1,20,5,1,107,0,226,386
Sarnia--Lambton/Sarnia--Lambton,23,Sarnia,27,49,1,9,13,1,123,1,224,375
Sarnia--Lambton/Sarnia--Lambton,24,Sarnia,45,77,3,17,9,1,128,0,280,446
Sarnia--Lambton/Sarnia--Lambton,25,Sarnia,6,55,7,16,3,2,107,4,200,326
Sarnia--Lambton/Sarnia--Lambton,26,Sarnia,39,26,2,13,4,1,123,0,208,342
Sarnia--Lambton/Sarnia--Lambton,27,Point Edward,29,72,2,16,2,0,144,2,267,376
Sarnia--Lambton/Sarnia--Lambton,28,Point Edward,41,53,5,18,2,0,114,0,233,364
Sarnia--Lambton/Sarnia--Lambton,29,Point Edward,46,59,1,13,3,0,173,0,295,509
Sarnia--Lambton/Sarnia--Lambton,30,Point Edward,47,50,2,7,6,0,118,1,231,423
Sarnia--Lambton/Sarnia--Lambton,31,Sarnia,42,41,1,16,5,1,78,0,184,312
Sarnia--Lambton/Sarnia--Lambton,32,Sarnia,21,33,1,7,2,0,87,2,153,289
Sarnia--Lambton/Sarnia--Lambton,33,Sarnia,12,34,2,10,4,3,55,0,120,308
Sarnia--Lambton/Sarnia--Lambton,34,Sarnia,28,48,1,15,5,3,97,1,198,337
Sarnia--Lambton/Sarnia--Lambton,35,Sarnia,35,52,1,14,10,0,81,2,195,333
Sarnia--Lambton/Sarnia--Lambton,36,Sarnia,40,42,2,7,5,0,60,0,156,330
Sarnia--Lambton/Sarnia--Lambton,37,Sarnia,47,63,4,24,8,2,108,0,256,400
Sarnia--Lambton/Sarnia--Lambton,38,Sarnia,32,63,3,8,16,1,83,0,206,397
Sarnia--Lambton/Sarnia--Lambton,39,Sarnia,33,60,0,12,10,1,108,3,227,364
Sarnia--Lambton/Sarnia--Lambton,40,Sarnia,35,68,7,15,5,0,124,1,255,377
Sarnia--Lambton/Sarnia--Lambton,41,Sarnia,37,46,3,17,11,0,111,1,226,399
Sarnia--Lambton/Sarnia--Lambton,42,Sarnia,28,78,5,18,13,0,149,2,293,443
Sarnia--Lambton/Sarnia--Lambton,43,Sarnia,25,47,1,25,7,0,127,0,232,375
Sarnia--Lambton/Sarnia--Lambton,44,Sarnia,23,54,0,14,1,0,136,1,229,369
Sarnia--Lambton/Sarnia--Lambton,45,Sarnia,33,71,2,13,5,1,141,0,266,492
Sarnia--Lambton/Sarnia--Lambton,46,Sarnia,32,76,2,14,10,2,134,2,272,472
Sarnia--Lambton/Sarnia--Lambton,47,Sarnia,52,56,1,12,12,2,84,4,223,501
Sarnia--Lambton/Sarnia--Lambton,48,Sarnia,25,25,0,15,5,1,61,1,133,316
Sarnia--Lambton/Sarnia--Lambton,49,Sarnia,28,48,0,6,4,0,99,1,186,298
Sarnia--Lambton/Sarnia--Lambton,50,Sarnia,42,48,1,12,3,4,109,4,223,432
Sarnia--Lambton/Sarnia--Lambton,51,Sarnia,35,55,1,3,6,1,121,1,223,394
Sarnia--Lambton/Sarnia--Lambton,52,Sarnia,46,47,4,9,13,0,110,0,229,471
Sarnia--Lambton/Sarnia--Lambton,53,Sarnia,34,35,2,4,9,0,89,3,176,341
Sarnia--Lambton/Sarnia--Lambton,54,Sarnia,34,31,4,12,7,1,74,2,165,387
Sarnia--Lambton/Sarnia--Lambton,55,Sarnia,37,44,0,28,3,2,91,1,206,380
Sarnia--Lambton/Sarnia--Lambton,56,Sarnia,34,69,4,7,9,0,98,4,225,441
Sarnia--Lambton/Sarnia--Lambton,57,Sarnia,51,55,0,21,15,2,79,0,223,488
Sarnia--Lambton/Sarnia--Lambton,58,Sarnia,36,34,0,13,2,0,88,0,173,367
Sarnia--Lambton/Sarnia--Lambton,59,Sarnia,29,42,1,18,6,1,99,1,197,362
Sarnia--Lambton/Sarnia--Lambton,60,Sarnia,43,33,1,20,8,0,96,0,201,421
Sarnia--Lambton/Sarnia--Lambton,61,Sarnia,39,44,1,6,8,1,58,0,157,482
Sarnia--Lambton/Sarnia--Lambton,62,Sarnia,35,35,0,12,7,4,93,0,186,394
Sarnia--Lambton/Sarnia--Lambton,63,Sarnia,49,48,2,5,16,1,65,0,186,355
Sarnia--Lambton/Sarnia--Lambton,64,Sarnia,24,40,2,5,23,1,55,0,150,255
Sarnia--Lambton/Sarnia--Lambton,65,Sarnia,37,30,2,11,29,0,67,3,179,362
Sarnia--Lambton/Sarnia--Lambton,66,Sarnia,33,53,0,15,41,1,82,1,226,396
Sarnia--Lambton/Sarnia--Lambton,67,Sarnia,52,39,6,18,0,3,65,1,184,472
Sarnia--Lambton/Sarnia--Lambton,68,Sarnia,46,45,4,13,6,1,109,2,226,460
Sarnia--Lambton/Sarnia--Lambton,69,Sarnia,49,57,1,16,10,0,78,0,211,425
Sarnia--Lambton/Sarnia--Lambton,70,Sarnia,49,79,3,14,13,0,108,3,269,527
Sarnia--Lambton/Sarnia--Lambton,71A,Sarnia,30,56,1,5,4,0,74,0,170,327
Sarnia--Lambton/Sarnia--Lambton,71B,Sarnia,25,71,2,2,4,1,90,0,195,345
Sarnia--Lambton/Sarnia--Lambton,72,Sarnia,Merged with No. 85B,,,,,,,,,188
Sarnia--Lambton/Sarnia--Lambton,73,Sarnia,21,75,1,11,11,0,85,0,204,391
Sarnia--Lambton/Sarnia--Lambton,74,Sarnia,32,52,3,7,5,0,64,0,163,434
Sarnia--Lambton/Sarnia--Lambton,75,Sarnia,47,54,2,11,9,2,102,0,227,480
Sarnia--Lambton/Sarnia--Lambton,76,Sarnia,40,30,2,5,18,1,60,0,156,374
Sarnia--Lambton/Sarnia--Lambton,77,Sarnia,41,32,2,13,7,0,52,2,149,440
Sarnia--Lambton/Sarnia--Lambton,78,Sarnia,38,41,3,10,6,1,90,1,190,338
Sarnia--Lambton/Sarnia--Lambton,79,Sarnia,33,44,0,6,3,1,57,1,145,321
Sarnia--Lambton/Sarnia--Lambton,80,Sarnia,55,46,1,8,6,0,91,0,207,394
Sarnia--Lambton/Sarnia--Lambton,81,Sarnia,45,50,3,11,11,1,60,1,182,416
Sarnia--Lambton/Sarnia--Lambton,82,Sarnia,32,50,4,8,7,0,50,1,152,332
Sarnia--Lambton/Sarnia--Lambton,83,Sarnia,33,47,2,6,5,0,80,2,175,354
Sarnia--Lambton/Sarnia--Lambton,84,Sarnia,25,66,0,12,6,1,74,0,184,378
Sarnia--Lambton/Sarnia--Lambton,85A,Sarnia,23,32,0,6,5,3,49,0,118,337
Sarnia--Lambton/Sarnia--Lambton,85B,Sarnia,49,64,1,15,8,2,87,1,227,260
Sarnia--Lambton/Sarnia--Lambton,86,Sarnia,31,39,2,17,4,0,120,0,213,361
Sarnia--Lambton/Sarnia--Lambton,87,Sarnia,30,42,0,17,6,0,95,1,191,373
Sarnia--Lambton/Sarnia--Lambton,88,Sarnia,35,43,5,22,4,1,104,2,216,440
Sarnia--Lambton/Sarnia--Lambton,89,Sarnia,46,33,2,17,4,1,48,2,153,308
Sarnia--Lambton/Sarnia--Lambton,90,Sarnia,46,39,3,12,5,0,64,1,170,318
Sarnia--Lambton/Sarnia--Lambton,91,Sarnia,36,30,2,9,10,0,45,0,132,311
Sarnia--Lambton/Sarnia--Lambton,92,Sarnia,46,52,4,15,10,0,103,0,230,399
Sarnia--Lambton/Sarnia--Lambton,93,Sarnia,33,52,1,9,5,1,84,1,186,335
Sarnia--Lambton/Sarnia--Lambton,94,Sarnia,38,38,3,9,16,2,81,5,192,351
Sarnia--Lambton/Sarnia--Lambton,95,Sarnia,29,30,0,8,5,2,66,2,142,273
Sarnia--Lambton/Sarnia--Lambton,96,Sarnia,44,27,5,8,1,1,41,2,129,357
Sarnia--Lambton/Sarnia--Lambton,97,Sarnia,43,26,1,14,9,1,48,8,150,343
Sarnia--Lambton/Sarnia--Lambton,98,Sarnia,36,41,2,8,2,1,58,1,149,340
Sarnia--Lambton/Sarnia--Lambton,99,Sarnia,66,45,4,17,6,0,104,1,243,507
Sarnia--Lambton/Sarnia--Lambton,100,Sarnia,43,21,1,16,7,1,52,1,142,327
Sarnia--Lambton/Sarnia--Lambton,101,Sarnia,35,26,1,18,7,0,64,0,151,358
Sarnia--Lambton/Sarnia--Lambton,102,Sarnia,70,37,2,17,4,4,64,1,199,494
Sarnia--Lambton/Sarnia--Lambton,103,Sarnia,29,46,2,15,3,2,91,2,190,411
Sarnia--Lambton/Sarnia--Lambton,104,Sarnia,26,45,1,12,1,0,82,3,170,323
Sarnia--Lambton/Sarnia--Lambton,105,Sarnia,31,44,2,10,5,1,52,0,145,320
Sarnia--Lambton/Sarnia--Lambton,106,Sarnia,50,26,2,8,6,4,54,4,154,374
Sarnia--Lambton/Sarnia--Lambton,107,Sarnia,49,51,5,23,9,1,93,1,232,489
Sarnia--Lambton/Sarnia--Lambton,108,Sarnia,68,35,3,14,9,0,64,0,193,413
Sarnia--Lambton/Sarnia--Lambton,109,Sarnia,46,40,2,15,13,1,86,0,203,418
Sarnia--Lambton/Sarnia--Lambton,110,Sarnia,41,42,4,9,11,4,67,7,185,375
Sarnia--Lambton/Sarnia--Lambton,111,Sarnia,44,38,3,10,4,1,63,1,164,355
Sarnia--Lambton/Sarnia--Lambton,112,Sarnia,48,24,1,5,3,1,46,1,129,500
Sarnia--Lambton/Sarnia--Lambton,113,Sarnia,44,40,2,7,1,0,66,5,165,330
Sarnia--Lambton/Sarnia--Lambton,114,Sarnia,52,43,2,4,0,0,44,2,147,346
Sarnia--Lambton/Sarnia--Lambton,115,Sarnia,46,37,2,9,6,1,92,1,194,370
Sarnia--Lambton/Sarnia--Lambton,116,Sarnia,43,34,0,4,5,1,45,1,133,396
Sarnia--Lambton/Sarnia--Lambton,117,Sarnia,54,33,1,14,7,0,49,1,159,402
Sarnia--Lambton/Sarnia--Lambton,118,Sarnia,44,25,1,8,6,1,41,1,127,335
Sarnia--Lambton/Sarnia--Lambton,119,Sarnia,34,22,0,7,3,2,38,1,107,322
Sarnia--Lambton/Sarnia--Lambton,120,Sarnia 45,32,23,2,6,1,1,120,2,187,583
Sarnia--Lambton/Sarnia--Lambton,121,Sarnia,17,71,5,10,2,1,91,0,197,325
Sarnia--Lambton/Sarnia--Lambton,122,Sarnia,21,115,3,16,4,7,141,1,308,489
Sarnia--Lambton/Sarnia--Lambton,123A,Sarnia,21,102,0,17,6,1,136,2,285,490
Sarnia--Lambton/Sarnia--Lambton,123B,Sarnia,Merged with No. 133,,,,,,,,,78
Sarnia--Lambton/Sarnia--Lambton,124,Sarnia,36,108,5,27,5,0,140,2,323,517
Sarnia--Lambton/Sarnia--Lambton,125,Sarnia,25,68,0,19,2,1,95,0,210,347
Sarnia--Lambton/Sarnia--Lambton,126,Sarnia,32,68,4,13,8,0,155,1,281,318
Sarnia--Lambton/Sarnia--Lambton,127A,Sarnia,47,62,6,24,7,1,116,2,265,463
Sarnia--Lambton/Sarnia--Lambton,127B,Sarnia,Merged with No. 126,,,,,,,,,154
Sarnia--Lambton/Sarnia--Lambton,128,Sarnia,30,68,6,15,3,0,119,0,241,399
Sarnia--Lambton/Sarnia--Lambton,129,Sarnia,43,55,1,17,3,4,96,1,220,396
Sarnia--Lambton/Sarnia--Lambton,130,Sarnia,20,114,2,17,3,0,186,1,343,585
Sarnia--Lambton/Sarnia--Lambton,131,Sarnia,35,86,4,25,15,1,126,1,293,516
Sarnia--Lambton/Sarnia--Lambton,132,Sarnia,7,47,2,5,11,1,76,0,149,257
Sarnia--Lambton/Sarnia--Lambton,133,Sarnia,27,86,2,13,14,0,122,0,264,354
