District,Poll Number,Poll Name,Dean Kenneth Christie,Jason Corey Devine,James Maxim,Deepak Obhrai,Elizabeth Thomas,Rejected Ballots,Total Vote,Electors
Calgary East/Calgary-Est,1,Calgary,15,2,40,117,30,2,206,397
Calgary East/Calgary-Est,2,Calgary,20,1,48,127,17,1,214,422
Calgary East/Calgary-Est,3,Calgary,11,0,27,68,23,0,129,311
Calgary East/Calgary-Est,4,Calgary,27,2,53,106,25,1,214,387
Calgary East/Calgary-Est,5,Calgary,10,2,41,105,11,3,172,303
Calgary East/Calgary-Est,6,Calgary,14,0,56,156,24,1,251,423
Calgary East/Calgary-Est,7,Calgary,14,0,36,137,29,2,218,342
Calgary East/Calgary-Est,8,Calgary,8,4,35,133,18,0,198,382
Calgary East/Calgary-Est,9,Calgary,5,1,5,42,6,0,59,219
Calgary East/Calgary-Est,10,Calgary,18,2,38,121,14,0,193,414
Calgary East/Calgary-Est,11,Calgary,22,1,38,164,26,1,252,407
Calgary East/Calgary-Est,12,Calgary,16,1,34,120,15,0,186,334
Calgary East/Calgary-Est,13,Calgary,3,1,31,96,11,1,143,367
Calgary East/Calgary-Est,14,Calgary,11,1,39,60,22,0,133,390
Calgary East/Calgary-Est,15,Calgary,12,2,41,71,13,1,140,420
Calgary East/Calgary-Est,16,Calgary,14,4,64,123,20,3,228,518
Calgary East/Calgary-Est,17,Calgary,12,0,22,81,16,0,131,376
Calgary East/Calgary-Est,18,Calgary,11,1,23,108,29,2,174,474
Calgary East/Calgary-Est,19,Calgary,10,1,26,68,19,0,124,410
Calgary East/Calgary-Est,20,Calgary,6,0,25,94,14,0,139,315
Calgary East/Calgary-Est,21,Calgary,11,0,42,70,15,0,138,399
Calgary East/Calgary-Est,22,Calgary,4,0,28,80,14,0,126,380
Calgary East/Calgary-Est,23,Calgary,6,2,41,81,24,0,154,363
Calgary East/Calgary-Est,24,Calgary,8,2,51,123,14,1,199,377
Calgary East/Calgary-Est,25,Calgary,9,2,45,74,21,0,151,408
Calgary East/Calgary-Est,26,Calgary,14,0,36,71,14,1,136,375
Calgary East/Calgary-Est,27,Calgary,14,0,49,113,32,0,208,421
Calgary East/Calgary-Est,28,Calgary,12,2,42,130,18,0,204,460
Calgary East/Calgary-Est,29,Calgary,6,2,43,116,9,2,178,392
Calgary East/Calgary-Est,30,Calgary,9,0,53,122,13,0,197,410
Calgary East/Calgary-Est,31,Calgary,9,2,82,106,15,1,215,515
Calgary East/Calgary-Est,32,Calgary,10,0,57,138,11,1,217,476
Calgary East/Calgary-Est,33,Calgary,8,0,45,104,8,1,166,379
Calgary East/Calgary-Est,34,Calgary,8,0,45,149,23,0,225,444
Calgary East/Calgary-Est,35,Calgary,8,1,36,75,16,1,137,253
Calgary East/Calgary-Est,36,Calgary,7,1,33,83,11,0,135,287
Calgary East/Calgary-Est,37,Calgary,10,1,49,138,19,0,217,463
Calgary East/Calgary-Est,38,Calgary,18,2,60,102,24,1,207,439
Calgary East/Calgary-Est,39,Calgary,7,1,49,132,17,2,208,435
Calgary East/Calgary-Est,40,Calgary,7,4,43,141,12,0,207,467
Calgary East/Calgary-Est,41,Calgary,9,1,34,84,7,0,135,342
Calgary East/Calgary-Est,42,Calgary,17,0,43,118,16,0,194,422
Calgary East/Calgary-Est,43,Calgary,12,0,28,118,15,1,174,336
Calgary East/Calgary-Est,44,Calgary,3,0,22,104,12,0,141,304
Calgary East/Calgary-Est,45,Calgary,9,2,38,96,19,0,164,410
Calgary East/Calgary-Est,46,Calgary,12,1,28,81,18,0,140,302
