District,Poll Number,Poll Name,Nadia Alexan,Cécile Bissonnette,Yves Le Seigle,Marcel Lussier,Robert Nicolas,Jacques Saada,Rejected Ballots,Total Vote,Electors
Brossard--La Prairie/Brossard--La Prairie,1,Brossard,16,7,0,55,9,109,2,198,419
Brossard--La Prairie/Brossard--La Prairie,2,Brossard,9,7,0,54,7,99,1,177,341
Brossard--La Prairie/Brossard--La Prairie,3,Brossard,8,5,1,65,4,70,2,155,465
Brossard--La Prairie/Brossard--La Prairie,4,Brossard,4,1,2,40,1,87,0,135,341
Brossard--La Prairie/Brossard--La Prairie,5,Brossard,11,4,0,54,5,101,1,176,384
Brossard--La Prairie/Brossard--La Prairie,6,Brossard,12,3,0,71,10,121,3,220,449
Brossard--La Prairie/Brossard--La Prairie,7,Brossard,9,1,0,28,12,90,1,141,338
Brossard--La Prairie/Brossard--La Prairie,8,Brossard,5,1,0,65,6,57,0,134,441
Brossard--La Prairie/Brossard--La Prairie,9,Brossard,4,2,0,67,8,53,4,138,322
Brossard--La Prairie/Brossard--La Prairie,10,Brossard,11,4,1,64,10,104,0,194,429
Brossard--La Prairie/Brossard--La Prairie,11,Brossard,23,7,0,68,6,118,2,224,457
Brossard--La Prairie/Brossard--La Prairie,12,Brossard,5,3,0,48,9,89,0,154,350
Brossard--La Prairie/Brossard--La Prairie,13,Brossard,11,4,1,50,8,86,2,162,390
Brossard--La Prairie/Brossard--La Prairie,14,Brossard,9,4,2,44,13,75,0,147,323
Brossard--La Prairie/Brossard--La Prairie,15,Brossard,17,11,0,53,6,91,2,180,380
Brossard--La Prairie/Brossard--La Prairie,16,Brossard,9,1,0,56,4,90,1,161,277
Brossard--La Prairie/Brossard--La Prairie,17,Brossard,12,2,0,61,15,100,2,192,448
Brossard--La Prairie/Brossard--La Prairie,18,Brossard,16,5,2,52,10,151,2,238,420
Brossard--La Prairie/Brossard--La Prairie,19,Brossard,23,8,1,49,10,122,0,213,445
Brossard--La Prairie/Brossard--La Prairie,20,Brossard,16,5,2,42,3,154,4,226,506
Brossard--La Prairie/Brossard--La Prairie,21,Brossard,12,3,0,87,7,49,5,163,433
Brossard--La Prairie/Brossard--La Prairie,22,Brossard,11,5,1,81,17,73,4,192,393
Brossard--La Prairie/Brossard--La Prairie,23,Brossard,7,3,0,112,5,80,4,211,375
Brossard--La Prairie/Brossard--La Prairie,24,Brossard,9,1,1,95,7,98,6,217,348
Brossard--La Prairie/Brossard--La Prairie,25,Brossard,8,2,0,87,9,64,6,176,421
Brossard--La Prairie/Brossard--La Prairie,26,Brossard,7,10,0,93,11,78,2,201,416
Brossard--La Prairie/Brossard--La Prairie,27,Brossard,2,11,0,97,11,131,2,254,424
Brossard--La Prairie/Brossard--La Prairie,28,Brossard,2,6,0,57,8,100,3,176,448
Brossard--La Prairie/Brossard--La Prairie,29,Brossard,14,6,0,71,7,109,6,213,337
Brossard--La Prairie/Brossard--La Prairie,30,Brossard,12,8,0,102,11,118,4,255,421
Brossard--La Prairie/Brossard--La Prairie,31,Brossard,15,3,3,73,19,127,4,244,424
Brossard--La Prairie/Brossard--La Prairie,32,Brossard,8,6,0,125,16,60,8,223,372
Brossard--La Prairie/Brossard--La Prairie,33,Brossard,10,3,0,114,5,62,4,198,347
Brossard--La Prairie/Brossard--La Prairie,34,Brossard,4,6,0,112,11,79,0,212,404
Brossard--La Prairie/Brossard--La Prairie,35,Brossard,14,4,0,109,8,68,3,206,463
Brossard--La Prairie/Brossard--La Prairie,36,Brossard,16,4,0,91,7,76,4,198,422
Brossard--La Prairie/Brossard--La Prairie,37,Brossard,12,4,0,68,2,67,3,156,292
Brossard--La Prairie/Brossard--La Prairie,38,Brossard,3,5,0,45,5,47,2,107,253
Brossard--La Prairie/Brossard--La Prairie,39,Brossard,13,8,1,64,4,59,3,152,364
Brossard--La Prairie/Brossard--La Prairie,40,Brossard,11,9,1,113,17,61,3,215,387
Brossard--La Prairie/Brossard--La Prairie,41,Brossard,11,7,1,77,9,126,4,235,517
Brossard--La Prairie/Brossard--La Prairie,42,Brossard,8,9,0,80,18,143,5,263,404
Brossard--La Prairie/Brossard--La Prairie,43,Brossard,14,12,2,72,14,59,2,175,365
Brossard--La Prairie/Brossard--La Prairie,44,Brossard,10,13,1,101,16,104,6,251,480
