District,Poll Number,Poll Name,Roy Cullen,Anna Di Carlo,Mir Kamal,Cesar Martello,Rupinder Nannar,George Szebik,William Ubbens,Rejected Ballots,Total Vote,Electors
Etobicoke North/Etobicoke-Nord,61,Etobicoke,105,2,9,22,70,2,3,0,213,375
Etobicoke North/Etobicoke-Nord,62,Etobicoke,156,2,4,21,45,4,2,0,234,418
Etobicoke North/Etobicoke-Nord,63,Etobicoke,176,0,8,20,45,4,3,0,256,432
Etobicoke North/Etobicoke-Nord,64,Etobicoke,156,3,5,34,57,4,6,0,265,544
Etobicoke North/Etobicoke-Nord,65,Etobicoke,74,0,1,26,28,4,2,0,135,404
Etobicoke North/Etobicoke-Nord,66,Etobicoke,129,2,11,29,40,3,9,0,223,357
Etobicoke North/Etobicoke-Nord,67,Etobicoke,121,3,2,22,41,1,16,1,207,339
Etobicoke North/Etobicoke-Nord,68,Etobicoke,136,0,9,20,56,3,7,2,233,396
Etobicoke North/Etobicoke-Nord,69,Etobicoke,154,1,5,21,46,2,8,4,241,444
Etobicoke North/Etobicoke-Nord,70,Etobicoke,124,2,3,22,57,1,10,3,222,411
Etobicoke North/Etobicoke-Nord,71,Etobicoke,129,1,5,28,31,2,6,0,202,326
Etobicoke North/Etobicoke-Nord,72,Etobicoke,123,2,5,23,33,2,3,2,193,334
Etobicoke North/Etobicoke-Nord,73,Etobicoke,98,2,5,31,53,2,7,0,198,330
Etobicoke North/Etobicoke-Nord,74,Etobicoke,166,1,6,19,47,9,2,2,252,444
Etobicoke North/Etobicoke-Nord,75,Etobicoke,101,1,3,20,29,4,4,1,163,347
Etobicoke North/Etobicoke-Nord,76,Etobicoke,125,1,3,30,31,0,10,1,201,508
Etobicoke North/Etobicoke-Nord,77,Etobicoke,182,4,3,35,49,1,6,0,280,519
Etobicoke North/Etobicoke-Nord,78,North York,Void,,,,,,,,,
Etobicoke North/Etobicoke-Nord,79,Etobicoke,116,0,6,40,37,2,10,4,215,422
