District,Poll Number,Poll Name,Marc Bélanger,Jean-Guy Côté,Nicolas Deville,Vahid Fortin-Vidah,Jean-Yves Roy,Rejected Ballots,Total Vote,Electors
Matapédia--Matane/Matapédia--Matane,1,Sainte-Luce,37,27,10,14,151,7,246,433
Matapédia--Matane/Matapédia--Matane,2,Sainte-Luce,50,17,3,14,152,7,243,415
Matapédia--Matane/Matapédia--Matane,3,Sainte-Luce,39,21,7,7,131,3,208,353
Matapédia--Matane/Matapédia--Matane,4,Luceville,52,9,2,13,108,3,187,329
Matapédia--Matane/Matapédia--Matane,5,Luceville,29,20,6,10,117,3,185,432
Matapédia--Matane/Matapédia--Matane,6,Luceville,43,8,1,10,92,2,156,307
Matapédia--Matane/Matapédia--Matane,7,Saint-Donat,30,5,2,22,127,1,187,404
Matapédia--Matane/Matapédia--Matane,8,Saint-Donat,26,18,2,11,93,1,151,263
Matapédia--Matane/Matapédia--Matane,9,Saint-Jean-Baptiste,80,19,1,23,149,5,277,511
Matapédia--Matane/Matapédia--Matane,10,Mont-Joli,54,22,0,9,73,1,159,437
Matapédia--Matane/Matapédia--Matane,11,Mont-Joli,69,33,5,12,136,4,259,493
Matapédia--Matane/Matapédia--Matane,12,Mont-Joli,42,12,2,7,73,5,141,301
Matapédia--Matane/Matapédia--Matane,13,Mont-Joli,42,5,0,7,63,3,120,302
Matapédia--Matane/Matapédia--Matane,14,Mont-Joli,30,11,2,9,55,4,111,273
Matapédia--Matane/Matapédia--Matane,15,Mont-Joli,55,14,2,18,80,4,173,313
Matapédia--Matane/Matapédia--Matane,16,Mont-Joli,20,2,4,11,61,2,100,314
Matapédia--Matane/Matapédia--Matane,17,Mont-Joli,59,20,7,9,77,5,177,336
Matapédia--Matane/Matapédia--Matane,18,Mont-Joli,33,6,0,6,42,0,87,237
Matapédia--Matane/Matapédia--Matane,19,Mont-Joli,39,19,1,12,97,1,169,377
Matapédia--Matane/Matapédia--Matane,20,Mont-Joli,38,16,2,8,85,0,149,336
Matapédia--Matane/Matapédia--Matane,21,Mont-Joli,73,15,0,15,86,3,192,376
Matapédia--Matane/Matapédia--Matane,22,Saint-Jean-Baptiste,53,16,6,10,107,6,198,490
Matapédia--Matane/Matapédia--Matane,23,Sainte-Flavie,88,22,6,20,181,9,326,533
Matapédia--Matane/Matapédia--Matane,24,Sainte-Flavie,24,16,1,16,55,1,113,222
Matapédia--Matane/Matapédia--Matane,25,Grand-Métis,20,7,0,6,39,4,76,165
Matapédia--Matane/Matapédia--Matane,26,Price,34,9,3,6,112,3,167,353
Matapédia--Matane/Matapédia--Matane,27,Price,30,7,0,13,72,0,122,210
Matapédia--Matane/Matapédia--Matane,28,Price,36,5,4,15,85,1,146,292
Matapédia--Matane/Matapédia--Matane,29,Price,27,11,2,13,66,0,119,274
Matapédia--Matane/Matapédia--Matane,30,Price,24,9,2,8,58,2,103,250
Matapédia--Matane/Matapédia--Matane,31,Saint-Joseph-de-Lepage,41,17,3,10,139,10,220,431
Matapédia--Matane/Matapédia--Matane,32,Saint-Octave-de-Métis,40,13,4,20,113,7,197,399
Matapédia--Matane/Matapédia--Matane,33,Métis-sur-Mer,65,16,3,5,45,0,134,231
Matapédia--Matane/Matapédia--Matane,34,Les Boules,52,14,5,10,90,7,178,312
Matapédia--Matane/Matapédia--Matane,35,Padoue,28,4,0,14,60,2,108,212
Matapédia--Matane/Matapédia--Matane,36,Baie-des-Sables,71,12,1,6,95,4,189,306
Matapédia--Matane/Matapédia--Matane,37,Baie-des-Sables,20,13,2,13,68,0,116,213
Matapédia--Matane/Matapédia--Matane,38,Saint-Ulric-de-Matane,73,7,3,11,138,3,235,426
Matapédia--Matane/Matapédia--Matane,39,Saint-Ulric,58,6,2,12,69,4,151,272
Matapédia--Matane/Matapédia--Matane,40,Saint-Ulric,45,6,0,7,67,0,125,225
Matapédia--Matane/Matapédia--Matane,41,Saint-Ulric-de-Matane,43,7,7,18,80,1,156,347
Matapédia--Matane/Matapédia--Matane,42,Saint-Léandre,49,6,11,8,117,0,191,328
Matapédia--Matane/Matapédia--Matane,43,Saint-Léandre,45,2,3,2,86,2,140,199
Matapédia--Matane/Matapédia--Matane,44,Matane,103,11,7,13,145,3,282,518
Matapédia--Matane/Matapédia--Matane,45,Matane,83,7,4,6,123,2,225,413
Matapédia--Matane/Matapédia--Matane,46,Matane,66,6,6,5,76,3,162,381
Matapédia--Matane/Matapédia--Matane,47,Matane,63,9,6,15,147,1,241,474
Matapédia--Matane/Matapédia--Matane,48,Matane,64,5,2,2,61,5,139,354
Matapédia--Matane/Matapédia--Matane,49,Matane,64,5,3,3,88,5,168,371
Matapédia--Matane/Matapédia--Matane,50,Matane,67,8,2,7,93,2,179,340
Matapédia--Matane/Matapédia--Matane,51,Matane,64,9,3,9,118,1,204,410
Matapédia--Matane/Matapédia--Matane,52,Matane,59,1,2,10,78,2,152,303
Matapédia--Matane/Matapédia--Matane,53,Matane,80,9,3,9,128,0,229,420
Matapédia--Matane/Matapédia--Matane,54,Matane,80,11,7,9,79,2,188,353
Matapédia--Matane/Matapédia--Matane,55,Matane,65,5,2,7,89,1,169,412
Matapédia--Matane/Matapédia--Matane,56,Matane,47,9,3,3,83,2,147,278
Matapédia--Matane/Matapédia--Matane,57,Matane,38,4,2,2,68,2,116,232
Matapédia--Matane/Matapédia--Matane,58,Matane,128,11,2,9,101,2,253,456
Matapédia--Matane/Matapédia--Matane,59,Matane,27,6,2,5,79,3,122,303
Matapédia--Matane/Matapédia--Matane,60,Matane,40,7,4,5,85,1,142,346
Matapédia--Matane/Matapédia--Matane,61,Matane,62,10,2,22,95,1,192,373
Matapédia--Matane/Matapédia--Matane,62,Matane,59,11,0,11,92,1,174,337
Matapédia--Matane/Matapédia--Matane,63,Matane,79,6,5,13,79,1,183,362
Matapédia--Matane/Matapédia--Matane,64,Matane,33,9,5,5,67,2,121,296
Matapédia--Matane/Matapédia--Matane,65,Matane,58,11,3,8,103,0,183,372
Matapédia--Matane/Matapédia--Matane,66,Matane,76,6,4,11,160,5,262,519
Matapédia--Matane/Matapédia--Matane,67,Matane,58,9,8,2,104,4,185,334
Matapédia--Matane/Matapédia--Matane,68,Matane,56,4,4,5,65,1,135,191
Matapédia--Matane/Matapédia--Matane,69,Matane,70,2,7,7,84,4,174,318
Matapédia--Matane/Matapédia--Matane,70,Matane,Merged with No. 68,,,,,,,42
Matapédia--Matane/Matapédia--Matane,71,Saint-Jérôme-de-Matane,47,9,5,14,76,2,153,331
Matapédia--Matane/Matapédia--Matane,72,Petit-Matane,71,13,5,16,127,0,232,392
Matapédia--Matane/Matapédia--Matane,73,Petit-Matane,45,8,3,3,78,2,139,262
Matapédia--Matane/Matapédia--Matane,74,Saint-Jérôme-de-Matane,82,14,8,13,160,2,279,515
Matapédia--Matane/Matapédia--Matane,75,Saint-Luc-de-Matane,35,11,2,12,97,1,158,278
Matapédia--Matane/Matapédia--Matane,76,Saint-Luc-de-Matane,41,9,4,17,141,2,214,384
Matapédia--Matane/Matapédia--Matane,77,Petit-Matane,48,5,3,10,114,2,182,433
Matapédia--Matane/Matapédia--Matane,78,Sainte-Félicité,37,8,7,13,120,1,186,378
Matapédia--Matane/Matapédia--Matane,79,Sainte-Félicité,65,13,2,9,80,3,172,310
Matapédia--Matane/Matapédia--Matane,80,Sainte-Félicité,45,7,3,9,67,1,132,260
Matapédia--Matane/Matapédia--Matane,81,Saint-Jean-de-Cherbourg,7,1,3,3,40,3,57,156
Matapédia--Matane/Matapédia--Matane,82,Saint-Adelme,57,6,5,5,112,5,190,388
Matapédia--Matane/Matapédia--Matane,83,Saint-René-de-Matane,17,0,4,9,61,0,91,181
Matapédia--Matane/Matapédia--Matane,84,Saint-René-de-Matane,45,3,3,7,130,0,188,439
Matapédia--Matane/Matapédia--Matane,85,Saint-René-de-Matane,17,3,2,6,62,3,93,188
Matapédia--Matane/Matapédia--Matane,86,Grosses-Roches,51,6,4,14,95,10,180,355
Matapédia--Matane/Matapédia--Matane,87,Les Méchins,44,2,1,1,97,1,146,334
Matapédia--Matane/Matapédia--Matane,88,Les Méchins,59,4,2,6,83,2,156,315
Matapédia--Matane/Matapédia--Matane,89,Les Méchins,36,4,0,6,86,1,133,320
Matapédia--Matane/Matapédia--Matane,90,Baie-des-Capucins,36,5,1,5,52,0,99,195
Matapédia--Matane/Matapédia--Matane,91,Cap-Chat,42,4,1,9,80,3,139,331
