District,Poll Number,Poll Name,Kevin Blake,Allan James,Allan McKeown,Bev Shipley,Rose-Marie Ur,Rejected Ballots,Total Vote,Electors
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,1,Grand Bend,13,1,8,92,107,2,223,372
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,2,Grand Bend,10,0,3,76,53,0,142,228
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,3,Bosanquet,11,1,13,80,102,0,207,271
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,4,Bosanquet,22,0,8,135,124,0,289,414
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,5,Bosanquet,15,2,9,92,149,5,272,443
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,6,Bosanquet,36,2,8,116,151,0,313,585
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,7,Bosanquet,26,0,9,110,107,2,254,485
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,8,Bosanquet,45,4,9,116,106,1,281,488
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,9,Bosanquet,43,3,13,86,92,1,238,408
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,10,Bosanquet,34,0,12,89,73,0,208,368
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,11,Kettle Point 44,25,3,1,56,89,3,177,320
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,12,Kettle Point 44,10,0,1,5,115,0,131,321
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,13,Bosanquet,28,1,11,96,105,0,241,480
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,14,Forest,37,6,8,85,84,2,222,407
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,15,Forest,28,3,6,65,85,0,187,392
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,16,Forest,42,6,18,117,171,2,356,474
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,17A,Forest,42,4,11,137,163,0,357,691
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,17B,Forest,Merged with No. 16,,,,,,,47
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,18,Forest,33,3,13,90,101,5,245,450
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,19,Bosanquet,17,1,8,85,72,2,185,336
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,20,Bosanquet,32,5,4,87,109,0,237,387
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,21,Thedford,25,2,8,70,64,4,173,280
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,22,Thedford,18,4,8,49,75,5,159,375
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,23,Arkona,8,0,9,51,37,2,107,169
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,24,Arkona,16,4,6,99,63,1,189,303
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,25,West Williams,18,3,17,105,76,3,222,349
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,26,West Williams,26,3,4,86,81,2,202,332
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,27,Parkhill,29,4,0,96,65,0,194,367
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,28,Parkhill,20,1,1,57,58,0,137,268
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,29,Parkhill,21,4,9,69,60,3,166,321
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,30A,Parkhill,23,2,4,37,52,0,118,235
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,30B,Mobile poll/Bureau itinérant,Merged with No. 67B,,,,,,,70
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,31,McGillivray,17,1,3,80,54,0,155,278
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,32,McGillivray,6,7,4,97,41,0,155,265
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,33,McGillivray,13,0,4,91,76,1,185,295
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,34,Mooresville,30,1,9,106,50,0,196,341
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,35,Elginfield,17,2,15,102,83,2,221,405
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,36,Granton,52,4,32,122,84,1,295,480
Middlesex--Kent--Lambton/Middlesex--Kent--Lambton,37,Lucan,49,0,17,126,86,3,281,477
