District,Poll Number,Poll Name,Ted Alexander,Murray Calder,Ursula Ellis,Rita Landry,David Tilson,Rejected Ballots,Total Vote,Electors
Dufferin--Caledon/Dufferin--Caledon,1,Melancthon,10,56,2,12,78,3,161,248
Dufferin--Caledon/Dufferin--Caledon,2,Melancthon,11,83,4,16,92,0,206,352
Dufferin--Caledon/Dufferin--Caledon,3A,Honeywood (Mulmur),13,39,1,16,47,2,118,277
Dufferin--Caledon/Dufferin--Caledon,3B,Honeywood (Mulmur),13,52,2,14,61,0,142,295
Dufferin--Caledon/Dufferin--Caledon,4,Mulmur,30,101,4,19,119,1,274,395
Dufferin--Caledon/Dufferin--Caledon,5,Mulmur,13,56,4,12,78,1,164,248
Dufferin--Caledon/Dufferin--Caledon,6A,Mulmur,17,75,1,7,72,1,173,288
Dufferin--Caledon/Dufferin--Caledon,6B,Mulmur,19,82,0,21,69,0,191,336
Dufferin--Caledon/Dufferin--Caledon,7,Mulmur,33,128,1,27,134,2,325,550
Dufferin--Caledon/Dufferin--Caledon,8,Horning's Mills,35,95,3,28,192,4,357,597
Dufferin--Caledon/Dufferin--Caledon,9,Melancthon,Void,,,,,,,
Dufferin--Caledon/Dufferin--Caledon,10A,Shelburne,11,70,0,12,86,0,179,386
Dufferin--Caledon/Dufferin--Caledon,10B,Shelburne,14,80,0,17,84,0,195,415
Dufferin--Caledon/Dufferin--Caledon,11,Shelburne,7,51,2,10,83,1,154,312
Dufferin--Caledon/Dufferin--Caledon,12A,Shelburne,8,53,3,13,65,0,142,304
Dufferin--Caledon/Dufferin--Caledon,12B,Shelburne,7,41,3,9,62,1,123,296
Dufferin--Caledon/Dufferin--Caledon,13A,Shelburne,17,62,3,26,65,0,173,400
Dufferin--Caledon/Dufferin--Caledon,13B,Shelburne,1,18,1,2,8,0,30,200
Dufferin--Caledon/Dufferin--Caledon,14,Shelburne,17,68,2,29,83,0,199,489
Dufferin--Caledon/Dufferin--Caledon,15,Shelburne,16,62,2,8,55,0,143,321
Dufferin--Caledon/Dufferin--Caledon,16,Shelburne,24,89,0,20,74,1,208,411
Dufferin--Caledon/Dufferin--Caledon,17,Melancthon,11,47,1,22,95,1,177,305
Dufferin--Caledon/Dufferin--Caledon,18,Amaranth,8,61,3,5,56,0,133,241
Dufferin--Caledon/Dufferin--Caledon,19,Amaranth,21,102,1,12,120,2,258,513
Dufferin--Caledon/Dufferin--Caledon,20,Amaranth,26,69,7,13,94,2,211,345
Dufferin--Caledon/Dufferin--Caledon,21A,Amaranth,14,58,4,6,86,0,168,303
Dufferin--Caledon/Dufferin--Caledon,21B,Amaranth,10,63,2,23,90,0,188,317
Dufferin--Caledon/Dufferin--Caledon,22,Amaranth,23,59,3,13,79,2,179,262
Dufferin--Caledon/Dufferin--Caledon,23,Amaranth,32,71,9,10,143,1,266,537
Dufferin--Caledon/Dufferin--Caledon,24,East Luther,11,57,0,8,58,0,134,250
Dufferin--Caledon/Dufferin--Caledon,25,East Luther,28,71,13,10,94,0,216,351
Dufferin--Caledon/Dufferin--Caledon,26,Grand Valley,25,51,0,16,89,1,182,314
Dufferin--Caledon/Dufferin--Caledon,27,Grand Valley,26,34,2,13,87,0,162,309
Dufferin--Caledon/Dufferin--Caledon,28A,Grand Valley,20,41,1,12,104,0,178,386
Dufferin--Caledon/Dufferin--Caledon,28B,Grand Valley,17,59,1,8,98,0,183,386
Dufferin--Caledon/Dufferin--Caledon,29,East Garafraxa,23,109,9,18,119,0,278,403
Dufferin--Caledon/Dufferin--Caledon,30,East Garafraxa,31,86,5,24,132,0,278,399
Dufferin--Caledon/Dufferin--Caledon,31A,East Garafraxa,16,56,4,22,96,1,195,346
Dufferin--Caledon/Dufferin--Caledon,31B,East Garafraxa,17,73,5,11,79,0,185,308
Dufferin--Caledon/Dufferin--Caledon,32,Mono,22,47,0,19,84,0,172,322
Dufferin--Caledon/Dufferin--Caledon,33,Mono,25,71,0,15,70,0,181,355
Dufferin--Caledon/Dufferin--Caledon,34,Mono,35,102,4,15,79,0,235,496
Dufferin--Caledon/Dufferin--Caledon,35,Mono,45,88,2,25,103,2,265,471
Dufferin--Caledon/Dufferin--Caledon,36,Mono,22,86,2,16,100,1,227,358
Dufferin--Caledon/Dufferin--Caledon,37,Mono,7,35,1,7,55,0,105,157
Dufferin--Caledon/Dufferin--Caledon,38,Mono,16,101,0,13,170,1,301,485
Dufferin--Caledon/Dufferin--Caledon,39,Mono,25,102,3,18,119,0,267,422
Dufferin--Caledon/Dufferin--Caledon,40,Mono,23,137,4,32,100,2,298,486
Dufferin--Caledon/Dufferin--Caledon,41,Mono,33,117,4,9,137,1,301,542
Dufferin--Caledon/Dufferin--Caledon,42,Mono,25,105,3,12,91,1,237,402
Dufferin--Caledon/Dufferin--Caledon,43,Orangeville,24,68,1,17,91,1,202,346
Dufferin--Caledon/Dufferin--Caledon,44,Orangeville,33,93,8,26,139,1,300,482
Dufferin--Caledon/Dufferin--Caledon,45,Orangeville,19,96,4,21,111,1,252,466
Dufferin--Caledon/Dufferin--Caledon,46,Orangeville,27,129,3,26,134,1,320,490
Dufferin--Caledon/Dufferin--Caledon,47,Orangeville,24,48,3,31,77,0,183,447
Dufferin--Caledon/Dufferin--Caledon,48,Orangeville,19,57,1,18,93,3,191,445
Dufferin--Caledon/Dufferin--Caledon,49,Orangeville,10,40,5,32,89,2,178,416
Dufferin--Caledon/Dufferin--Caledon,50,Orangeville,27,73,3,20,76,0,199,459
Dufferin--Caledon/Dufferin--Caledon,51,Orangeville,25,71,2,8,49,0,155,294
Dufferin--Caledon/Dufferin--Caledon,52,Orangeville,30,138,4,16,100,0,288,477
Dufferin--Caledon/Dufferin--Caledon,53,Orangeville,32,53,2,17,75,1,180,335
Dufferin--Caledon/Dufferin--Caledon,54,Orangeville,22,65,5,14,102,0,208,384
Dufferin--Caledon/Dufferin--Caledon,55,Orangeville,20,84,2,22,89,2,219,349
Dufferin--Caledon/Dufferin--Caledon,56,Orangeville,17,91,7,19,105,3,242,499
Dufferin--Caledon/Dufferin--Caledon,57,Orangeville,26,126,1,33,130,1,317,547
Dufferin--Caledon/Dufferin--Caledon,58,Orangeville,15,64,4,17,88,3,191,308
Dufferin--Caledon/Dufferin--Caledon,59A,Orangeville,9,52,1,5,76,0,143,295
Dufferin--Caledon/Dufferin--Caledon,59B,Orangeville,10,68,1,15,57,2,153,318
Dufferin--Caledon/Dufferin--Caledon,60,Orangeville,29,116,0,34,165,1,345,591
Dufferin--Caledon/Dufferin--Caledon,61,Orangeville,14,69,0,11,98,0,192,407
Dufferin--Caledon/Dufferin--Caledon,62,Orangeville,24,89,2,28,116,0,259,444
Dufferin--Caledon/Dufferin--Caledon,63,Orangeville,13,24,0,15,64,1,117,224
Dufferin--Caledon/Dufferin--Caledon,64,Orangeville,25,70,4,32,101,0,232,434
Dufferin--Caledon/Dufferin--Caledon,65,Orangeville,21,49,1,32,136,0,239,451
Dufferin--Caledon/Dufferin--Caledon,66,Orangeville,24,86,2,21,79,2,214,391
Dufferin--Caledon/Dufferin--Caledon,67,Orangeville,57,93,0,30,83,2,265,510
Dufferin--Caledon/Dufferin--Caledon,68,Orangeville,16,57,4,23,82,0,182,411
Dufferin--Caledon/Dufferin--Caledon,69,Orangeville,28,54,7,19,80,0,188,456
Dufferin--Caledon/Dufferin--Caledon,70,Orangeville,27,50,3,27,77,0,184,392
Dufferin--Caledon/Dufferin--Caledon,71,Orangeville,23,38,0,35,81,1,178,372
Dufferin--Caledon/Dufferin--Caledon,72,Orangeville,25,61,0,22,93,0,201,423
Dufferin--Caledon/Dufferin--Caledon,73,Orangeville,24,57,2,23,72,0,178,347
Dufferin--Caledon/Dufferin--Caledon,74,Orangeville,24,77,5,18,96,0,220,428
Dufferin--Caledon/Dufferin--Caledon,75,Orangeville,25,51,4,24,98,2,204,437
Dufferin--Caledon/Dufferin--Caledon,76,Orangeville,22,89,2,40,102,0,255,464
Dufferin--Caledon/Dufferin--Caledon,77,Orangeville,20,47,2,15,104,0,188,346
Dufferin--Caledon/Dufferin--Caledon,78,Orangeville,20,66,1,18,103,1,209,388
Dufferin--Caledon/Dufferin--Caledon,79,Orangeville,12,53,2,31,79,1,178,357
Dufferin--Caledon/Dufferin--Caledon,80,Orangeville,36,85,2,19,103,0,245,393
Dufferin--Caledon/Dufferin--Caledon,81,Orangeville,19,68,2,40,98,0,227,489
Dufferin--Caledon/Dufferin--Caledon,82,Orangeville,12,42,1,20,81,0,156,311
Dufferin--Caledon/Dufferin--Caledon,83,Orangeville,22,64,5,25,83,0,199,365
Dufferin--Caledon/Dufferin--Caledon,84,Orangeville,Merged with No. 86,,,,,,,94
Dufferin--Caledon/Dufferin--Caledon,85,Orangeville,7,53,5,31,100,0,196,514
Dufferin--Caledon/Dufferin--Caledon,86,Orangeville,19,84,2,22,93,0,220,378
Dufferin--Caledon/Dufferin--Caledon,87,Caledon,32,82,0,6,88,0,208,332
Dufferin--Caledon/Dufferin--Caledon,88,Caledon,33,75,1,38,163,1,311,505
