District,Poll Number,Poll Name,Greg Bonser,John Cannis,Greg Gogan,John Mihtis,Dorothy Sauras,Rejected Ballots,Total Vote,Electors
Scarborough Centre/Scarborough-Centre,1A,Scarborough,3,94,19,33,0,1,150,233
Scarborough Centre/Scarborough-Centre,1B,Scarborough,6,88,24,41,0,0,159,249
Scarborough Centre/Scarborough-Centre,2,Scarborough,2,88,35,32,0,1,158,358
Scarborough Centre/Scarborough-Centre,3,Scarborough,10,156,43,53,0,0,262,432
Scarborough Centre/Scarborough-Centre,4A,Scarborough,4,81,26,21,0,0,132,247
Scarborough Centre/Scarborough-Centre,4B,Scarborough,6,84,22,29,1,1,143,255
Scarborough Centre/Scarborough-Centre,5,Scarborough,6,162,33,67,0,0,268,446
Scarborough Centre/Scarborough-Centre,6,Scarborough,5,140,27,73,3,1,249,390
Scarborough Centre/Scarborough-Centre,7,Scarborough,10,115,33,66,1,2,227,386
Scarborough Centre/Scarborough-Centre,8A,Scarborough,2,77,28,26,0,1,134,239
Scarborough Centre/Scarborough-Centre,8B,Scarborough,5,82,31,35,1,2,156,255
Scarborough Centre/Scarborough-Centre,9,Scarborough,4,131,35,49,0,1,220,423
Scarborough Centre/Scarborough-Centre,10A,Scarborough,4,70,16,25,0,2,117,284
Scarborough Centre/Scarborough-Centre,10B,Scarborough,2,106,25,41,1,1,176,290
Scarborough Centre/Scarborough-Centre,10C,Scarborough,9,121,32,31,0,0,193,381
Scarborough Centre/Scarborough-Centre,11,Scarborough,Void,,,,,,,
Scarborough Centre/Scarborough-Centre,12A,Scarborough,31,121,32,0,2,4,190,384
Scarborough Centre/Scarborough-Centre,12B,Scarborough,5,111,27,37,0,2,182,395
Scarborough Centre/Scarborough-Centre,12C,Scarborough,8,122,32,33,2,1,198,447
Scarborough Centre/Scarborough-Centre,12D,Scarborough,5,129,30,20,0,1,185,424
Scarborough Centre/Scarborough-Centre,13A,Scarborough,5,72,32,20,0,1,130,278
Scarborough Centre/Scarborough-Centre,13B,Scarborough,2,52,10,24,0,2,90,219
Scarborough Centre/Scarborough-Centre,14,Scarborough,Merged with No. 15,,,,,,,49
Scarborough Centre/Scarborough-Centre,15,Scarborough,2,38,11,12,0,0,63,194
Scarborough Centre/Scarborough-Centre,16,Scarborough,4,100,40,15,1,0,160,384
Scarborough Centre/Scarborough-Centre,17,Scarborough,6,91,25,19,0,0,141,383
Scarborough Centre/Scarborough-Centre,18A,Scarborough,2,79,29,21,2,1,134,313
