District,Poll Number,Poll Name,Phil Allt,Brenda Chamberlain,Manuel Couto,Jon Dearden,Peter Ellis,Mike Nagy,Lyne Rivard,Rejected Ballots,Total Vote,Electors
Guelph/Guelph,155,Guelph,60,81,0,31,2,14,3,1,192,353
Guelph/Guelph,156,Guelph,53,64,0,23,0,15,1,0,156,289
Guelph/Guelph,157,Guelph,48,67,0,34,2,18,1,5,175,342
Guelph/Guelph,158,Guelph,46,71,0,26,0,14,0,2,159,383
Guelph/Guelph,159,Guelph,62,98,2,54,2,23,1,2,244,496
Guelph/Guelph,160,Guelph,28,53,0,35,0,12,2,0,130,250
Guelph/Guelph,161,Guelph,50,140,1,67,0,10,2,1,271,423
Guelph/Guelph,162,Guelph,49,82,0,60,3,24,2,2,222,413
Guelph/Guelph,163,Guelph,53,123,0,48,4,11,1,2,242,354
Guelph/Guelph,164,Guelph,48,82,0,55,2,15,4,0,206,396
Guelph/Guelph,165,Guelph,29,58,0,44,1,10,1,0,143,351
Guelph/Guelph,166,Guelph,26,165,0,62,9,16,0,0,278,440
Guelph/Guelph,167,Guelph,40,174,1,75,2,27,1,0,320,547
Guelph/Guelph,168,Guelph,Merged with No. 174,,,,,,,,,215
Guelph/Guelph,169,Guelph,36,138,0,76,2,14,0,0,266,382
Guelph/Guelph,170,Guelph,36,153,0,62,5,22,1,2,281,429
Guelph/Guelph,171,Guelph,57,120,0,63,3,18,1,1,263,506
Guelph/Guelph,172,Guelph,62,145,0,84,0,26,3,1,321,557
Guelph/Guelph,173,Guelph,54,102,0,44,4,28,1,0,233,386
Guelph/Guelph,174,Guelph,92,110,1,50,3,24,5,0,285,297
Guelph/Guelph,175,Guelph,58,148,0,59,5,26,0,1,297,565
Guelph/Guelph,176,Guelph,45,107,0,41,2,19,0,2,216,354
Guelph/Guelph,177,Guelph,33,112,0,56,0,12,1,0,214,338
Guelph/Guelph,178,Guelph,34,133,0,59,3,19,1,0,249,350
Guelph/Guelph,179,Guelph,44,145,0,93,2,16,1,0,301,469
Guelph/Guelph,180,Guelph,29,94,0,65,2,14,1,2,207,315
Guelph/Guelph,181,Guelph,28,54,0,33,3,10,2,0,130,244
Guelph/Guelph,182,Guelph,41,208,0,90,0,16,1,3,359,592
Guelph/Guelph,183,Guelph,19,114,0,67,5,9,1,1,216,389
Guelph/Guelph,184,Guelph,8,112,1,50,1,10,2,4,188,339
Guelph/Guelph,185,Guelph,12,86,0,54,1,5,1,0,159,273
Guelph/Guelph,186,Guelph,23,109,0,86,1,13,1,0,233,413
Guelph/Guelph,187,Guelph,18,174,0,90,0,11,0,1,294,378
Guelph/Guelph,188,Guelph,15,189,0,113,1,8,0,1,327,455
Guelph/Guelph,189,Guelph,18,181,0,81,2,17,2,0,301,453
Guelph/Guelph,190,Guelph,24,178,0,73,2,14,2,2,295,414
Guelph/Guelph,191,Guelph,26,145,0,85,2,37,1,3,299,440
Guelph/Guelph,192,Guelph,33,183,0,71,2,15,2,0,306,495
Guelph/Guelph,193,Guelph,19,177,0,86,1,11,0,1,295,492
Guelph/Guelph,194,Guelph,27,175,0,108,0,12,0,5,327,522
Guelph/Guelph,195,Guelph,12,134,1,106,1,13,0,0,267,450
Guelph/Guelph,195-1,Guelph,25,100,0,73,3,9,2,1,213,346
Guelph/Guelph,195-2,Guelph,33,114,0,115,2,15,0,0,279,470
Guelph/Guelph,196,Guelph,37,118,1,60,2,17,1,1,237,426
Guelph/Guelph,197,Guelph,51,129,0,96,6,27,0,1,310,524
Guelph/Guelph,198A,Guelph,28,104,0,80,1,12,0,0,225,367
Guelph/Guelph,198B,Guelph,39,114,0,79,3,9,0,0,244,379
Guelph/Guelph,198C,Guelph,23,76,1,58,4,6,0,1,169,333
Guelph/Guelph,198-1,Guelph,44,98,1,95,2,21,0,1,262,392
Guelph/Guelph,199A,Guelph,24,83,0,53,0,6,1,2,169,310
Guelph/Guelph,199B,Guelph,31,80,0,70,0,6,1,1,189,341
Guelph/Guelph,199C,Guelph,30,70,0,57,1,12,3,2,175,334
Guelph/Guelph,200,Guelph,37,146,0,105,1,16,3,3,311,576
Guelph/Guelph,201A,Guelph,25,111,0,88,1,9,0,0,234,405
Guelph/Guelph,201B,Guelph,20,111,0,70,5,9,2,0,217,378
Guelph/Guelph,500,Mobile poll/Bureau itinérant,18,75,0,35,5,1,0,8,142,228
Guelph/Guelph,501,Mobile poll/Bureau itinérant,13,93,0,44,4,3,0,4,161,324
Guelph/Guelph,502,Mobile poll/Bureau itinérant,12,45,2,14,4,2,0,0,79,232
Guelph/Guelph,600,Guelph,51,252,0,193,8,20,1,1,526,
Guelph/Guelph,601,Guelph,69,169,0,204,12,36,0,0,490,
Guelph/Guelph,602,Guelph,88,229,0,162,8,38,0,0,525,
Guelph/Guelph,603,Guelph,53,146,0,155,2,32,1,4,393,
Guelph/Guelph,604,Guelph,56,193,0,187,2,27,2,2,469,
Guelph/Guelph,605,Guelph,95,146,0,94,4,30,0,1,370,
Guelph/Guelph,606,Guelph,58,112,0,58,2,26,0,3,259,
Guelph/Guelph,607,Guelph,112,298,0,204,7,58,0,1,680,
Guelph/Guelph,608,Guelph,56,245,0,191,4,19,0,0,515,
Guelph/Guelph,609,Guelph,76,405,0,343,11,37,6,2,880,
Guelph/Guelph,,Group 1/Groupe 1,22,48,0,35,1,7,1,3,117,231
Guelph/Guelph,,Group 2/Groupe 2,180,427,0,313,5,76,1,7,1009,
