District,Poll Number,Poll Name,Allyce Herle,Mary Sylvia Nelson,Lorne Edmund Nystrom,Deanna Robilliard,Andrew Scheer,Lorne Edward Widger,Rejected Ballots,Total Vote,Electors
Regina--Qu'Appelle/Regina--Qu'Appelle,1,Kandahar,18,0,61,4,59,0,0,142,230
Regina--Qu'Appelle/Regina--Qu'Appelle,2,Wynyard,24,3,76,1,86,0,1,191,308
Regina--Qu'Appelle/Regina--Qu'Appelle,3,Elfros,27,0,57,5,122,0,0,211,333
Regina--Qu'Appelle/Regina--Qu'Appelle,4,Wynyard,25,1,83,4,50,0,1,164,348
Regina--Qu'Appelle/Regina--Qu'Appelle,5,Wynyard,21,1,74,3,35,1,1,136,244
Regina--Qu'Appelle/Regina--Qu'Appelle,6,Wynyard,24,2,49,2,51,1,3,132,265
Regina--Qu'Appelle/Regina--Qu'Appelle,7,Wynyard,71,3,130,7,119,1,1,332,806
Regina--Qu'Appelle/Regina--Qu'Appelle,8,Raymore,16,0,30,0,47,1,0,94,225
Regina--Qu'Appelle/Regina--Qu'Appelle,9,Raymore,25,0,43,4,60,1,0,133,196
Regina--Qu'Appelle/Regina--Qu'Appelle,10,Raymore,19,0,48,3,63,1,1,135,319
Regina--Qu'Appelle/Regina--Qu'Appelle,11,Poorman 88,182,4,27,3,4,0,0,220,313
Regina--Qu'Appelle/Regina--Qu'Appelle,12,Day Star 87,44,0,10,1,1,0,0,56,92
Regina--Qu'Appelle/Regina--Qu'Appelle,13,Punnichy,48,3,50,2,64,1,1,169,377
Regina--Qu'Appelle/Regina--Qu'Appelle,14,Wishart,22,1,44,3,55,0,0,125,191
Regina--Qu'Appelle/Regina--Qu'Appelle,15,Bankend,31,1,77,8,97,1,0,215,347
Regina--Qu'Appelle/Regina--Qu'Appelle,16,Serath,22,0,9,1,59,0,0,91,145
Regina--Qu'Appelle/Regina--Qu'Appelle,17,Gordon 86,151,1,37,1,2,0,0,192,376
Regina--Qu'Appelle/Regina--Qu'Appelle,18,Lestock,24,1,42,2,63,2,0,134,278
Regina--Qu'Appelle/Regina--Qu'Appelle,19,Muskowekwan 85,50,1,46,4,1,1,0,103,167
Regina--Qu'Appelle/Regina--Qu'Appelle,20,Leross,16,0,37,2,70,0,0,125,201
