District,Poll Number,Poll Name,Len Carter,Frank Luellau,Lynn Myers,Kris Stapleton,Rejected Ballots,Total Vote,Electors
Kitchener--Conestoga/Kitchener--Conestoga,1,Floradale,10,59,44,8,0,121,306
Kitchener--Conestoga/Kitchener--Conestoga,2,Woolwich,7,35,49,8,0,99,400
Kitchener--Conestoga/Kitchener--Conestoga,3,West Montrose,17,73,124,12,1,227,491
Kitchener--Conestoga/Kitchener--Conestoga,4,Winterbourne,14,51,74,9,0,148,233
Kitchener--Conestoga/Kitchener--Conestoga,5,Winterbourne,27,130,205,25,2,389,597
Kitchener--Conestoga/Kitchener--Conestoga,6,Maryhill,33,101,118,13,0,265,410
Kitchener--Conestoga/Kitchener--Conestoga,7,Maryhill,34,104,110,17,0,265,413
Kitchener--Conestoga/Kitchener--Conestoga,8,Breslau,14,53,55,15,1,138,257
Kitchener--Conestoga/Kitchener--Conestoga,9,Breslau,45,70,89,11,0,215,365
Kitchener--Conestoga/Kitchener--Conestoga,10,Breslau,19,39,34,8,0,100,190
Kitchener--Conestoga/Kitchener--Conestoga,11,Bloomingdale,25,68,82,15,0,190,341
Kitchener--Conestoga/Kitchener--Conestoga,12,Conestogo,24,100,134,25,0,283,449
Kitchener--Conestoga/Kitchener--Conestoga,13,Woolwich,33,153,101,9,1,297,617
Kitchener--Conestoga/Kitchener--Conestoga,14,St. Jacobs,21,69,132,14,0,236,371
Kitchener--Conestoga/Kitchener--Conestoga,15,St. Jacobs,10,26,42,7,0,85,116
Kitchener--Conestoga/Kitchener--Conestoga,16,St. Jacobs,26,51,94,12,1,184,290
Kitchener--Conestoga/Kitchener--Conestoga,17,Woolwich,13,44,42,14,0,113,242
Kitchener--Conestoga/Kitchener--Conestoga,18,Woolwich,6,40,26,5,1,78,213
Kitchener--Conestoga/Kitchener--Conestoga,19,Heidelberg,33,126,137,20,0,316,493
Kitchener--Conestoga/Kitchener--Conestoga,20,Woolwich,4,32,20,0,1,57,371
Kitchener--Conestoga/Kitchener--Conestoga,21,Woolwich,36,133,154,21,1,345,662
Kitchener--Conestoga/Kitchener--Conestoga,22,Woolwich,24,58,96,19,0,197,389
