District,Poll Number,Poll Name,Malcolm Azania,Debby Carlson,Dave Dowling,Kevan Hunter,Rahim Jaffer,Cameron Wakefield,Rejected Ballots,Total Vote,Electors
Edmonton--Strathcona/Edmonton--Strathcona,63,Edmonton,44,59,4,2,67,15,0,191,314
Edmonton--Strathcona/Edmonton--Strathcona,64,Edmonton,39,78,1,0,97,13,2,230,371
Edmonton--Strathcona/Edmonton--Strathcona,65,Edmonton,45,86,1,0,96,13,0,241,357
Edmonton--Strathcona/Edmonton--Strathcona,66,Edmonton,30,39,2,0,64,5,0,140,238
Edmonton--Strathcona/Edmonton--Strathcona,67,Edmonton,37,70,4,0,49,10,1,171,323
Edmonton--Strathcona/Edmonton--Strathcona,68,Edmonton,37,38,6,1,67,8,1,158,309
Edmonton--Strathcona/Edmonton--Strathcona,69,Edmonton,51,39,2,0,69,12,0,173,325
Edmonton--Strathcona/Edmonton--Strathcona,70,Edmonton,56,50,4,2,98,6,0,216,423
Edmonton--Strathcona/Edmonton--Strathcona,71,Edmonton,57,86,1,1,120,17,0,282,419
Edmonton--Strathcona/Edmonton--Strathcona,72,Edmonton,35,42,8,0,79,13,1,178,358
Edmonton--Strathcona/Edmonton--Strathcona,73,Edmonton,25,53,3,1,107,9,0,198,308
Edmonton--Strathcona/Edmonton--Strathcona,74,Edmonton,20,75,0,1,128,10,0,234,336
Edmonton--Strathcona/Edmonton--Strathcona,75,Edmonton,16,34,1,0,96,3,0,150,221
Edmonton--Strathcona/Edmonton--Strathcona,76,Edmonton,44,97,5,1,191,21,0,359,544
Edmonton--Strathcona/Edmonton--Strathcona,77,Edmonton,36,93,2,1,161,21,1,315,511
Edmonton--Strathcona/Edmonton--Strathcona,78,Edmonton,22,48,6,0,68,11,1,156,363
Edmonton--Strathcona/Edmonton--Strathcona,79,Edmonton,29,45,4,0,92,7,0,177,319
Edmonton--Strathcona/Edmonton--Strathcona,80,Edmonton,32,100,2,1,123,14,0,272,396
Edmonton--Strathcona/Edmonton--Strathcona,81,Edmonton,22,69,1,0,114,8,2,216,346
Edmonton--Strathcona/Edmonton--Strathcona,82,Edmonton,28,81,2,1,99,9,0,220,333
Edmonton--Strathcona/Edmonton--Strathcona,83,Edmonton,40,58,6,0,97,13,1,215,363
Edmonton--Strathcona/Edmonton--Strathcona,84,Edmonton,21,55,0,0,96,12,0,184,288
Edmonton--Strathcona/Edmonton--Strathcona,85,Edmonton,28,60,2,0,109,9,0,208,319
Edmonton--Strathcona/Edmonton--Strathcona,86,Edmonton,23,64,4,0,102,6,0,199,292
Edmonton--Strathcona/Edmonton--Strathcona,87,Edmonton,26,42,5,1,87,6,0,167,295
Edmonton--Strathcona/Edmonton--Strathcona,88,Edmonton,24,52,2,0,80,19,0,177,364
Edmonton--Strathcona/Edmonton--Strathcona,89,Edmonton,19,65,1,1,125,10,0,221,368
Edmonton--Strathcona/Edmonton--Strathcona,90,Edmonton,33,54,0,0,136,15,0,238,405
Edmonton--Strathcona/Edmonton--Strathcona,91,Edmonton,44,81,3,0,102,12,0,242,406
Edmonton--Strathcona/Edmonton--Strathcona,92,Edmonton,35,40,1,0,113,6,1,196,362
Edmonton--Strathcona/Edmonton--Strathcona,93,Edmonton,14,25,1,0,96,4,0,140,201
Edmonton--Strathcona/Edmonton--Strathcona,94,Edmonton,28,71,4,1,101,5,0,210,335
Edmonton--Strathcona/Edmonton--Strathcona,95,Edmonton,44,44,1,0,61,17,0,167,295
Edmonton--Strathcona/Edmonton--Strathcona,96,Edmonton,50,53,1,1,58,13,2,178,329
Edmonton--Strathcona/Edmonton--Strathcona,97,Edmonton,28,78,1,1,108,7,1,224,407
Edmonton--Strathcona/Edmonton--Strathcona,98,Edmonton,21,34,2,1,61,5,0,124,265
Edmonton--Strathcona/Edmonton--Strathcona,99,Edmonton,62,128,3,0,88,15,2,298,523
Edmonton--Strathcona/Edmonton--Strathcona,100,Edmonton,68,47,6,0,93,12,0,226,439
Edmonton--Strathcona/Edmonton--Strathcona,101,Edmonton,46,57,1,0,41,8,0,153,259
Edmonton--Strathcona/Edmonton--Strathcona,102,Edmonton,59,75,3,2,94,22,0,255,403
Edmonton--Strathcona/Edmonton--Strathcona,103,Edmonton,48,87,4,0,109,11,1,260,424
Edmonton--Strathcona/Edmonton--Strathcona,104,Edmonton,81,113,3,1,93,23,1,315,520
Edmonton--Strathcona/Edmonton--Strathcona,105,Edmonton,77,77,1,0,101,13,0,269,473
Edmonton--Strathcona/Edmonton--Strathcona,106,Edmonton,67,74,5,1,117,18,0,282,467
Edmonton--Strathcona/Edmonton--Strathcona,107,Edmonton,87,57,3,0,80,24,1,252,459
Edmonton--Strathcona/Edmonton--Strathcona,108,Edmonton,61,50,6,1,72,23,1,214,399
Edmonton--Strathcona/Edmonton--Strathcona,109,Edmonton,66,63,1,2,90,15,0,237,501
Edmonton--Strathcona/Edmonton--Strathcona,110,Edmonton,75,42,3,1,73,19,2,215,364
Edmonton--Strathcona/Edmonton--Strathcona,111,Edmonton,68,40,3,0,70,14,0,195,382
Edmonton--Strathcona/Edmonton--Strathcona,112,Edmonton,53,42,5,1,68,7,1,177,282
Edmonton--Strathcona/Edmonton--Strathcona,113,Edmonton,57,33,2,0,57,12,0,161,317
Edmonton--Strathcona/Edmonton--Strathcona,114,Edmonton,53,53,5,0,101,11,0,223,358
Edmonton--Strathcona/Edmonton--Strathcona,115,Edmonton,64,50,3,1,81,18,0,217,371
Edmonton--Strathcona/Edmonton--Strathcona,116,Edmonton,76,51,2,1,69,15,0,214,395
Edmonton--Strathcona/Edmonton--Strathcona,117,Edmonton,59,68,6,2,123,26,1,285,498
Edmonton--Strathcona/Edmonton--Strathcona,118,Edmonton,38,79,1,0,118,15,1,252,409
Edmonton--Strathcona/Edmonton--Strathcona,119,Edmonton,36,39,2,0,92,11,2,182,351
Edmonton--Strathcona/Edmonton--Strathcona,120,Edmonton,51,50,0,1,99,16,1,218,355
Edmonton--Strathcona/Edmonton--Strathcona,121,Edmonton,45,55,2,0,68,9,1,180,317
Edmonton--Strathcona/Edmonton--Strathcona,122,Edmonton,72,55,1,0,82,17,3,230,400
Edmonton--Strathcona/Edmonton--Strathcona,123,Edmonton,49,48,1,0,63,13,0,174,367
Edmonton--Strathcona/Edmonton--Strathcona,124,Edmonton,71,38,6,0,57,11,1,184,352
Edmonton--Strathcona/Edmonton--Strathcona,125,Edmonton,87,92,4,0,61,25,0,269,489
Edmonton--Strathcona/Edmonton--Strathcona,126,Edmonton,84,35,2,0,44,13,1,179,313
Edmonton--Strathcona/Edmonton--Strathcona,127,Edmonton,84,70,1,0,91,13,2,261,448
Edmonton--Strathcona/Edmonton--Strathcona,128,Edmonton,90,52,2,0,67,11,0,222,378
Edmonton--Strathcona/Edmonton--Strathcona,129,Edmonton,66,42,1,1,56,13,0,179,310
Edmonton--Strathcona/Edmonton--Strathcona,130,Edmonton,77,59,6,1,60,26,2,231,375
Edmonton--Strathcona/Edmonton--Strathcona,131,Edmonton,85,21,2,1,54,15,3,181,364
Edmonton--Strathcona/Edmonton--Strathcona,132,Edmonton,46,46,3,1,68,15,0,179,303
Edmonton--Strathcona/Edmonton--Strathcona,133,Edmonton,77,44,2,0,69,15,0,207,357
Edmonton--Strathcona/Edmonton--Strathcona,134,Edmonton,47,37,1,1,43,22,1,152,279
Edmonton--Strathcona/Edmonton--Strathcona,135,Edmonton,73,68,4,1,96,26,0,268,486
Edmonton--Strathcona/Edmonton--Strathcona,136,Edmonton,87,80,0,0,73,18,0,258,434
Edmonton--Strathcona/Edmonton--Strathcona,137,Edmonton,92,62,0,2,70,15,0,241,377
Edmonton--Strathcona/Edmonton--Strathcona,138,Edmonton,62,36,0,0,52,15,0,165,277
Edmonton--Strathcona/Edmonton--Strathcona,139,Edmonton,47,36,2,0,52,21,0,158,254
Edmonton--Strathcona/Edmonton--Strathcona,140,Edmonton,75,63,4,0,55,23,0,220,325
Edmonton--Strathcona/Edmonton--Strathcona,141,Edmonton,57,39,1,0,43,19,2,161,325
Edmonton--Strathcona/Edmonton--Strathcona,142,Edmonton,49,28,0,1,49,18,0,145,222
Edmonton--Strathcona/Edmonton--Strathcona,143,Edmonton,88,65,0,0,41,15,0,209,372
Edmonton--Strathcona/Edmonton--Strathcona,144,Edmonton,86,61,1,0,51,22,0,221,376
Edmonton--Strathcona/Edmonton--Strathcona,145,Edmonton,68,57,0,0,45,16,0,186,310
Edmonton--Strathcona/Edmonton--Strathcona,146,Edmonton,66,96,1,0,87,15,1,266,440
Edmonton--Strathcona/Edmonton--Strathcona,147,Edmonton,61,98,1,0,57,12,0,229,317
Edmonton--Strathcona/Edmonton--Strathcona,148,Edmonton,86,84,1,0,47,18,0,236,353
Edmonton--Strathcona/Edmonton--Strathcona,149,Edmonton,88,62,1,0,39,12,1,203,294
Edmonton--Strathcona/Edmonton--Strathcona,150,Edmonton,95,124,1,0,90,13,0,323,450
Edmonton--Strathcona/Edmonton--Strathcona,151,Edmonton,34,80,1,0,95,15,1,226,417
Edmonton--Strathcona/Edmonton--Strathcona,152,Edmonton,22,131,3,1,116,12,0,285,420
Edmonton--Strathcona/Edmonton--Strathcona,153,Edmonton,29,66,1,0,98,19,0,213,322
Edmonton--Strathcona/Edmonton--Strathcona,154,Edmonton,35,100,0,0,100,19,0,254,327
Edmonton--Strathcona/Edmonton--Strathcona,155,Edmonton,26,67,0,1,83,5,1,183,297
Edmonton--Strathcona/Edmonton--Strathcona,156,Edmonton,37,38,0,0,69,6,0,150,318
Edmonton--Strathcona/Edmonton--Strathcona,157,Edmonton,48,61,3,0,102,13,1,228,374
Edmonton--Strathcona/Edmonton--Strathcona,158,Edmonton,37,30,0,1,26,9,0,103,311
Edmonton--Strathcona/Edmonton--Strathcona,159,Edmonton,69,63,1,0,64,4,0,201,308
Edmonton--Strathcona/Edmonton--Strathcona,160,Edmonton,45,49,2,0,59,10,0,165,296
Edmonton--Strathcona/Edmonton--Strathcona,161,Edmonton,77,73,6,1,129,19,0,305,456
Edmonton--Strathcona/Edmonton--Strathcona,162,Edmonton,75,86,1,0,82,11,1,256,345
Edmonton--Strathcona/Edmonton--Strathcona,163,Edmonton,48,62,4,0,77,17,1,209,325
Edmonton--Strathcona/Edmonton--Strathcona,164,Edmonton,42,74,3,0,142,18,0,279,429
Edmonton--Strathcona/Edmonton--Strathcona,165,Edmonton,60,45,1,0,74,11,0,191,318
Edmonton--Strathcona/Edmonton--Strathcona,166,Edmonton,50,59,1,0,86,12,0,208,301
Edmonton--Strathcona/Edmonton--Strathcona,167,Edmonton,37,71,1,1,76,10,0,196,397
Edmonton--Strathcona/Edmonton--Strathcona,168,Edmonton,50,79,2,0,63,5,2,201,345
Edmonton--Strathcona/Edmonton--Strathcona,169,Edmonton,31,45,2,0,58,7,1,144,285
Edmonton--Strathcona/Edmonton--Strathcona,170,Edmonton,36,47,3,0,55,7,0,148,351
Edmonton--Strathcona/Edmonton--Strathcona,171,Edmonton,14,32,0,0,40,7,0,93,239
Edmonton--Strathcona/Edmonton--Strathcona,172,Edmonton,43,91,4,0,92,12,0,242,556
Edmonton--Strathcona/Edmonton--Strathcona,173,Edmonton,31,92,2,0,96,7,0,228,485
Edmonton--Strathcona/Edmonton--Strathcona,174,Edmonton,26,59,0,1,70,6,3,165,280
Edmonton--Strathcona/Edmonton--Strathcona,175,Edmonton,78,80,10,0,126,19,2,315,617
Edmonton--Strathcona/Edmonton--Strathcona,176,Edmonton,30,28,4,0,54,8,0,124,294
Edmonton--Strathcona/Edmonton--Strathcona,177,Edmonton,58,49,0,1,65,16,0,189,386
Edmonton--Strathcona/Edmonton--Strathcona,178,Edmonton,57,50,1,0,86,14,2,210,407
Edmonton--Strathcona/Edmonton--Strathcona,179,Edmonton,44,29,1,0,67,18,3,162,372
