District,Poll Number,Poll Name,Phil Brown,Pierre Poilievre,Brad Powers,David Pratt,Chris Walker,Rejected Ballots,Total Vote,Electors
Nepean--Carleton/Nepean--Carleton,1A,Nepean,31,119,1,125,9,4,289,423
Nepean--Carleton/Nepean--Carleton,1B,Mobile poll/Bureau itinérant,7,68,1,38,0,6,120,70
Nepean--Carleton/Nepean--Carleton,2,Nepean,37,111,0,49,7,1,205,404
Nepean--Carleton/Nepean--Carleton,3,Nepean,32,128,8,109,15,0,292,485
Nepean--Carleton/Nepean--Carleton,4,Nepean,45,99,5,84,12,3,248,437
Nepean--Carleton/Nepean--Carleton,5,Nepean,29,113,3,69,21,1,236,373
Nepean--Carleton/Nepean--Carleton,6,Nepean,36,73,2,87,11,0,209,318
Nepean--Carleton/Nepean--Carleton,7,Nepean,44,102,5,184,14,2,351,499
Nepean--Carleton/Nepean--Carleton,8,Nepean,53,96,3,103,16,1,272,502
Nepean--Carleton/Nepean--Carleton,9,Nepean,41,114,2,73,6,0,236,420
Nepean--Carleton/Nepean--Carleton,10,Nepean,24,64,5,40,10,1,144,315
Nepean--Carleton/Nepean--Carleton,11,Nepean,38,106,5,86,15,3,253,435
Nepean--Carleton/Nepean--Carleton,12,Nepean,32,63,3,36,18,0,152,247
Nepean--Carleton/Nepean--Carleton,13,Nepean,14,79,5,109,5,1,213,333
Nepean--Carleton/Nepean--Carleton,14,Nepean,22,81,2,101,20,0,226,321
Nepean--Carleton/Nepean--Carleton,15,Nepean,29,111,2,131,10,0,283,390
Nepean--Carleton/Nepean--Carleton,16,Nepean,19,85,3,54,7,1,169,271
Nepean--Carleton/Nepean--Carleton,17,Nepean,40,126,2,114,16,1,299,468
Nepean--Carleton/Nepean--Carleton,18,Nepean,15,97,1,87,14,5,219,300
Nepean--Carleton/Nepean--Carleton,19,Nepean,37,102,2,115,12,3,271,395
Nepean--Carleton/Nepean--Carleton,20,Nepean,3,92,1,97,5,0,198,302
Nepean--Carleton/Nepean--Carleton,21,Nepean,Merged with No. 12,,,,,,,40
Nepean--Carleton/Nepean--Carleton,22,Nepean,22,111,2,81,16,1,233,363
Nepean--Carleton/Nepean--Carleton,23,Nepean,6,73,0,86,4,1,170,262
Nepean--Carleton/Nepean--Carleton,24,Nepean,12,61,2,92,6,0,173,247
Nepean--Carleton/Nepean--Carleton,25,Nepean,18,97,0,138,18,0,271,429
Nepean--Carleton/Nepean--Carleton,26,Nepean,17,95,3,114,14,1,244,351
Nepean--Carleton/Nepean--Carleton,27,Nepean,34,66,3,72,13,0,188,334
Nepean--Carleton/Nepean--Carleton,28,Nepean,34,93,2,110,17,1,257,394
Nepean--Carleton/Nepean--Carleton,29,Nepean,13,89,2,141,19,1,265,386
Nepean--Carleton/Nepean--Carleton,30,Nepean,15,59,0,132,11,0,217,358
Nepean--Carleton/Nepean--Carleton,31,Nepean,24,73,3,86,7,0,193,370
Nepean--Carleton/Nepean--Carleton,32,Nepean,22,58,1,77,16,0,174,312
Nepean--Carleton/Nepean--Carleton,33,Nepean,17,62,3,75,10,0,167,294
Nepean--Carleton/Nepean--Carleton,34,Nepean,43,95,4,110,7,0,259,512
Nepean--Carleton/Nepean--Carleton,35,Nepean,37,120,1,134,26,1,319,550
Nepean--Carleton/Nepean--Carleton,36,Nepean,29,91,3,157,5,0,285,448
Nepean--Carleton/Nepean--Carleton,37,Nepean,27,101,2,170,7,1,308,459
Nepean--Carleton/Nepean--Carleton,38,Nepean,21,84,3,94,7,1,210,295
Nepean--Carleton/Nepean--Carleton,39,Nepean,19,109,3,152,10,0,293,481
Nepean--Carleton/Nepean--Carleton,40,Nepean,24,75,0,106,10,1,216,368
Nepean--Carleton/Nepean--Carleton,41,Nepean,22,67,3,129,12,0,233,420
Nepean--Carleton/Nepean--Carleton,42,Nepean,6,65,1,74,6,1,153,259
Nepean--Carleton/Nepean--Carleton,43,Nepean,26,69,3,71,13,1,183,353
Nepean--Carleton/Nepean--Carleton,44,Nepean,25,58,4,62,9,1,159,312
Nepean--Carleton/Nepean--Carleton,45,Nepean,27,45,2,54,9,0,137,228
Nepean--Carleton/Nepean--Carleton,46,Nepean,42,66,1,69,9,1,188,495
Nepean--Carleton/Nepean--Carleton,47,Nepean,36,78,2,98,7,2,223,394
Nepean--Carleton/Nepean--Carleton,48,Nepean,31,117,4,99,16,0,267,378
Nepean--Carleton/Nepean--Carleton,49,Nepean,19,141,4,86,16,1,267,361
