District,Poll Number,Poll Name,Peter Adams,James Jackson,Linda Slavin,Brent Wood,Rejected Ballots,Total Vote,Electors
Peterborough/Peterborough,1,Jack's Lake,18,8,10,2,0,38,50
Peterborough/Peterborough,1-1,Oak Lake,24,31,10,4,0,69,144
Peterborough/Peterborough,1-2,Hall's Glen,4,9,3,0,0,16,21
Peterborough/Peterborough,2,Cordova Mines,57,101,54,5,0,217,310
Peterborough/Peterborough,3,Round Lake,54,110,36,18,0,218,353
Peterborough/Peterborough,4,Belmont,72,122,62,6,0,262,463
Peterborough/Peterborough,5,Belmont,23,51,38,8,0,120,212
Peterborough/Peterborough,6,Belmont,41,119,33,11,0,204,374
Peterborough/Peterborough,7,Havelock,24,50,13,8,1,96,170
Peterborough/Peterborough,8,Havelock,65,105,55,15,1,241,418
Peterborough/Peterborough,9A,Havelock,52,87,41,15,0,195,403
Peterborough/Peterborough,9B,Havelock,56,76,37,10,0,179,398
Peterborough/Peterborough,10,Dunford Sales,52,75,40,11,0,178,320
Peterborough/Peterborough,11,Wesley,154,124,51,20,0,349,537
Peterborough/Peterborough,12,Curve Lake,80,37,64,10,0,191,370
Peterborough/Peterborough,13,Curve Lake,80,22,68,0,2,172,299
Peterborough/Peterborough,14,Selwyn,111,140,57,29,1,338,588
Peterborough/Peterborough,15,Youngs Point,56,75,35,7,0,173,268
Peterborough/Peterborough,16,Youngs Point,105,108,50,23,1,287,450
Peterborough/Peterborough,17,Selwyn,90,118,36,20,0,264,468
Peterborough/Peterborough,18A,Lakefield,112,94,66,26,2,300,611
Peterborough/Peterborough,18B,Lakefield,126,75,31,9,0,241,488
Peterborough/Peterborough,19,Lakefield,120,82,46,10,1,259,382
Peterborough/Peterborough,20,Lakefield,119,83,43,12,1,258,397
Peterborough/Peterborough,21,Lakefield,48,50,32,12,0,142,224
Peterborough/Peterborough,22,Lakefield,83,89,79,22,1,274,431
Peterborough/Peterborough,23,Fairview,70,68,19,13,1,171,346
Peterborough/Peterborough,24,Fairview,67,75,31,10,0,183,305
Peterborough/Peterborough,25,Fairview,128,114,55,23,0,320,465
Peterborough/Peterborough,26,Crowes Landing,96,87,39,8,4,234,336
Peterborough/Peterborough,27,Hall Glen,135,123,54,22,2,336,546
Peterborough/Peterborough,28,Galesburg,73,74,24,12,0,183,291
Peterborough/Peterborough,29,Warsaw,158,124,63,12,1,358,594
Peterborough/Peterborough,30,Warsaw,53,47,30,4,0,134,191
Peterborough/Peterborough,31,Douro,131,72,38,25,1,267,324
Peterborough/Peterborough,32,Douro,105,102,37,13,0,257,424
Peterborough/Peterborough,33,Donwood,134,83,30,9,2,258,364
Peterborough/Peterborough,34,Donwood,86,93,36,12,2,229,360
Peterborough/Peterborough,35,Donwood,112,102,46,14,3,277,418
Peterborough/Peterborough,36A,Ennismore,65,77,33,14,0,189,383
Peterborough/Peterborough,36B,Ennismore,62,96,30,6,0,194,384
Peterborough/Peterborough,37,Ennismore,128,105,36,11,2,282,433
Peterborough/Peterborough,38,Ennismore,132,80,40,10,2,264,496
Peterborough/Peterborough,39,Ennismore,101,66,33,7,1,208,396
Peterborough/Peterborough,40,Ennismore,125,118,40,18,0,301,481
Peterborough/Peterborough,41,Ennismore,120,65,35,15,3,238,450
Peterborough/Peterborough,42,Ennismore,87,83,18,14,0,202,316
Peterborough/Peterborough,43,Bridgenorth,70,88,15,6,1,180,306
Peterborough/Peterborough,44,Bridgenorth,113,115,32,15,2,277,484
Peterborough/Peterborough,45,Bridgenorth,48,72,30,11,0,161,248
Peterborough/Peterborough,46,Chemong Park,67,66,38,9,1,181,318
Peterborough/Peterborough,47,Ennismore,137,144,36,19,0,336,522
Peterborough/Peterborough,48A,Fowler's Corners,99,91,27,9,0,226,396
Peterborough/Peterborough,48B,Fowler's Corners,68,69,26,10,1,174,312
Peterborough/Peterborough,49,Fowler's Corners,120,92,36,11,0,259,465
Peterborough/Peterborough,50,Fairview,139,102,51,20,1,313,472
Peterborough/Peterborough,51,Bridgenorth,156,103,40,20,0,319,466
Peterborough/Peterborough,52,Shaughnessey,101,82,16,14,0,213,352
Peterborough/Peterborough,53,Peterborough,75,40,25,7,1,148,286
Peterborough/Peterborough,54,Peterborough,144,86,39,12,0,281,538
Peterborough/Peterborough,55,Peterborough,177,94,33,11,1,316,489
Peterborough/Peterborough,56,Peterborough,92,59,22,14,0,187,351
Peterborough/Peterborough,57,Peterborough,134,66,23,12,0,235,353
Peterborough/Peterborough,58,Peterborough,101,73,26,5,0,205,302
Peterborough/Peterborough,59,Peterborough,110,49,40,9,0,208,294
Peterborough/Peterborough,60,Peterborough,84,52,23,9,2,170,306
Peterborough/Peterborough,61,Peterborough,176,104,37,22,2,341,489
Peterborough/Peterborough,62,Peterborough,172,141,71,16,0,400,597
Peterborough/Peterborough,63,Peterborough,153,94,21,11,0,279,388
Peterborough/Peterborough,64,Peterborough,66,57,39,14,1,177,363
Peterborough/Peterborough,65,Peterborough,125,71,39,13,0,248,359
Peterborough/Peterborough,66,Peterborough,114,54,40,16,3,227,310
Peterborough/Peterborough,67,Peterborough,88,49,31,7,0,175,274
Peterborough/Peterborough,68,Peterborough,126,99,44,17,0,286,475
Peterborough/Peterborough,69,Peterborough,134,98,69,13,3,317,587
Peterborough/Peterborough,70,Peterborough,183,80,51,12,3,329,474
Peterborough/Peterborough,71,Peterborough,106,72,51,19,2,250,384
Peterborough/Peterborough,72,Peterborough,77,23,46,12,0,158,302
Peterborough/Peterborough,73,Peterborough,80,54,33,1,1,169,279
Peterborough/Peterborough,74,Peterborough,87,57,30,14,0,188,338
Peterborough/Peterborough,75,Peterborough,80,38,38,20,0,176,461
Peterborough/Peterborough,76,Peterborough,33,15,28,12,0,88,210
Peterborough/Peterborough,77,Peterborough,85,33,33,13,1,165,277
Peterborough/Peterborough,78,Peterborough,137,70,61,12,0,280,475
Peterborough/Peterborough,79,Peterborough,100,39,37,13,1,190,348
Peterborough/Peterborough,80,Peterborough,136,43,67,17,1,264,435
Peterborough/Peterborough,81,Peterborough,90,33,68,23,0,214,395
Peterborough/Peterborough,82,Peterborough,79,45,33,5,0,162,234
Peterborough/Peterborough,83,Peterborough,70,48,32,11,0,161,302
Peterborough/Peterborough,84,Peterborough,95,62,54,12,0,223,363
Peterborough/Peterborough,85,Peterborough,116,74,60,19,1,270,480
Peterborough/Peterborough,86,Peterborough,116,31,72,17,2,238,473
Peterborough/Peterborough,87,Peterborough,96,77,62,10,1,246,520
Peterborough/Peterborough,88,Peterborough,186,69,48,16,0,319,540
Peterborough/Peterborough,89,Peterborough,75,37,46,13,3,174,370
Peterborough/Peterborough,90,Peterborough,119,57,62,28,0,266,471
Peterborough/Peterborough,91,Peterborough,102,50,35,6,1,194,411
Peterborough/Peterborough,92,Peterborough,86,42,43,17,0,188,331
Peterborough/Peterborough,93,Peterborough,158,68,43,16,0,285,436
Peterborough/Peterborough,94,Peterborough,148,66,42,14,0,270,402
Peterborough/Peterborough,95,Peterborough,165,60,27,17,0,269,410
Peterborough/Peterborough,96A,Peterborough,192,137,39,24,0,392,577
Peterborough/Peterborough,96B,Peterborough,227,84,24,22,0,357,546
Peterborough/Peterborough,97A,Peterborough,145,110,33,7,1,296,432
Peterborough/Peterborough,97B,Peterborough,116,83,21,4,2,226,332
Peterborough/Peterborough,98,Peterborough,129,86,16,6,0,237,358
Peterborough/Peterborough,99,Peterborough,147,65,34,7,1,254,370
Peterborough/Peterborough,100,Peterborough,126,68,12,6,0,212,328
Peterborough/Peterborough,101,Peterborough,72,39,8,7,0,126,233
Peterborough/Peterborough,102,Peterborough,42,28,16,3,0,89,248
Peterborough/Peterborough,103,Peterborough,94,55,70,22,1,242,419
Peterborough/Peterborough,104,Peterborough,163,44,34,14,0,255,448
Peterborough/Peterborough,105,Peterborough,123,52,53,6,0,234,396
Peterborough/Peterborough,106,Peterborough,153,65,84,26,1,329,496
Peterborough/Peterborough,107,Peterborough,97,38,83,23,0,241,405
Peterborough/Peterborough,108,Peterborough,85,31,95,24,0,235,439
Peterborough/Peterborough,109,Peterborough,32,11,43,11,0,97,260
Peterborough/Peterborough,110,Peterborough,44,39,65,18,1,167,342
Peterborough/Peterborough,111,Peterborough,59,28,88,21,0,196,372
Peterborough/Peterborough,112,Peterborough,55,22,91,9,0,177,352
Peterborough/Peterborough,113,Peterborough,95,27,82,19,1,224,439
Peterborough/Peterborough,114,Peterborough,58,18,38,14,0,128,260
Peterborough/Peterborough,115,Peterborough,55,23,88,24,2,192,365
Peterborough/Peterborough,116,Peterborough,53,15,58,11,1,138,284
Peterborough/Peterborough,117,Peterborough,107,37,71,18,0,233,389
Peterborough/Peterborough,118,Peterborough,55,35,65,19,1,175,430
Peterborough/Peterborough,119,Peterborough,77,50,62,12,1,202,336
Peterborough/Peterborough,120,Peterborough,33,16,34,6,1,90,297
Peterborough/Peterborough,121,Peterborough,89,63,67,18,0,237,336
Peterborough/Peterborough,122,Peterborough,73,62,47,3,3,188,324
Peterborough/Peterborough,123,Peterborough,79,48,58,6,2,193,329
Peterborough/Peterborough,124,Peterborough,87,66,58,18,2,231,430
Peterborough/Peterborough,125,Peterborough,87,32,45,16,0,180,290
Peterborough/Peterborough,126,Peterborough,103,40,57,12,0,212,342
Peterborough/Peterborough,127,Peterborough,90,39,49,16,0,194,320
Peterborough/Peterborough,128,Peterborough,115,72,58,23,1,269,411
Peterborough/Peterborough,129,Peterborough,83,33,38,14,0,168,283
Peterborough/Peterborough,130,Peterborough,63,35,24,7,2,131,271
Peterborough/Peterborough,131,Peterborough,128,92,32,13,1,266,413
Peterborough/Peterborough,132,Peterborough,119,53,19,9,0,200,303
Peterborough/Peterborough,133,Peterborough,150,86,53,13,0,302,454
