District,Poll Number,Poll Name,Michael Garfinkle,David Kilgour,Naomi Rankin,Paul Reikie,Tim Uppal,Rejected Ballots,Total Vote,Electors
Edmonton--Beaumont/Edmonton--Beaumont,1,Edmonton,13,67,1,13,120,2,216,406
Edmonton--Beaumont/Edmonton--Beaumont,2,Edmonton,Void,,,,,,,
Edmonton--Beaumont/Edmonton--Beaumont,3,Edmonton,Void,,,,,,,
Edmonton--Beaumont/Edmonton--Beaumont,4,Edmonton,14,97,1,25,61,0,198,368
Edmonton--Beaumont/Edmonton--Beaumont,5,Edmonton,10,93,0,24,91,1,219,392
Edmonton--Beaumont/Edmonton--Beaumont,6,Edmonton,15,105,1,28,75,1,225,464
Edmonton--Beaumont/Edmonton--Beaumont,7,Edmonton,11,93,2,28,98,0,232,386
Edmonton--Beaumont/Edmonton--Beaumont,8,Edmonton,7,116,0,24,87,0,234,384
Edmonton--Beaumont/Edmonton--Beaumont,9,Edmonton,4,79,0,14,60,1,158,298
Edmonton--Beaumont/Edmonton--Beaumont,10,Edmonton,10,35,1,18,29,3,96,385
Edmonton--Beaumont/Edmonton--Beaumont,11,Edmonton,12,123,1,33,72,4,245,478
Edmonton--Beaumont/Edmonton--Beaumont,12,Edmonton,10,105,1,10,92,0,218,392
Edmonton--Beaumont/Edmonton--Beaumont,13,Edmonton,13,85,2,26,102,0,228,432
Edmonton--Beaumont/Edmonton--Beaumont,14,Edmonton,16,101,2,10,82,0,211,456
Edmonton--Beaumont/Edmonton--Beaumont,15,Edmonton,11,63,0,25,54,1,154,456
Edmonton--Beaumont/Edmonton--Beaumont,16,Edmonton,6,82,0,14,61,0,163,360
Edmonton--Beaumont/Edmonton--Beaumont,17,Edmonton,10,80,0,40,64,1,195,365
Edmonton--Beaumont/Edmonton--Beaumont,18,Edmonton,8,93,1,27,69,0,198,361
Edmonton--Beaumont/Edmonton--Beaumont,19,Edmonton,16,110,3,23,109,0,261,471
Edmonton--Beaumont/Edmonton--Beaumont,20,Edmonton,14,51,0,24,69,1,159,295
Edmonton--Beaumont/Edmonton--Beaumont,21,Edmonton,9,78,1,21,76,2,187,350
Edmonton--Beaumont/Edmonton--Beaumont,22,Edmonton,3,81,1,15,66,2,168,281
Edmonton--Beaumont/Edmonton--Beaumont,23,Edmonton,6,92,1,29,91,0,219,333
Edmonton--Beaumont/Edmonton--Beaumont,24,Edmonton,9,127,0,30,83,2,251,393
Edmonton--Beaumont/Edmonton--Beaumont,25,Edmonton,15,107,0,30,97,0,249,422
Edmonton--Beaumont/Edmonton--Beaumont,26,Edmonton,9,74,0,25,80,0,188,343
Edmonton--Beaumont/Edmonton--Beaumont,27,Edmonton,9,71,0,23,64,0,167,265
Edmonton--Beaumont/Edmonton--Beaumont,28,Edmonton,18,89,1,25,76,0,209,404
Edmonton--Beaumont/Edmonton--Beaumont,29,Edmonton,15,133,1,18,82,1,250,406
Edmonton--Beaumont/Edmonton--Beaumont,30,Edmonton,7,65,0,26,85,1,184,405
Edmonton--Beaumont/Edmonton--Beaumont,31,Edmonton,13,97,2,25,72,0,209,392
Edmonton--Beaumont/Edmonton--Beaumont,32,Edmonton,7,105,0,20,68,1,201,325
Edmonton--Beaumont/Edmonton--Beaumont,33,Edmonton,7,54,2,19,47,0,129,371
Edmonton--Beaumont/Edmonton--Beaumont,34,Edmonton,12,84,1,24,94,1,216,460
Edmonton--Beaumont/Edmonton--Beaumont,35,Edmonton,11,130,0,26,79,2,248,452
Edmonton--Beaumont/Edmonton--Beaumont,36,Edmonton,15,117,1,24,106,0,263,467
Edmonton--Beaumont/Edmonton--Beaumont,37,Edmonton,9,78,3,23,102,2,217,409
Edmonton--Beaumont/Edmonton--Beaumont,38,Edmonton,6,118,1,18,70,1,214,374
Edmonton--Beaumont/Edmonton--Beaumont,39,Edmonton,12,86,0,20,76,1,195,473
Edmonton--Beaumont/Edmonton--Beaumont,40,Edmonton,4,75,2,27,55,2,165,312
Edmonton--Beaumont/Edmonton--Beaumont,41,Edmonton,14,108,2,19,107,1,251,443
