District,Poll Number,Poll Name,Garry Breitkreuz,Don Olson,Ralph Pilchner,Ted Quewezance,David Sawkiw,Rejected Ballots,Total Vote,Electors
Yorkton--Melville/Yorkton--Melville,1,McKague,54,30,6,23,4,0,117,224
Yorkton--Melville/Yorkton--Melville,2,Archerwill,101,73,9,27,7,0,217,415
Yorkton--Melville/Yorkton--Melville,3,Crooked River,61,9,3,15,0,0,88,152
Yorkton--Melville/Yorkton--Melville,4,Mistatim,95,20,1,28,0,0,144,216
Yorkton--Melville/Yorkton--Melville,5,Bjorkdale,119,38,6,33,2,1,199,378
Yorkton--Melville/Yorkton--Melville,6,Chelan,57,39,3,14,2,1,116,193
Yorkton--Melville/Yorkton--Melville,7,Porcupine Plain,94,35,4,17,5,0,155,239
Yorkton--Melville/Yorkton--Melville,8,Porcupine Plain,101,67,8,29,2,2,209,506
Yorkton--Melville/Yorkton--Melville,9,Porcupine Plain,54,33,1,20,2,2,112,212
Yorkton--Melville/Yorkton--Melville,10,Prairie River,59,22,2,7,2,0,92,144
Yorkton--Melville/Yorkton--Melville,11,Carragana,54,22,7,4,0,0,87,163
Yorkton--Melville/Yorkton--Melville,12,Weekes,90,27,1,8,3,0,129,244
Yorkton--Melville/Yorkton--Melville,13,Hudson Bay,207,62,9,17,3,1,299,532
Yorkton--Melville/Yorkton--Melville,14,Hudson Bay,125,44,6,25,5,0,205,447
Yorkton--Melville/Yorkton--Melville,15,Hudson Bay,143,50,7,29,2,0,231,609
Yorkton--Melville/Yorkton--Melville,16,Hudson Bay,82,50,2,23,1,0,158,302
Yorkton--Melville/Yorkton--Melville,17,Hudson Bay,111,37,2,16,0,0,166,386
Yorkton--Melville/Yorkton--Melville,18,Hudson Bay,40,14,1,3,0,0,58,90
Yorkton--Melville/Yorkton--Melville,19,Yellow Quill,38,20,7,101,0,0,166,413
Yorkton--Melville/Yorkton--Melville,20,Kelvington,106,19,4,8,5,0,142,210
Yorkton--Melville/Yorkton--Melville,21,Kelvington,86,33,1,18,0,0,138,278
Yorkton--Melville/Yorkton--Melville,22,Kelvington,173,29,5,32,5,1,245,552
Yorkton--Melville/Yorkton--Melville,23,Rose Valley,124,21,3,22,4,0,174,265
Yorkton--Melville/Yorkton--Melville,24,Rose Valley,98,48,2,28,10,0,186,320
Yorkton--Melville/Yorkton--Melville,25,Fosston,63,14,0,18,5,1,101,171
Yorkton--Melville/Yorkton--Melville,26,Wadena,57,21,1,19,1,0,99,152
Yorkton--Melville/Yorkton--Melville,27,Wadena,53,21,2,7,5,0,88,122
Yorkton--Melville/Yorkton--Melville,28,Wadena,80,42,4,19,6,0,151,321
Yorkton--Melville/Yorkton--Melville,29,Wadena,153,72,5,42,9,1,282,527
Yorkton--Melville/Yorkton--Melville,30,Wadena,78,75,5,28,5,4,195,268
Yorkton--Melville/Yorkton--Melville,31,Kelvington,90,42,5,6,2,0,145,236
Yorkton--Melville/Yorkton--Melville,32,Kuroki,112,33,2,13,0,0,160,238
Yorkton--Melville/Yorkton--Melville,33,Margo,119,10,5,9,3,1,147,221
Yorkton--Melville/Yorkton--Melville,34,Lintlaw,141,22,7,22,5,0,197,323
Yorkton--Melville/Yorkton--Melville,35,Hazel Dell,121,19,2,10,7,0,159,272
Yorkton--Melville/Yorkton--Melville,36,Endeavour,90,16,0,12,3,0,121,208
Yorkton--Melville/Yorkton--Melville,37,Endeavour,101,22,4,9,10,1,147,288
Yorkton--Melville/Yorkton--Melville,38,Preeceville,138,26,4,3,11,0,182,269
Yorkton--Melville/Yorkton--Melville,39,Preeceville,146,39,0,14,7,0,206,465
Yorkton--Melville/Yorkton--Melville,40,Preeceville,89,28,3,11,3,0,134,231
Yorkton--Melville/Yorkton--Melville,41,Preeceville,75,40,0,24,2,2,143,230
Yorkton--Melville/Yorkton--Melville,42,Sturgis,124,51,0,23,8,2,208,349
Yorkton--Melville/Yorkton--Melville,43,Sturgis,62,53,1,4,1,0,121,167
Yorkton--Melville/Yorkton--Melville,44,Sturgis,87,66,2,9,0,1,165,308
Yorkton--Melville/Yorkton--Melville,45,Danbury,67,20,0,14,3,0,104,173
Yorkton--Melville/Yorkton--Melville,46,Swan Plain,86,9,1,12,5,0,113,177
Yorkton--Melville/Yorkton--Melville,47,Aaron,104,17,3,14,6,0,144,300
Yorkton--Melville/Yorkton--Melville,48,Hyas,111,24,4,8,4,1,152,247
Yorkton--Melville/Yorkton--Melville,49,Norquay,89,4,2,29,0,0,124,181
Yorkton--Melville/Yorkton--Melville,50,Norquay,155,36,4,22,0,0,217,446
Yorkton--Melville/Yorkton--Melville,51,Pelly,83,20,0,3,1,0,107,161
Yorkton--Melville/Yorkton--Melville,52,Pelly,83,30,3,14,3,0,133,248
Yorkton--Melville/Yorkton--Melville,53,Fishing Lake 89,7,6,0,96,0,0,109,217
