District,Poll Number,Poll Name,Bob Burrows,Sylvia Gerl,Vicki Gunn,Stephen Sircelj,Peter Van Loan,Kate Wilson,Rejected Ballots,Total Vote,Electors
York--Simcoe/York--Simcoe,1,Innisfil,17,30,1,3,116,95,0,262,500
York--Simcoe/York--Simcoe,2,Innisfil,11,34,2,4,87,95,0,233,476
York--Simcoe/York--Simcoe,3A,Innisfil,17,31,0,1,83,51,0,183,349
York--Simcoe/York--Simcoe,3B,Innisfil,15,19,1,1,71,47,1,155,278
York--Simcoe/York--Simcoe,4,Innisfil,4,34,1,5,107,123,1,275,447
York--Simcoe/York--Simcoe,5,Innisfil,13,15,0,0,108,90,1,227,452
York--Simcoe/York--Simcoe,6,Innisfil,Merged with No. 16,,,,,,,,92
York--Simcoe/York--Simcoe,7,Innisfil,6,22,3,0,73,122,2,228,326
York--Simcoe/York--Simcoe,8,Innisfil,5,14,0,2,95,76,0,192,221
York--Simcoe/York--Simcoe,9,Innisfil,9,28,3,4,72,93,0,209,296
York--Simcoe/York--Simcoe,10,Innisfil,12,15,3,2,110,113,2,257,387
York--Simcoe/York--Simcoe,11,Innisfil,8,30,0,1,104,125,1,269,399
York--Simcoe/York--Simcoe,12,Innisfil,Merged with No. 8,,,,,,,,79
York--Simcoe/York--Simcoe,13,Innisfil,13,23,0,2,117,123,0,278,525
York--Simcoe/York--Simcoe,14,Innisfil,7,25,5,2,110,78,5,232,443
York--Simcoe/York--Simcoe,15,Innisfil,16,29,0,4,149,94,1,293,506
York--Simcoe/York--Simcoe,16,Innisfil,17,32,3,0,131,105,0,288,401
York--Simcoe/York--Simcoe,17,Innisfil,18,21,6,4,118,51,3,221,428
York--Simcoe/York--Simcoe,18,Innisfil,8,18,3,0,111,93,0,233,496
York--Simcoe/York--Simcoe,19,Innisfil,7,11,4,1,102,54,0,179,294
York--Simcoe/York--Simcoe,20,Innisfil,11,33,1,6,153,87,1,292,504
York--Simcoe/York--Simcoe,21,Innisfil,11,17,1,0,101,96,0,226,399
York--Simcoe/York--Simcoe,22,Innisfil,14,30,4,2,149,106,0,305,474
York--Simcoe/York--Simcoe,23,Innisfil,19,25,8,6,147,78,2,285,480
York--Simcoe/York--Simcoe,24,Innisfil,14,39,4,5,94,65,1,222,311
York--Simcoe/York--Simcoe,25,Innisfil,8,47,1,5,95,52,0,208,462
York--Simcoe/York--Simcoe,26,Innisfil,9,27,5,4,91,54,0,190,396
York--Simcoe/York--Simcoe,27,Innisfil,7,18,1,2,63,38,2,131,265
York--Simcoe/York--Simcoe,28,Innisfil,12,24,3,3,110,66,1,219,373
