District,Poll Number,Poll Name,Sylvain Castonguay,Louise Foisy,Christian Jobin,Réal Lapierre,Christophe Vaillancourt,Gilles Vézina,Rejected Ballots,Total Vote,Electors
Lévis--Bellechasse/Lévis--Bellechasse,1,Lévis,7,13,25,65,2,38,0,150,329
Lévis--Bellechasse/Lévis--Bellechasse,2,Lévis,10,6,59,90,0,20,5,190,422
Lévis--Bellechasse/Lévis--Bellechasse,3,Lévis,5,5,50,82,2,27,2,173,340
Lévis--Bellechasse/Lévis--Bellechasse,4,Lévis,12,6,57,75,0,29,7,186,358
Lévis--Bellechasse/Lévis--Bellechasse,5,Lévis,19,2,51,74,0,29,4,179,296
Lévis--Bellechasse/Lévis--Bellechasse,6,Lévis,37,13,57,79,0,43,8,237,437
Lévis--Bellechasse/Lévis--Bellechasse,7,Lévis,9,9,55,118,1,39,12,243,485
Lévis--Bellechasse/Lévis--Bellechasse,8,Lévis,15,11,43,75,0,45,3,192,339
Lévis--Bellechasse/Lévis--Bellechasse,9,Lévis,9,2,14,62,0,33,2,122,198
Lévis--Bellechasse/Lévis--Bellechasse,10,Lévis,13,13,73,145,0,37,9,290,504
Lévis--Bellechasse/Lévis--Bellechasse,11,Lévis,4,11,56,82,0,30,8,191,368
Lévis--Bellechasse/Lévis--Bellechasse,12,Lévis,16,9,53,85,1,31,14,209,390
Lévis--Bellechasse/Lévis--Bellechasse,13,Lévis,10,6,45,89,0,24,5,179,372
Lévis--Bellechasse/Lévis--Bellechasse,14,Lévis,15,6,52,105,0,20,7,205,400
Lévis--Bellechasse/Lévis--Bellechasse,15,Lévis,9,13,24,84,1,22,1,154,554
Lévis--Bellechasse/Lévis--Bellechasse,16,Lévis,15,8,78,119,0,41,8,269,542
Lévis--Bellechasse/Lévis--Bellechasse,17,Lévis,20,10,59,100,0,30,3,222,330
Lévis--Bellechasse/Lévis--Bellechasse,18,Lévis,10,12,57,98,0,48,5,230,439
Lévis--Bellechasse/Lévis--Bellechasse,19,Lévis,16,10,48,115,3,37,4,233,453
Lévis--Bellechasse/Lévis--Bellechasse,20,Lévis,5,3,34,92,0,42,4,180,378
Lévis--Bellechasse/Lévis--Bellechasse,21,Lévis,17,5,22,55,1,21,5,126,275
Lévis--Bellechasse/Lévis--Bellechasse,22,Lévis,5,12,58,86,1,26,9,197,399
Lévis--Bellechasse/Lévis--Bellechasse,23,Lévis,12,11,83,87,1,36,13,243,442
Lévis--Bellechasse/Lévis--Bellechasse,24A,Lévis,13,11,48,77,0,27,7,183,349
Lévis--Bellechasse/Lévis--Bellechasse,24B,Lévis,0,1,41,20,0,2,3,67,83
Lévis--Bellechasse/Lévis--Bellechasse,25,Lévis,16,18,72,112,1,48,3,270,401
Lévis--Bellechasse/Lévis--Bellechasse,26,Lévis,24,17,121,153,1,71,8,395,631
Lévis--Bellechasse/Lévis--Bellechasse,27,Lévis,12,10,95,120,0,44,3,284,471
Lévis--Bellechasse/Lévis--Bellechasse,28,Lévis,16,12,48,148,1,46,3,274,473
Lévis--Bellechasse/Lévis--Bellechasse,29,Lévis,11,13,86,124,2,24,7,267,407
Lévis--Bellechasse/Lévis--Bellechasse,30,Lévis,9,5,65,111,1,23,2,216,427
Lévis--Bellechasse/Lévis--Bellechasse,31,Lévis,14,3,56,72,2,28,6,181,320
Lévis--Bellechasse/Lévis--Bellechasse,32,Lévis,17,13,44,84,1,23,4,186,393
Lévis--Bellechasse/Lévis--Bellechasse,33,Lévis,9,5,67,52,0,18,7,158,335
Lévis--Bellechasse/Lévis--Bellechasse,34,Lévis,8,18,57,101,0,37,2,223,441
Lévis--Bellechasse/Lévis--Bellechasse,35,Lévis,10,7,141,66,1,25,9,259,418
Lévis--Bellechasse/Lévis--Bellechasse,36,Lévis,14,11,65,85,0,26,2,203,401
Lévis--Bellechasse/Lévis--Bellechasse,37,Lévis,8,6,53,94,2,20,7,190,395
Lévis--Bellechasse/Lévis--Bellechasse,38,Lévis,13,11,82,83,0,28,3,220,384
Lévis--Bellechasse/Lévis--Bellechasse,39,Lévis,17,6,52,77,1,29,3,185,355
Lévis--Bellechasse/Lévis--Bellechasse,40,Lévis,7,14,60,86,1,43,0,211,398
Lévis--Bellechasse/Lévis--Bellechasse,41,Lévis,10,9,39,105,1,24,7,195,384
Lévis--Bellechasse/Lévis--Bellechasse,42,Lévis,16,9,52,92,0,25,2,196,330
Lévis--Bellechasse/Lévis--Bellechasse,43,Lévis,11,11,55,126,2,20,2,227,405
Lévis--Bellechasse/Lévis--Bellechasse,44,Lévis,10,11,67,101,0,25,2,216,399
Lévis--Bellechasse/Lévis--Bellechasse,45,Lévis,18,23,65,154,0,17,3,280,472
Lévis--Bellechasse/Lévis--Bellechasse,46,Lévis,16,12,74,113,0,33,5,253,423
Lévis--Bellechasse/Lévis--Bellechasse,47,Lévis,12,11,37,77,1,27,9,174,303
Lévis--Bellechasse/Lévis--Bellechasse,48,Lévis,12,14,82,107,1,31,4,251,426
Lévis--Bellechasse/Lévis--Bellechasse,49,Lévis,10,5,31,67,1,16,2,132,285
Lévis--Bellechasse/Lévis--Bellechasse,50,Lévis,6,5,65,62,2,29,3,172,372
Lévis--Bellechasse/Lévis--Bellechasse,51,Lévis,8,12,47,112,0,43,6,228,441
Lévis--Bellechasse/Lévis--Bellechasse,52,Lévis,4,4,31,46,0,18,3,106,240
Lévis--Bellechasse/Lévis--Bellechasse,53,Lévis,10,5,45,70,0,20,5,155,322
Lévis--Bellechasse/Lévis--Bellechasse,54,Lévis,8,6,63,73,0,28,2,180,405
Lévis--Bellechasse/Lévis--Bellechasse,55,Lévis,12,8,52,91,2,38,3,206,414
Lévis--Bellechasse/Lévis--Bellechasse,56,Lévis,16,13,82,90,0,37,5,243,410
Lévis--Bellechasse/Lévis--Bellechasse,57,Lévis,6,1,82,46,0,34,0,169,281
Lévis--Bellechasse/Lévis--Bellechasse,58,Lévis,9,7,94,64,0,27,0,201,387
Lévis--Bellechasse/Lévis--Bellechasse,59,Lévis,1,8,60,77,1,36,4,187,390
Lévis--Bellechasse/Lévis--Bellechasse,60,Lévis,3,4,71,89,2,29,2,200,402
Lévis--Bellechasse/Lévis--Bellechasse,61,Lévis,9,8,60,65,1,35,6,184,323
Lévis--Bellechasse/Lévis--Bellechasse,62,Lévis,6,6,39,78,1,31,3,164,331
Lévis--Bellechasse/Lévis--Bellechasse,63,Lévis,8,12,48,83,0,12,4,167,265
Lévis--Bellechasse/Lévis--Bellechasse,64,Lévis,7,7,38,84,2,34,4,176,309
Lévis--Bellechasse/Lévis--Bellechasse,65,Lévis,5,5,50,74,0,19,4,157,292
Lévis--Bellechasse/Lévis--Bellechasse,66,Lévis,4,8,70,85,0,30,4,201,380
Lévis--Bellechasse/Lévis--Bellechasse,67,Lévis,11,11,68,118,3,36,12,259,534
Lévis--Bellechasse/Lévis--Bellechasse,68,Lévis,12,13,87,106,1,57,4,280,529
Lévis--Bellechasse/Lévis--Bellechasse,69,Lévis,9,10,35,97,1,44,11,207,485
Lévis--Bellechasse/Lévis--Bellechasse,70,Lévis,3,0,24,63,0,17,2,109,354
Lévis--Bellechasse/Lévis--Bellechasse,71,Lévis,15,12,50,113,0,35,4,229,378
Lévis--Bellechasse/Lévis--Bellechasse,72,Lévis,5,5,76,110,1,48,8,253,526
Lévis--Bellechasse/Lévis--Bellechasse,73,Lévis,2,12,25,74,0,27,4,144,290
Lévis--Bellechasse/Lévis--Bellechasse,74,Lévis,14,4,43,110,1,46,7,225,389
Lévis--Bellechasse/Lévis--Bellechasse,75,Lévis,9,3,61,117,1,44,9,244,491
Lévis--Bellechasse/Lévis--Bellechasse,76,Lévis,17,10,61,123,0,30,5,246,473
Lévis--Bellechasse/Lévis--Bellechasse,77,Lévis,12,3,33,78,0,14,2,142,263
Lévis--Bellechasse/Lévis--Bellechasse,78,Lévis,13,10,130,163,1,71,7,395,633
Lévis--Bellechasse/Lévis--Bellechasse,79,Lévis,16,2,49,94,0,38,11,210,382
Lévis--Bellechasse/Lévis--Bellechasse,80,Lévis,4,4,44,82,1,33,6,174,343
Lévis--Bellechasse/Lévis--Bellechasse,81,Lévis,3,10,47,176,0,40,8,284,589
Lévis--Bellechasse/Lévis--Bellechasse,82,Lévis,9,10,48,109,3,37,8,224,369
Lévis--Bellechasse/Lévis--Bellechasse,83,Lévis,12,6,48,136,0,34,5,241,409
Lévis--Bellechasse/Lévis--Bellechasse,84,Lévis,7,9,62,112,4,62,0,256,432
Lévis--Bellechasse/Lévis--Bellechasse,85,Lévis,5,5,63,122,0,81,5,281,525
Lévis--Bellechasse/Lévis--Bellechasse,86,Lévis,7,10,46,146,0,77,3,289,614
Lévis--Bellechasse/Lévis--Bellechasse,87,Lévis,2,3,26,69,0,35,4,139,350
Lévis--Bellechasse/Lévis--Bellechasse,88,Lévis,13,7,30,68,0,43,1,162,352
Lévis--Bellechasse/Lévis--Bellechasse,89,Saint-Romuald,14,18,65,82,0,23,4,206,318
Lévis--Bellechasse/Lévis--Bellechasse,90,Saint-Romuald,12,17,58,111,0,37,7,242,422
Lévis--Bellechasse/Lévis--Bellechasse,91,Saint-Romuald,5,10,75,97,1,33,11,232,493
Lévis--Bellechasse/Lévis--Bellechasse,92,Saint-Romuald,11,6,49,114,1,36,5,222,483
Lévis--Bellechasse/Lévis--Bellechasse,93,Saint-Romuald,7,9,41,69,3,27,2,158,293
Lévis--Bellechasse/Lévis--Bellechasse,94,Saint-Romuald,9,14,68,125,2,43,4,265,470
Lévis--Bellechasse/Lévis--Bellechasse,95,Saint-Romuald,7,4,73,112,1,20,6,223,446
Lévis--Bellechasse/Lévis--Bellechasse,96,Saint-Romuald,7,18,73,102,1,27,3,231,412
Lévis--Bellechasse/Lévis--Bellechasse,97,Saint-Romuald,6,6,45,48,0,30,2,137,312
Lévis--Bellechasse/Lévis--Bellechasse,98,Saint-Romuald,12,8,49,74,2,39,3,187,433
Lévis--Bellechasse/Lévis--Bellechasse,99,Saint-Romuald,11,4,26,90,1,24,2,158,342
Lévis--Bellechasse/Lévis--Bellechasse,100,Saint-Romuald,14,8,75,131,1,46,0,275,582
Lévis--Bellechasse/Lévis--Bellechasse,101,Saint-Romuald,11,16,64,99,1,48,0,239,390
Lévis--Bellechasse/Lévis--Bellechasse,102,Saint-Romuald,15,6,84,106,0,18,0,229,360
Lévis--Bellechasse/Lévis--Bellechasse,103,Saint-Romuald,6,6,39,77,1,23,2,154,346
Lévis--Bellechasse/Lévis--Bellechasse,104,Saint-Romuald,6,6,23,67,1,19,4,126,233
Lévis--Bellechasse/Lévis--Bellechasse,105,Saint-Romuald,5,14,45,83,0,23,5,175,357
Lévis--Bellechasse/Lévis--Bellechasse,106,Saint-Romuald,0,6,29,53,0,22,0,110,285
Lévis--Bellechasse/Lévis--Bellechasse,107,Saint-Romuald,6,10,35,78,0,34,0,163,359
Lévis--Bellechasse/Lévis--Bellechasse,108,Saint-Romuald,5,7,61,79,1,22,6,181,388
Lévis--Bellechasse/Lévis--Bellechasse,109,Saint-Romuald,10,17,88,133,1,54,7,310,534
