District,Poll Number,Poll Name,Beatriz Alas,Andrew Basham,Peter Carney,Steven John Fletcher,Glen Murray,Dan Zupansky,Rejected Ballots,Total Vote,Electors
Charleswood--St. James/Charleswood--St. James,1,Winnipeg,2,4,17,157,52,3,0,235,409
Charleswood--St. James/Charleswood--St. James,2,Winnipeg,0,3,36,101,102,4,0,246,438
Charleswood--St. James/Charleswood--St. James,3,Winnipeg,0,3,33,113,122,5,0,276,437
Charleswood--St. James/Charleswood--St. James,4,Winnipeg,0,4,26,95,74,5,1,205,407
Charleswood--St. James/Charleswood--St. James,5,Winnipeg,0,5,26,66,76,0,0,173,328
Charleswood--St. James/Charleswood--St. James,6,Winnipeg,0,7,18,95,90,1,0,211,325
Charleswood--St. James/Charleswood--St. James,7,Winnipeg,1,7,29,113,103,0,0,253,378
Charleswood--St. James/Charleswood--St. James,8,Winnipeg,0,3,39,87,94,3,0,226,385
Charleswood--St. James/Charleswood--St. James,9,Winnipeg,0,1,25,57,58,3,0,144,310
Charleswood--St. James/Charleswood--St. James,10,Winnipeg,1,7,23,93,88,1,1,214,379
Charleswood--St. James/Charleswood--St. James,11,Winnipeg,1,3,21,128,104,4,1,262,427
Charleswood--St. James/Charleswood--St. James,12,Winnipeg,0,1,34,96,88,0,0,219,330
Charleswood--St. James/Charleswood--St. James,13,Winnipeg,0,2,46,97,130,2,0,277,447
Charleswood--St. James/Charleswood--St. James,14,Winnipeg,0,1,26,102,96,1,0,226,409
Charleswood--St. James/Charleswood--St. James,15,Winnipeg,0,3,20,107,83,5,0,218,377
Charleswood--St. James/Charleswood--St. James,16,Winnipeg,0,3,30,76,90,0,1,200,410
Charleswood--St. James/Charleswood--St. James,17,Winnipeg,1,3,31,106,114,2,1,258,406
Charleswood--St. James/Charleswood--St. James,18,Winnipeg,0,2,33,92,91,0,2,220,372
Charleswood--St. James/Charleswood--St. James,19,Winnipeg,1,6,28,88,99,4,1,227,364
Charleswood--St. James/Charleswood--St. James,20,Winnipeg,1,2,16,66,52,0,0,137,360
Charleswood--St. James/Charleswood--St. James,21,Winnipeg,0,2,11,50,49,2,0,114,309
Charleswood--St. James/Charleswood--St. James,22,Winnipeg,1,0,23,50,63,4,0,141,282
Charleswood--St. James/Charleswood--St. James,23,Winnipeg,2,3,31,108,94,3,0,241,420
Charleswood--St. James/Charleswood--St. James,24,Winnipeg,0,2,50,83,59,2,0,196,374
Charleswood--St. James/Charleswood--St. James,25,Winnipeg,0,4,32,74,89,1,1,201,412
Charleswood--St. James/Charleswood--St. James,26,Winnipeg,0,1,17,197,118,3,0,336,452
Charleswood--St. James/Charleswood--St. James,27A,Winnipeg,0,0,19,163,82,3,1,268,362
Charleswood--St. James/Charleswood--St. James,27B,Winnipeg,0,4,8,111,88,4,0,215,325
Charleswood--St. James/Charleswood--St. James,28,Winnipeg,0,6,7,171,126,2,0,312,470
Charleswood--St. James/Charleswood--St. James,29,Winnipeg,1,6,11,118,124,1,0,261,426
Charleswood--St. James/Charleswood--St. James,30,Winnipeg,0,6,16,121,101,1,1,246,389
Charleswood--St. James/Charleswood--St. James,31,Winnipeg,0,2,7,135,135,1,2,282,445
Charleswood--St. James/Charleswood--St. James,32,Winnipeg,0,3,15,80,85,1,1,185,371
Charleswood--St. James/Charleswood--St. James,33,Winnipeg,1,2,33,45,50,2,0,133,288
Charleswood--St. James/Charleswood--St. James,34,Winnipeg,0,1,5,99,115,0,0,220,333
Charleswood--St. James/Charleswood--St. James,35,Winnipeg,0,8,24,68,47,5,0,152,331
Charleswood--St. James/Charleswood--St. James,36,Winnipeg,1,4,20,61,54,3,0,143,325
Charleswood--St. James/Charleswood--St. James,37,Winnipeg,0,6,15,59,63,0,0,143,275
Charleswood--St. James/Charleswood--St. James,38,Winnipeg,0,8,17,120,116,1,0,262,434
Charleswood--St. James/Charleswood--St. James,39,Winnipeg,0,5,18,153,130,1,0,307,481
Charleswood--St. James/Charleswood--St. James,40,Winnipeg,1,3,17,156,143,6,0,326,542
Charleswood--St. James/Charleswood--St. James,41,Winnipeg,0,4,13,108,95,2,1,223,362
Charleswood--St. James/Charleswood--St. James,42,Winnipeg,0,7,27,109,99,2,0,244,455
Charleswood--St. James/Charleswood--St. James,43,Winnipeg,0,3,12,104,117,3,0,239,370
Charleswood--St. James/Charleswood--St. James,44,Winnipeg,0,3,20,94,86,4,2,209,361
Charleswood--St. James/Charleswood--St. James,45,Winnipeg,0,6,19,101,117,2,1,246,402
Charleswood--St. James/Charleswood--St. James,46,Winnipeg,0,6,22,114,107,3,0,252,401
Charleswood--St. James/Charleswood--St. James,47,Winnipeg,0,3,11,123,92,0,0,229,368
Charleswood--St. James/Charleswood--St. James,48,Winnipeg,0,4,6,108,116,0,1,235,403
Charleswood--St. James/Charleswood--St. James,49,Winnipeg,0,5,40,97,110,1,1,254,399
Charleswood--St. James/Charleswood--St. James,50,Winnipeg,0,14,16,111,88,3,0,232,393
Charleswood--St. James/Charleswood--St. James,51,Winnipeg,0,5,23,79,88,0,0,195,323
Charleswood--St. James/Charleswood--St. James,52,Winnipeg,0,8,36,121,111,1,0,277,467
Charleswood--St. James/Charleswood--St. James,53,Winnipeg,0,5,15,68,72,0,0,160,255
Charleswood--St. James/Charleswood--St. James,54,Winnipeg,0,5,22,72,99,0,0,198,392
Charleswood--St. James/Charleswood--St. James,55,Winnipeg,1,5,14,89,127,0,0,236,358
Charleswood--St. James/Charleswood--St. James,56,Winnipeg,0,8,15,145,89,2,0,259,387
Charleswood--St. James/Charleswood--St. James,57,Winnipeg,0,4,51,93,92,5,1,246,465
Charleswood--St. James/Charleswood--St. James,58,Winnipeg,0,2,32,102,108,4,0,248,374
Charleswood--St. James/Charleswood--St. James,59,Winnipeg,0,5,37,91,99,2,0,234,358
Charleswood--St. James/Charleswood--St. James,60,Winnipeg,0,2,26,89,70,2,0,189,303
Charleswood--St. James/Charleswood--St. James,61,Winnipeg,0,4,23,89,81,0,0,197,326
Charleswood--St. James/Charleswood--St. James,62,Winnipeg,0,1,28,80,76,2,1,188,343
Charleswood--St. James/Charleswood--St. James,63,Winnipeg,0,6,31,73,60,1,0,171,332
Charleswood--St. James/Charleswood--St. James,64,Winnipeg,0,5,48,104,79,7,0,243,410
Charleswood--St. James/Charleswood--St. James,65,Winnipeg,0,3,22,72,108,0,1,206,334
Charleswood--St. James/Charleswood--St. James,66,Winnipeg,0,3,22,81,76,0,0,182,270
Charleswood--St. James/Charleswood--St. James,67,Winnipeg,0,0,14,73,81,1,0,169,313
Charleswood--St. James/Charleswood--St. James,68,Winnipeg,1,3,13,81,135,0,0,233,335
Charleswood--St. James/Charleswood--St. James,69,Winnipeg,1,3,28,47,41,0,2,122,318
Charleswood--St. James/Charleswood--St. James,70,Winnipeg,0,6,34,90,104,5,0,239,531
Charleswood--St. James/Charleswood--St. James,71,Winnipeg,0,3,11,72,77,1,0,164,284
Charleswood--St. James/Charleswood--St. James,72,Winnipeg,0,3,34,105,66,2,2,212,543
Charleswood--St. James/Charleswood--St. James,73,Winnipeg,0,7,16,67,77,3,0,170,433
Charleswood--St. James/Charleswood--St. James,74,Winnipeg,0,4,25,91,79,2,0,201,336
Charleswood--St. James/Charleswood--St. James,75,Winnipeg,0,2,26,69,64,2,0,163,414
Charleswood--St. James/Charleswood--St. James,76,Winnipeg,0,2,30,57,68,2,0,159,427
