District,Poll Number,Poll Name,Rick Dalton,R. John Efford,Don C. Ferguson,Michael Kehoe,Rejected Ballots,Total Vote,Electors
Avalon/Avalon,1,Grates Cove,17,54,1,1,0,73,162
Avalon/Avalon,2,Red Head Cove,1,24,0,2,0,27,108
Avalon/Avalon,3,Old Perlican,23,103,4,9,3,142,361
Avalon/Avalon,4,Bay de Verde,15,95,1,13,0,124,273
Avalon/Avalon,5,Bay de Verde,11,59,1,9,1,81,162
Avalon/Avalon,6,Old Perlican,10,57,5,7,0,79,200
Avalon/Avalon,7,Low Point--Lower Island Cove--Chaplin Cove,51,100,1,12,7,171,363
Avalon/Avalon,8,Sibleys Cove--Lead Cove,28,57,1,5,2,93,178
Avalon/Avalon,9,Burnt Point--Job's Cove,15,60,2,7,0,84,273
Avalon/Avalon,10,Brownsdale--New Melbourne,18,49,0,16,1,84,183
Avalon/Avalon,11,Gull Island,43,57,2,13,0,115,264
Avalon/Avalon,12,Hant's Harbour,42,135,3,19,2,201,369
Avalon/Avalon,13,New Chelsea,8,38,4,6,1,57,84
Avalon/Avalon,14,Northern Bay--Ochre Pit Cove,42,59,3,9,2,115,303
Avalon/Avalon,15,Winterton--Turks Cove,17,59,1,6,1,84,152
Avalon/Avalon,16,Winterton,27,129,1,10,1,168,298
Avalon/Avalon,17,Western Bay,53,69,2,18,2,144,378
Avalon/Avalon,18,New Perlican,27,56,0,2,2,87,177
Avalon/Avalon,19,Blackhead--Broad Cove--Adams Cove,14,90,1,17,3,125,315
Avalon/Avalon,20,Heart's Content,38,119,0,15,0,172,406
Avalon/Avalon,21,Small Point--Kingston--Spout Cove,32,48,1,2,2,85,158
Avalon/Avalon,22,Salmon Cove--Perry's Cove,23,121,1,12,0,157,346
Avalon/Avalon,23,Come By Chance,20,80,1,13,0,114,236
Avalon/Avalon,24,Sunnyside,42,129,3,12,2,188,395
Avalon/Avalon,25A,Arnold's Cove,20,91,2,11,1,125,306
Avalon/Avalon,25B,Mobile poll/Bureau itinérant,Merged with No. 178C,,,,,,19
Avalon/Avalon,26,Arnold's Cove,12,110,3,7,1,133,252
Avalon/Avalon,27,Arnold's Cove,13,109,1,14,0,137,345
Avalon/Avalon,28,Southern Harbour,25,89,2,19,2,137,354
Avalon/Avalon,29,Southern Harbour,7,18,0,0,0,25,72
Avalon/Avalon,30,Chance Cove,32,110,2,10,0,154,278
Avalon/Avalon,31,Bellevue,47,54,1,16,0,118,211
Avalon/Avalon,32,Thornlea,10,36,0,7,0,53,96
Avalon/Avalon,33,Long Cove,24,132,1,19,0,176,246
Avalon/Avalon,34,Norman's Cove,22,62,1,4,0,89,148
Avalon/Avalon,35,Norman's Cove,30,84,2,25,0,141,276
Avalon/Avalon,36,Chapel Arm,36,61,3,9,3,112,167
Avalon/Avalon,37,Chapel Arm,31,60,5,19,2,117,226
Avalon/Avalon,38,Little Harbour East,8,56,1,3,0,68,118
Avalon/Avalon,39,Fair Haven,8,46,1,5,1,61,98
Avalon/Avalon,40,Long Harbour,41,86,1,19,3,150,280
Avalon/Avalon,41,Heart's Desire,23,53,0,10,1,87,212
Avalon/Avalon,42,Heart's Delight,51,56,1,4,1,113,264
Avalon/Avalon,43,Heart's Delight,32,84,0,9,2,127,206
Avalon/Avalon,44,Islington,29,52,4,2,2,89,149
Avalon/Avalon,45,Cavendish,28,85,1,12,0,126,237
Avalon/Avalon,46,Whiteway,43,62,3,17,0,125,226
Avalon/Avalon,47,Green's Harbour,49,78,5,22,1,155,353
Avalon/Avalon,48,Green's Harbour,33,65,2,16,1,117,192
Avalon/Avalon,49,Hopeall,17,44,4,12,0,77,189
Avalon/Avalon,50,New Harbour,49,115,5,31,1,201,431
Avalon/Avalon,51,New Harbour,39,88,2,15,0,144,266
Avalon/Avalon,52,Old Shop,29,52,0,24,3,108,211
Avalon/Avalon,53,Dildo,20,83,0,7,0,110,206
Avalon/Avalon,54A,Dildo,19,53,2,10,3,87,210
Avalon/Avalon,54B,Dildo,28,89,1,20,2,140,247
Avalon/Avalon,55,South Dildo,11,61,1,10,0,83,173
Avalon/Avalon,56,Blaketown,42,109,1,26,1,179,417
Avalon/Avalon,57,Whitbourne,23,55,1,6,0,85,207
Avalon/Avalon,58,Whitbourne,32,93,1,14,2,142,355
Avalon/Avalon,59,Whitbourne,34,71,1,20,1,127,233
Avalon/Avalon,60,Markland,9,80,3,15,0,107,198
