District,Poll Number,Poll Name,Teena Cormack,Luke Kurata,Garfield John Marks,Bob Mills,Jeff Sloychuk,Rejected Ballots,Total Vote,Electors
Red Deer/Red Deer,70,Red Deer,0,22,7,72,12,0,113,301
Red Deer/Red Deer,71,Red Deer,4,12,9,118,22,4,169,449
Red Deer/Red Deer,72,Red Deer,0,14,6,115,14,0,149,270
Red Deer/Red Deer,73,Red Deer,6,46,16,190,18,1,277,463
Red Deer/Red Deer,74,Red Deer,0,16,11,128,34,0,189,571
Red Deer/Red Deer,75,Red Deer,2,12,6,83,19,0,122,287
Red Deer/Red Deer,76,Red Deer,0,35,6,150,30,0,221,528
Red Deer/Red Deer,77,Red Deer,4,21,2,182,18,0,227,387
Red Deer/Red Deer,78,Red Deer,1,19,9,159,29,0,217,396
Red Deer/Red Deer,79A,Red Deer,0,18,7,142,15,0,182,335
Red Deer/Red Deer,79B,Red Deer,5,25,11,162,22,0,225,385
Red Deer/Red Deer,80,Red Deer,1,14,6,120,20,3,164,409
Red Deer/Red Deer,81,Red Deer,6,20,5,97,6,0,134,391
Red Deer/Red Deer,82,Red Deer,1,11,6,63,15,0,96,420
Red Deer/Red Deer,83,Red Deer,4,33,7,311,9,0,364,603
Red Deer/Red Deer,84,Red Deer,2,17,13,96,35,0,163,359
Red Deer/Red Deer,85,Red Deer,0,29,13,68,23,0,133,319
Red Deer/Red Deer,86,Red Deer,1,15,3,30,18,0,67,244
Red Deer/Red Deer,87,Red Deer,0,59,9,227,23,2,320,555
Red Deer/Red Deer,88,Red Deer,0,28,11,120,23,0,182,298
Red Deer/Red Deer,89,Red Deer,2,13,10,107,14,0,146,250
Red Deer/Red Deer,90,Red Deer,0,25,10,127,24,0,186,371
Red Deer/Red Deer,91,Red Deer,2,37,7,165,20,0,231,402
Red Deer/Red Deer,92,Red Deer,2,32,7,114,16,0,171,355
Red Deer/Red Deer,93,Red Deer,3,18,13,103,27,0,164,374
Red Deer/Red Deer,94,Red Deer,1,16,7,107,23,0,154,405
Red Deer/Red Deer,95,Red Deer,3,34,5,140,8,0,190,525
Red Deer/Red Deer,96,Red Deer,1,23,12,102,24,2,164,416
Red Deer/Red Deer,97,Red Deer,1,55,22,149,50,0,277,515
Red Deer/Red Deer,98,Red Deer,0,23,19,107,22,1,172,384
Red Deer/Red Deer,99,Red Deer,1,38,12,127,18,0,196,367
Red Deer/Red Deer,100,Red Deer,0,29,17,132,17,1,196,342
Red Deer/Red Deer,101,Red Deer,2,41,18,154,35,1,251,595
Red Deer/Red Deer,102,Red Deer,1,42,17,139,21,0,220,346
Red Deer/Red Deer,103,Red Deer,1,31,15,107,21,0,175,442
Red Deer/Red Deer,104,Red Deer,1,10,14,71,15,0,111,198
Red Deer/Red Deer,105,Red Deer,1,20,10,116,22,0,169,507
Red Deer/Red Deer,106,Red Deer,3,27,15,93,19,1,158,335
Red Deer/Red Deer,107,Red Deer,2,23,5,102,23,1,156,404
Red Deer/Red Deer,108,Red Deer,2,23,13,152,19,0,209,494
Red Deer/Red Deer,109,Red Deer,1,42,13,151,24,0,231,396
Red Deer/Red Deer,110,Red Deer,3,44,19,191,22,0,279,472
Red Deer/Red Deer,111,Red Deer,2,33,16,184,16,0,251,480
Red Deer/Red Deer,112,Red Deer,2,27,11,183,18,0,241,399
Red Deer/Red Deer,113,Red Deer,4,45,10,175,26,2,262,436
Red Deer/Red Deer,114,Red Deer,0,46,13,266,16,0,341,536
Red Deer/Red Deer,115A,Red Deer,1,36,4,191,23,0,255,464
Red Deer/Red Deer,115B,Red Deer,2,34,13,169,20,1,239,454
Red Deer/Red Deer,115C,Red Deer,0,35,12,218,16,1,282,496
Red Deer/Red Deer,116,Red Deer,1,45,10,223,13,1,293,471
Red Deer/Red Deer,117,Red Deer,2,40,8,180,20,1,251,424
Red Deer/Red Deer,118,Red Deer,0,38,12,229,13,0,292,490
Red Deer/Red Deer,119,Red Deer,2,22,12,119,22,0,177,375
Red Deer/Red Deer,120,Red Deer,4,36,13,168,18,0,239,364
Red Deer/Red Deer,121,Red Deer,0,46,8,189,23,0,266,531
Red Deer/Red Deer,122,Red Deer,6,28,7,197,24,0,262,455
Red Deer/Red Deer,123,Red Deer,3,22,10,100,30,1,166,386
Red Deer/Red Deer,124,Red Deer,2,19,15,109,10,0,155,251
Red Deer/Red Deer,125,Red Deer,2,23,6,97,15,1,144,339
Red Deer/Red Deer,126,Red Deer,0,23,4,103,12,2,144,254
Red Deer/Red Deer,127,Red Deer,2,18,6,106,19,0,151,292
Red Deer/Red Deer,128,Red Deer,5,32,5,165,10,0,217,341
Red Deer/Red Deer,129,Red Deer,4,43,17,188,23,0,275,424
Red Deer/Red Deer,130,Red Deer,0,26,14,129,19,0,188,373
Red Deer/Red Deer,131,Red Deer,1,34,18,150,18,0,221,382
Red Deer/Red Deer,132,Red Deer,6,52,10,172,28,0,268,483
Red Deer/Red Deer,133,Red Deer,4,41,23,157,25,2,252,487
Red Deer/Red Deer,134,Red Deer,0,21,10,103,15,1,150,373
Red Deer/Red Deer,135,Red Deer,2,36,19,162,23,0,242,440
Red Deer/Red Deer,136,Red Deer,2,16,7,127,16,0,168,309
Red Deer/Red Deer,137,Red Deer,0,24,5,77,11,0,117,280
Red Deer/Red Deer,138,Red Deer,2,38,17,189,22,0,268,434
Red Deer/Red Deer,139,Red Deer,2,49,14,203,29,1,298,429
Red Deer/Red Deer,140,Red Deer,1,13,5,61,9,0,89,245
Red Deer/Red Deer,141,Red Deer,0,49,6,164,9,0,228,396
Red Deer/Red Deer,142,Red Deer,7,39,4,156,14,0,220,333
Red Deer/Red Deer,143,Red Deer,0,34,11,117,20,0,182,333
Red Deer/Red Deer,144,Red Deer,1,22,13,129,15,0,180,325
Red Deer/Red Deer,145,Red Deer,5,40,11,140,10,1,207,346
Red Deer/Red Deer,146A,Red Deer,2,38,12,189,18,1,260,460
Red Deer/Red Deer,146B,Red Deer,1,27,14,194,10,0,246,469
Red Deer/Red Deer,147,Red Deer,0,46,11,261,16,0,334,529
Red Deer/Red Deer,148,Red Deer,1,59,24,212,29,2,327,578
Red Deer/Red Deer,149,Red Deer,0,39,8,140,12,0,199,360
Red Deer/Red Deer,150,Red Deer,1,50,10,185,10,0,256,440
Red Deer/Red Deer,151,Red Deer,1,22,7,152,10,0,192,352
Red Deer/Red Deer,152,Red Deer,0,30,11,201,12,0,254,419
Red Deer/Red Deer,153A,Red Deer,0,31,9,188,12,0,240,387
Red Deer/Red Deer,153B,Red Deer,0,28,8,182,10,0,228,385
Red Deer/Red Deer,154,Red Deer,6,64,18,336,22,1,447,720
Red Deer/Red Deer,155,Red Deer,2,63,18,249,28,0,360,631
Red Deer/Red Deer,156,Red Deer,0,40,11,149,13,0,213,354
Red Deer/Red Deer,157A,Red Deer,2,37,11,210,11,1,272,451
Red Deer/Red Deer,157B,Red Deer,4,30,14,189,22,0,259,496
Red Deer/Red Deer,158,Red Deer,1,52,13,216,20,1,303,549
Red Deer/Red Deer,159,Red Deer,1,44,13,224,32,0,314,565
Red Deer/Red Deer,160,Red Deer,0,39,8,204,22,1,274,530
Red Deer/Red Deer,161,Red Deer County No. 23,3,20,15,273,17,0,328,452
Red Deer/Red Deer,162,Red Deer County No. 23,3,25,17,170,10,1,226,343
Red Deer/Red Deer,163,Red Deer County No. 23,5,14,15,197,11,0,242,402
Red Deer/Red Deer,164,Milnerton,0,10,3,214,6,1,234,377
Red Deer/Red Deer,165,Pine Lake,2,12,10,183,5,1,213,348
Red Deer/Red Deer,166,Ardley,0,5,12,146,10,0,173,245
Red Deer/Red Deer,167A,Delburne,0,16,7,152,20,1,196,364
Red Deer/Red Deer,167B,Delburne,1,12,15,139,11,0,178,352
Red Deer/Red Deer,168,Ardley,1,3,6,128,7,1,146,223
Red Deer/Red Deer,169,Lousana,5,7,11,222,7,1,253,392
Red Deer/Red Deer,170,Elnora,4,22,12,236,18,2,294,417
Red Deer/Red Deer,400,Red Deer,Void,,,,,,,
Red Deer/Red Deer,500,Mobile poll/Bureau itinérant,0,8,7,57,4,0,76,120
Red Deer/Red Deer,501,Mobile poll/Bureau itinérant,6,26,2,100,10,1,145,226
Red Deer/Red Deer,502,Mobile poll/Bureau itinérant,4,5,2,34,5,2,52,112
Red Deer/Red Deer,503,Mobile poll/Bureau itinérant,1,28,3,163,11,3,209,273
Red Deer/Red Deer,504,Mobile poll/Bureau itinérant,2,32,3,172,8,2,219,254
Red Deer/Red Deer,505,Mobile poll/Bureau itinérant,3,5,4,83,4,7,106,188
Red Deer/Red Deer,506,Mobile poll/Bureau itinérant,1,12,5,95,4,3,120,203
Red Deer/Red Deer,600,Red Deer County,0,6,0,69,2,0,77,
Red Deer/Red Deer,601,Sylvan Lake--Red Deer County,2,29,18,366,21,1,437,
Red Deer/Red Deer,602,Penhold--Red Deer County,0,13,11,135,7,0,166,
Red Deer/Red Deer,603,Bowden--Innisfail,4,24,10,404,28,0,470,
Red Deer/Red Deer,604,Red Deer,1,20,6,187,24,1,239,
Red Deer/Red Deer,605,Red Deer,4,24,9,174,24,0,235,
Red Deer/Red Deer,606,Red Deer,5,44,24,265,35,1,374,
Red Deer/Red Deer,607,Red Deer,1,68,16,376,34,0,495,
Red Deer/Red Deer,608,Red Deer,2,88,38,515,40,0,683,
Red Deer/Red Deer,609,Red Deer,0,5,5,109,4,0,123,
Red Deer/Red Deer,610,Delburne--Elnora,1,6,4,79,4,2,96,
Red Deer/Red Deer,,Group 1/Groupe 1,2,21,11,51,9,3,97,171
Red Deer/Red Deer,,Group 2/Groupe 2,5,73,15,412,45,10,560,
