District,Poll Number,Poll Name,Gina Barber,Sue Barnes,Rebecca Bromwich,Steve Hunter,Mike Menear,Margaret Villamizar,Rejected Ballots,Total Vote,Electors
London West/London-Ouest,201,London,51,75,6,1,41,1,3,178,471
London West/London-Ouest,202,London,9,135,2,2,71,0,1,220,354
London West/London-Ouest,203,London,24,142,4,2,57,0,1,230,391
London West/London-Ouest,204,London,49,77,11,1,50,1,0,189,421
London West/London-Ouest,205,London,34,124,9,2,78,0,1,248,404
London West/London-Ouest,206,London,44,91,9,1,57,1,0,203,448
London West/London-Ouest,207,London,57,58,8,1,36,0,0,160,360
London West/London-Ouest,208,London,60,100,7,6,42,0,1,216,386
London West/London-Ouest,209,London,38,134,11,1,74,0,1,259,448
London West/London-Ouest,210,London,65,89,15,3,54,1,6,233,492
London West/London-Ouest,211,London,16,58,4,1,53,0,1,133,236
London West/London-Ouest,212,London,26,111,4,1,68,0,0,210,337
London West/London-Ouest,213,London,15,157,5,3,77,0,0,257,415
London West/London-Ouest,400,London,Void,,,,,,,,
London West/London-Ouest,401,London,24,57,5,1,15,1,1,104,289
London West/London-Ouest,402,London,21,43,5,2,35,0,0,106,264
London West/London-Ouest,403,London,36,50,3,3,23,0,2,117,269
London West/London-Ouest,404,London,35,66,5,2,30,0,0,138,305
London West/London-Ouest,405,London,5,36,3,2,22,1,0,69,176
London West/London-Ouest,406,London,47,64,5,3,25,2,4,150,242
London West/London-Ouest,500,Mobile poll/Bureau itinérant,5,32,2,3,19,0,4,65,100
London West/London-Ouest,600,London,71,268,31,8,287,0,0,665,
London West/London-Ouest,601,London,91,384,31,9,449,1,3,968,
London West/London-Ouest,602,London,87,498,50,5,583,1,2,1226,
London West/London-Ouest,603,London,102,220,20,8,166,1,2,519,
London West/London-Ouest,604,London,163,279,30,6,186,0,5,669,
London West/London-Ouest,605,London,95,209,20,7,148,0,5,484,
London West/London-Ouest,606,London,99,408,27,5,441,0,2,982,
London West/London-Ouest,607,London,122,341,30,4,303,1,5,806,
London West/London-Ouest,,Group 1/Groupe 1,19,40,8,10,53,1,4,135,282
London West/London-Ouest,,Group 2/Groupe 2,88,265,21,0,238,0,4,616,
