District,Poll Number,Poll Name,Russ Aegard,Ken Boshcoff,David Leskowski,John Rafferty,Johannes Scheibler,Doug Thompson,Rejected Ballots,Total Vote,Electors
Thunder Bay--Rainy River/Thunder Bay--Rainy River,1A,Nestor Falls,0,20,0,8,0,1,0,29,80
Thunder Bay--Rainy River/Thunder Bay--Rainy River,1B,Nestor Falls,1,21,36,16,0,1,0,75,194
Thunder Bay--Rainy River/Thunder Bay--Rainy River,2,Morson,Void,,,,,,,,
Thunder Bay--Rainy River/Thunder Bay--Rainy River,3,Bergland,6,28,54,31,2,1,1,123,181
Thunder Bay--Rainy River/Thunder Bay--Rainy River,4,North Branch,4,40,38,25,13,1,0,121,203
Thunder Bay--Rainy River/Thunder Bay--Rainy River,5,Atwood,2,8,33,12,1,1,0,57,130
Thunder Bay--Rainy River/Thunder Bay--Rainy River,6,Rainy River,0,28,37,45,1,1,0,112,258
Thunder Bay--Rainy River/Thunder Bay--Rainy River,7,Rainy River,4,46,81,60,2,1,0,194,506
Thunder Bay--Rainy River/Thunder Bay--Rainy River,8,Sleeman,2,16,36,12,1,0,0,67,145
Thunder Bay--Rainy River/Thunder Bay--Rainy River,9,Pinewood,1,9,30,30,2,3,1,76,139
Thunder Bay--Rainy River/Thunder Bay--Rainy River,10,Stratton,4,59,115,41,12,2,0,233,392
Thunder Bay--Rainy River/Thunder Bay--Rainy River,11,Barwick,0,17,58,22,5,3,0,105,222
Thunder Bay--Rainy River/Thunder Bay--Rainy River,12,Rainy Rapids 11,1,32,4,11,0,2,0,50,125
Thunder Bay--Rainy River/Thunder Bay--Rainy River,13,Emo,3,43,115,52,8,0,1,222,327
Thunder Bay--Rainy River/Thunder Bay--Rainy River,14,Emo,4,35,70,37,4,2,0,152,278
Thunder Bay--Rainy River/Thunder Bay--Rainy River,15,Emo,2,57,107,67,8,3,0,244,498
Thunder Bay--Rainy River/Thunder Bay--Rainy River,16,Big Fork,1,18,27,18,0,1,0,65,107
Thunder Bay--Rainy River/Thunder Bay--Rainy River,17,Devlin,0,40,72,99,10,3,2,226,326
Thunder Bay--Rainy River/Thunder Bay--Rainy River,18,Alberton,3,50,89,70,3,3,2,220,342
Thunder Bay--Rainy River/Thunder Bay--Rainy River,19,Burriss,2,24,47,41,3,2,0,119,203
Thunder Bay--Rainy River/Thunder Bay--Rainy River,20,Alberton,2,52,74,65,2,2,1,198,360
Thunder Bay--Rainy River/Thunder Bay--Rainy River,21,Dance Township,0,7,4,33,0,3,0,47,246
Thunder Bay--Rainy River/Thunder Bay--Rainy River,22,Nestor Falls,2,51,12,78,0,5,0,148,393
Thunder Bay--Rainy River/Thunder Bay--Rainy River,23,Fort Frances,5,72,27,94,0,3,1,202,363
Thunder Bay--Rainy River/Thunder Bay--Rainy River,24,Fort Frances,1,20,25,42,3,1,0,92,204
Thunder Bay--Rainy River/Thunder Bay--Rainy River,25,Rocky Inlet,5,58,59,43,0,4,0,169,267
Thunder Bay--Rainy River/Thunder Bay--Rainy River,26,Bear Pass,0,28,11,36,0,2,1,78,115
Thunder Bay--Rainy River/Thunder Bay--Rainy River,27,Mine Centre,1,7,13,5,0,1,0,27,112
Thunder Bay--Rainy River/Thunder Bay--Rainy River,28,Seine River 23B,0,14,2,44,0,21,0,81,143
Thunder Bay--Rainy River/Thunder Bay--Rainy River,29,Neguaguan Lake 25D,1,19,0,9,0,12,1,42,109
Thunder Bay--Rainy River/Thunder Bay--Rainy River,30,Fort Frances,3,34,27,78,0,5,1,148,319
Thunder Bay--Rainy River/Thunder Bay--Rainy River,31A,Fort Frances,1,43,41,46,1,5,1,138,328
Thunder Bay--Rainy River/Thunder Bay--Rainy River,31B,Fort Frances,1,32,29,69,1,1,3,136,331
Thunder Bay--Rainy River/Thunder Bay--Rainy River,32,Fort Frances,0,43,36,80,3,5,0,167,358
Thunder Bay--Rainy River/Thunder Bay--Rainy River,33,Fort Frances,5,57,50,80,3,1,1,197,393
Thunder Bay--Rainy River/Thunder Bay--Rainy River,34,Fort Frances,1,45,46,89,9,1,0,191,390
