District,Poll Number,Poll Name,Mark Holland,Karen MacDonald,Kevin Modeste,René Soetens,Rejected Ballots,Total Vote,Electors
Ajax--Pickering/Ajax--Pickering,1,Pickering,71,16,22,86,0,195,272
Ajax--Pickering/Ajax--Pickering,2,Pickering,118,22,17,133,2,292,439
Ajax--Pickering/Ajax--Pickering,3,Pickering,121,13,21,137,2,294,441
Ajax--Pickering/Ajax--Pickering,4,Pickering,37,7,17,53,0,114,221
Ajax--Pickering/Ajax--Pickering,5,Pickering,117,23,15,96,2,253,375
Ajax--Pickering/Ajax--Pickering,6,Pickering,102,16,24,99,0,241,400
Ajax--Pickering/Ajax--Pickering,7,Pickering,48,9,38,30,0,125,204
Ajax--Pickering/Ajax--Pickering,8,Pickering,58,20,13,51,1,143,259
Ajax--Pickering/Ajax--Pickering,9,Pickering,113,23,32,107,4,279,458
Ajax--Pickering/Ajax--Pickering,10,Pickering,62,12,24,48,1,147,339
Ajax--Pickering/Ajax--Pickering,11,Pickering,101,3,17,73,2,196,365
Ajax--Pickering/Ajax--Pickering,12,Pickering,93,1,17,52,1,164,324
Ajax--Pickering/Ajax--Pickering,13,Pickering,136,6,17,110,2,271,419
Ajax--Pickering/Ajax--Pickering,14,Pickering,119,11,15,75,1,221,381
Ajax--Pickering/Ajax--Pickering,15,Pickering,160,13,17,102,1,293,454
Ajax--Pickering/Ajax--Pickering,16,Pickering,138,16,42,77,1,274,463
Ajax--Pickering/Ajax--Pickering,17,Pickering,104,12,17,70,0,203,340
Ajax--Pickering/Ajax--Pickering,18,Pickering,191,11,22,108,3,335,532
Ajax--Pickering/Ajax--Pickering,19A,Pickering,125,11,22,45,0,203,328
Ajax--Pickering/Ajax--Pickering,19B,Pickering,91,9,17,56,1,174,321
Ajax--Pickering/Ajax--Pickering,20,Pickering,126,4,3,59,0,192,313
Ajax--Pickering/Ajax--Pickering,21,Pickering,116,3,14,67,1,201,360
Ajax--Pickering/Ajax--Pickering,22,Pickering,180,15,26,88,0,309,558
Ajax--Pickering/Ajax--Pickering,23,Pickering,185,9,27,68,2,291,570
Ajax--Pickering/Ajax--Pickering,24A,Pickering,80,3,29,43,0,155,287
Ajax--Pickering/Ajax--Pickering,24B,Pickering,94,5,24,40,0,163,290
Ajax--Pickering/Ajax--Pickering,25,Pickering,145,17,26,89,0,277,500
Ajax--Pickering/Ajax--Pickering,26,Pickering,158,10,42,61,6,277,530
Ajax--Pickering/Ajax--Pickering,27,Pickering,132,11,24,68,1,236,485
Ajax--Pickering/Ajax--Pickering,28,Pickering,146,7,38,62,0,253,455
Ajax--Pickering/Ajax--Pickering,29,Pickering,153,2,33,56,0,244,453
Ajax--Pickering/Ajax--Pickering,30,Pickering,114,5,34,51,0,204,395
Ajax--Pickering/Ajax--Pickering,31,Pickering,156,9,36,53,1,255,471
Ajax--Pickering/Ajax--Pickering,32A,Pickering,94,1,23,29,1,148,282
Ajax--Pickering/Ajax--Pickering,32B,Pickering,108,3,17,38,0,166,288
Ajax--Pickering/Ajax--Pickering,33,Pickering,114,9,38,83,2,246,516
Ajax--Pickering/Ajax--Pickering,34,Pickering,111,10,16,37,0,174,329
Ajax--Pickering/Ajax--Pickering,35,Pickering,75,5,15,39,0,134,322
Ajax--Pickering/Ajax--Pickering,36A,Pickering,88,13,37,51,1,190,413
Ajax--Pickering/Ajax--Pickering,36B,Pickering,56,4,9,29,1,99,314
Ajax--Pickering/Ajax--Pickering,37A,Pickering,78,2,25,46,1,152,327
Ajax--Pickering/Ajax--Pickering,37B,Pickering,73,7,27,40,0,147,302
Ajax--Pickering/Ajax--Pickering,38,Pickering,153,9,49,86,3,300,478
Ajax--Pickering/Ajax--Pickering,39,Pickering,114,12,28,48,2,204,440
Ajax--Pickering/Ajax--Pickering,40,Pickering,71,4,20,33,1,129,304
Ajax--Pickering/Ajax--Pickering,41A,Pickering,98,6,40,60,4,208,309
Ajax--Pickering/Ajax--Pickering,41B,Pickering,Merged with No. 39,,,,,,25
Ajax--Pickering/Ajax--Pickering,42,Pickering,136,9,20,31,1,197,431
Ajax--Pickering/Ajax--Pickering,43,Pickering,Merged with No. 42,,,,,,14
Ajax--Pickering/Ajax--Pickering,44,Pickering,Merged with No. 42,,,,,,29
Ajax--Pickering/Ajax--Pickering,45A,Ajax,91,5,8,49,0,153,284
Ajax--Pickering/Ajax--Pickering,45B,Ajax,84,1,20,35,0,140,278
Ajax--Pickering/Ajax--Pickering,46,Ajax,88,15,16,95,0,214,340
Ajax--Pickering/Ajax--Pickering,47A,Ajax,148,5,33,50,1,237,414
Ajax--Pickering/Ajax--Pickering,47B,Ajax,140,4,36,53,0,233,413
Ajax--Pickering/Ajax--Pickering,48A,Ajax,122,5,11,51,0,189,385
Ajax--Pickering/Ajax--Pickering,48B,Ajax,124,4,25,64,0,217,385
Ajax--Pickering/Ajax--Pickering,49A,Ajax,84,1,16,55,2,158,296
Ajax--Pickering/Ajax--Pickering,49B,Ajax,83,1,28,40,2,154,307
Ajax--Pickering/Ajax--Pickering,50A,Ajax,71,8,26,56,1,162,329
Ajax--Pickering/Ajax--Pickering,50B,Ajax,74,6,19,53,3,155,334
Ajax--Pickering/Ajax--Pickering,51,Ajax,177,4,22,92,4,299,530
Ajax--Pickering/Ajax--Pickering,52,Ajax,124,2,14,51,1,192,307
Ajax--Pickering/Ajax--Pickering,53,Ajax,127,4,26,45,0,202,378
Ajax--Pickering/Ajax--Pickering,54,Ajax,121,4,24,63,0,212,402
Ajax--Pickering/Ajax--Pickering,55A,Ajax,81,5,27,56,0,169,279
Ajax--Pickering/Ajax--Pickering,55B,Ajax,110,2,19,43,0,174,292
Ajax--Pickering/Ajax--Pickering,56,Ajax,98,8,27,81,1,215,455
Ajax--Pickering/Ajax--Pickering,57,Ajax,119,15,22,78,1,235,444
Ajax--Pickering/Ajax--Pickering,58,Ajax,131,9,13,76,0,229,378
Ajax--Pickering/Ajax--Pickering,59,Ajax,81,6,30,65,0,182,311
Ajax--Pickering/Ajax--Pickering,60A,Ajax,166,11,28,32,0,237,282
Ajax--Pickering/Ajax--Pickering,60B,Ajax,76,4,24,43,0,147,305
Ajax--Pickering/Ajax--Pickering,61,Ajax,136,16,26,99,0,277,487
Ajax--Pickering/Ajax--Pickering,62,Ajax,148,15,20,94,1,278,530
Ajax--Pickering/Ajax--Pickering,63,Ajax,114,6,26,73,0,219,401
Ajax--Pickering/Ajax--Pickering,64,Ajax,102,10,30,63,0,205,379
Ajax--Pickering/Ajax--Pickering,65,Ajax,79,0,9,29,0,117,252
Ajax--Pickering/Ajax--Pickering,66,Ajax,177,13,31,85,0,306,540
Ajax--Pickering/Ajax--Pickering,67A,Ajax,81,4,15,24,0,124,293
Ajax--Pickering/Ajax--Pickering,67B,Ajax,100,2,20,30,0,152,289
Ajax--Pickering/Ajax--Pickering,68,Ajax,190,5,43,76,2,316,535
Ajax--Pickering/Ajax--Pickering,69,Ajax,131,9,34,79,1,254,482
Ajax--Pickering/Ajax--Pickering,70,Ajax,131,12,25,63,2,233,500
Ajax--Pickering/Ajax--Pickering,71,Ajax,129,10,30,64,1,234,455
Ajax--Pickering/Ajax--Pickering,72,Ajax,86,14,25,53,0,178,343
Ajax--Pickering/Ajax--Pickering,73,Ajax,120,15,51,85,1,272,460
Ajax--Pickering/Ajax--Pickering,74,Ajax,115,7,34,77,1,234,438
Ajax--Pickering/Ajax--Pickering,75,Ajax,123,3,16,60,0,202,358
Ajax--Pickering/Ajax--Pickering,76,Ajax,145,7,22,71,0,245,442
Ajax--Pickering/Ajax--Pickering,77,Ajax,131,2,13,62,0,208,390
Ajax--Pickering/Ajax--Pickering,78,Ajax,145,3,23,79,3,253,422
Ajax--Pickering/Ajax--Pickering,79A,Ajax,99,5,9,64,1,178,291
Ajax--Pickering/Ajax--Pickering,79B,Ajax,96,5,10,61,1,173,299
Ajax--Pickering/Ajax--Pickering,80,Ajax,93,11,30,76,0,210,470
Ajax--Pickering/Ajax--Pickering,81,Ajax,102,8,17,79,1,207,364
Ajax--Pickering/Ajax--Pickering,82,Ajax,65,3,7,51,0,126,229
Ajax--Pickering/Ajax--Pickering,83,Ajax,154,12,22,83,0,271,482
Ajax--Pickering/Ajax--Pickering,84,Ajax,159,15,30,84,0,288,502
Ajax--Pickering/Ajax--Pickering,85,Ajax,132,16,23,101,0,272,459
