District,Poll Number,Poll Name,Earl Cook,Al Ducharme,Marcella Gall,Jeremy Harrison,Rick Laliberte,Rejected Ballots,Total Vote,Electors
Churchill River/Rivière Churchill,603,La Ronge,65,51,13,62,7,1,199,
Churchill River/Rivière Churchill,604,Beauval,8,6,2,5,48,0,69,
Churchill River/Rivière Churchill,605,Pelican Narrows,8,32,1,3,12,0,56,
Churchill River/Rivière Churchill,606,Creighton,23,12,1,18,1,0,55,
Churchill River/Rivière Churchill,607,Goodsoil,3,4,2,34,0,0,43,
Churchill River/Rivière Churchill,608,Loon Lake,10,33,1,43,4,1,92,
Churchill River/Rivière Churchill,609,Meadow Lake,35,69,8,182,9,1,304,
Churchill River/Rivière Churchill,610,Debden,28,13,2,66,0,0,109,
Churchill River/Rivière Churchill,611,Spiritwood,14,11,8,43,4,0,80,
Churchill River/Rivière Churchill,612,Cristopher Lake,27,36,3,57,1,1,125,
Churchill River/Rivière Churchill,613,Choiceland,15,6,4,42,1,0,68,
Churchill River/Rivière Churchill,614,Cumberland House,31,85,0,1,12,1,130,
Churchill River/Rivière Churchill,,Group 1/Groupe 1,30,63,6,13,32,4,148,203
Churchill River/Rivière Churchill,,Group 2/Groupe 2,47,27,7,86,22,2,191,
