District,Poll Number,Poll Name,Serge Abbat,John Godfrey,David Thomas,David Turnbull,Rejected Ballots,Total Vote,Electors
Don Valley West/Don Valley-Ouest,1,North York,14,149,23,53,0,239,391
Don Valley West/Don Valley-Ouest,2,North York,7,137,10,76,0,230,402
Don Valley West/Don Valley-Ouest,3,North York,7,139,26,53,0,225,411
Don Valley West/Don Valley-Ouest,4,North York,11,96,40,38,0,185,445
Don Valley West/Don Valley-Ouest,5,North York,5,101,44,34,1,185,406
Don Valley West/Don Valley-Ouest,6,North York,4,144,9,86,1,244,462
Don Valley West/Don Valley-Ouest,7,North York,5,137,9,110,0,261,416
Don Valley West/Don Valley-Ouest,8,North York,2,169,10,84,0,265,418
Don Valley West/Don Valley-Ouest,9,North York,6,164,27,54,0,251,422
Don Valley West/Don Valley-Ouest,10,North York,9,126,10,66,0,211,335
Don Valley West/Don Valley-Ouest,11,North York,17,169,19,95,1,301,557
Don Valley West/Don Valley-Ouest,12,North York,8,110,1,124,0,243,485
Don Valley West/Don Valley-Ouest,13,North York,2,161,6,126,2,297,516
Don Valley West/Don Valley-Ouest,14,North York,13,143,8,79,0,243,400
Don Valley West/Don Valley-Ouest,15,North York,11,120,17,96,0,244,391
Don Valley West/Don Valley-Ouest,16,North York,4,258,33,127,0,422,605
Don Valley West/Don Valley-Ouest,17,North York,13,152,14,89,0,268,466
Don Valley West/Don Valley-Ouest,18,North York,5,161,7,130,0,303,454
Don Valley West/Don Valley-Ouest,19,North York,12,193,7,70,0,282,488
Don Valley West/Don Valley-Ouest,20,North York,4,152,8,73,2,239,457
Don Valley West/Don Valley-Ouest,21,North York,6,130,9,79,0,224,431
Don Valley West/Don Valley-Ouest,22,North York,8,149,3,91,0,251,444
Don Valley West/Don Valley-Ouest,23,North York,1,45,3,45,0,94,180
Don Valley West/Don Valley-Ouest,24,North York,8,177,14,109,0,308,485
Don Valley West/Don Valley-Ouest,25,North York,9,147,17,101,0,274,561
Don Valley West/Don Valley-Ouest,26,North York,9,192,4,108,0,313,479
Don Valley West/Don Valley-Ouest,27,North York,9,95,7,52,0,163,248
Don Valley West/Don Valley-Ouest,28,North York,11,117,30,53,1,212,388
Don Valley West/Don Valley-Ouest,29,North York,12,148,19,80,4,263,434
Don Valley West/Don Valley-Ouest,30,North York,2,93,14,58,0,167,250
Don Valley West/Don Valley-Ouest,31,North York,10,206,22,96,2,336,546
Don Valley West/Don Valley-Ouest,32,North York,7,135,3,97,0,242,386
Don Valley West/Don Valley-Ouest,33,North York,6,129,8,110,0,253,413
Don Valley West/Don Valley-Ouest,34,North York,8,117,2,106,2,235,408
Don Valley West/Don Valley-Ouest,35,North York,1,108,7,99,0,215,449
Don Valley West/Don Valley-Ouest,36,North York,3,91,7,93,0,194,343
Don Valley West/Don Valley-Ouest,37,North York,9,161,4,91,0,265,426
Don Valley West/Don Valley-Ouest,38,North York,4,126,3,92,1,226,349
Don Valley West/Don Valley-Ouest,39,North York,6,67,1,83,0,157,267
Don Valley West/Don Valley-Ouest,40,North York,6,111,8,94,1,220,459
Don Valley West/Don Valley-Ouest,41,North York,8,123,5,106,0,242,509
Don Valley West/Don Valley-Ouest,42,North York,5,123,5,85,2,220,347
Don Valley West/Don Valley-Ouest,43,North York,5,132,4,86,2,229,333
Don Valley West/Don Valley-Ouest,44,North York,6,170,10,74,1,261,419
Don Valley West/Don Valley-Ouest,45,North York,4,149,7,127,0,287,447
Don Valley West/Don Valley-Ouest,46,North York,6,163,2,84,0,255,428
Don Valley West/Don Valley-Ouest,47,Toronto,14,172,16,89,2,293,421
Don Valley West/Don Valley-Ouest,48,Toronto,19,140,6,84,0,249,370
Don Valley West/Don Valley-Ouest,49,Toronto,19,168,13,72,1,273,444
Don Valley West/Don Valley-Ouest,50,Toronto,10,172,22,69,0,273,399
Don Valley West/Don Valley-Ouest,51,Toronto,13,175,18,75,0,281,417
Don Valley West/Don Valley-Ouest,52,Toronto,9,179,29,56,3,276,370
Don Valley West/Don Valley-Ouest,53,Toronto,6,195,26,68,2,297,511
Don Valley West/Don Valley-Ouest,54,Toronto,13,169,20,69,2,273,424
Don Valley West/Don Valley-Ouest,55,Toronto,8,152,7,48,1,216,316
Don Valley West/Don Valley-Ouest,56,Toronto,7,144,11,75,0,237,434
Don Valley West/Don Valley-Ouest,57,Toronto,6,130,7,81,2,226,388
Don Valley West/Don Valley-Ouest,58,Toronto,6,114,7,91,0,218,350
Don Valley West/Don Valley-Ouest,59,North York,8,100,3,118,0,229,360
Don Valley West/Don Valley-Ouest,60,North York,17,113,3,136,2,271,452
Don Valley West/Don Valley-Ouest,61,North York,4,47,5,55,0,111,233
Don Valley West/Don Valley-Ouest,62,North York,8,123,5,99,1,236,397
Don Valley West/Don Valley-Ouest,63,North York,3,101,4,99,0,207,367
Don Valley West/Don Valley-Ouest,64,Toronto,9,141,3,100,0,253,452
Don Valley West/Don Valley-Ouest,65,Toronto,9,114,8,76,1,208,376
Don Valley West/Don Valley-Ouest,66,Toronto,15,139,13,57,0,224,348
Don Valley West/Don Valley-Ouest,67,Toronto,11,188,24,80,1,304,516
Don Valley West/Don Valley-Ouest,68,Toronto,8,147,11,72,0,238,369
Don Valley West/Don Valley-Ouest,69,Toronto,20,164,16,54,0,254,403
Don Valley West/Don Valley-Ouest,70,Toronto,14,184,26,65,2,291,498
Don Valley West/Don Valley-Ouest,71,Toronto,8,81,17,23,0,129,269
Don Valley West/Don Valley-Ouest,72A,Toronto,14,89,26,28,0,157,309
Don Valley West/Don Valley-Ouest,72B,Toronto,9,128,22,43,0,202,360
Don Valley West/Don Valley-Ouest,73,Toronto,1,32,3,10,0,46,69
Don Valley West/Don Valley-Ouest,74A,Toronto,26,152,48,57,3,286,508
Don Valley West/Don Valley-Ouest,74B,Toronto,12,91,21,28,0,152,250
Don Valley West/Don Valley-Ouest,75,Toronto,Void,,,,,,
Don Valley West/Don Valley-Ouest,76,Toronto,21,170,59,65,0,315,516
Don Valley West/Don Valley-Ouest,77,Toronto,8,123,25,35,0,191,230
Don Valley West/Don Valley-Ouest,78,North York,12,194,19,70,0,295,467
Don Valley West/Don Valley-Ouest,79,Toronto,6,156,12,49,0,223,374
Don Valley West/Don Valley-Ouest,80,Toronto,13,94,21,29,1,158,304
Don Valley West/Don Valley-Ouest,81,Toronto,8,75,22,24,3,132,249
Don Valley West/Don Valley-Ouest,82A,Toronto,19,196,57,52,1,325,572
Don Valley West/Don Valley-Ouest,82B,Toronto,19,130,39,48,2,238,416
Don Valley West/Don Valley-Ouest,83,Toronto,Merged with No. 82B,,,,,,10
Don Valley West/Don Valley-Ouest,84,Toronto,13,157,22,37,2,231,424
Don Valley West/Don Valley-Ouest,85,North York,9,111,5,83,1,209,394
Don Valley West/Don Valley-Ouest,86,North York,8,178,16,60,0,262,455
Don Valley West/Don Valley-Ouest,87,North York,14,119,25,73,0,231,385
Don Valley West/Don Valley-Ouest,88,North York,7,145,16,78,1,247,366
Don Valley West/Don Valley-Ouest,89,North York,8,133,20,48,1,210,323
Don Valley West/Don Valley-Ouest,90,North York,3,173,7,81,0,264,493
Don Valley West/Don Valley-Ouest,91,North York,3,155,7,91,1,257,517
Don Valley West/Don Valley-Ouest,92,North York,4,125,22,44,0,195,327
Don Valley West/Don Valley-Ouest,93,North York,4,110,15,56,0,185,340
Don Valley West/Don Valley-Ouest,94,North York,7,135,9,99,0,250,454
Don Valley West/Don Valley-Ouest,95,North York,7,166,21,56,0,250,460
Don Valley West/Don Valley-Ouest,96,North York,15,203,31,88,0,337,673
Don Valley West/Don Valley-Ouest,97,North York,6,96,17,48,2,169,309
Don Valley West/Don Valley-Ouest,98,North York,3,188,28,86,0,305,561
Don Valley West/Don Valley-Ouest,99,East York,10,128,9,61,1,209,369
Don Valley West/Don Valley-Ouest,100,East York,16,189,13,78,1,297,456
Don Valley West/Don Valley-Ouest,101,East York,6,104,9,67,0,186,321
Don Valley West/Don Valley-Ouest,102,East York,12,161,18,90,2,283,418
Don Valley West/Don Valley-Ouest,103,East York,10,144,26,62,1,243,431
Don Valley West/Don Valley-Ouest,104,East York,16,167,18,63,1,265,403
Don Valley West/Don Valley-Ouest,105,East York,9,171,15,65,0,260,422
Don Valley West/Don Valley-Ouest,106,East York,17,172,29,57,1,276,479
Don Valley West/Don Valley-Ouest,107,East York,8,142,23,58,0,231,414
Don Valley West/Don Valley-Ouest,108,East York,9,93,21,34,0,157,387
Don Valley West/Don Valley-Ouest,109,East York,7,134,19,40,2,202,327
Don Valley West/Don Valley-Ouest,110,East York,7,164,12,82,1,266,406
Don Valley West/Don Valley-Ouest,111,East York,8,125,12,67,4,216,345
Don Valley West/Don Valley-Ouest,112,East York,11,127,7,47,0,192,333
Don Valley West/Don Valley-Ouest,113,East York,3,114,5,39,0,161,215
Don Valley West/Don Valley-Ouest,114,East York,13,100,10,43,1,167,233
Don Valley West/Don Valley-Ouest,115,East York,9,154,10,68,0,241,337
Don Valley West/Don Valley-Ouest,116,East York,5,152,26,66,0,249,413
Don Valley West/Don Valley-Ouest,117,East York,10,170,20,74,2,276,433
Don Valley West/Don Valley-Ouest,118,East York,15,174,14,90,1,294,448
Don Valley West/Don Valley-Ouest,119,East York,7,176,11,81,0,275,397
Don Valley West/Don Valley-Ouest,120,East York,6,134,17,70,0,227,381
Don Valley West/Don Valley-Ouest,121,East York,10,149,9,74,1,243,395
Don Valley West/Don Valley-Ouest,122,East York,5,128,9,72,0,214,333
Don Valley West/Don Valley-Ouest,123,East York,15,148,15,88,0,266,477
Don Valley West/Don Valley-Ouest,124,East York,9,158,24,46,0,237,382
Don Valley West/Don Valley-Ouest,125,East York,4,70,26,26,0,126,222
Don Valley West/Don Valley-Ouest,126,East York,0,39,15,15,0,69,116
Don Valley West/Don Valley-Ouest,127A,East York,7,134,40,26,0,207,337
Don Valley West/Don Valley-Ouest,127B,East York,9,75,19,30,0,133,318
Don Valley West/Don Valley-Ouest,128,East York,1,85,15,25,0,126,357
Don Valley West/Don Valley-Ouest,129A,East York,15,87,20,25,1,148,317
Don Valley West/Don Valley-Ouest,129B,East York,3,117,34,41,0,195,301
Don Valley West/Don Valley-Ouest,130,East York,1,62,6,13,0,82,159
Don Valley West/Don Valley-Ouest,131A,East York,3,92,46,31,1,173,342
Don Valley West/Don Valley-Ouest,131B,East York,4,69,21,18,0,112,300
Don Valley West/Don Valley-Ouest,132,East York,9,136,47,37,0,229,484
Don Valley West/Don Valley-Ouest,133,East York,8,157,41,40,1,247,445
Don Valley West/Don Valley-Ouest,134,East York,10,109,52,32,1,204,487
Don Valley West/Don Valley-Ouest,135,East York,8,125,19,37,0,189,358
Don Valley West/Don Valley-Ouest,136,East York,12,147,21,43,0,223,374
Don Valley West/Don Valley-Ouest,137,East York,13,191,21,80,0,305,455
Don Valley West/Don Valley-Ouest,138,East York,18,142,20,73,0,253,386
Don Valley West/Don Valley-Ouest,139,North York,Merged with No. 140B,,,,,,20
Don Valley West/Don Valley-Ouest,140A,North York,1,70,16,27,0,114,168
Don Valley West/Don Valley-Ouest,140B,North York,4,151,12,97,0,264,379
Don Valley West/Don Valley-Ouest,141,North York,13,177,33,78,3,304,571
Don Valley West/Don Valley-Ouest,142,North York,6,221,16,97,1,341,487
Don Valley West/Don Valley-Ouest,143,North York,17,167,40,52,5,281,420
Don Valley West/Don Valley-Ouest,144,North York,1,122,17,76,2,218,307
Don Valley West/Don Valley-Ouest,145,North York,11,226,30,73,2,342,593
Don Valley West/Don Valley-Ouest,146,North York,Void,,,,,,
Don Valley West/Don Valley-Ouest,147,North York,2,89,42,27,0,160,499
Don Valley West/Don Valley-Ouest,148,North York,1,162,33,25,1,222,378
Don Valley West/Don Valley-Ouest,149A,North York,8,161,60,34,3,266,541
Don Valley West/Don Valley-Ouest,149B,North York,3,157,35,59,1,255,459
Don Valley West/Don Valley-Ouest,150,North York,0,80,30,15,2,127,350
Don Valley West/Don Valley-Ouest,151,North York,1,78,25,13,0,117,329
Don Valley West/Don Valley-Ouest,152,North York,6,197,37,38,2,280,564
Don Valley West/Don Valley-Ouest,153,North York,4,259,48,63,0,374,572
Don Valley West/Don Valley-Ouest,154,North York,4,171,34,11,0,220,525
Don Valley West/Don Valley-Ouest,155,North York,7,75,37,26,1,146,360
Don Valley West/Don Valley-Ouest,156,North York,3,70,37,16,2,128,288
Don Valley West/Don Valley-Ouest,157,North York,9,95,36,27,0,167,548
Don Valley West/Don Valley-Ouest,158,North York,3,84,17,27,2,133,385
Don Valley West/Don Valley-Ouest,159,North York,1,168,54,26,1,250,555
Don Valley West/Don Valley-Ouest,160,North York,4,160,31,21,1,217,372
Don Valley West/Don Valley-Ouest,161,North York,1,144,47,22,2,216,480
Don Valley West/Don Valley-Ouest,162A,North York,7,186,33,38,0,264,506
Don Valley West/Don Valley-Ouest,162B,North York,12,196,47,46,1,302,587
Don Valley West/Don Valley-Ouest,163,North York,4,203,54,33,0,294,536
Don Valley West/Don Valley-Ouest,164,North York,Merged with No. 407,,,,,,82
Don Valley West/Don Valley-Ouest,400,North York,2,86,33,61,6,188,503
Don Valley West/Don Valley-Ouest,401,North York,7,209,35,73,1,325,525
Don Valley West/Don Valley-Ouest,402,North York,3,142,12,52,2,211,262
Don Valley West/Don Valley-Ouest,403,North York,8,154,38,65,0,265,446
Don Valley West/Don Valley-Ouest,404,North York,9,106,39,51,3,208,389
Don Valley West/Don Valley-Ouest,405,North York,6,105,15,35,0,161,288
Don Valley West/Don Valley-Ouest,406,North York,4,104,18,19,1,146,311
Don Valley West/Don Valley-Ouest,407,North York,6,131,30,10,0,177,292
Don Valley West/Don Valley-Ouest,408,North York,4,111,42,34,1,192,419
Don Valley West/Don Valley-Ouest,409,North York,5,68,14,32,1,120,277
Don Valley West/Don Valley-Ouest,410,North York,1,107,24,13,1,146,386
Don Valley West/Don Valley-Ouest,411,North York,2,123,40,28,2,195,416
Don Valley West/Don Valley-Ouest,412,East York,7,116,21,38,0,182,350
Don Valley West/Don Valley-Ouest,413,East York,4,98,35,41,2,180,310
Don Valley West/Don Valley-Ouest,414,East York,1,238,4,8,4,255,473
Don Valley West/Don Valley-Ouest,415,East York,1,196,14,9,0,220,433
Don Valley West/Don Valley-Ouest,416,East York,3,137,19,13,0,172,408
Don Valley West/Don Valley-Ouest,417,East York,3,185,31,11,0,230,490
Don Valley West/Don Valley-Ouest,418,East York,5,134,37,37,0,213,444
Don Valley West/Don Valley-Ouest,419,East York,4,96,29,18,2,149,295
Don Valley West/Don Valley-Ouest,420,East York,3,77,17,9,1,107,260
Don Valley West/Don Valley-Ouest,421,East York,6,147,31,30,0,214,503
Don Valley West/Don Valley-Ouest,422,East York,4,105,13,28,2,152,332
Don Valley West/Don Valley-Ouest,423,East York,4,153,24,26,4,211,307
Don Valley West/Don Valley-Ouest,424,East York,3,91,24,30,3,151,289
Don Valley West/Don Valley-Ouest,600,North York,20,467,26,410,2,925,
Don Valley West/Don Valley-Ouest,601,North York,8,322,13,367,1,711,
Don Valley West/Don Valley-Ouest,602,Toronto,18,497,32,439,2,988,
Don Valley West/Don Valley-Ouest,603,Toronto,42,354,57,210,1,664,
Don Valley West/Don Valley-Ouest,604,Toronto,20,371,45,226,1,663,
Don Valley West/Don Valley-Ouest,605,East York,30,716,69,489,0,1304,
Don Valley West/Don Valley-Ouest,606,East York,23,443,88,170,4,728,
Don Valley West/Don Valley-Ouest,607,North York,10,183,26,131,1,351,
Don Valley West/Don Valley-Ouest,608,North York,15,256,61,71,7,410,
Don Valley West/Don Valley-Ouest,,Group 1/Groupe 1,2,65,8,24,5,104,155
Don Valley West/Don Valley-Ouest,,Group 2/Groupe 2,28,477,63,407,5,980,
