District,Poll Number,Poll Name,Sébastien Beaudet,Irwin Cotler,Matthew Fireman,Vincent Gagnon,Adam Greenblatt,Diane Johnston,Adam Sommerfeld,Rejected Ballots,Total Vote,Electors
Mount Royal/Mont-Royal,1,Mont-Royal,3,151,21,21,0,0,4,6,206,416
Mount Royal/Mont-Royal,2,Mont-Royal,6,122,17,8,1,0,6,0,160,319
Mount Royal/Mont-Royal,3,Mont-Royal,13,169,10,28,0,0,4,2,226,310
Mount Royal/Mont-Royal,4,Mont-Royal,6,137,19,13,1,0,7,1,184,370
Mount Royal/Mont-Royal,5,Mont-Royal,11,94,15,34,2,0,8,0,164,339
Mount Royal/Mont-Royal,6,Mont-Royal,25,115,24,46,4,1,8,0,223,420
Mount Royal/Mont-Royal,7,Mont-Royal,Merged with No. 3,,,,,,,,,213
Mount Royal/Mont-Royal,8A,Mont-Royal,6,152,19,54,4,0,7,2,244,459
Mount Royal/Mont-Royal,8B,Mont-Royal,23,128,19,49,2,0,10,1,232,439
Mount Royal/Mont-Royal,9,Mont-Royal,20,140,22,25,0,0,14,0,221,402
Mount Royal/Mont-Royal,10,Mont-Royal,18,155,17,51,0,0,9,1,251,470
Mount Royal/Mont-Royal,11,Mont-Royal,27,128,26,68,3,0,13,3,268,453
Mount Royal/Mont-Royal,12,Mont-Royal,21,104,17,49,3,0,6,2,202,379
Mount Royal/Mont-Royal,13,Mont-Royal,5,93,14,32,2,0,6,0,152,292
Mount Royal/Mont-Royal,14,Mont-Royal,11,126,14,61,1,0,6,2,221,422
Mount Royal/Mont-Royal,15,Mont-Royal,12,129,21,49,2,1,8,1,223,426
Mount Royal/Mont-Royal,16,Mont-Royal,5,158,26,25,0,1,8,2,225,409
Mount Royal/Mont-Royal,17,Mont-Royal,23,228,26,48,0,0,23,4,352,577
Mount Royal/Mont-Royal,18A,Mont-Royal,10,94,7,11,1,1,3,2,129,341
Mount Royal/Mont-Royal,18B,Mont-Royal,7,136,16,5,0,2,3,2,171,389
Mount Royal/Mont-Royal,19,Mont-Royal,14,77,21,12,1,0,5,1,131,452
Mount Royal/Mont-Royal,20,Mont-Royal,10,122,9,19,0,0,10,0,170,309
Mount Royal/Mont-Royal,21,Mont-Royal,8,137,12,47,0,0,16,0,220,409
Mount Royal/Mont-Royal,22,Mont-Royal,19,88,13,46,1,2,10,2,181,374
Mount Royal/Mont-Royal,23,Mont-Royal,12,128,19,33,1,0,4,2,199,465
Mount Royal/Mont-Royal,24,Mont-Royal,13,159,32,29,2,0,14,1,250,421
Mount Royal/Mont-Royal,25,Mont-Royal,10,120,17,26,2,0,5,1,181,346
Mount Royal/Mont-Royal,26,Mont-Royal,9,133,32,21,3,0,7,2,207,397
Mount Royal/Mont-Royal,27,Mont-Royal,3,156,23,27,2,0,5,1,217,340
Mount Royal/Mont-Royal,28,Mont-Royal,6,145,9,20,1,0,0,0,181,361
Mount Royal/Mont-Royal,29,Mont-Royal,15,105,13,22,2,0,8,4,169,348
Mount Royal/Mont-Royal,30,Mont-Royal,13,171,19,8,2,0,17,3,233,433
Mount Royal/Mont-Royal,31,Mont-Royal,11,153,21,22,2,0,12,0,221,404
Mount Royal/Mont-Royal,32,Mont-Royal,16,162,12,35,0,0,15,2,242,408
Mount Royal/Mont-Royal,33,Mont-Royal,20,134,15,43,2,0,11,2,227,421
Mount Royal/Mont-Royal,34,Mont-Royal,16,165,15,33,2,1,12,1,245,510
Mount Royal/Mont-Royal,35,Mont-Royal,15,123,9,13,0,1,4,0,165,377
Mount Royal/Mont-Royal,36,Mont-Royal,8,166,6,4,1,1,9,5,200,511
Mount Royal/Mont-Royal,37,Montréal,25,166,28,51,6,0,12,3,291,228
Mount Royal/Mont-Royal,38,Montréal,Merged with No. 37,,,,,,,,,309
Mount Royal/Mont-Royal,39,Montréal,10,129,27,24,2,0,4,7,203,534
Mount Royal/Mont-Royal,40A,Montréal,14,85,12,18,1,0,5,3,138,308
Mount Royal/Mont-Royal,40B,Montréal,4,114,6,9,2,1,1,0,137,307
