District,Poll Number,Poll Name,John Baranyi,George Walter Kolaczynski,Larry McCormick,Scott Jeffrey Reid,Ross Sutherland,Bill Vankoughnet,Rejected Ballots,Total Vote,Electors
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,207,Ernestown,11,2,65,60,24,3,2,167,267
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,208,Bath,10,3,235,165,52,7,1,473,679
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,209,Bath,5,1,98,70,65,1,1,241,436
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,210,Bath,9,3,87,52,26,2,1,180,296
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,211,Bath,3,4,89,63,25,2,2,188,365
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,212,Ernestown,16,3,130,76,31,0,1,257,399
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,213,Ernestown,3,3,61,40,35,0,0,142,282
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,214,Amherstview,7,1,66,43,41,3,2,163,403
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,215,Amherstview,12,3,118,44,38,3,0,218,354
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,216,Amherstview,18,2,115,77,51,2,0,265,509
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,217,Amherstview,6,0,102,47,16,2,0,173,292
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,218,Amherstview,10,0,95,44,27,1,0,177,366
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,219,Amherstview,6,2,83,34,36,5,0,166,324
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,220,Amherstview,5,2,35,15,23,0,0,80,303
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,221,Amherstview,7,1,84,51,37,3,0,183,370
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,222,Amherstview,7,2,65,39,36,3,0,152,329
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,223,Amherstview,6,4,28,19,20,2,0,79,255
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,224,Amherstview,2,0,100,41,15,2,0,160,290
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,225,Amherstview,8,2,121,57,41,4,1,234,413
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,226,Amherstview,7,3,90,72,46,4,0,222,450
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,227,Amherst Island,11,1,128,79,40,0,0,259,324
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,500,Mobile poll/Bureau itinérant,1,3,32,77,4,2,3,122,194
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,501,Mobile poll/Bureau itinérant,8,1,36,92,7,1,2,147,364
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,502,Mobile poll/Bureau itinérant,2,4,36,15,2,6,4,69,95
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,503,Mobile poll/Bureau itinérant,3,0,47,23,0,4,7,84,147
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,504,Mobile poll/Bureau itinérant,2,0,31,54,7,0,2,96,175
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,600,Cloyne--Sharbot Lake,7,0,108,222,31,19,0,387,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,601,Lanark,66,2,112,540,61,0,1,782,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,602,Franktown,47,2,157,700,58,4,2,970,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,603,Carleton Place,18,2,77,333,34,1,1,466,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,604,Smiths Falls,11,3,136,464,39,3,3,659,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,605,Perth,47,5,199,640,88,3,1,983,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,606,Camden East,10,0,77,97,16,2,1,203,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,607,Sydenham,36,4,348,327,126,8,2,851,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,608,Napanee,27,9,416,440,75,56,6,1029,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,609,Amherstview,22,6,304,208,73,6,4,623,
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,,Group 1/Groupe 1,4,5,62,93,8,2,1,175,401
Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington,,Group 2/Groupe 2,21,0,113,190,53,3,10,390,
