District,Poll Number,Poll Name,Joe Fontana,Tim Gatten,Gustavo Granados-Ocon,Bronagh Joyce Morgan,Rod Morley,Joe Swan,Rejected Ballots,Total Vote,Electors
London North Centre/London-Centre-Nord,75,London,126,115,0,7,1,66,0,315,485
London North Centre/London-Centre-Nord,76,London,137,85,0,2,1,59,2,286,470
London North Centre/London-Centre-Nord,77,London,72,48,0,8,0,39,2,169,266
London North Centre/London-Centre-Nord,78,London,136,72,1,13,2,51,2,277,492
London North Centre/London-Centre-Nord,79,London,74,30,0,6,0,48,2,160,325
London North Centre/London-Centre-Nord,80,London,55,18,0,9,0,30,0,112,295
London North Centre/London-Centre-Nord,81,London,58,29,0,16,0,65,2,170,319
London North Centre/London-Centre-Nord,82,London,44,35,0,18,1,58,2,158,338
London North Centre/London-Centre-Nord,83,London,41,18,1,7,1,38,2,108,244
London North Centre/London-Centre-Nord,84A,London,60,23,0,11,0,43,0,137,242
London North Centre/London-Centre-Nord,84B,London,Merged with No. 411,,,,,,,,121
London North Centre/London-Centre-Nord,84C,Mobile poll/Bureau itinérant,35,9,0,4,1,7,3,59,78
London North Centre/London-Centre-Nord,85,London,51,21,0,11,0,46,0,129,295
London North Centre/London-Centre-Nord,86,London,116,54,0,11,0,40,0,221,465
London North Centre/London-Centre-Nord,87,London,85,55,0,6,1,7,1,155,249
London North Centre/London-Centre-Nord,88,London,64,35,0,4,0,3,0,106,263
London North Centre/London-Centre-Nord,89,London,88,40,0,8,0,19,0,155,327
London North Centre/London-Centre-Nord,90,London,77,63,0,4,0,13,0,157,328
London North Centre/London-Centre-Nord,91,London,92,44,1,0,0,58,2,197,280
London North Centre/London-Centre-Nord,92,London,75,48,0,14,0,27,3,167,310
London North Centre/London-Centre-Nord,93,London,89,53,1,11,0,49,0,203,405
London North Centre/London-Centre-Nord,94,London,78,20,0,15,0,53,0,166,365
London North Centre/London-Centre-Nord,95,London,44,15,0,8,0,29,1,97,217
London North Centre/London-Centre-Nord,96,London,85,52,0,13,0,38,1,189,317
London North Centre/London-Centre-Nord,97,London,45,18,1,6,0,33,0,103,227
London North Centre/London-Centre-Nord,98,London,144,59,2,13,0,53,0,271,430
London North Centre/London-Centre-Nord,99,London,137,94,0,11,0,57,1,300,488
London North Centre/London-Centre-Nord,100A,London,65,59,1,5,1,34,1,166,337
