District,Poll Number,Poll Name,Ardavan Behrouzi,Yvonne Bobb,Jovan Boseovski,Bernadette Michael,Jim Peterson,Sharolyn Vettese,Rejected Ballots,Total Vote,Electors
Willowdale/Willowdale,1,North York,3,14,18,0,61,2,0,98,259
Willowdale/Willowdale,2,North York,4,28,49,4,140,10,0,235,425
Willowdale/Willowdale,3,North York,0,21,51,0,149,11,2,234,438
Willowdale/Willowdale,4,North York,3,17,57,0,164,7,1,249,426
Willowdale/Willowdale,5,North York,4,17,56,0,156,8,1,242,456
Willowdale/Willowdale,6,North York,2,13,64,0,155,9,0,243,461
Willowdale/Willowdale,7,North York,0,17,58,3,144,13,2,237,389
Willowdale/Willowdale,8,North York,4,11,63,0,168,9,1,256,452
Willowdale/Willowdale,9,North York,2,18,38,1,156,14,0,229,463
Willowdale/Willowdale,10,North York,8,18,63,2,167,14,1,273,483
Willowdale/Willowdale,11,North York,3,19,65,0,154,10,3,254,493
Willowdale/Willowdale,12,North York,3,12,47,1,95,5,1,164,338
Willowdale/Willowdale,13,North York,3,5,33,1,64,4,1,111,193
Willowdale/Willowdale,14,North York,3,13,47,1,115,13,3,195,429
Willowdale/Willowdale,15,North York,3,14,38,0,95,5,1,156,421
Willowdale/Willowdale,16,North York,2,22,62,0,157,7,1,251,398
Willowdale/Willowdale,17,North York,1,14,39,1,99,6,0,160,296
Willowdale/Willowdale,18,North York,4,11,60,0,174,8,0,257,399
Willowdale/Willowdale,19,North York,2,19,49,0,133,6,0,209,375
Willowdale/Willowdale,20,North York,2,13,69,1,159,8,1,253,396
Willowdale/Willowdale,21,North York,4,24,55,1,171,2,3,260,450
Willowdale/Willowdale,22,North York,2,9,73,1,118,9,2,214,429
Willowdale/Willowdale,23A,North York,1,8,16,0,71,1,0,97,265
Willowdale/Willowdale,23B,North York,1,4,7,0,25,1,3,41,73
Willowdale/Willowdale,24,North York,2,23,39,1,125,7,0,197,373
Willowdale/Willowdale,25,North York,1,23,71,0,166,7,2,270,482
Willowdale/Willowdale,26,North York,5,23,59,0,124,2,0,213,372
Willowdale/Willowdale,27,North York,6,4,66,0,124,5,1,206,388
Willowdale/Willowdale,28,North York,1,5,66,0,190,0,0,262,539
Willowdale/Willowdale,29,North York,0,0,0,0,0,0,0,0,4
Willowdale/Willowdale,30,North York,1,20,38,0,83,8,0,150,218
Willowdale/Willowdale,31,North York,0,4,8,0,18,2,0,32,48
Willowdale/Willowdale,32,North York,3,19,65,4,155,7,0,253,499
Willowdale/Willowdale,33,North York,3,10,44,0,161,3,0,221,377
Willowdale/Willowdale,34,North York,0,28,110,3,228,20,0,389,575
Willowdale/Willowdale,35,North York,1,24,31,0,149,6,6,217,391
Willowdale/Willowdale,36,North York,3,12,58,3,128,4,1,209,421
Willowdale/Willowdale,37,North York,3,13,64,1,180,13,1,275,481
Willowdale/Willowdale,38,North York,2,15,65,0,121,7,0,210,384
Willowdale/Willowdale,39,North York,4,27,63,0,145,7,3,249,507
Willowdale/Willowdale,40,North York,0,23,43,1,175,8,1,251,416
Willowdale/Willowdale,41A,North York,2,8,23,1,75,5,0,114,193
Willowdale/Willowdale,41B,North York,1,19,27,2,76,6,0,131,270
Willowdale/Willowdale,42,North York,4,42,57,3,123,12,0,241,481
Willowdale/Willowdale,43,North York,6,39,63,1,160,6,4,279,517
Willowdale/Willowdale,44,North York,4,44,65,0,176,11,2,302,464
Willowdale/Willowdale,45,North York,10,41,93,1,143,3,2,293,526
Willowdale/Willowdale,46,North York,5,21,74,0,233,9,0,342,580
Willowdale/Willowdale,47,North York,11,36,37,6,99,6,1,196,390
Willowdale/Willowdale,48,North York,2,15,41,2,119,12,2,193,317
Willowdale/Willowdale,49,North York,4,23,59,0,152,9,3,250,451
Willowdale/Willowdale,50,North York,5,31,39,2,117,7,2,203,363
Willowdale/Willowdale,51,North York,4,34,57,0,145,5,2,247,497
Willowdale/Willowdale,52,North York,3,24,67,1,131,3,1,230,467
Willowdale/Willowdale,53,North York,4,37,59,2,201,9,0,312,519
Willowdale/Willowdale,54,North York,2,19,26,2,98,2,1,150,279
Willowdale/Willowdale,55,North York,5,16,46,0,138,9,0,214,334
Willowdale/Willowdale,56,North York,1,15,52,0,155,14,0,237,403
