District,Poll Number,Poll Name,David Emerson,Jesse Johl,Jeannie Kwan,Jason Mann,Tracey  Jastinder Mann,Donna Petersen,Jacob Rempel,Ian Waddell,Rejected Ballots,Total Vote,Electors
Vancouver Kingsway/Vancouver Kingsway,1,Vancouver,109,31,0,0,10,0,0,65,0,215,391
Vancouver Kingsway/Vancouver Kingsway,2,Vancouver,39,29,3,0,15,0,0,74,0,160,280
Vancouver Kingsway/Vancouver Kingsway,3,Vancouver,103,30,1,0,22,0,1,110,0,267,455
Vancouver Kingsway/Vancouver Kingsway,4,Vancouver,49,30,1,0,10,0,1,54,1,146,275
Vancouver Kingsway/Vancouver Kingsway,5,Vancouver,137,39,2,0,20,0,0,104,3,305,494
Vancouver Kingsway/Vancouver Kingsway,6,Vancouver,114,19,0,1,12,0,0,73,1,220,338
Vancouver Kingsway/Vancouver Kingsway,7,Vancouver,56,21,1,1,7,0,0,76,0,162,290
Vancouver Kingsway/Vancouver Kingsway,8,Vancouver,105,38,0,0,5,0,0,34,1,183,335
Vancouver Kingsway/Vancouver Kingsway,9,Vancouver,128,58,1,0,11,0,0,87,2,287,438
Vancouver Kingsway/Vancouver Kingsway,10,Vancouver,52,19,0,0,3,0,0,21,0,95,195
Vancouver Kingsway/Vancouver Kingsway,11,Vancouver,101,60,4,0,4,0,0,29,0,198,424
Vancouver Kingsway/Vancouver Kingsway,12,Vancouver,76,46,1,2,2,1,1,26,3,158,330
Vancouver Kingsway/Vancouver Kingsway,13A,Vancouver,88,30,2,0,5,0,0,17,0,142,260
Vancouver Kingsway/Vancouver Kingsway,13B,Vancouver,112,41,0,0,8,0,0,19,0,180,316
Vancouver Kingsway/Vancouver Kingsway,14,Vancouver,89,16,1,0,16,1,1,85,0,209,335
Vancouver Kingsway/Vancouver Kingsway,15,Vancouver,87,33,0,1,7,1,0,80,0,209,353
Vancouver Kingsway/Vancouver Kingsway,16,Vancouver,87,32,0,0,22,1,1,91,0,234,363
Vancouver Kingsway/Vancouver Kingsway,17,Vancouver,95,38,0,1,8,0,0,87,4,233,385
Vancouver Kingsway/Vancouver Kingsway,18,Vancouver,127,37,1,0,17,0,0,66,1,249,418
Vancouver Kingsway/Vancouver Kingsway,19,Vancouver,132,47,2,0,16,0,0,98,3,298,455
Vancouver Kingsway/Vancouver Kingsway,20,Vancouver,97,29,0,0,18,0,0,98,0,242,370
Vancouver Kingsway/Vancouver Kingsway,21,Vancouver,68,19,1,1,8,0,1,97,3,198,359
Vancouver Kingsway/Vancouver Kingsway,22,Vancouver,106,17,1,2,15,0,1,116,0,258,423
Vancouver Kingsway/Vancouver Kingsway,23,Vancouver,59,16,3,0,20,0,0,115,0,213,379
Vancouver Kingsway/Vancouver Kingsway,24A,Vancouver,50,17,0,0,9,0,0,70,0,146,284
Vancouver Kingsway/Vancouver Kingsway,24B,Vancouver,37,23,1,1,7,0,1,59,1,130,285
Vancouver Kingsway/Vancouver Kingsway,25,Vancouver,91,20,2,2,6,1,1,76,2,201,445
Vancouver Kingsway/Vancouver Kingsway,26,Vancouver,75,23,0,0,17,0,4,83,1,203,323
Vancouver Kingsway/Vancouver Kingsway,27,Vancouver,72,25,0,2,16,0,1,87,1,204,336
Vancouver Kingsway/Vancouver Kingsway,28,Vancouver,104,35,1,1,17,0,0,152,3,313,492
Vancouver Kingsway/Vancouver Kingsway,29A,Vancouver,64,32,1,0,10,2,1,67,4,181,323
Vancouver Kingsway/Vancouver Kingsway,29B,Vancouver,49,17,1,0,3,0,1,49,4,124,253
Vancouver Kingsway/Vancouver Kingsway,30,Vancouver,95,35,6,0,10,0,1,92,2,241,445
Vancouver Kingsway/Vancouver Kingsway,31,Vancouver,63,21,4,0,4,0,2,87,1,182,367
Vancouver Kingsway/Vancouver Kingsway,32,Vancouver,58,18,2,1,3,1,0,48,4,135,349
Vancouver Kingsway/Vancouver Kingsway,33,Vancouver,105,30,5,1,6,0,0,113,1,261,443
Vancouver Kingsway/Vancouver Kingsway,34,Vancouver,75,22,4,0,1,3,0,66,4,175,363
Vancouver Kingsway/Vancouver Kingsway,35A,Vancouver,51,28,2,0,9,0,0,68,1,159,279
Vancouver Kingsway/Vancouver Kingsway,35B,Vancouver,63,22,2,2,11,0,0,65,2,167,251
Vancouver Kingsway/Vancouver Kingsway,36,Vancouver,57,50,2,0,13,2,0,90,2,216,392
Vancouver Kingsway/Vancouver Kingsway,37,Vancouver,110,21,3,0,10,0,0,134,10,288,456
Vancouver Kingsway/Vancouver Kingsway,38,Vancouver,68,21,3,0,7,1,0,103,1,204,381
Vancouver Kingsway/Vancouver Kingsway,39,Vancouver,54,15,3,0,1,0,3,63,2,141,260
Vancouver Kingsway/Vancouver Kingsway,40,Vancouver,63,18,1,1,7,0,1,91,1,183,289
Vancouver Kingsway/Vancouver Kingsway,41,Vancouver,122,37,7,4,6,0,0,76,1,253,415
Vancouver Kingsway/Vancouver Kingsway,42,Vancouver,131,32,0,0,14,0,0,65,1,243,463
Vancouver Kingsway/Vancouver Kingsway,43,Vancouver,133,42,1,0,6,0,0,36,1,219,384
Vancouver Kingsway/Vancouver Kingsway,44,Vancouver,107,34,3,0,17,0,2,142,0,305,496
Vancouver Kingsway/Vancouver Kingsway,45,Vancouver,58,22,2,1,12,1,0,67,0,163,267
Vancouver Kingsway/Vancouver Kingsway,46,Vancouver,47,20,0,0,8,0,1,77,1,154,279
Vancouver Kingsway/Vancouver Kingsway,47,Vancouver,85,24,5,1,12,0,0,96,1,224,378
Vancouver Kingsway/Vancouver Kingsway,48,Vancouver,96,43,6,0,11,0,1,119,1,277,483
Vancouver Kingsway/Vancouver Kingsway,49,Vancouver,86,24,5,0,19,0,3,124,1,262,472
Vancouver Kingsway/Vancouver Kingsway,50A,Vancouver,62,28,1,0,15,0,2,63,2,173,288
Vancouver Kingsway/Vancouver Kingsway,50B,Vancouver,95,22,0,0,5,0,2,64,0,188,304
Vancouver Kingsway/Vancouver Kingsway,51,Vancouver,137,78,3,0,5,1,1,30,0,255,505
