District,Poll Number,Poll Name,Arnold Baker,Adam Campbell,Max Leonard Cornelssen,Ellen Parker,Kevin Sorenson,Rejected Ballots,Total Vote,Electors
Crowfoot/Crowfoot,1,Hay Lakes,13,30,5,31,203,0,282,463
Crowfoot/Crowfoot,2,Hay Lakes,12,10,1,11,97,0,131,215
Crowfoot/Crowfoot,3,Hay Lakes Rural,3,8,1,2,54,0,68,87
Crowfoot/Crowfoot,4,Armena,10,12,3,24,161,0,210,291
Crowfoot/Crowfoot,5,Round Hill,15,28,3,26,195,1,268,425
Crowfoot/Crowfoot,6,Bittern Lake,5,17,0,18,179,1,220,396
Crowfoot/Crowfoot,7,Camrose Rural,8,10,1,13,138,0,170,266
Crowfoot/Crowfoot,8,Bawlf Rural,7,13,2,21,156,1,200,295
Crowfoot/Crowfoot,9,Bittern Lake Rural,4,15,0,9,125,0,153,234
Crowfoot/Crowfoot,10,Ohaton,9,11,5,12,185,0,222,403
Crowfoot/Crowfoot,11,New Norway,23,26,5,16,249,2,321,529
Crowfoot/Crowfoot,12,Kelsey,9,17,2,11,160,0,199,313
Crowfoot/Crowfoot,13,Bawlf,14,20,4,21,155,0,214,385
Crowfoot/Crowfoot,14,Ferintosh,11,26,3,18,209,0,267,466
Crowfoot/Crowfoot,15,Edberg,5,15,4,15,158,0,197,368
Crowfoot/Crowfoot,16,Rosalind,4,36,4,5,189,0,238,341
Crowfoot/Crowfoot,17,Bashaw Rural,5,4,0,9,60,0,78,79
Crowfoot/Crowfoot,18A,Bashaw,15,13,4,11,213,0,256,392
Crowfoot/Crowfoot,18B,Bashaw,8,12,4,17,183,0,224,375
Crowfoot/Crowfoot,19,Bashaw--Meeting Creek,6,9,3,8,137,0,163,257
Crowfoot/Crowfoot,20,Camrose,10,25,2,48,216,2,303,484
Crowfoot/Crowfoot,21,Camrose,8,19,4,15,145,0,191,446
Crowfoot/Crowfoot,22,Camrose,7,14,6,22,147,0,196,492
Crowfoot/Crowfoot,23,Camrose,3,12,1,19,67,0,102,225
Crowfoot/Crowfoot,24,Camrose,5,10,2,29,129,0,175,359
Crowfoot/Crowfoot,25,Camrose,14,19,2,31,192,0,258,515
Crowfoot/Crowfoot,26,Camrose,10,11,1,35,138,0,195,390
Crowfoot/Crowfoot,27,Camrose,5,29,3,43,145,1,226,384
Crowfoot/Crowfoot,28,Camrose,3,10,1,13,80,0,107,242
Crowfoot/Crowfoot,29,Camrose,4,16,0,7,94,0,121,228
Crowfoot/Crowfoot,30,Camrose,5,12,2,28,74,1,122,276
Crowfoot/Crowfoot,31,Camrose,10,37,5,32,180,1,265,495
Crowfoot/Crowfoot,32,Camrose,10,17,2,30,153,0,212,363
Crowfoot/Crowfoot,33,Camrose,16,23,4,38,182,2,265,455
Crowfoot/Crowfoot,34,Camrose,13,13,3,13,126,0,168,399
Crowfoot/Crowfoot,35,Camrose,14,29,4,23,158,1,229,433
Crowfoot/Crowfoot,36,Camrose,5,22,5,36,145,1,214,441
Crowfoot/Crowfoot,37,Camrose,9,16,3,49,131,0,208,433
Crowfoot/Crowfoot,38,Camrose,7,23,2,24,103,1,160,316
Crowfoot/Crowfoot,39,Camrose,6,20,2,36,147,0,211,363
Crowfoot/Crowfoot,40,Camrose,13,23,2,45,151,0,234,413
Crowfoot/Crowfoot,41,Camrose,17,28,1,31,203,0,280,460
Crowfoot/Crowfoot,42,Camrose,15,22,4,24,165,0,230,442
Crowfoot/Crowfoot,43,Camrose,7,11,3,15,91,0,127,272
Crowfoot/Crowfoot,44,Camrose,6,23,1,25,93,0,148,240
Crowfoot/Crowfoot,45,Camrose,2,27,3,31,160,0,223,399
Crowfoot/Crowfoot,46,Camrose,4,22,2,28,143,0,199,363
Crowfoot/Crowfoot,47,Camrose,11,28,1,16,246,0,302,481
Crowfoot/Crowfoot,48,Camrose,11,35,6,45,188,0,285,468
Crowfoot/Crowfoot,49,Donalda,10,10,7,10,147,0,184,360
Crowfoot/Crowfoot,50,Donalda Rural,3,4,3,8,84,0,102,173
Crowfoot/Crowfoot,51,Rochon Sands,5,9,1,3,93,0,111,153
Crowfoot/Crowfoot,52,Red Willow,4,8,0,7,137,0,156,295
Crowfoot/Crowfoot,53A,Erskine,10,9,3,11,146,0,179,379
Crowfoot/Crowfoot,53B,Erskine,8,6,4,11,122,0,151,366
Crowfoot/Crowfoot,54,Erskine,2,6,0,8,144,1,161,245
Crowfoot/Crowfoot,55,Stettler--Warden,9,9,3,17,213,0,251,391
Crowfoot/Crowfoot,56,Stettler--Sabine,4,8,4,14,224,0,254,393
Crowfoot/Crowfoot,57,Botha,5,8,5,18,202,0,238,370
Crowfoot/Crowfoot,58,Gadsby,4,8,1,8,156,0,177,277
Crowfoot/Crowfoot,59,Stettler,7,7,2,18,159,0,193,365
Crowfoot/Crowfoot,60,Stettler,8,33,4,12,134,1,192,433
Crowfoot/Crowfoot,61,Stettler,11,18,3,12,108,0,152,335
Crowfoot/Crowfoot,62,Stettler,6,20,1,12,133,1,173,299
Crowfoot/Crowfoot,63,Stettler,6,14,3,16,157,0,196,366
Crowfoot/Crowfoot,64,Stettler,6,19,5,14,147,0,191,323
Crowfoot/Crowfoot,65,Stettler,3,14,2,2,121,0,142,231
Crowfoot/Crowfoot,66,Stettler,4,26,0,13,135,0,178,327
Crowfoot/Crowfoot,67,Stettler,8,12,1,18,131,0,170,318
Crowfoot/Crowfoot,68,Stettler,5,20,7,15,153,0,200,362
Crowfoot/Crowfoot,69,Stettler,3,8,1,17,112,3,144,243
Crowfoot/Crowfoot,70,Big Valley,8,11,7,12,185,1,224,406
Crowfoot/Crowfoot,71,Big Valley Rural,5,8,3,7,127,0,150,228
Crowfoot/Crowfoot,72,Endiang,3,6,0,4,195,0,208,294
Crowfoot/Crowfoot,73,Halkirk,6,12,1,9,160,0,188,371
Crowfoot/Crowfoot,74,Castor Rural,10,8,3,9,219,0,249,328
Crowfoot/Crowfoot,75,Castor,3,18,5,5,171,0,202,280
Crowfoot/Crowfoot,76A,Castor,11,18,3,16,124,0,172,282
Crowfoot/Crowfoot,76B,Castor,6,12,1,5,130,1,155,260
Crowfoot/Crowfoot,77,Brownfield,1,3,2,8,151,0,165,251
Crowfoot/Crowfoot,78A,Coronation,3,9,2,8,100,0,122,289
Crowfoot/Crowfoot,78B,Coronation,3,9,6,6,106,0,130,263
Crowfoot/Crowfoot,79,Coronation,2,4,8,5,148,1,168,292
Crowfoot/Crowfoot,80,Coronation Rural,5,7,5,12,169,0,198,300
Crowfoot/Crowfoot,81,Veteran,9,8,2,5,212,0,236,377
